Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,09:10:00,70.36,70.36,70.36,70.36,31,0
2017-08-30,09:25:00,70.36,70.36,70.36,70.36,15,0
2017-08-30,10:10:00,70.89,71,70.89,71,341,0
2017-08-30,11:15:00,70.7,70.7,70.7,70.7,16,0
2017-08-30,11:30:00,70.99,70.99,70.99,70.99,50,0
2017-08-30,11:35:00,71,71,71,71,35,0
2017-08-30,11:45:00,70.71,70.71,70.7,70.7,24,0
2017-08-30,11:55:00,71,71,71,71,43,0
2017-08-30,12:10:00,71,71,71,71,200,0
2017-08-30,12:45:00,71,71.26,71,71.26,1443,0
2017-08-30,12:50:00,71.06,71.25,71.06,71.25,112,0
2017-08-30,12:55:00,71.29,71.29,71.29,71.29,5,0
2017-08-30,13:00:00,71.29,71.29,71.29,71.29,5,0
2017-08-30,13:10:00,71.35,71.35,71.07,71.07,128,0
2017-08-30,14:00:00,71.25,71.25,71.25,71.25,5,0
2017-08-30,14:20:00,71,71,71,71,5,0
2017-08-30,14:45:00,71.35,71.47,71.16,71.35,337,0
2017-08-30,14:50:00,71.35,71.35,71.35,71.35,8,0
2017-08-30,17:00:00,71.25,71.25,71.16,71.16,1284,0
2017-08-30,17:05:00,71.47,72,71.47,72,2368,0
2017-08-30,17:10:00,72.5,73.94,72.5,73.94,487,0
2017-08-30,17:25:00,73.17,73.17,73.17,73.17,50,0
2017-08-30,17:30:00,72.8,73.17,72.8,73.17,8,0
2017-08-31,09:05:00,73.03,73.89,73.03,73.57,160,0
2017-08-31,09:10:00,73.95,73.95,73.4,73.4,293,0
2017-08-31,09:55:00,73.08,73.08,72.81,72.81,737,0
2017-08-31,10:40:00,72.82,72.82,72.82,72.82,49,0
2017-08-31,12:05:00,72.8,72.8,72.8,72.8,52,0
2017-08-31,12:30:00,72.8,73,72.8,73,626,0
2017-08-31,13:20:00,73,73,72.88,72.88,55,0
2017-08-31,13:30:00,73,73,73,73,214,0
2017-08-31,13:35:00,73.04,73.04,73,73,100,0
2017-08-31,13:55:00,73.43,73.43,73.42,73.42,156,0
2017-08-31,15:00:00,73,73,72.99,72.99,15,0
2017-08-31,15:35:00,73,73,72.99,72.99,128,0
2017-08-31,16:00:00,73.43,73.43,73.43,73.43,40,0
2017-08-31,16:40:00,72.99,72.99,72.99,72.99,52,0
2017-08-31,16:50:00,72.99,72.99,72.99,72.99,311,0
2017-08-31,16:55:00,73.45,73.45,73.45,73.45,32,0
2017-08-31,17:00:00,73.46,73.52,73.46,73.5,358,0
2017-08-31,17:30:00,73.89,73.89,73.89,73.89,15,0
2017-09-01,09:05:00,73.89,73.89,73.89,73.89,11,0
2017-09-01,10:50:00,73.69,73.71,73.69,73.71,610,0
2017-09-01,12:10:00,73.42,73.42,73.42,73.42,66,0
2017-09-01,12:15:00,73.31,73.31,73.15,73.15,51,0
2017-09-01,12:50:00,73.4,73.4,73.4,73.4,10,0
2017-09-01,12:55:00,73.16,73.16,73.16,73.16,10,0
2017-09-01,13:20:00,73.4,73.4,73.4,73.4,21,0
2017-09-01,14:10:00,73.04,73.04,73.04,73.04,8,0
2017-09-01,15:25:00,73.4,73.4,73.4,73.4,35,0
2017-09-01,15:45:00,73.4,73.4,73.4,73.4,7,0
2017-09-01,16:00:00,73.4,73.4,73.4,73.4,62,0
2017-09-01,16:45:00,73.38,73.38,73.03,73.03,587,0
2017-09-01,17:00:00,73.03,73.03,72.8,72.8,53,0
2017-09-01,17:20:00,73.22,73.22,73.22,73.22,2,0
2017-09-01,17:30:00,72.77,72.77,72.75,72.75,66,0
2017-09-04,09:25:00,72.41,72.41,72.1,72.1,270,0
2017-09-04,10:20:00,72.39,72.39,72.39,72.39,40,0
2017-09-04,10:50:00,72.6,72.6,72.6,72.6,40,0
2017-09-04,11:40:00,72.72,72.72,72.72,72.72,11,0
2017-09-04,11:45:00,72.85,72.85,72.85,72.85,71,0
2017-09-04,12:15:00,73.25,73.37,73.23,73.23,56,0
2017-09-04,12:20:00,73.37,73.37,73.23,73.23,26,0
2017-09-04,13:20:00,73.25,73.25,73.25,73.25,15,0
2017-09-04,14:20:00,73.11,73.25,73.11,73.25,280,0
2017-09-04,16:05:00,73.21,73.21,73.21,73.21,40,0
2017-09-04,16:25:00,73.25,73.25,73.25,73.25,44,0
2017-09-04,16:50:00,73.25,73.85,73.25,73.85,288,0
2017-09-04,16:55:00,73.89,73.89,73.89,73.89,5,0
2017-09-04,17:00:00,73.95,73.95,73.95,73.95,45,0
2017-09-04,17:20:00,73.95,73.95,73.95,73.95,26,0
2017-09-04,17:30:00,73.95,73.95,73.09,73.09,149,0
2017-09-05,09:40:00,73.54,73.76,73.54,73.76,200,0
2017-09-05,09:55:00,73.89,73.95,73.89,73.95,57,0
2017-09-05,10:20:00,73.95,73.95,73.95,73.95,200,0
2017-09-05,11:15:00,73.95,73.95,73.95,73.95,5,0
2017-09-05,12:20:00,73.95,74,73.95,74,11,0
2017-09-05,13:20:00,74,74,74,74,6,0
2017-09-05,14:00:00,73.87,73.87,73.87,73.87,23,0
2017-09-05,14:15:00,73.87,73.87,73.87,73.87,17,0
2017-09-05,14:25:00,74,74,74,74,36,0
2017-09-05,14:40:00,74,74,74,74,30,0
2017-09-05,15:15:00,74.4,74.4,74.4,74.4,40,0
2017-09-05,15:30:00,74.42,74.42,74.42,74.42,310,0
2017-09-05,15:50:00,75.01,75.28,74.99,75.28,162,0
2017-09-05,16:05:00,75.04,75.04,74.99,74.99,107,0
2017-09-05,16:10:00,74.85,75,74.85,75,50,0
2017-09-05,16:25:00,74.95,74.95,74.95,74.95,29,0
2017-09-05,17:30:00,74.95,75,74.95,75,52,0
2017-09-06,09:25:00,74.82,75.01,74.82,75,1385,0
2017-09-06,09:50:00,74.61,74.61,74.06,74.06,100,0
2017-09-06,09:55:00,74.74,74.74,74.74,74.74,53,0
2017-09-06,10:50:00,74.75,74.75,74.75,74.75,16,0
2017-09-06,10:55:00,74.58,74.58,74.58,74.58,2,0
2017-09-06,11:20:00,74.95,74.96,74.95,74.96,202,0
2017-09-06,11:35:00,75,75,75,75,161,0
2017-09-06,11:55:00,75,75,75,75,40,0
2017-09-06,12:20:00,75,75,75,75,20,0
2017-09-06,12:45:00,74.74,74.74,74.74,74.74,2,0
2017-09-06,13:25:00,74.85,75,74.85,75,70,0
2017-09-06,14:10:00,74.98,74.98,74.98,74.98,40,0
2017-09-06,14:50:00,75,75.39,74.48,74.96,569,0
2017-09-06,14:55:00,74.99,75.56,74.99,75.56,100,0
2017-09-06,15:00:00,75,75,75,75,133,0
2017-09-06,15:10:00,74.76,74.76,74.76,74.76,40,0
2017-09-06,15:45:00,74.48,74.48,74.48,74.48,10,0
2017-09-06,15:50:00,74.76,74.76,74.76,74.76,71,0
2017-09-06,16:15:00,74.6,74.6,74.6,74.6,40,0
2017-09-06,16:55:00,74.76,74.76,74.76,74.76,14,0
2017-09-06,17:30:00,74.51,74.87,74.34,74.34,63,0
2017-09-07,09:05:00,75.74,75.74,75,75,591,0
2017-09-07,10:35:00,74.98,74.98,74.98,74.98,50,0
2017-09-07,11:00:00,74.96,75,74.96,75,230,0
2017-09-07,11:50:00,75,75.15,75,75,309,0
2017-09-07,11:55:00,75,75.01,75,75,387,0
2017-09-07,12:55:00,75,75,75,75,22,0
2017-09-07,14:30:00,74.78,74.78,74.78,74.78,7,0
2017-09-07,14:35:00,75,75.32,75,75.32,100,0
2017-09-07,14:50:00,75,75.66,75,75,989,0
2017-09-07,14:55:00,75,75,75,75,87,0
2017-09-07,15:20:00,75,75.01,75,75,186,0
2017-09-07,15:30:00,75,75.03,75,75,887,0
2017-09-07,16:05:00,75,75,75,75,4,0
2017-09-07,16:55:00,75,75,75,75,67,0
2017-09-07,17:00:00,74.95,74.95,74.95,74.95,80,0
2017-09-07,17:30:00,74.78,74.78,74.6,74.6,29,0
2017-09-08,09:05:00,75.26,75.26,75,75,148,0
2017-09-08,09:20:00,74.99,74.99,74.99,74.99,100,0
2017-09-08,11:00:00,74.9,74.91,74.66,74.72,466,0
2017-09-08,13:20:00,74.98,74.98,74.98,74.98,7,0
2017-09-08,15:10:00,74.6,74.85,74.6,74.85,170,0
2017-09-08,15:40:00,74.85,74.85,74.85,74.85,37,0
2017-09-08,17:25:00,74.85,74.85,74.85,74.85,36,0
2017-09-08,17:30:00,74.85,74.85,74.85,74.85,9,0
2017-09-11,09:40:00,74.6,74.6,74.53,74.53,229,0
2017-09-11,09:45:00,74.5,74.5,74.5,74.5,21,0
2017-09-11,10:20:00,74.5,74.83,74.5,74.62,1013,0
2017-09-11,10:30:00,74.51,74.51,74.51,74.51,65,0
2017-09-11,11:55:00,74.51,74.51,74.51,74.51,38,0
2017-09-11,12:00:00,74.21,74.21,74.21,74.21,6,0
2017-09-11,13:20:00,74.51,74.51,74.51,74.51,10,0
2017-09-11,13:55:00,74.81,74.81,74.81,74.81,14,0
2017-09-11,14:05:00,74.26,74.26,74.26,74.26,30,0
2017-09-11,14:35:00,74.24,74.24,74.24,74.24,30,0
2017-09-11,15:05:00,74.21,74.21,74.21,74.21,1,0
2017-09-11,15:25:00,74.51,74.51,74.51,74.51,20,0
2017-09-11,15:30:00,74.51,74.51,74.51,74.51,16,0
2017-09-11,17:00:00,74.33,74.33,74.21,74.21,547,0
2017-09-11,17:30:00,74.14,74.14,74.14,74.14,6,0
2017-09-12,09:15:00,74.03,74.03,73.51,73.51,232,0
2017-09-12,09:25:00,74.02,74.02,74.02,74.02,37,0
2017-09-12,09:40:00,74.02,74.02,74.02,74.02,21,0
2017-09-12,09:45:00,74.03,74.03,74.03,74.03,305,0
2017-09-12,12:20:00,74,74,74,74,500,0
2017-09-12,14:15:00,73.98,73.98,73.98,73.98,30,0
2017-09-12,16:00:00,74,74,74,74,18,0
2017-09-12,16:10:00,74,74,74,74,12,0
2017-09-12,17:30:00,73.85,73.85,73.85,73.85,0,0
2017-09-13,09:15:00,73.99,74,73.99,74,351,0
2017-09-13,10:30:00,73.95,73.99,73.95,73.99,65,0
2017-09-13,10:55:00,73.53,73.53,73.53,73.53,50,0
2017-09-13,11:20:00,73.94,74,73.94,74,136,0
2017-09-13,13:20:00,73.98,73.98,73.98,73.98,32,0
2017-09-13,13:35:00,73.95,74,73.95,74,105,0
2017-09-13,14:35:00,74,74,74,74,700,0
2017-09-13,15:55:00,74,74,74,74,20,0
2017-09-13,16:50:00,74,74,74,74,215,0
2017-09-13,17:30:00,74,74,74,74,16,0
2017-09-14,12:05:00,73.99,74,73.99,74,100,0
2017-09-14,12:10:00,74,74,74,74,500,0
2017-09-14,13:20:00,74,74,74,74,16,0
2017-09-14,13:35:00,74,74,74,74,57,0
2017-09-14,16:00:00,74,74,74,74,10,0
2017-09-14,16:40:00,74,74,74,74,13,0
2017-09-14,17:15:00,73.75,73.75,73.75,73.75,100,0
2017-09-14,17:25:00,73.98,73.98,73.98,73.98,40,0
2017-09-14,17:30:00,74,74.65,74,74.65,706,0
2017-09-15,09:05:00,73.7,73.7,73.7,73.7,30,0
2017-09-15,10:40:00,73.98,74,73.98,74,517,0
2017-09-15,12:35:00,74,74,74,74,226,0
2017-09-15,12:50:00,74.3,74.42,74.3,74.42,422,0
2017-09-15,13:10:00,74.3,74.3,74.18,74.18,56,0
2017-09-15,13:20:00,74.9,74.9,74.9,74.9,23,0
2017-09-15,15:00:00,74.72,74.72,74.72,74.72,34,0
2017-09-15,15:25:00,74.72,74.9,74.72,74.9,279,0
2017-09-15,17:30:00,74.86,74.86,74.86,74.86,76,0
2017-09-18,09:05:00,74.65,74.65,74.65,74.65,20,0
2017-09-18,09:15:00,74.27,74.27,74.27,74.27,17,0
2017-09-18,09:35:00,74.22,74.22,74.21,74.21,60,0
