Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-13,12:45:00,16.556,16.556,16.556,16.556,160,0
2015-05-13,14:10:00,16.75,16.75,16.75,16.75,260,0
2015-05-15,09:05:00,16.9,16.9,16.53,16.53,250,0
2015-05-15,15:20:00,16.53,16.53,16.53,16.53,260,0
2015-05-15,16:45:00,16.5,16.5,16.5,16.5,2990,0
2015-05-18,12:40:00,16.43,16.43,16.43,16.43,40,0
2015-05-19,16:35:00,16.43,16.43,16.43,16.43,50,0
2015-05-19,17:30:00,16.42,16.42,16.42,16.42,50,0
2015-05-26,09:05:00,16.88,16.88,16.88,16.88,150,0
2015-05-26,10:10:00,16.5,16.5,16.5,16.5,550,0
2015-05-26,16:20:00,16.5,16.5,16.5,16.5,450,0
2015-05-26,17:00:00,16.5,16.5,16.5,16.5,200,0
2015-05-26,17:25:00,16.5,16.5,16.5,16.5,2050,0
2015-05-27,08:05:00,16.88,16.88,16.88,16.88,150,0
2015-05-27,10:10:00,16.5,16.5,16.5,16.5,550,0
2015-05-28,11:05:00,16.6,16.6,16.6,16.6,240,0
2015-05-28,17:30:00,16.8,16.9,16.8,16.9,3240,0
2015-05-29,10:15:00,16.98,17.01,16.98,17.01,1400,0
2015-06-03,09:05:00,17.32,17.32,17.32,17.32,600,0
2015-06-04,11:45:00,17.45,17.48,17.45,17.48,350,0
2015-06-04,12:10:00,17.48,17.48,17.48,17.48,250,0
2015-06-04,12:20:00,17.5,17.5,17.5,17.5,500,0
2015-06-04,12:30:00,17.8,17.8,17.8,17.8,1600,0
2015-06-08,15:20:00,17.045,17.045,17.045,17.045,200,0
2015-06-08,15:40:00,16.99,16.99,16.99,16.99,300,0
2015-06-09,09:15:00,16.6,16.6,16.59,16.6,3026,0
2015-06-09,10:00:00,16.556,16.556,16.556,16.556,154,0
2015-06-09,10:50:00,16.25,16.25,16.25,16.25,3380,0
2015-06-10,09:05:00,16.8,16.8,16.8,16.8,31,0
2015-06-10,12:45:00,16.094,16.094,16.094,16.094,275,0
2015-06-10,14:45:00,16.094,16.094,16.05,16.05,413,0
2015-06-10,15:45:00,16,16,15.8,15.8,1519,0
2015-06-11,09:35:00,16.156,16.156,16.156,16.156,124,0
2015-06-11,11:45:00,16.156,16.156,16.156,16.156,424,0
2015-06-12,09:05:00,15.75,15.75,15.75,15.75,50,0
2015-06-12,11:10:00,16.156,16.2,16.156,16.2,798,0
2015-06-23,10:40:00,16.55,16.55,16.55,16.55,100,0
2015-06-23,12:10:00,16.54,16.54,16.54,16.54,250,0
2015-06-25,09:05:00,16.54,16.54,16.54,16.54,20,0
2015-06-25,10:45:00,16.15,16.15,16.15,16.15,124,0
2015-06-25,10:50:00,16.15,16.15,16.15,16.15,76,0
2015-06-25,17:30:00,16.15,16.15,16.15,16.15,620,0
2015-06-26,12:05:00,16.11,16.11,16.11,16.11,400,0
2015-06-29,09:05:00,16.11,16.11,16.11,16.11,5,0
2015-06-29,12:35:00,16.1,16.1,16.1,16.1,857,0
2015-06-30,10:50:00,15.994,15.994,15.95,15.95,310,0
2015-06-30,17:30:00,15.9,15.9,15.9,15.9,490,0
2015-07-01,15:35:00,16.144,16.144,16.144,16.144,300,0
2015-07-01,15:40:00,16.1,16.1,16.1,16.1,500,0
2015-07-01,15:50:00,16.1,16.1,16.1,16.1,250,0
2015-07-01,15:55:00,16.1,16.1,16.1,16.1,250,0
2015-07-01,16:45:00,16.056,16.056,16.056,16.056,1636,0
2015-07-02,09:35:00,16.056,16.056,16.056,16.056,250,0
2015-07-02,11:00:00,16.1,16.1,16.1,16.1,250,0
2015-07-02,11:35:00,15.874,15.874,15.874,15.874,400,0
2015-07-02,11:50:00,15.874,15.874,15.83,15.83,500,0
2015-07-02,12:00:00,15.864,15.864,15.8,15.8,1050,0
2015-07-02,13:25:00,15.86,15.86,15.86,15.86,100,0
2015-07-02,14:45:00,15.86,15.86,15.85,15.85,650,0
2015-07-02,15:15:00,15.86,15.86,15.86,15.86,3300,0
2015-07-03,10:20:00,16.2,16.2,16.2,16.2,24,0
2015-07-03,14:00:00,16.35,16.35,16.35,16.35,144,0
2015-07-06,14:30:00,15.56,15.56,15.56,15.56,400,0
2015-07-07,11:20:00,15.846,15.846,15.846,15.846,150,0
2015-07-07,16:10:00,16,16,16,16,350,0
2015-07-07,17:30:00,16.3,16.3,16.3,16.3,700,0
2015-07-08,11:05:00,16.5,16.506,16.5,16.506,330,0
2015-07-08,11:10:00,16.506,16.55,16.506,16.55,600,0
2015-07-08,11:15:00,16.6,16.6,16.6,16.6,245,0
2015-07-08,11:30:00,16.6,16.6,16.6,16.6,200,0
2015-07-08,12:45:00,16.75,16.75,16.75,16.75,200,0
2015-07-08,13:50:00,16.6,16.6,16.6,16.6,2487,0
2015-07-13,15:25:00,16.3,16.3,16.3,16.3,200,0
2015-07-15,13:40:00,16.5,16.5,16.5,16.5,1150,0
2015-07-16,10:45:00,16.05,16.05,16.05,16.05,10,0
2015-07-17,11:15:00,16.3,16.3,16.3,16.3,400,0
2015-07-20,08:05:00,16.05,16.05,16.05,16.05,15,0
2015-07-20,09:25:00,16,16,16,16,535,0
2015-07-21,09:05:00,16,16,16,16,30,0
2015-07-21,11:45:00,15.9,15.9,15.9,15.9,300,0
2015-07-21,13:35:00,16.4,16.4,16.4,16.4,500,0
2015-07-21,17:00:00,16.39,16.39,16.39,16.39,167,0
2015-07-21,17:30:00,16.39,16.39,16.39,16.39,1125,0
2015-07-22,09:15:00,16.2,16.4,16.2,16.4,315,0
2015-07-22,12:50:00,16,16,16,16,120,0
2015-07-22,13:30:00,16,16,16,16,180,0
2015-07-22,13:35:00,15.944,15.944,15.944,15.944,164,0
2015-07-22,13:40:00,15.9,15.9,15.9,15.9,1379,0
2015-07-23,10:10:00,15.744,15.744,15.5,15.5,800,0
2015-07-23,10:20:00,15.544,15.9,15.5,15.9,1392,0
2015-07-27,09:05:00,16.2,16.2,16.2,16.2,100,0
2015-07-28,09:50:00,16.35,16.35,16.35,16.35,50,0
2015-07-28,17:05:00,16.356,16.356,16.356,16.356,258,0
2015-07-29,17:30:00,16.122,16.122,16.122,16.122,220,0
2015-07-31,10:00:00,15.81,15.81,15.81,15.81,65,0
2015-07-31,15:45:00,15.65,15.65,15.65,15.65,465,0
2015-08-04,09:50:00,15.956,16.156,15.956,16.156,616,0
2015-08-04,11:10:00,16.156,16.156,16.156,16.156,103,0
2015-08-04,11:40:00,16.2,16.2,16.2,16.2,1719,0
2015-08-05,14:35:00,16.24,16.24,16.24,16.24,100,0
2015-08-07,10:50:00,16.2,16.2,16.2,16.2,80,0
2015-08-11,09:35:00,16,16,16,16,226,0
2015-08-11,09:40:00,16,16,16,16,110,0
2015-08-11,09:45:00,16,16,16,16,374,0
2015-08-11,12:50:00,16.1,16.1,16.1,16.1,300,0
2015-08-11,13:25:00,16,16,16,16,450,0
2015-08-11,17:30:00,16.4,16.4,16.4,16.4,1580,0
2015-08-12,09:05:00,16.4,16.4,16,16,100,0
2015-08-13,10:20:00,16,16,16,16,200,0
2015-08-13,16:35:00,16.01,16.01,16.01,16.01,244,0
2015-08-14,12:25:00,16.4,16.4,16.4,16.4,140,0
2015-08-17,17:05:00,16.02,16.02,16.02,16.02,80,0
2015-08-18,15:35:00,16.01,16.01,16.01,16.01,404,0
2015-08-19,09:05:00,16.01,16.01,16.01,16.01,200,0
2015-08-20,09:35:00,16.01,16.01,16.01,16.01,100,0
2015-08-21,09:10:00,16,16,16,16,202,0
2015-08-21,10:25:00,16,16,16,16,550,0
2015-08-21,11:35:00,16.01,16.01,16.01,16.01,10,0
2015-08-21,13:35:00,16.01,16.01,16.01,16.01,862,0
2015-08-24,11:25:00,15.65,15.65,15.65,15.65,320,0
2015-08-24,15:50:00,15.544,15.544,15.544,15.544,170,0
2015-08-24,16:00:00,15.2,15.2,15.2,15.2,1046,0
2015-08-24,17:30:00,15.97,15.97,15.97,15.97,1936,0
2015-08-25,15:15:00,15.444,15.444,15.4,15.4,300,0
2015-08-25,16:10:00,15.4,15.4,15.4,15.4,500,0
2015-08-25,16:35:00,15.4,15.4,15.4,15.4,1080,0
2015-08-26,12:35:00,15.95,15.95,15.95,15.95,50,0
2015-08-26,14:10:00,15.95,15.95,15.95,15.95,250,0
2015-08-27,10:15:00,15.97,15.97,15.97,15.97,20,0
2015-08-28,17:20:00,15.65,15.65,15.65,15.65,256,0
2015-08-31,10:55:00,16,16,16,16,25,0
2015-08-31,15:20:00,15.654,15.654,15.654,15.654,167,0
2015-08-31,15:55:00,15.3,15.3,15.3,15.3,904,0
2015-09-01,09:45:00,15.55,15.55,15.55,15.55,20,0
2015-09-03,12:10:00,15.556,15.556,15.556,15.556,100,0
2015-09-03,14:50:00,15.2,15.2,15.2,15.2,255,0
2015-09-03,15:05:00,15.2,15.2,15.2,15.2,132,0
