Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,09:45:00,7.097,7.1,7.097,7.099,3035,0
2017-04-06,12:10:00,7.199,7.2,7.199,7.2,467,0
2017-04-06,12:15:00,7.2,7.2,7.2,7.2,700,0
2017-04-06,12:25:00,7.2,7.2,7.2,7.2,878,0
2017-04-06,12:30:00,7.4,7.4,7.4,7.4,122,0
2017-04-06,13:40:00,6.9,6.9,6.9,6.9,850,0
2017-04-06,13:45:00,7.3,7.3,7.3,7.3,40,0
2017-04-06,14:00:00,7.1,7.39,7.1,7.39,25,0
2017-04-06,14:20:00,7.388,7.388,7.388,7.388,505,0
2017-04-06,14:35:00,7.388,7.388,7.388,7.388,15,0
2017-04-06,16:00:00,7.3,7.3,7.3,7.3,140,0
2017-04-06,17:30:00,7.226,7.226,7.226,7.226,1200,0
2017-04-07,09:05:00,7.4,7.4,7.4,7.4,5,0
2017-04-07,10:20:00,7.339,7.339,7.339,7.339,369,0
2017-04-07,10:35:00,7.339,7.4,7.339,7.4,2631,0
2017-04-07,10:55:00,7.4,7.55,7.4,7.55,875,0
2017-04-07,11:05:00,7.499,7.499,7.499,7.499,2,0
2017-04-07,11:30:00,7.598,7.598,7.598,7.598,40,0
2017-04-07,11:45:00,7.303,7.303,7.303,7.303,1396,0
2017-04-07,11:50:00,7.599,7.599,7.599,7.599,50,0
2017-04-07,11:55:00,7.461,7.461,7.461,7.461,555,0
2017-04-07,12:30:00,7.461,7.597,7.46,7.597,588,0
2017-04-07,13:20:00,7.458,7.458,7.458,7.458,89,0
2017-04-07,13:25:00,7.46,7.46,7.46,7.46,200,0
2017-04-07,13:35:00,7.457,7.457,7.42,7.42,600,0
2017-04-07,13:50:00,7.599,7.599,7.599,7.599,150,0
2017-04-07,14:05:00,7.36,7.36,7.3,7.3,1270,0
2017-04-07,14:15:00,7.359,7.359,7.359,7.359,1,0
2017-04-07,14:50:00,7.359,7.6,7.359,7.6,2978,0
2017-04-07,15:40:00,7.253,7.253,7.253,7.253,1564,0
2017-04-07,15:45:00,7.498,7.498,7.498,7.498,23,0
2017-04-07,15:50:00,7.211,7.211,7.211,7.211,3,0
2017-04-07,16:00:00,7.45,7.45,7.45,7.45,390,0
2017-04-07,17:20:00,7.598,7.598,7.598,7.598,220,0
2017-04-10,10:05:00,7.599,7.599,7.599,7.599,59,0
2017-04-10,11:20:00,7.599,7.599,7.599,7.599,265,0
2017-04-10,11:40:00,7.599,7.599,7.599,7.599,130,0
2017-04-10,11:45:00,7.45,7.45,7.45,7.45,10,0
2017-04-10,14:20:00,7.21,7.21,7.21,7.21,671,0
2017-04-10,14:40:00,7.21,7.21,7.21,7.21,300,0
2017-04-10,14:50:00,7.21,7.21,7.21,7.21,529,0
2017-04-10,16:00:00,7.201,7.201,7.2,7.2,1500,0
2017-04-10,17:30:00,7.333,7.333,7.333,7.333,10,0
2017-04-11,09:20:00,7.599,7.599,7.599,7.599,410,0
2017-04-11,09:25:00,7.21,7.21,7.21,7.21,1500,0
2017-04-11,10:40:00,7.299,7.3,7.299,7.3,1300,0
2017-04-11,11:45:00,7.299,7.3,7.299,7.3,563,0
2017-04-11,12:10:00,7.05,7.05,7,7,3100,0
2017-04-11,13:50:00,6.88,6.88,6.65,6.65,250,0
2017-04-11,13:55:00,6.9,6.9,6.9,6.9,141,0
2017-04-11,15:40:00,6.65,6.65,6.65,6.65,1500,0
2017-04-11,16:10:00,6.8,6.8,6.651,6.651,551,0
2017-04-11,16:20:00,6.8,6.8,6.8,6.8,1500,0
2017-04-11,16:35:00,7.049,7.049,7.049,7.049,50,0
2017-04-11,17:25:00,7.049,7.05,7.049,7.05,100,0
2017-04-12,10:20:00,7.049,7.05,7.049,7.05,1000,0
2017-04-12,10:35:00,6.97,6.97,6.97,6.97,25,0
2017-04-12,11:55:00,6.999,7,6.999,7,1113,0
2017-04-12,12:20:00,7.05,7.05,7.05,7.05,1500,0
2017-04-12,14:45:00,7,7,7,7,1500,0
2017-04-12,15:10:00,7.01,7.05,7.01,7.05,3000,0
2017-04-12,15:15:00,7.6,7.6,7.6,7.6,25,0
2017-04-12,15:30:00,7.201,7.201,7.001,7.001,2225,0
2017-04-12,15:35:00,7,7,7,7,1500,0
2017-04-12,16:05:00,6.65,6.65,6.5,6.519,4025,0
2017-04-12,16:20:00,6.52,7,6.52,7,475,0
2017-04-13,09:15:00,6.85,6.85,6.85,6.85,1500,0
2017-04-13,09:30:00,7.2,7.2,7.2,7.2,534,0
2017-04-13,10:25:00,6.8,6.8,6.8,6.8,1087,0
2017-04-13,12:00:00,6.799,6.8,6.799,6.8,1622,0
2017-04-13,12:05:00,6.8,6.8,6.8,6.8,918,0
2017-04-13,12:10:00,6.8,6.9,6.8,6.9,1520,0
2017-04-13,12:15:00,7.197,7.197,7.197,7.197,250,0
2017-04-13,12:50:00,7.196,7.196,7.196,7.196,515,0
2017-04-13,13:35:00,6.8,6.8,6.8,6.8,1600,0
2017-04-13,13:40:00,6.9,6.9,6.9,6.9,1500,0
2017-04-13,13:55:00,6.9,6.9,6.9,6.9,20,0
2017-04-13,14:00:00,7.194,7.194,7.194,7.194,56,0
2017-04-13,14:05:00,7.194,7.194,7.194,7.194,100,0
2017-04-13,14:10:00,7.195,7.195,7.1,7.1,1250,0
2017-04-13,14:15:00,6.8,6.8,6.7,6.7,1300,0
2017-04-13,16:20:00,6.771,6.771,6.77,6.77,2000,0
2017-04-13,16:35:00,6.771,6.771,6.771,6.771,970,0
2017-04-13,16:55:00,6.771,7.094,6.77,7.094,1191,0
2017-04-18,09:25:00,6.8,6.8,6.8,6.8,927,0
2017-04-18,09:40:00,6.799,6.99,6.799,6.99,1927,0
2017-04-18,10:05:00,6.711,6.711,6.7,6.7,1400,0
2017-04-18,10:10:00,6.849,6.849,6.849,6.849,24,0
2017-04-18,10:15:00,6.55,6.55,6.55,6.55,900,0
2017-04-18,10:20:00,6.7,6.7,6.7,6.7,10,0
2017-04-18,11:10:00,6.609,6.61,6.609,6.61,872,0
2017-04-18,11:30:00,6.51,6.51,6.51,6.51,1700,0
2017-04-18,11:40:00,6.599,6.6,6.599,6.6,2000,0
2017-04-18,11:45:00,6.65,6.849,6.65,6.849,609,0
2017-04-18,12:20:00,6.651,6.651,6.651,6.651,686,0
2017-04-18,12:35:00,6.73,6.73,6.73,6.73,1500,0
2017-04-18,14:15:00,6.798,6.798,6.798,6.798,370,0
2017-04-18,14:50:00,6.65,6.65,6.65,6.65,1891,0
2017-04-18,15:05:00,6.797,6.797,6.797,6.797,100,0
