Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-26,09:15:00,14.391,14.391,14.391,14.391,330,0
2017-05-26,12:50:00,14.182,14.182,14.182,14.182,202,0
2017-05-26,13:00:00,14.391,14.584,14.391,14.584,807,0
2017-05-26,14:55:00,14.475,14.475,14.475,14.475,403,0
2017-05-26,15:50:00,14.376,14.376,14.376,14.376,141,0
2017-05-29,09:05:00,14.376,14.376,14.376,14.376,101,0
2017-05-29,09:10:00,14.475,14.475,14.475,14.475,71,0
2017-05-29,09:20:00,14.475,14.475,14.475,14.475,42,0
2017-05-29,09:40:00,14.182,14.182,14.177,14.177,1675,0
2017-05-29,10:10:00,14.356,14.356,14.356,14.356,202,0
2017-05-29,12:25:00,14.366,14.366,14.366,14.366,101,0
2017-05-29,12:45:00,14.366,14.371,14.366,14.371,1009,0
2017-05-29,12:50:00,14.371,14.371,14.371,14.371,30,0
2017-05-29,15:10:00,14.361,14.376,14.361,14.376,2865,0
2017-05-29,16:30:00,14.143,14.143,14.083,14.083,1513,0
2017-05-30,09:05:00,14.277,14.277,14.277,14.277,828,0
2017-05-30,09:20:00,14.277,14.277,14.277,14.277,181,0
2017-05-30,11:40:00,14.277,14.277,14.138,14.138,2017,0
2017-05-30,11:45:00,14.227,14.227,14.227,14.227,151,0
2017-05-30,11:50:00,14.143,14.143,14.128,14.128,1585,0
2017-05-30,14:35:00,14.272,14.272,14.272,14.272,1716,0
2017-05-30,14:40:00,14.341,14.351,14.341,14.351,1528,0
2017-05-30,16:25:00,14.376,14.376,14.376,14.376,151,0
2017-05-30,17:30:00,14.376,14.386,14.376,14.386,538,0
2017-05-31,09:05:00,14.405,14.475,14.405,14.475,609,0
2017-05-31,09:10:00,14.475,14.475,14.475,14.475,908,0
2017-05-31,11:00:00,14.301,14.301,14.301,14.301,1020,0
2017-05-31,11:05:00,14.301,14.301,14.296,14.296,656,0
2017-05-31,12:00:00,14.425,14.425,14.425,14.425,156,0
2017-05-31,12:05:00,14.425,14.425,14.425,14.425,449,0
2017-05-31,12:10:00,14.549,14.549,14.549,14.549,303,0
2017-05-31,12:35:00,14.554,14.554,14.554,14.554,1009,0
2017-05-31,13:25:00,14.971,15.184,14.971,14.971,403,0
2017-05-31,14:10:00,15.233,15.258,15.233,15.258,2272,0
2017-05-31,14:15:00,15.268,15.273,15.268,15.273,1135,0
2017-05-31,14:20:00,15.62,15.62,15.62,15.62,291,0
2017-05-31,14:25:00,15.471,15.471,15.471,15.471,121,0
2017-05-31,14:40:00,15.779,15.783,15.779,15.783,646,0
2017-05-31,14:55:00,15.779,15.779,15.779,15.779,151,0
