Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,9.838,9.841,9.8,9.811,152296,0
2017-10-26,09:10:00,9.81,9.84,9.787,9.826,149957,0
2017-10-26,09:15:00,9.826,9.841,9.811,9.824,37182,0
2017-10-26,09:20:00,9.825,9.839,9.824,9.835,95831,0
2017-10-26,09:25:00,9.833,9.848,9.829,9.839,64641,0
2017-10-26,09:30:00,9.838,9.838,9.813,9.825,51734,0
2017-10-26,09:35:00,9.823,9.831,9.818,9.827,53477,0
2017-10-26,09:40:00,9.824,9.825,9.817,9.817,39723,0
2017-10-26,09:45:00,9.816,9.822,9.802,9.814,69349,0
2017-10-26,09:50:00,9.818,9.828,9.812,9.828,70631,0
2017-10-26,09:55:00,9.828,9.83,9.821,9.824,62090,0
2017-10-26,10:00:00,9.824,9.837,9.821,9.833,52132,0
2017-10-26,10:05:00,9.837,9.84,9.831,9.838,43951,0
2017-10-26,10:10:00,9.837,9.848,9.836,9.837,59725,0
2017-10-26,10:15:00,9.837,9.848,9.837,9.848,28754,0
2017-10-26,10:20:00,9.847,9.851,9.843,9.844,37999,0
2017-10-26,10:25:00,9.844,9.848,9.834,9.841,30444,0
2017-10-26,10:30:00,9.841,9.846,9.828,9.828,68081,0
2017-10-26,10:35:00,9.831,9.833,9.813,9.813,120306,0
2017-10-26,10:40:00,9.814,9.819,9.803,9.804,70790,0
2017-10-26,10:45:00,9.804,9.806,9.789,9.796,76844,0
2017-10-26,10:50:00,9.796,9.802,9.737,9.745,237431,0
2017-10-26,10:55:00,9.745,9.769,9.742,9.76,144029,0
2017-10-26,11:00:00,9.76,9.763,9.7,9.71,335348,0
2017-10-26,11:05:00,9.706,9.761,9.706,9.753,112595,0
2017-10-26,11:10:00,9.753,9.756,9.748,9.749,43970,0
2017-10-26,11:15:00,9.75,9.77,9.75,9.768,35143,0
2017-10-26,11:20:00,9.768,9.793,9.762,9.79,287846,0
2017-10-26,11:25:00,9.788,9.813,9.788,9.803,117296,0
2017-10-26,11:30:00,9.804,9.804,9.789,9.801,60878,0
2017-10-26,11:35:00,9.798,9.807,9.792,9.794,49737,0
2017-10-26,11:40:00,9.794,9.801,9.793,9.8,43117,0
2017-10-26,11:45:00,9.802,9.814,9.801,9.804,42417,0
2017-10-26,11:50:00,9.808,9.822,9.808,9.822,35141,0
