Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-22,09:30:00,34.78,34.78,34.78,34.78,4,0
2017-09-22,10:45:00,34.65,34.65,34.65,34.65,18,0
2017-09-22,12:10:00,34.89,34.89,34.7,34.7,68,0
2017-09-22,13:10:00,34.9,34.9,34.9,34.9,2,0
2017-09-22,13:20:00,34.9,34.9,34.9,34.9,6,0
2017-09-22,13:40:00,34.64,34.64,34.64,34.64,4,0
2017-09-22,15:30:00,34.75,34.75,34.655,34.655,25,0
2017-09-22,16:25:00,34.84,34.855,34.68,34.68,105,0
2017-09-22,16:35:00,34.71,34.71,34.66,34.66,31,0
2017-09-22,16:40:00,34.85,34.9,34.68,34.68,877,0
2017-09-22,16:55:00,34.725,34.725,34.725,34.725,43,0
2017-09-22,17:00:00,34.71,34.71,34.71,34.71,28,0
2017-09-22,17:05:00,34.715,34.715,34.715,34.715,4,0
2017-09-22,17:30:00,34.73,34.805,34.725,34.805,156,0
2017-09-25,09:05:00,34.895,34.895,34.895,34.895,200,0
2017-09-25,09:10:00,34.81,34.81,34.8,34.8,225,0
2017-09-25,09:25:00,34.8,34.8,34.755,34.755,97,0
2017-09-25,09:35:00,34.77,34.9,34.77,34.9,580,0
2017-09-25,09:45:00,34.8,34.8,34.8,34.8,27,0
2017-09-25,10:10:00,34.865,34.865,34.865,34.865,13,0
2017-09-25,10:30:00,34.81,34.81,34.81,34.81,136,0
2017-09-25,10:40:00,34.78,34.78,34.78,34.78,25,0
2017-09-25,11:00:00,34.78,34.78,34.78,34.78,56,0
2017-09-25,11:10:00,34.755,34.9,34.755,34.9,65,0
2017-09-25,11:20:00,34.75,34.75,34.75,34.75,100,0
2017-09-25,11:25:00,34.75,34.75,34.65,34.65,200,0
2017-09-25,11:30:00,34.605,34.605,34.6,34.6,366,0
2017-09-25,11:35:00,34.5,34.5,34.45,34.45,270,0
2017-09-25,11:45:00,34.45,34.45,34.45,34.45,33,0
2017-09-25,11:55:00,34.46,34.46,34.46,34.46,22,0
2017-09-25,12:10:00,34.4,34.4,34.4,34.4,41,0
2017-09-25,12:15:00,34.48,34.53,34.48,34.53,76,0
2017-09-25,12:25:00,34.525,34.59,34.525,34.59,325,0
2017-09-25,12:35:00,34.61,34.61,34.61,34.61,13,0
2017-09-25,12:40:00,34.465,34.465,34.465,34.465,48,0
2017-09-25,13:15:00,34.435,34.435,34.435,34.435,9,0
2017-09-25,13:20:00,34.75,34.75,34.75,34.75,13,0
2017-09-25,13:30:00,34.53,34.53,34.525,34.525,88,0
2017-09-25,13:40:00,34.525,34.525,34.525,34.525,77,0
2017-09-25,14:50:00,34.68,34.68,34.68,34.68,15,0
2017-09-25,15:00:00,34.465,34.465,34.465,34.465,118,0
2017-09-25,15:05:00,34.58,34.68,34.58,34.68,173,0
2017-09-25,15:10:00,34.58,34.685,34.58,34.685,233,0
2017-09-25,15:15:00,34.685,34.685,34.685,34.685,150,0
2017-09-25,15:20:00,34.47,34.47,34.47,34.47,21,0
2017-09-25,15:25:00,34.655,34.655,34.655,34.655,45,0
2017-09-25,15:35:00,34.65,34.72,34.65,34.705,523,0
2017-09-25,15:50:00,34.765,34.895,34.705,34.705,539,0
2017-09-25,16:00:00,34.705,34.705,34.7,34.7,500,0
2017-09-25,16:05:00,34.7,34.7,34.7,34.7,271,0
2017-09-25,16:10:00,34.77,34.77,34.77,34.77,64,0
2017-09-25,16:40:00,34.5,34.5,34.405,34.405,324,0
2017-09-25,16:45:00,34.46,34.46,34.46,34.46,190,0
2017-09-25,17:05:00,34.555,34.56,34.555,34.56,99,0
2017-09-25,17:20:00,34.56,34.56,34.56,34.56,22,0
2017-09-25,17:25:00,34.55,34.55,34.55,34.55,120,0
2017-09-25,17:30:00,34.405,34.66,34.4,34.56,233,0
2017-09-26,09:05:00,34.56,34.56,34.56,34.56,110,0
2017-09-26,09:30:00,34.625,34.625,34.625,34.625,66,0
2017-09-26,10:05:00,34.55,34.645,34.55,34.625,655,0
2017-09-26,10:10:00,34.49,34.49,34.49,34.49,103,0
2017-09-26,10:15:00,34.425,34.45,34.425,34.45,119,0
2017-09-26,12:45:00,34.425,34.425,34.4,34.4,618,0
2017-09-26,12:50:00,34.345,34.345,34.3,34.3,944,0
2017-09-26,13:00:00,34.335,34.335,34.335,34.335,5,0
2017-09-26,13:05:00,34.33,34.33,34.33,34.33,70,0
2017-09-26,13:10:00,34.275,34.275,34.25,34.25,95,0
2017-09-26,13:15:00,34.2,34.2,34.105,34.135,397,0
2017-09-26,13:20:00,34.22,34.22,34.22,34.22,139,0
2017-09-26,13:30:00,34.225,34.225,34.165,34.165,417,0
2017-09-26,13:35:00,34.12,34.12,34.12,34.12,1,0
2017-09-26,13:40:00,34.13,34.22,34.13,34.22,118,0
2017-09-26,13:50:00,34.285,34.285,34.285,34.285,67,0
2017-09-26,14:15:00,34.205,34.3,34.155,34.155,1160,0
2017-09-26,14:35:00,34.28,34.28,34.28,34.28,50,0
2017-09-26,14:45:00,34.15,34.15,33.89,34.005,4532,0
2017-09-26,15:10:00,33.915,33.915,33.915,33.915,21,0
2017-09-26,15:15:00,34.06,34.06,34.06,34.06,28,0
2017-09-26,15:20:00,33.985,33.985,33.985,33.985,124,0
2017-09-26,15:25:00,33.915,33.915,33.915,33.915,24,0
2017-09-26,15:45:00,33.95,33.96,33.885,33.96,364,0
2017-09-26,16:00:00,33.92,33.92,33.92,33.92,44,0
2017-09-26,16:20:00,33.92,33.92,33.92,33.92,49,0
2017-09-26,16:40:00,33.91,33.91,33.865,33.9,368,0
2017-09-26,16:45:00,33.9,33.9,33.9,33.9,76,0
2017-09-26,17:10:00,33.92,33.92,33.915,33.915,6,0
2017-09-26,17:20:00,34,34,34,34,17,0
2017-09-26,17:25:00,34.035,34.215,33.95,34,949,0
2017-09-26,17:30:00,34,34.285,33.85,34.09,719,0
2017-09-27,09:05:00,34.29,34.29,34.035,34.26,488,0
2017-09-27,09:40:00,34.015,34.015,34.015,34.015,8,0
2017-09-27,10:20:00,34.025,34.025,34.01,34.01,200,0
2017-09-27,10:30:00,34.015,34.015,33.855,33.855,277,0
2017-09-27,10:40:00,33.99,34.08,33.99,34.05,425,0
2017-09-27,12:20:00,33.9,33.9,33.9,33.9,17,0
2017-09-27,13:00:00,33.925,34.05,33.87,34.05,658,0
2017-09-27,13:20:00,34.29,34.29,34.29,34.29,104,0
2017-09-27,14:00:00,34,34,33.96,33.96,97,0
2017-09-27,14:05:00,33.995,33.995,33.995,33.995,74,0
2017-09-27,14:50:00,33.95,33.95,33.95,33.95,33,0
2017-09-27,15:05:00,33.975,33.975,33.975,33.975,27,0
2017-09-27,15:30:00,33.955,33.955,33.955,33.955,24,0
2017-09-27,16:25:00,34,34.105,34,34.105,523,0
2017-09-27,16:30:00,34.105,34.11,34,34,199,0
2017-09-27,16:35:00,34,34,34,34,187,0
2017-09-27,16:40:00,34.025,34.025,34.025,34.025,22,0
2017-09-27,17:15:00,33.97,33.97,33.97,33.97,50,0
2017-09-27,17:25:00,34.11,34.11,34.11,34.11,29,0
2017-09-27,17:30:00,34.04,34.11,33.9,33.9,582,0
2017-09-28,09:05:00,34.085,34.085,33.985,34,716,0
2017-09-28,09:15:00,34,34,33.995,34,689,0
2017-09-28,09:25:00,33.9,33.9,33.9,33.9,22,0
2017-09-28,09:30:00,33.875,33.895,33.875,33.895,56,0
2017-09-28,09:35:00,33.92,33.92,33.92,33.92,39,0
2017-09-28,10:05:00,34.005,34.03,34.005,34.03,225,0
2017-09-28,10:15:00,34.14,34.14,34.14,34.14,532,0
2017-09-28,10:25:00,34.275,34.275,34.12,34.14,2117,0
2017-09-28,10:30:00,34.075,34.275,34,34.275,1500,0
2017-09-28,10:35:00,34.27,34.27,34.27,34.27,45,0
2017-09-28,10:40:00,34.275,34.275,34.275,34.275,17,0
2017-09-28,10:45:00,34.275,34.275,34.275,34.275,27,0
2017-09-28,10:50:00,34.285,34.4,34.285,34.4,102,0
2017-09-28,10:55:00,34.3,34.3,34.3,34.3,268,0
2017-09-28,11:35:00,34.26,34.26,34.26,34.26,50,0
2017-09-28,11:45:00,34.215,34.215,34.17,34.17,28,0
2017-09-28,11:50:00,34.24,34.24,34.24,34.24,36,0
2017-09-28,12:05:00,34.24,34.25,34.24,34.25,50,0
2017-09-28,12:15:00,34.265,34.265,34.265,34.265,78,0
2017-09-28,12:20:00,34.215,34.215,34.215,34.215,129,0
2017-09-28,12:25:00,34.2,34.2,34.2,34.2,100,0
2017-09-28,12:30:00,34.085,34.085,34.085,34.085,49,0
2017-09-28,13:10:00,34.125,34.125,34.11,34.11,18,0
2017-09-28,13:20:00,34.39,34.39,34.33,34.33,52,0
2017-09-28,14:20:00,34.33,34.34,34.33,34.34,453,0
2017-09-28,14:25:00,34.33,34.33,34.3,34.3,300,0
2017-09-28,14:30:00,34.3,34.445,34.3,34.445,35,0
2017-09-28,14:40:00,34.44,34.44,34.44,34.44,189,0
2017-09-28,15:05:00,34.495,34.65,34.445,34.445,1099,0
2017-09-28,15:15:00,34.565,34.565,34.445,34.445,502,0
2017-09-28,15:25:00,34.585,34.585,34.585,34.585,76,0
2017-09-28,15:50:00,34.52,34.52,34.52,34.52,48,0
2017-09-28,16:10:00,34.635,34.635,34.635,34.635,24,0
2017-09-28,16:15:00,34.655,34.71,34.655,34.71,256,0
2017-09-28,16:30:00,34.71,34.71,34.55,34.55,116,0
2017-09-28,16:40:00,34.755,34.76,34.755,34.76,39,0
2017-09-28,17:05:00,34.6,34.6,34.6,34.6,19,0
2017-09-28,17:10:00,34.62,34.62,34.605,34.605,6,0
