Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-09,09:05:00,2.155,2.16,2.15,2.15,42840,0
2017-10-09,09:10:00,2.153,2.153,2.135,2.149,42179,0
2017-10-09,09:15:00,2.15,2.15,2.126,2.126,107508,0
2017-10-09,09:20:00,2.14,2.151,2.091,2.108,191721,0
2017-10-09,09:25:00,2.11,2.12,2.11,2.12,11737,0
2017-10-09,09:30:00,2.111,2.111,2.111,2.111,1900,0
2017-10-09,09:35:00,2.12,2.12,2.12,2.12,25000,0
2017-10-09,09:40:00,2.12,2.13,2.094,2.1,389586,0
2017-10-09,09:45:00,2.106,2.106,2.075,2.088,131695,0
2017-10-09,09:50:00,2.08,2.08,2.072,2.072,5379,0
2017-10-09,09:55:00,2.08,2.08,2.08,2.08,3000,0
2017-10-09,10:05:00,2.085,2.105,2.085,2.105,7500,0
2017-10-09,10:30:00,2.091,2.091,2.091,2.091,2000,0
2017-10-09,10:40:00,2.102,2.103,2.102,2.103,9565,0
2017-10-09,10:50:00,2.091,2.103,2.091,2.103,2329,0
2017-10-09,10:55:00,2.099,2.099,2.099,2.099,3151,0
2017-10-09,11:00:00,2.1,2.1,2.1,2.1,2500,0
2017-10-09,11:10:00,2.104,2.105,2.104,2.105,2000,0
2017-10-09,11:20:00,2.095,2.095,2.095,2.095,546,0
2017-10-09,11:25:00,2.105,2.105,2.1,2.1,103607,0
2017-10-09,11:30:00,2.104,2.104,2.104,2.104,700,0
2017-10-09,11:35:00,2.091,2.091,2.09,2.091,9612,0
2017-10-09,11:40:00,2.1,2.104,2.1,2.104,3530,0
2017-10-09,11:45:00,2.105,2.105,2.105,2.105,6209,0
2017-10-09,11:50:00,2.11,2.114,2.105,2.11,25967,0
2017-10-09,11:55:00,2.105,2.105,2.105,2.105,6000,0
2017-10-09,12:00:00,2.11,2.11,2.11,2.11,1894,0
2017-10-09,12:10:00,2.11,2.13,2.11,2.13,10000,0
2017-10-09,12:45:00,2.108,2.108,2.1,2.1,94290,0
2017-10-09,12:50:00,2.1,2.1,2.1,2.1,930,0
2017-10-09,12:55:00,2.1,2.105,2.1,2.104,20246,0
2017-10-09,13:05:00,2.104,2.108,2.1,2.1,9517,0
2017-10-09,13:35:00,2.106,2.106,2.106,2.106,783,0
2017-10-09,14:00:00,2.105,2.105,2.105,2.105,37,0
2017-10-09,14:10:00,2.105,2.105,2.105,2.105,399,0
2017-10-09,14:15:00,2.108,2.114,2.108,2.114,4655,0
2017-10-09,14:25:00,2.121,2.13,2.121,2.13,11564,0
2017-10-09,14:30:00,2.114,2.114,2.106,2.106,11477,0
2017-10-09,14:35:00,2.12,2.12,2.106,2.106,1051,0
2017-10-09,14:50:00,2.113,2.113,2.103,2.103,2538,0
2017-10-09,14:55:00,2.11,2.12,2.11,2.12,16748,0
2017-10-09,15:25:00,2.12,2.12,2.119,2.12,13325,0
2017-10-09,15:30:00,2.12,2.12,2.111,2.12,12058,0
2017-10-09,16:05:00,2.126,2.126,2.126,2.126,750,0
2017-10-09,16:40:00,2.126,2.126,2.126,2.126,1500,0
2017-10-09,16:45:00,2.12,2.12,2.12,2.12,2500,0
2017-10-09,16:50:00,2.12,2.12,2.114,2.114,3883,0
2017-10-09,17:00:00,2.11,2.11,2.11,2.11,9382,0
2017-10-09,17:05:00,2.11,2.11,2.11,2.11,5000,0
2017-10-09,17:10:00,2.108,2.108,2.1,2.1,24005,0
2017-10-09,17:15:00,2.114,2.116,2.114,2.116,2354,0
2017-10-09,17:20:00,2.102,2.102,2.1,2.1,11731,0
2017-10-09,17:25:00,2.102,2.112,2.1,2.112,10658,0
2017-10-09,17:30:00,2.112,2.123,2.101,2.101,22240,0
2017-10-10,09:05:00,2.091,2.091,2.091,2.091,698,0
2017-10-10,09:10:00,2.096,2.1,2.093,2.1,8582,0
2017-10-10,09:30:00,2.1,2.1,2.09,2.09,28577,0
2017-10-10,09:35:00,2.095,2.095,2.095,2.095,400,0
2017-10-10,09:40:00,2.095,2.095,2.095,2.095,510,0
2017-10-10,10:05:00,2.104,2.11,2.104,2.11,2831,0
2017-10-10,10:15:00,2.113,2.119,2.113,2.118,3200,0
2017-10-10,10:30:00,2.121,2.121,2.121,2.121,2692,0
2017-10-10,11:05:00,2.12,2.12,2.12,2.12,122,0
2017-10-10,11:10:00,2.12,2.12,2.12,2.12,1000,0
2017-10-10,11:25:00,2.12,2.12,2.119,2.119,1945,0
2017-10-10,11:40:00,2.116,2.116,2.116,2.116,32,0
2017-10-10,11:45:00,2.116,2.116,2.116,2.116,3000,0
2017-10-10,12:30:00,2.123,2.123,2.123,2.123,261,0
2017-10-10,13:00:00,2.117,2.117,2.117,2.117,28,0
2017-10-10,13:20:00,2.113,2.113,2.1,2.1,117312,0
2017-10-10,13:35:00,2.1,2.1,2.1,2.1,50,0
2017-10-10,13:40:00,2.1,2.1,2.1,2.1,300,0
2017-10-10,13:45:00,2.095,2.095,2.092,2.092,1122,0
2017-10-10,15:05:00,2.097,2.097,2.097,2.097,6,0
2017-10-10,15:10:00,2.097,2.097,2.085,2.086,20013,0
2017-10-10,15:20:00,2.085,2.091,2.083,2.083,13008,0
2017-10-10,15:25:00,2.09,2.09,2.083,2.083,5040,0
2017-10-10,15:45:00,2.09,2.09,2.07,2.075,31166,0
2017-10-10,15:50:00,2.078,2.09,2.078,2.08,26500,0
2017-10-10,15:55:00,2.075,2.075,2.075,2.075,500,0
2017-10-10,16:00:00,2.071,2.071,2.071,2.071,15670,0
2017-10-10,16:05:00,2.077,2.077,2.068,2.068,5944,0
2017-10-10,16:10:00,2.07,2.09,2.069,2.09,34824,0
2017-10-10,16:15:00,2.085,2.085,2.07,2.071,38256,0
2017-10-10,16:20:00,2.07,2.073,2.07,2.073,15972,0
2017-10-10,16:50:00,2.066,2.066,1.972,1.989,213345,0
2017-10-10,16:55:00,2.01,2.025,2.009,2.02,62673,0
2017-10-10,17:00:00,2.026,2.029,2.02,2.022,9168,0
2017-10-10,17:05:00,2.035,2.05,2.035,2.04,23283,0
2017-10-10,17:10:00,2.04,2.045,2.04,2.045,10000,0
2017-10-10,17:15:00,2.042,2.042,2.04,2.04,5942,0
2017-10-10,17:20:00,2.04,2.066,2.035,2.056,9942,0
2017-10-10,17:25:00,2.055,2.08,2.05,2.08,61212,0
2017-10-10,17:30:00,2.08,2.08,2.06,2.07,72687,0
2017-10-11,09:05:00,2.047,2.06,2.047,2.06,395,0
2017-10-11,09:10:00,2.064,2.064,2.064,2.064,287,0
2017-10-11,09:15:00,2.071,2.075,2.071,2.075,10000,0
2017-10-11,09:40:00,2.075,2.075,2.075,2.075,706,0
2017-10-11,09:55:00,2.07,2.07,2.07,2.07,4000,0
2017-10-11,10:00:00,2.064,2.064,2.064,2.064,2557,0
2017-10-11,10:05:00,2.064,2.064,2.064,2.064,2443,0
2017-10-11,10:15:00,2.07,2.07,2.07,2.07,1500,0
2017-10-11,10:20:00,2.06,2.061,2.06,2.061,5300,0
2017-10-11,10:25:00,2.06,2.06,2.06,2.06,6235,0
2017-10-11,10:30:00,2.06,2.06,2.06,2.06,5,0
2017-10-11,11:05:00,2.07,2.072,2.07,2.072,328,0
2017-10-11,11:20:00,2.066,2.066,2.066,2.066,1440,0
2017-10-11,11:40:00,2.065,2.065,2.065,2.065,494,0
2017-10-11,12:05:00,2.065,2.065,2.065,2.065,2400,0
2017-10-11,12:10:00,2.065,2.075,2.065,2.075,18000,0
2017-10-11,12:30:00,2.07,2.07,2.07,2.07,12,0
2017-10-11,12:45:00,2.064,2.064,2.06,2.06,15000,0
2017-10-11,12:50:00,2.051,2.051,2.051,2.051,7,0
2017-10-11,12:55:00,2.059,2.059,2.059,2.059,32,0
2017-10-11,13:15:00,2.06,2.06,2.06,2.06,4068,0
2017-10-11,13:40:00,2.059,2.064,2.059,2.06,2958,0
2017-10-11,14:25:00,2.06,2.073,2.06,2.06,10266,0
2017-10-11,14:35:00,2.074,2.074,2.06,2.06,5318,0
2017-10-11,14:50:00,2.06,2.06,2.06,2.06,9000,0
2017-10-11,15:20:00,2.052,2.052,2.052,2.052,3000,0
2017-10-11,15:35:00,2.06,2.06,2.05,2.06,31291,0
2017-10-11,15:45:00,2.059,2.09,2.059,2.09,49124,0
2017-10-11,15:50:00,2.067,2.067,2.045,2.045,26031,0
2017-10-11,15:55:00,2.045,2.05,2.045,2.05,5200,0
2017-10-11,16:20:00,2.051,2.051,2.051,2.051,1000,0
2017-10-11,16:25:00,2.045,2.045,2.045,2.045,17,0
2017-10-11,16:35:00,2.045,2.045,2.045,2.045,26,0
2017-10-11,16:40:00,2.045,2.05,2.045,2.05,1059,0
2017-10-11,16:45:00,2.056,2.056,2.056,2.056,400,0
2017-10-11,16:55:00,2.049,2.052,2.049,2.052,1502,0
2017-10-11,17:00:00,2.052,2.052,2.052,2.052,500,0
2017-10-11,17:05:00,2.045,2.045,2.042,2.042,102,0
2017-10-11,17:15:00,2.043,2.045,2.043,2.045,428,0
2017-10-11,17:30:00,2.046,2.047,2.04,2.047,3697,0
2017-10-12,09:05:00,2.043,2.05,2.043,2.05,1646,0
2017-10-12,09:20:00,2.05,2.05,2.05,2.05,784,0
2017-10-12,09:25:00,2.047,2.05,2.047,2.05,4100,0
2017-10-12,09:30:00,2.048,2.055,2.048,2.055,3465,0
2017-10-12,09:50:00,2.05,2.05,2.05,2.05,621,0
2017-10-12,09:55:00,2.05,2.05,2.05,2.05,299,0
2017-10-12,10:00:00,2.054,2.063,2.054,2.063,7757,0
2017-10-12,10:10:00,2.06,2.063,2.06,2.063,3259,0
2017-10-12,10:20:00,2.059,2.059,2.059,2.059,306,0
2017-10-12,10:25:00,2.061,2.061,2.061,2.061,617,0
2017-10-12,10:35:00,2.061,2.061,2.061,2.061,3045,0
