Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-19,09:05:00,4.55,4.55,4.55,4.55,579,0
2017-09-19,09:20:00,4.597,4.597,4.597,4.597,1000,0
2017-09-19,11:25:00,4.559,4.559,4.559,4.559,45,0
2017-09-19,13:20:00,4.516,4.516,4.516,4.516,1000,0
2017-09-19,17:30:00,4.593,4.597,4.566,4.566,243,0
2017-09-20,12:10:00,4.599,4.599,4.599,4.599,400,0
2017-09-20,12:15:00,4.599,4.599,4.599,4.599,800,0
2017-09-20,13:40:00,4.6,4.6,4.6,4.6,45,0
2017-09-20,17:30:00,4.578,4.578,4.578,4.578,0,0
2017-09-21,09:05:00,4.556,4.556,4.556,4.556,600,0
2017-09-21,09:55:00,4.555,4.555,4.555,4.555,1000,0
2017-09-21,11:00:00,4.565,4.565,4.565,4.565,100,0
2017-09-21,14:55:00,4.6,4.6,4.6,4.6,664,0
2017-09-21,15:10:00,4.6,4.6,4.6,4.6,900,0
2017-09-21,16:10:00,4.6,4.6,4.6,4.6,250,0
2017-09-21,17:30:00,4.588,4.588,4.588,4.588,0,0
2017-09-22,09:05:00,4.575,4.575,4.575,4.575,1000,0
2017-09-22,11:50:00,4.599,4.599,4.599,4.599,44,0
2017-09-22,13:45:00,4.599,4.6,4.599,4.6,1000,0
2017-09-22,14:15:00,4.599,4.599,4.599,4.599,1581,0
2017-09-22,15:25:00,4.599,4.599,4.599,4.599,100,0
2017-09-22,15:45:00,4.58,4.58,4.58,4.58,150,0
2017-09-22,16:25:00,4.56,4.6,4.56,4.6,1000,0
2017-09-22,16:55:00,4.6,4.6,4.6,4.6,4130,0
2017-09-22,17:30:00,4.565,4.565,4.565,4.565,0,0
2017-09-25,09:05:00,4.6,4.6,4.6,4.6,110,0
2017-09-25,10:25:00,4.6,4.6,4.6,4.6,1000,0
2017-09-25,10:55:00,4.6,4.6,4.6,4.6,700,0
2017-09-25,11:10:00,4.5,4.5,4.5,4.5,250,0
2017-09-25,13:50:00,4.6,4.6,4.6,4.6,50,0
2017-09-25,17:30:00,4.55,4.55,4.55,4.55,0,0
2017-09-26,13:10:00,4.6,4.6,4.6,4.6,5674,0
2017-09-26,15:15:00,4.69,4.69,4.69,4.69,47,0
2017-09-26,17:30:00,4.595,4.595,4.595,4.595,0,0
2017-09-27,09:05:00,4.69,4.69,4.69,4.69,1000,0
2017-09-27,09:40:00,4.69,4.7,4.69,4.7,7606,0
2017-09-27,09:50:00,4.699,4.699,4.699,4.699,200,0
2017-09-27,14:25:00,4.7,4.7,4.7,4.7,2000,0
2017-09-27,15:20:00,4.7,4.7,4.7,4.7,300,0
2017-09-27,15:35:00,4.7,4.7,4.7,4.7,52,0
2017-09-27,16:10:00,4.656,4.656,4.656,4.656,200,0
2017-09-27,17:30:00,4.65,4.65,4.65,4.65,0,0
2017-09-28,12:05:00,4.7,4.7,4.7,4.7,2000,0
2017-09-28,12:55:00,4.7,4.7,4.7,4.7,62,0
2017-09-28,13:35:00,4.69,4.69,4.69,4.69,1000,0
2017-09-28,13:40:00,4.7,4.7,4.7,4.7,12980,0
2017-09-28,14:35:00,4.7,4.7,4.499,4.5,9403,0
2017-09-28,14:55:00,4.5,4.5,4.5,4.5,956,0
2017-09-28,15:15:00,4.52,4.52,4.52,4.52,1000,0
2017-09-28,15:25:00,4.525,4.525,4.525,4.525,250,0
2017-09-28,16:10:00,4.525,4.525,4.525,4.525,150,0
2017-09-28,17:05:00,4.51,4.51,4.51,4.51,1000,0
2017-09-28,17:30:00,4.406,4.406,4.406,4.406,0,0
2017-09-29,09:05:00,4.5,4.5,4.5,4.5,699,0
2017-09-29,09:40:00,4.5,4.5,4.5,4.5,150,0
2017-09-29,11:40:00,4.529,4.529,4.529,4.529,79,0
2017-09-29,13:30:00,4.499,4.5,4.499,4.5,1188,0
2017-09-29,14:40:00,4.53,4.6,4.53,4.6,1000,0
2017-09-29,17:25:00,4.5,4.5,4.5,4.5,3277,0
2017-09-29,17:30:00,4.436,4.436,4.436,4.436,0,0
2017-10-02,09:05:00,4.596,4.596,4.596,4.596,400,0
