Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-22,09:05:00,1.205,1.205,1.205,1.205,400,0
2017-08-22,10:35:00,1.2,1.2,1.2,1.2,1500,0
2017-08-22,12:10:00,1.189,1.19,1.189,1.19,3320,0
2017-08-22,16:50:00,1.199,1.199,1.199,1.199,1,0
2017-08-22,17:30:00,1.143,1.143,1.143,1.143,0,0
2017-08-23,09:25:00,1.15,1.15,1.125,1.125,500,0
2017-08-23,15:40:00,1.199,1.199,1.199,1.199,1000,0
2017-08-23,17:30:00,1.17,1.17,1.17,1.17,0,0
2017-08-24,09:05:00,1.18,1.18,1.18,1.18,100,0
2017-08-24,09:40:00,1.18,1.18,1.18,1.18,100,0
2017-08-24,14:15:00,1.125,1.125,1.101,1.101,3700,0
2017-08-24,17:30:00,1.095,1.095,1.095,1.095,0,0
2017-08-25,14:55:00,1.1,1.1,1.1,1.1,50,0
2017-08-25,16:10:00,1.1,1.1,1.1,1.1,50,0
2017-08-25,17:30:00,1.104,1.104,1.104,1.104,0,0
2017-08-28,09:05:00,1.18,1.18,1.18,1.18,525,0
2017-08-28,11:35:00,1.052,1.052,1.052,1.052,372,0
2017-08-28,14:05:00,1.07,1.07,1.07,1.07,100,0
2017-08-28,17:30:00,1.107,1.107,1.107,1.107,1,0
2017-08-29,09:05:00,1.07,1.07,1.07,1.07,20,0
2017-08-29,14:25:00,1.119,1.119,1.119,1.119,200,0
2017-08-29,17:30:00,1.092,1.092,1.092,1.092,0,0
2017-08-30,13:25:00,1.129,1.13,1.129,1.13,3918,0
2017-08-30,13:30:00,1.198,1.198,1.198,1.198,832,0
2017-08-30,15:45:00,1.12,1.12,1.12,1.12,650,0
2017-08-30,17:30:00,1.113,1.113,1.113,1.113,0,0
2017-09-01,12:00:00,1.12,1.12,1.07,1.07,4300,0
2017-09-01,12:05:00,1.01,1.01,1.01,1.01,200,0
2017-09-01,12:25:00,1.08,1.08,1.08,1.08,1500,0
2017-09-01,13:40:00,1.079,1.08,1.079,1.08,1990,0
2017-09-01,15:10:00,1.08,1.08,1.08,1.08,713,0
2017-09-01,17:30:00,1.109,1.109,1.109,1.109,0,0
2017-09-04,09:05:00,1.08,1.08,1.08,1.08,100,0
2017-09-04,09:25:00,1.17,1.17,1.17,1.17,1000,0
2017-09-04,10:10:00,1.198,1.25,1.198,1.25,6700,0
2017-09-04,15:50:00,1.244,1.244,1.244,1.244,400,0
2017-09-04,16:45:00,1.244,1.244,1.244,1.244,78,0
2017-09-04,17:30:00,1.203,1.203,1.203,1.203,0,0
2017-09-05,09:05:00,1.25,1.25,1.25,1.25,400,0
2017-09-05,10:05:00,1.248,1.248,1.248,1.248,300,0
2017-09-05,10:20:00,1.21,1.21,1.21,1.21,500,0
2017-09-05,10:50:00,1.22,1.22,1.22,1.22,500,0
2017-09-05,12:10:00,1.18,1.18,1.18,1.18,250,0
2017-09-05,12:25:00,1.248,1.248,1.248,1.248,100,0
2017-09-05,13:05:00,1.15,1.15,1.15,1.15,300,0
2017-09-05,15:50:00,1.151,1.151,1.1,1.1,2800,0
2017-09-05,17:30:00,1.245,1.245,1.245,1.245,750,0
2017-09-06,09:05:00,1.245,1.245,1.245,1.245,31,0
2017-09-06,14:10:00,1.17,1.17,1.17,1.17,300,0
2017-09-06,17:30:00,1.24,1.24,1.24,1.24,600,0
2017-09-07,09:05:00,1.25,1.25,1.25,1.25,650,0
2017-09-07,11:20:00,1.17,1.17,1.17,1.17,1000,0
2017-09-07,16:30:00,1.17,1.17,1.15,1.15,400,0
2017-09-07,17:30:00,1.183,1.183,1.183,1.183,0,0
