Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,28.535,28.535,28.535,28.535,386,0
2017-10-25,09:10:00,28.535,28.535,28.46,28.515,1601,0
2017-10-25,09:15:00,28.48,28.5,28.48,28.495,2600,0
2017-10-25,09:20:00,28.49,28.5,28.49,28.5,1004,0
2017-10-25,09:25:00,28.5,28.515,28.5,28.515,1116,0
2017-10-25,09:30:00,28.49,28.49,28.49,28.49,224,0
2017-10-25,09:35:00,28.515,28.52,28.515,28.52,374,0
2017-10-25,09:40:00,28.52,28.525,28.505,28.515,1058,0
2017-10-25,09:45:00,28.51,28.53,28.5,28.53,1301,0
2017-10-25,09:50:00,28.525,28.535,28.505,28.51,1398,0
2017-10-25,09:55:00,28.51,28.51,28.51,28.51,417,0
2017-10-25,10:00:00,28.495,28.5,28.48,28.5,2062,0
2017-10-25,10:05:00,28.51,28.525,28.51,28.51,1147,0
2017-10-25,10:10:00,28.5,28.5,28.485,28.485,1104,0
2017-10-25,10:15:00,28.485,28.485,28.47,28.47,1097,0
2017-10-25,10:20:00,28.46,28.495,28.46,28.485,2284,0
2017-10-25,10:25:00,28.475,28.48,28.465,28.48,3772,0
2017-10-25,10:30:00,28.47,28.485,28.46,28.48,4908,0
2017-10-25,10:35:00,28.475,28.51,28.47,28.51,1547,0
2017-10-25,10:40:00,28.495,28.52,28.495,28.52,1767,0
2017-10-25,10:45:00,28.52,28.525,28.495,28.525,1169,0
2017-10-25,10:50:00,28.52,28.54,28.52,28.535,1263,0
2017-10-25,10:55:00,28.535,28.535,28.535,28.535,1030,0
2017-10-25,11:00:00,28.525,28.525,28.525,28.525,229,0
2017-10-25,11:05:00,28.525,28.525,28.515,28.52,1789,0
2017-10-25,11:10:00,28.525,28.535,28.515,28.515,570,0
2017-10-25,11:15:00,28.51,28.515,28.51,28.515,440,0
2017-10-25,11:20:00,28.525,28.525,28.52,28.525,493,0
2017-10-25,11:25:00,28.52,28.52,28.52,28.52,57,0
2017-10-25,11:30:00,28.51,28.52,28.485,28.515,1520,0
2017-10-25,11:35:00,28.515,28.525,28.51,28.525,736,0
2017-10-25,11:40:00,28.52,28.545,28.52,28.545,1102,0
2017-10-25,11:45:00,28.545,28.55,28.545,28.55,359,0
2017-10-25,11:50:00,28.535,28.55,28.525,28.55,791,0
2017-10-25,12:00:00,28.545,28.545,28.52,28.52,1622,0
2017-10-25,12:05:00,28.525,28.525,28.515,28.525,628,0
2017-10-25,12:10:00,28.52,28.53,28.52,28.53,236,0
2017-10-25,12:20:00,28.53,28.53,28.525,28.525,414,0
2017-10-25,12:25:00,28.54,28.55,28.54,28.55,465,0
2017-10-25,12:30:00,28.545,28.57,28.54,28.57,1300,0
2017-10-25,12:35:00,28.555,28.565,28.555,28.565,2304,0
2017-10-25,12:40:00,28.55,28.55,28.545,28.545,723,0
2017-10-25,12:45:00,28.55,28.575,28.55,28.575,927,0
2017-10-25,12:50:00,28.565,28.565,28.545,28.555,1654,0
2017-10-25,12:55:00,28.555,28.565,28.555,28.555,1214,0
2017-10-25,13:00:00,28.54,28.55,28.54,28.55,1407,0
2017-10-25,13:05:00,28.53,28.55,28.53,28.55,1582,0
2017-10-25,13:10:00,28.55,28.55,28.55,28.55,79,0
2017-10-25,13:15:00,28.55,28.56,28.545,28.55,2146,0
2017-10-25,13:20:00,28.55,28.55,28.55,28.55,506,0
2017-10-25,13:25:00,28.545,28.55,28.545,28.55,1026,0
2017-10-25,13:30:00,28.54,28.54,28.53,28.53,2304,0
2017-10-25,13:35:00,28.53,28.545,28.53,28.535,1041,0
2017-10-25,13:40:00,28.54,28.54,28.515,28.52,1588,0
2017-10-25,13:45:00,28.505,28.505,28.47,28.505,8110,0
2017-10-25,13:50:00,28.49,28.49,28.49,28.49,15,0
2017-10-25,13:55:00,28.485,28.485,28.475,28.475,1003,0
2017-10-25,14:00:00,28.475,28.485,28.475,28.485,836,0
2017-10-25,14:05:00,28.49,28.495,28.49,28.495,346,0
2017-10-25,14:10:00,28.51,28.51,28.5,28.5,373,0
2017-10-25,14:15:00,28.505,28.505,28.5,28.5,463,0
2017-10-25,14:20:00,28.515,28.525,28.515,28.525,909,0
2017-10-25,14:30:00,28.52,28.525,28.515,28.515,562,0
2017-10-25,14:35:00,28.52,28.52,28.515,28.515,417,0
2017-10-25,14:40:00,28.51,28.51,28.505,28.505,293,0
2017-10-25,14:45:00,28.5,28.5,28.495,28.495,603,0
2017-10-25,14:50:00,28.49,28.525,28.49,28.525,895,0
2017-10-25,14:55:00,28.515,28.515,28.515,28.515,202,0
2017-10-25,15:00:00,28.505,28.505,28.505,28.505,328,0
2017-10-25,15:05:00,28.52,28.53,28.51,28.515,1455,0
2017-10-25,15:10:00,28.515,28.515,28.515,28.515,127,0
2017-10-25,15:15:00,28.51,28.515,28.5,28.51,2755,0
2017-10-25,15:25:00,28.515,28.545,28.51,28.53,1871,0
2017-10-25,15:30:00,28.525,28.545,28.52,28.545,2327,0
2017-10-25,15:35:00,28.545,28.55,28.545,28.55,400,0
2017-10-25,15:40:00,28.55,28.55,28.54,28.54,1290,0
2017-10-25,15:45:00,28.545,28.555,28.545,28.55,1084,0
2017-10-25,15:50:00,28.545,28.55,28.545,28.55,561,0
2017-10-25,15:55:00,28.545,28.545,28.53,28.54,1959,0
2017-10-25,16:00:00,28.535,28.54,28.52,28.525,2195,0
2017-10-25,16:05:00,28.53,28.555,28.51,28.54,6954,0
2017-10-25,16:10:00,28.55,28.565,28.55,28.55,2394,0
2017-10-25,16:15:00,28.55,28.555,28.53,28.53,3554,0
2017-10-25,16:20:00,28.52,28.525,28.52,28.525,873,0
2017-10-25,16:25:00,28.51,28.51,28.495,28.5,2722,0
2017-10-25,16:30:00,28.5,28.505,28.495,28.505,2781,0
2017-10-25,16:35:00,28.5,28.51,28.49,28.505,3716,0
2017-10-25,16:40:00,28.49,28.505,28.485,28.485,5874,0
2017-10-25,16:45:00,28.485,28.485,28.46,28.47,8933,0
2017-10-25,16:50:00,28.475,28.475,28.435,28.44,4551,0
2017-10-25,16:55:00,28.44,28.44,28.42,28.43,2213,0
2017-10-25,17:00:00,28.425,28.425,28.405,28.41,16110,0
2017-10-25,17:05:00,28.41,28.41,28.385,28.395,6612,0
2017-10-25,17:10:00,28.4,28.41,28.375,28.375,10385,0
2017-10-25,17:15:00,28.37,28.375,28.335,28.34,5758,0
2017-10-25,17:20:00,28.345,28.345,28.3,28.305,7451,0
2017-10-25,17:25:00,28.3,28.345,28.295,28.325,9717,0
2017-10-25,17:30:00,28.325,28.33,28.28,28.28,135368,0
2017-10-26,09:05:00,28.26,28.325,28.26,28.325,1238,0
2017-10-26,09:10:00,28.3,28.345,28.275,28.345,2211,0
2017-10-26,09:15:00,28.355,28.43,28.345,28.37,11580,0
2017-10-26,09:20:00,28.36,28.36,28.295,28.295,3105,0
2017-10-26,09:25:00,28.29,28.29,28.24,28.245,3105,0
2017-10-26,09:30:00,28.27,28.27,28.235,28.24,1219,0
2017-10-26,09:35:00,28.245,28.265,28.24,28.26,2347,0
2017-10-26,09:40:00,28.26,28.275,28.25,28.265,9496,0
2017-10-26,09:45:00,28.27,28.275,28.265,28.275,544,0
2017-10-26,09:50:00,28.275,28.275,28.25,28.27,4325,0
2017-10-26,09:55:00,28.255,28.27,28.25,28.27,10161,0
2017-10-26,10:00:00,28.26,28.27,28.255,28.255,2055,0
2017-10-26,10:05:00,28.27,28.27,28.25,28.26,2217,0
2017-10-26,10:10:00,28.26,28.27,28.255,28.265,4668,0
2017-10-26,10:15:00,28.26,28.27,28.26,28.26,1121,0
2017-10-26,10:20:00,28.265,28.28,28.25,28.25,2747,0
2017-10-26,10:25:00,28.25,28.26,28.24,28.25,5592,0
2017-10-26,10:30:00,28.255,28.265,28.25,28.255,2689,0
2017-10-26,10:35:00,28.255,28.26,28.245,28.25,2805,0
2017-10-26,10:40:00,28.25,28.255,28.245,28.25,506,0
2017-10-26,10:45:00,28.255,28.26,28.255,28.26,136,0
2017-10-26,10:50:00,28.255,28.255,28.245,28.25,2634,0
2017-10-26,10:55:00,28.245,28.255,28.23,28.255,3249,0
2017-10-26,11:00:00,28.25,28.25,28.24,28.25,2019,0
2017-10-26,11:05:00,28.255,28.265,28.255,28.265,805,0
2017-10-26,11:10:00,28.265,28.265,28.255,28.265,2028,0
2017-10-26,11:15:00,28.265,28.265,28.255,28.26,1298,0
2017-10-26,11:20:00,28.26,28.26,28.255,28.26,1493,0
2017-10-26,11:25:00,28.26,28.26,28.225,28.24,32667,0
2017-10-26,11:30:00,28.245,28.25,28.245,28.25,634,0
2017-10-26,11:35:00,28.25,28.25,28.235,28.235,8041,0
2017-10-26,11:40:00,28.235,28.235,28.19,28.2,8384,0
2017-10-26,11:45:00,28.21,28.21,28.125,28.135,6263,0
2017-10-26,11:50:00,28.145,28.19,28.145,28.18,3704,0
2017-10-26,11:55:00,28.19,28.2,28.165,28.19,3342,0
2017-10-26,12:00:00,28.195,28.195,28.185,28.195,2178,0
2017-10-26,12:05:00,28.2,28.245,28.19,28.235,5557,0
2017-10-26,12:10:00,28.23,28.235,28.23,28.235,5721,0
2017-10-26,12:15:00,28.23,28.235,28.23,28.23,1862,0
2017-10-26,12:20:00,28.23,28.23,28.215,28.215,1647,0
2017-10-26,12:25:00,28.22,28.23,28.195,28.23,5896,0
2017-10-26,12:30:00,28.23,28.235,28.22,28.23,2177,0
2017-10-26,12:35:00,28.235,28.24,28.23,28.235,2174,0
2017-10-26,12:40:00,28.245,28.275,28.245,28.275,1922,0
2017-10-26,12:45:00,28.275,28.29,28.27,28.29,2780,0
2017-10-26,12:50:00,28.3,28.325,28.3,28.325,543,0
2017-10-26,12:55:00,28.35,28.35,28.32,28.32,1227,0
2017-10-26,13:00:00,28.325,28.35,28.32,28.34,1595,0
2017-10-26,13:05:00,28.36,28.36,28.34,28.35,1933,0
2017-10-26,13:10:00,28.355,28.385,28.355,28.365,5145,0
2017-10-26,13:15:00,28.365,28.365,28.345,28.345,5671,0
2017-10-26,13:20:00,28.355,28.38,28.355,28.375,3400,0
2017-10-26,13:25:00,28.365,28.37,28.355,28.355,1974,0
2017-10-26,13:30:00,28.365,28.37,28.36,28.365,810,0
2017-10-26,13:35:00,28.365,28.37,28.35,28.35,1687,0
2017-10-26,13:40:00,28.35,28.35,28.33,28.33,1046,0
2017-10-26,13:45:00,28.335,28.37,28.335,28.36,5027,0
2017-10-26,13:50:00,28.365,28.42,28.355,28.42,8891,0
2017-10-26,13:55:00,28.415,28.42,28.39,28.415,1572,0
2017-10-26,14:00:00,28.4,28.4,28.345,28.365,7117,0
2017-10-26,14:05:00,28.37,28.39,28.365,28.385,3821,0
2017-10-26,14:10:00,28.39,28.4,28.39,28.4,6479,0
2017-10-26,14:15:00,28.395,28.425,28.38,28.42,4267,0
2017-10-26,14:20:00,28.42,28.425,28.405,28.41,6408,0
2017-10-26,14:25:00,28.415,28.425,28.4,28.4,4117,0
2017-10-26,14:30:00,28.4,28.4,28.365,28.385,3412,0
2017-10-26,14:35:00,28.38,28.425,28.38,28.415,5407,0
2017-10-26,14:40:00,28.415,28.415,28.38,28.395,5523,0
2017-10-26,14:45:00,28.42,28.42,28.405,28.405,1204,0
2017-10-26,14:50:00,28.4,28.405,28.4,28.405,745,0
2017-10-26,14:55:00,28.395,28.41,28.395,28.41,1207,0
2017-10-26,15:00:00,28.4,28.4,28.38,28.38,1001,0
2017-10-26,15:05:00,28.38,28.4,28.365,28.4,3516,0
2017-10-26,15:10:00,28.415,28.415,28.375,28.385,2330,0
2017-10-26,15:15:00,28.4,28.42,28.395,28.415,5071,0
2017-10-26,15:20:00,28.4,28.4,28.385,28.4,2046,0
2017-10-26,15:25:00,28.385,28.395,28.375,28.395,471,0
2017-10-26,15:30:00,28.385,28.39,28.375,28.385,1911,0
2017-10-26,15:35:00,28.395,28.4,28.345,28.395,5301,0
2017-10-26,15:40:00,28.38,28.4,28.355,28.4,5153,0
2017-10-26,15:45:00,28.405,28.405,28.395,28.4,638,0
2017-10-26,15:50:00,28.4,28.42,28.4,28.41,1231,0
2017-10-26,15:55:00,28.415,28.425,28.41,28.42,2900,0
2017-10-26,16:00:00,28.42,28.425,28.41,28.42,4944,0
2017-10-26,16:05:00,28.425,28.425,28.39,28.4,4401,0
2017-10-26,16:10:00,28.4,28.42,28.395,28.42,2214,0
2017-10-26,16:15:00,28.405,28.405,28.395,28.395,1449,0
2017-10-26,16:20:00,28.405,28.41,28.395,28.395,2640,0
2017-10-26,16:25:00,28.4,28.42,28.395,28.415,3372,0
2017-10-26,16:30:00,28.425,28.445,28.425,28.43,4184,0
