Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-20,09:05:00,43.68,43.68,43.565,43.605,75,0
2017-10-20,09:10:00,43.8,43.8,43.8,43.8,19,0
2017-10-20,09:20:00,43.745,43.775,43.745,43.775,143,0
2017-10-20,09:25:00,43.82,43.83,43.82,43.83,200,0
2017-10-20,09:40:00,43.82,43.82,43.82,43.82,10,0
2017-10-20,09:50:00,43.79,43.79,43.79,43.79,16,0
2017-10-20,09:55:00,43.815,43.825,43.75,43.75,390,0
2017-10-20,10:05:00,43.87,43.905,43.87,43.905,157,0
2017-10-20,10:15:00,43.855,43.855,43.855,43.855,101,0
2017-10-20,10:20:00,43.855,43.86,43.77,43.77,839,0
2017-10-20,10:45:00,43.81,43.81,43.785,43.785,50,0
2017-10-20,10:50:00,43.74,43.74,43.74,43.74,47,0
2017-10-20,11:10:00,43.74,43.74,43.74,43.74,46,0
2017-10-20,11:40:00,43.725,43.725,43.725,43.725,98,0
2017-10-20,11:45:00,43.725,43.725,43.665,43.695,376,0
2017-10-20,11:55:00,43.72,43.74,43.72,43.74,24,0
2017-10-20,12:00:00,43.75,43.75,43.75,43.75,172,0
2017-10-20,12:35:00,43.73,43.755,43.73,43.755,25,0
2017-10-20,12:45:00,43.7,43.7,43.7,43.7,31,0
2017-10-20,13:10:00,44,44,43.73,43.73,28,0
2017-10-20,13:35:00,43.665,43.665,43.66,43.66,27,0
2017-10-20,13:40:00,43.685,43.685,43.685,43.685,40,0
2017-10-20,13:45:00,43.71,43.715,43.69,43.695,193,0
2017-10-20,14:00:00,43.615,43.615,43.61,43.61,150,0
2017-10-20,14:30:00,43.625,43.625,43.625,43.625,36,0
2017-10-20,14:45:00,43.505,43.505,43.5,43.5,295,0
2017-10-20,14:55:00,43.535,43.565,43.53,43.565,234,0
2017-10-20,15:00:00,43.535,43.6,43.535,43.6,663,0
2017-10-20,15:25:00,43.59,43.62,43.59,43.62,149,0
2017-10-20,15:35:00,43.62,43.635,43.6,43.6,257,0
2017-10-20,15:55:00,43.61,43.635,43.61,43.635,202,0
2017-10-20,16:00:00,43.62,43.62,43.62,43.62,159,0
2017-10-20,16:05:00,43.595,43.595,43.595,43.595,13,0
2017-10-20,16:25:00,43.54,43.54,43.54,43.54,37,0
2017-10-20,16:35:00,43.545,43.545,43.545,43.545,52,0
2017-10-20,16:45:00,43.565,43.565,43.56,43.56,181,0
2017-10-20,16:50:00,43.5,43.5,43.5,43.5,295,0
2017-10-20,16:55:00,43.45,43.475,43.44,43.44,565,0
2017-10-20,17:05:00,43.475,43.49,43.475,43.485,47,0
2017-10-20,17:25:00,43.47,43.47,43.47,43.47,129,0
2017-10-20,17:30:00,43.475,43.575,43.47,43.575,1412,0
2017-10-23,09:05:00,43.595,43.595,43.5,43.52,227,0
2017-10-23,09:15:00,43.44,43.445,43.44,43.445,216,0
2017-10-23,09:25:00,43.395,43.395,43.395,43.395,60,0
2017-10-23,09:30:00,43.45,43.45,43.45,43.45,90,0
2017-10-23,09:35:00,43.395,43.395,43.39,43.39,150,0
2017-10-23,09:40:00,43.29,43.29,43.285,43.285,104,0
2017-10-23,09:55:00,43.31,43.38,43.31,43.38,237,0
2017-10-23,10:00:00,43.36,43.36,43.36,43.36,8,0
2017-10-23,10:05:00,43.27,43.29,43.265,43.29,360,0
2017-10-23,10:10:00,43.31,43.31,43.31,43.31,90,0
2017-10-23,10:15:00,43.28,43.28,43.225,43.27,483,0
2017-10-23,10:30:00,43.23,43.23,43.215,43.215,150,0
2017-10-23,10:40:00,43.275,43.28,43.275,43.28,46,0
2017-10-23,10:45:00,43.325,43.335,43.325,43.335,133,0
2017-10-23,11:20:00,43.335,43.36,43.335,43.36,293,0
2017-10-23,11:25:00,43.375,43.375,43.375,43.375,19,0
2017-10-23,11:35:00,43.405,43.405,43.405,43.405,61,0
2017-10-23,11:40:00,43.445,43.445,43.445,43.445,60,0
2017-10-23,11:50:00,43.46,43.47,43.46,43.47,118,0
2017-10-23,12:10:00,43.47,43.58,43.47,43.58,971,0
2017-10-23,12:20:00,43.51,43.55,43.49,43.55,227,0
