Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-11,09:05:00,5.54,5.54,5.54,5.54,100,0
2017-08-11,09:15:00,5.4,5.4,5.4,5.4,100,0
2017-08-11,09:55:00,5.427,5.508,5.427,5.508,377,0
2017-08-11,10:05:00,5.496,5.5,5.496,5.5,4800,0
2017-08-11,10:10:00,5.5,5.5,5.5,5.5,38,0
2017-08-11,10:30:00,5.5,5.5,5.5,5.5,674,0
2017-08-11,10:35:00,5.542,5.542,5.542,5.542,203,0
2017-08-11,11:35:00,5.505,5.51,5.501,5.501,3198,0
2017-08-11,12:05:00,5.604,5.604,5.604,5.604,98,0
2017-08-11,12:20:00,5.613,5.613,5.613,5.613,474,0
2017-08-11,13:20:00,5.502,5.502,5.5,5.5,2611,0
2017-08-11,13:45:00,5.5,5.5,5.5,5.5,55,0
2017-08-11,15:45:00,5.5,5.5,5.5,5.5,2500,0
2017-08-11,16:40:00,5.501,5.501,5.5,5.5,1129,0
2017-08-11,17:30:00,5.608,5.608,5.5,5.56,1593,0
2017-08-14,10:10:00,5.65,5.65,5.65,5.65,1300,0
2017-08-14,10:15:00,5.65,5.65,5.65,5.65,2500,0
2017-08-14,10:20:00,5.65,5.65,5.65,5.65,1200,0
2017-08-14,10:25:00,5.65,5.66,5.65,5.66,1322,0
2017-08-14,10:30:00,5.66,5.66,5.66,5.66,2721,0
2017-08-14,10:50:00,5.65,5.65,5.65,5.65,10563,0
2017-08-14,10:55:00,5.65,5.65,5.65,5.65,3484,0
2017-08-14,11:10:00,5.65,5.65,5.65,5.65,953,0
2017-08-14,11:40:00,5.519,5.519,5.519,5.519,120,0
2017-08-14,12:05:00,5.643,5.643,5.643,5.643,134,0
2017-08-14,12:30:00,5.639,5.639,5.639,5.639,200,0
2017-08-14,13:05:00,5.619,5.619,5.619,5.619,940,0
2017-08-14,13:20:00,5.6,5.6,5.6,5.6,34,0
2017-08-14,13:45:00,5.6,5.6,5.6,5.6,66,0
2017-08-14,15:35:00,5.55,5.55,5.55,5.55,231,0
2017-08-14,15:40:00,5.684,5.684,5.684,5.684,496,0
2017-08-14,17:05:00,5.656,5.656,5.656,5.656,419,0
2017-08-14,17:30:00,5.55,5.65,5.55,5.65,1649,0
2017-08-15,10:35:00,5.63,5.63,5.63,5.63,1800,0
2017-08-15,11:25:00,5.6,5.6,5.6,5.6,800,0
2017-08-15,13:20:00,5.6,5.6,5.6,5.6,200,0
2017-08-15,15:20:00,5.6,5.6,5.6,5.6,1500,0
2017-08-15,16:40:00,5.61,5.61,5.61,5.61,359,0
2017-08-15,16:45:00,5.65,5.65,5.65,5.65,150,0
2017-08-15,17:00:00,5.65,5.65,5.65,5.65,23,0
2017-08-15,17:10:00,5.65,5.65,5.65,5.65,127,0
2017-08-15,17:15:00,5.65,5.65,5.65,5.65,23,0
2017-08-15,17:30:00,5.65,5.65,5.65,5.65,500,0
2017-08-16,09:40:00,5.65,5.65,5.65,5.65,100,0
2017-08-16,10:25:00,5.65,5.65,5.65,5.65,291,0
2017-08-16,12:35:00,5.641,5.641,5.641,5.641,223,0
2017-08-16,16:15:00,5.641,5.649,5.641,5.649,143,0
2017-08-16,16:45:00,5.649,5.649,5.649,5.649,125,0
2017-08-16,17:05:00,5.641,5.649,5.641,5.649,434,0
2017-08-16,17:25:00,5.649,5.649,5.649,5.649,107,0
2017-08-16,17:30:00,5.66,5.66,5.649,5.649,507,0
2017-08-17,10:30:00,5.65,5.65,5.65,5.65,100,0
2017-08-17,11:30:00,5.648,5.648,5.648,5.648,800,0
2017-08-17,13:20:00,5.6,5.6,5.6,5.6,17,0
2017-08-17,13:30:00,5.601,5.735,5.601,5.73,3490,0
2017-08-17,14:30:00,5.729,5.73,5.729,5.73,2200,0
2017-08-17,14:50:00,5.729,5.729,5.729,5.729,104,0
2017-08-17,14:55:00,5.729,5.729,5.729,5.729,465,0
2017-08-17,16:20:00,5.729,5.729,5.729,5.729,220,0
2017-08-17,17:10:00,5.712,5.712,5.712,5.712,766,0
2017-08-17,17:30:00,5.722,5.722,5.603,5.662,538,0
2017-08-18,14:05:00,5.699,5.699,5.699,5.699,368,0
2017-08-18,14:55:00,5.56,5.56,5.56,5.56,1500,0
2017-08-18,16:15:00,5.6,5.6,5.6,5.6,102,0
2017-08-18,16:55:00,5.6,5.6,5.6,5.6,22,0
2017-08-18,17:05:00,5.6,5.6,5.6,5.6,124,0
2017-08-18,17:25:00,5.6,5.6,5.6,5.6,231,0
2017-08-18,17:30:00,5.65,5.65,5.65,5.65,1000,0
2017-08-21,09:40:00,5.599,5.599,5.599,5.599,800,0
2017-08-21,13:20:00,5.59,5.59,5.59,5.59,20,0
2017-08-21,13:45:00,5.699,5.699,5.699,5.699,89,0
2017-08-21,15:35:00,5.6,5.6,5.6,5.6,327,0
2017-08-21,16:40:00,5.698,5.698,5.698,5.698,327,0
2017-08-21,17:30:00,5.747,5.747,5.747,5.747,500,0
2017-08-22,09:05:00,5.636,5.636,5.636,5.636,16,0
2017-08-22,09:15:00,5.737,5.737,5.737,5.737,72,0
2017-08-22,15:25:00,5.649,5.649,5.649,5.649,266,0
2017-08-22,17:30:00,5.65,5.65,5.65,5.65,1000,0
