Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,09:05:00,5.9735,5.9735,5.8871,5.8871,3082,0
2016-06-14,10:20:00,5.8966,5.8966,5.8958,5.8958,2293,0
2016-06-14,10:25:00,5.9307,5.9307,5.9307,5.9307,230,0
2016-06-14,10:35:00,6.0293,6.0293,6.0293,6.0293,15,0
2016-06-14,11:35:00,5.8871,5.8871,5.8871,5.8871,114,0
2016-06-14,17:30:00,5.8871,5.8871,5.8871,5.8871,1629,0
2016-06-15,17:30:00,5.8871,5.8871,5.8871,5.8871,219,0
2016-06-16,17:30:00,5.8871,5.8871,5.8871,5.8871,1143,0
2016-06-17,17:25:00,5.8879,5.8879,5.861,5.861,1130,0
2016-06-20,09:30:00,6.1923,6.1923,6.1923,6.1923,67,0
2016-06-21,17:30:00,6.018,6.018,6.018,6.018,899,0
2016-06-22,16:35:00,5.8879,5.8879,5.8871,5.8871,1445,0
2016-06-22,17:30:00,5.8879,5.8879,5.8879,5.8879,1629,0
2016-06-23,12:25:00,6.1487,6.1487,6.1487,6.1487,402,0
2016-06-23,13:25:00,5.9307,5.9307,5.9307,5.9307,2293,0
2016-06-23,13:40:00,5.949,5.949,5.948,5.948,1531,0
2016-06-23,15:45:00,5.8879,5.8879,5.8783,5.8783,1644,0
2016-06-23,17:20:00,5.8871,5.8871,5.7562,5.7562,3588,0
2016-06-24,09:05:00,5.7562,5.7562,5.7562,5.7562,2499,0
2016-06-24,09:40:00,5.7562,5.7562,5.7562,5.7562,46,0
2016-06-24,10:00:00,5.7562,5.7562,5.7562,5.7562,48,0
2016-06-24,10:05:00,5.6691,5.6691,5.6691,5.6691,112,0
2016-06-24,16:00:00,5.7562,5.7562,5.7562,5.7562,112,0
2016-06-24,17:30:00,5.7562,5.7562,5.7562,5.7562,1493,0
2016-06-27,11:25:00,5.8538,5.8538,5.8538,5.8538,1147,0
2016-06-27,11:35:00,5.9324,5.9324,5.9324,5.9324,153,0
2016-06-28,13:00:00,6.0049,6.0056,6.0049,6.0056,3063,0
2016-06-28,15:55:00,5.9159,5.9159,5.9149,5.9149,3370,0
2016-06-28,16:00:00,5.8278,5.8278,5.8269,5.8269,505,0
2016-06-28,17:30:00,5.8278,5.8278,5.8278,5.8278,1399,0
2016-06-29,14:15:00,5.8793,5.8793,5.8793,5.8793,1313,0
2016-06-29,15:35:00,5.812,5.812,5.8113,5.8113,2032,0
2016-06-29,15:40:00,5.8113,5.8113,5.8113,5.8113,949,0
2016-06-29,17:30:00,5.812,5.812,5.812,5.812,1625,0
2016-06-30,09:05:00,5.9725,5.9725,5.9725,5.9725,69,0
2016-06-30,11:10:00,5.9717,5.9717,5.9717,5.9717,1147,0
2016-06-30,11:25:00,5.9307,5.9307,5.9307,5.9307,296,0
2016-06-30,16:00:00,5.9307,5.9307,5.9307,5.9307,344,0
2016-07-01,10:50:00,5.812,5.812,5.812,5.812,72,0
2016-07-01,17:30:00,5.813,5.813,5.813,5.813,72,0
2016-07-04,09:05:00,5.9708,5.9708,5.9708,5.9708,230,0
