Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,34.445,34.445,34.445,34.445,154,0
2017-10-25,09:10:00,34.385,34.385,34.31,34.31,1195,0
2017-10-25,09:15:00,34.26,34.26,34.115,34.155,1324,0
2017-10-25,09:20:00,34.16,34.185,34.11,34.185,746,0
2017-10-25,09:25:00,34.205,34.23,34.205,34.23,86,0
2017-10-25,09:30:00,34.21,34.21,34.155,34.155,627,0
2017-10-25,09:35:00,34.16,34.16,34.16,34.16,4,0
2017-10-25,09:40:00,34.13,34.165,34.13,34.135,373,0
2017-10-25,09:45:00,34.13,34.21,34.13,34.21,462,0
2017-10-25,09:50:00,34.19,34.19,34.18,34.18,300,0
2017-10-25,09:55:00,34.18,34.18,34.18,34.18,80,0
2017-10-25,10:00:00,34.18,34.18,34.18,34.18,206,0
2017-10-25,10:05:00,34.18,34.23,34.18,34.18,792,0
2017-10-25,10:10:00,34.175,34.175,34.175,34.175,62,0
2017-10-25,10:15:00,34.165,34.165,34.11,34.11,1579,0
2017-10-25,10:25:00,34.135,34.155,34.065,34.065,1240,0
2017-10-25,10:30:00,34.05,34.08,33.94,34.01,6712,0
2017-10-25,10:35:00,34,34.075,34,34.075,1044,0
2017-10-25,10:40:00,34.04,34.05,34.04,34.045,316,0
2017-10-25,10:50:00,34.035,34.045,34.035,34.045,82,0
2017-10-25,11:00:00,34.055,34.09,34.055,34.08,836,0
2017-10-25,11:05:00,34.085,34.085,34.085,34.085,95,0
2017-10-25,11:10:00,34.1,34.115,34.09,34.09,690,0
2017-10-25,11:20:00,34.095,34.1,34.09,34.1,463,0
2017-10-25,11:25:00,34.08,34.08,34.075,34.075,39,0
2017-10-25,11:30:00,34.055,34.055,34.055,34.055,152,0
2017-10-25,11:35:00,34.055,34.055,34.05,34.05,549,0
2017-10-25,11:40:00,34.035,34.035,34.035,34.035,507,0
2017-10-25,11:45:00,34.055,34.065,34.035,34.06,869,0
2017-10-25,11:50:00,34.05,34.055,34.05,34.05,231,0
2017-10-25,11:55:00,34.05,34.05,34.04,34.04,643,0
2017-10-25,12:00:00,34.04,34.05,34.04,34.05,224,0
2017-10-25,12:05:00,34.045,34.045,34.045,34.045,82,0
2017-10-25,12:20:00,34.045,34.05,34.02,34.045,513,0
2017-10-25,12:25:00,34.03,34.04,34.03,34.04,282,0
2017-10-25,12:35:00,34.035,34.045,34,34,2697,0
2017-10-25,12:40:00,34,34,34,34,341,0
