Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,10:40:00,56.073,56.073,56.073,56.073,4,0
2015-04-02,13:15:00,58.041,58.041,58.041,58.041,60,0
2015-04-02,13:20:00,58.041,58.041,58.041,58.041,56,0
2015-04-07,10:00:00,55.617,55.617,55.617,55.617,9,0
2015-04-07,13:35:00,55.949,55.949,55.949,55.949,9,0
2015-04-07,15:30:00,57.057,57.795,57.057,57.795,508,0
2015-04-07,16:45:00,57.599,57.599,57.599,57.599,626,0
2015-04-08,09:25:00,54.696,54.696,54.499,54.499,305,0
2015-04-08,09:30:00,54.499,54.499,54.499,54.499,163,0
2015-04-09,09:25:00,56.419,56.419,56.419,56.419,152,0
2015-04-09,09:30:00,56.35,56.361,56.35,56.361,1830,0
2015-04-09,09:40:00,56.235,56.235,56.235,56.235,915,0
2015-04-09,09:45:00,56.224,56.224,56.224,56.224,152,0
2015-04-09,10:15:00,56.258,56.368,56.258,56.368,903,0
2015-04-09,10:20:00,56.368,56.368,56.368,56.368,368,0
2015-04-09,10:25:00,56.235,56.235,56.235,56.235,356,0
2015-04-09,10:35:00,56.272,56.272,56.272,56.272,1009,0
2015-04-09,11:05:00,56.467,56.467,56.467,56.467,6397,0
2015-04-10,12:10:00,56.635,56.635,56.635,56.635,51,0
2015-04-10,15:00:00,56.634,56.634,56.634,56.634,305,0
2015-04-10,15:10:00,56.565,56.565,56.565,56.565,407,0
2015-04-10,15:55:00,57.548,57.548,57.548,57.548,1675,0
2015-04-15,12:55:00,56.843,56.843,56.843,56.843,365,0
2015-04-15,15:55:00,57.942,57.942,57.942,57.942,1416,0
2015-04-16,14:00:00,57.029,57.029,57.029,57.029,102,0
2015-04-16,14:05:00,57.029,57.029,57.029,57.029,102,0
2015-04-17,12:40:00,56.467,56.467,56.467,56.467,305,0
2015-04-21,16:40:00,56.32,56.32,56.304,56.32,2440,0
2015-04-22,16:40:00,56.659,56.659,56.659,56.659,173,0
