Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-09,10:45:00,1.639,1.639,1.639,1.639,4000,0
2016-06-09,13:00:00,1.5,1.5,1.5,1.5,4000,0
2016-06-09,13:05:00,1.448,1.462,1.41,1.462,16599,0
2016-06-09,13:10:00,1.4,1.4,1.4,1.4,2000,0
2016-06-09,13:45:00,1.371,1.4,1.352,1.352,12250,0
2016-06-09,13:55:00,1.34,1.34,1.34,1.34,2400,0
2016-06-09,14:00:00,1.314,1.363,1.314,1.363,7700,0
2016-06-09,14:15:00,1.35,1.35,1.31,1.31,5000,0
2016-06-09,14:20:00,1.312,1.312,1.299,1.3,10530,0
2016-06-09,14:45:00,1.265,1.265,1.265,1.265,2000,0
2016-06-09,15:10:00,1.161,1.161,1.161,1.161,2000,0
2016-06-09,15:15:00,1.21,1.21,1.21,1.21,2000,0
2016-06-09,15:20:00,1.198,1.2,1.198,1.2,1400,0
2016-06-09,15:25:00,1.235,1.235,1.235,1.235,5000,0
2016-06-09,15:30:00,1.14,1.14,1.07,1.1,9000,0
2016-06-09,15:35:00,1.1,1.115,1.07,1.07,12200,0
2016-06-09,15:40:00,1.03,1.05,1.03,1.05,6000,0
2016-06-09,15:45:00,1.049,1.05,1.049,1.05,2600,0
2016-06-09,15:50:00,1.03,1.048,1.03,1.048,4400,0
2016-06-09,15:55:00,1,1,1,1,1044,0
2016-06-09,16:00:00,0.999,0.999,0.96,0.96,4000,0
2016-06-09,16:05:00,0.998,0.999,0.956,0.956,13620,0
2016-06-09,16:10:00,0.958,0.958,0.955,0.955,14458,0
2016-06-09,16:15:00,0.989,0.99,0.989,0.99,7000,0
2016-06-09,16:20:00,0.99,0.99,0.99,0.99,200,0
2016-06-09,16:25:00,0.99,0.999,0.98,0.98,8200,0
2016-06-09,16:30:00,1,1.05,1,1.047,12270,0
2016-06-09,16:35:00,1.011,1.011,1.01,1.01,3089,0
2016-06-09,16:40:00,1.039,1.045,1.039,1.04,13200,0
2016-06-09,16:55:00,1.04,1.04,1.04,1.04,8056,0
2016-06-09,17:00:00,1.04,1.04,1.04,1.04,5282,0
2016-06-09,17:05:00,1.04,1.04,1.04,1.04,2175,0
2016-06-09,17:10:00,1.001,1.001,1,1,9056,0
2016-06-09,17:30:00,1.01,1.01,0.981,0.981,8920,0
2016-06-10,09:05:00,1.015,1.015,1.015,1.015,150,0
2016-06-10,09:25:00,1.026,1.026,1.026,1.026,2500,0
2016-06-10,09:40:00,1.019,1.02,1.015,1.015,1880,0
2016-06-10,09:45:00,1.01,1.01,1.01,1.01,35,0
2016-06-10,10:00:00,1.001,1.001,0.956,0.956,7858,0
2016-06-10,10:05:00,0.95,0.961,0.95,0.951,8613,0
2016-06-10,10:25:00,0.95,0.95,0.95,0.95,2000,0
2016-06-10,10:35:00,0.95,0.955,0.95,0.95,5000,0
2016-06-10,10:45:00,0.969,0.97,0.95,0.95,6335,0
2016-06-10,11:00:00,0.95,0.95,0.95,0.95,2000,0
2016-06-10,11:05:00,0.95,0.97,0.95,0.97,3895,0
2016-06-10,11:10:00,0.97,0.97,0.97,0.97,1000,0
2016-06-10,11:15:00,0.97,0.97,0.97,0.97,1105,0
2016-06-10,11:20:00,0.961,0.961,0.96,0.96,1089,0
2016-06-10,12:00:00,0.976,0.976,0.976,0.976,500,0
2016-06-10,12:05:00,0.976,0.977,0.976,0.977,1122,0
2016-06-10,13:25:00,0.969,0.981,0.969,0.981,4745,0
2016-06-10,14:00:00,0.99,0.99,0.99,0.99,1500,0
2016-06-10,14:20:00,1,1,1,1,2000,0
2016-06-10,15:20:00,1.03,1.03,1.03,1.03,2000,0
2016-06-10,15:25:00,1.048,1.05,1.048,1.05,12000,0
2016-06-10,15:35:00,1.028,1.028,1.027,1.027,2014,0
2016-06-10,15:40:00,1.027,1.068,1.027,1.068,5000,0
2016-06-10,16:15:00,1.048,1.05,1.048,1.05,7000,0
2016-06-10,16:20:00,1.05,1.068,1.05,1.068,2051,0
2016-06-10,16:25:00,1.068,1.068,1.068,1.068,1000,0
2016-06-10,17:00:00,1.068,1.086,1.068,1.086,100,0
2016-06-13,09:05:00,1.09,1.09,1.09,1.09,1450,0
2016-06-13,09:15:00,1.046,1.093,1.046,1.093,3451,0
2016-06-13,10:00:00,1.052,1.052,1.029,1.03,4500,0
2016-06-13,10:05:00,1.058,1.058,1.058,1.058,55,0
2016-06-13,10:10:00,1.069,1.08,1.069,1.08,5000,0
2016-06-13,11:45:00,1.079,1.113,1.079,1.113,8911,0
2016-06-13,11:50:00,1.11,1.11,1.085,1.085,3000,0
2016-06-13,14:55:00,1.076,1.076,1.074,1.074,8583,0
2016-06-13,15:15:00,1.084,1.084,1.084,1.084,200,0
2016-06-13,16:15:00,1.084,1.084,1.084,1.084,333,0
2016-06-13,17:30:00,1.065,1.065,1.065,1.065,1000,0
2016-06-14,09:45:00,1.095,1.095,1.095,1.095,80,0
2016-06-14,09:50:00,1.06,1.06,1.025,1.041,5700,0
2016-06-14,10:00:00,1.035,1.042,1.035,1.042,4000,0
2016-06-14,10:55:00,1.004,1.004,1.004,1.004,1200,0
2016-06-14,11:40:00,1.02,1.02,1,1,2500,0
2016-06-14,13:40:00,1,1,1,1,2000,0
2016-06-14,14:25:00,0.976,0.976,0.976,0.976,2000,0
2016-06-14,17:30:00,1.009,1.009,0.961,0.961,2596,0
2016-06-15,09:05:00,1.024,1.024,1.024,1.024,4000,0
2016-06-15,12:05:00,1.017,1.017,1.017,1.017,4,0
2016-06-15,13:00:00,0.95,0.95,0.95,0.95,14000,0
2016-06-15,13:25:00,0.91,0.91,0.904,0.904,4000,0
2016-06-15,13:30:00,0.9,0.9,0.88,0.9,18354,0
2016-06-15,13:35:00,0.864,0.864,0.853,0.853,4000,0
2016-06-15,14:45:00,0.85,0.85,0.844,0.844,3360,0
2016-06-15,14:55:00,0.819,0.819,0.788,0.788,9600,0
2016-06-15,15:00:00,0.77,0.798,0.763,0.798,4680,0
2016-06-15,15:30:00,0.7,0.7,0.7,0.7,2000,0
2016-06-15,15:35:00,0.7,0.735,0.7,0.735,6000,0
2016-06-15,16:40:00,0.8,0.8,0.8,0.8,968,0
2016-06-15,17:30:00,0.815,0.815,0.815,0.815,7400,0
2016-06-16,09:05:00,0.83,0.83,0.83,0.83,122,0
2016-06-16,09:25:00,0.86,0.86,0.86,0.86,2000,0
2016-06-16,09:55:00,0.865,0.865,0.865,0.865,2000,0
2016-06-16,10:35:00,0.9,0.9,0.9,0.9,400,0
2016-06-16,10:40:00,0.9,0.9,0.9,0.9,475,0
2016-06-16,10:50:00,0.906,0.906,0.898,0.898,4489,0
2016-06-16,12:30:00,0.924,0.924,0.924,0.924,2000,0
2016-06-16,13:45:00,0.929,0.929,0.929,0.929,500,0
2016-06-16,15:50:00,0.93,0.93,0.93,0.93,200,0
2016-06-16,15:55:00,0.886,0.886,0.886,0.886,172,0
2016-06-16,16:05:00,0.923,0.923,0.923,0.923,606,0
2016-06-16,16:35:00,0.876,0.876,0.876,0.876,2740,0
2016-06-17,09:05:00,0.9,0.9,0.9,0.9,2480,0
2016-06-17,09:10:00,0.9,0.9,0.876,0.876,2000,0
2016-06-17,11:20:00,0.909,0.909,0.909,0.909,581,0
2016-06-17,11:25:00,0.909,0.909,0.909,0.909,317,0
2016-06-17,11:40:00,0.91,0.91,0.91,0.91,500,0
2016-06-17,11:55:00,0.927,0.927,0.927,0.927,589,0
2016-06-17,12:05:00,0.95,0.95,0.95,0.95,547,0
2016-06-17,12:35:00,0.937,0.937,0.937,0.937,1313,0
2016-06-17,12:45:00,0.95,0.95,0.95,0.95,497,0
2016-06-17,13:05:00,0.967,0.967,0.967,0.967,512,0
2016-06-17,13:50:00,0.97,0.996,0.97,0.996,1432,0
2016-06-17,13:55:00,0.964,0.964,0.964,0.964,2000,0
2016-06-17,14:10:00,0.996,0.996,0.996,0.996,976,0
2016-06-17,14:30:00,0.998,0.998,0.998,0.998,655,0
2016-06-17,14:40:00,0.998,0.998,0.998,0.998,550,0
2016-06-17,14:50:00,0.989,0.989,0.989,0.989,576,0
2016-06-17,15:00:00,0.948,0.948,0.943,0.943,1177,0
2016-06-17,15:15:00,0.92,0.92,0.92,0.92,2000,0
2016-06-17,15:20:00,0.942,0.95,0.942,0.95,7500,0
2016-06-17,15:30:00,0.949,0.949,0.949,0.949,804,0
2016-06-17,17:20:00,0.949,0.95,0.949,0.95,7655,0
2016-06-17,17:30:00,1.03,1.03,1.03,1.03,30512,0
2016-06-20,09:05:00,1.03,1.03,1.03,1.03,600,0
2016-06-20,09:10:00,1.031,1.031,1.03,1.03,1717,0
2016-06-20,09:15:00,0.994,0.994,0.993,0.993,2186,0
2016-06-20,09:45:00,1.024,1.025,1.024,1.025,2500,0
2016-06-20,10:30:00,1.03,1.03,1.03,1.03,4283,0
2016-06-20,11:30:00,1.031,1.031,1.03,1.03,4500,0
