Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,86.15,86.33,86.15,86.33,1704,0
2017-10-26,09:10:00,86.22,86.34,86.05,86.31,2471,0
2017-10-26,09:15:00,86.26,86.36,86.13,86.36,4904,0
2017-10-26,09:20:00,86.45,86.49,86.28,86.33,3520,0
2017-10-26,09:25:00,86.3,86.46,86.29,86.44,1636,0
2017-10-26,09:30:00,86.39,86.52,86.36,86.36,6268,0
2017-10-26,09:35:00,86.36,86.73,86.36,86.67,6964,0
2017-10-26,09:40:00,86.69,86.77,86.63,86.63,5782,0
2017-10-26,09:45:00,86.63,86.63,86.56,86.63,7702,0
2017-10-26,09:50:00,86.65,86.67,86.56,86.56,1259,0
2017-10-26,09:55:00,86.58,86.62,86.54,86.62,4382,0
2017-10-26,10:00:00,86.65,86.68,86.61,86.64,2480,0
2017-10-26,10:05:00,86.7,86.82,86.7,86.82,2836,0
2017-10-26,10:10:00,86.82,86.86,86.77,86.84,2138,0
2017-10-26,10:15:00,86.82,86.83,86.75,86.83,3467,0
2017-10-26,10:20:00,86.84,86.9,86.83,86.9,1426,0
2017-10-26,10:25:00,86.88,86.88,86.79,86.81,2869,0
2017-10-26,10:30:00,86.81,86.89,86.81,86.87,2433,0
2017-10-26,10:35:00,86.89,86.92,86.75,86.77,1477,0
2017-10-26,10:40:00,86.76,86.77,86.72,86.76,2904,0
2017-10-26,10:45:00,86.75,86.8,86.73,86.8,2257,0
2017-10-26,10:50:00,86.79,86.85,86.79,86.83,2838,0
2017-10-26,10:55:00,86.85,86.86,86.82,86.85,2667,0
2017-10-26,11:00:00,86.85,86.87,86.81,86.81,1417,0
2017-10-26,11:05:00,86.81,86.84,86.81,86.82,939,0
2017-10-26,11:10:00,86.8,86.81,86.76,86.76,723,0
2017-10-26,11:15:00,86.74,86.75,86.69,86.69,4006,0
2017-10-26,11:20:00,86.67,86.67,86.54,86.56,5149,0
2017-10-26,11:25:00,86.57,86.59,86.44,86.54,4894,0
2017-10-26,11:30:00,86.53,86.61,86.49,86.61,7065,0
2017-10-26,11:35:00,86.61,86.63,86.59,86.59,1763,0
2017-10-26,11:40:00,86.6,86.6,86.57,86.57,932,0
2017-10-26,11:45:00,86.56,86.68,86.56,86.68,4942,0
2017-10-26,11:50:00,86.65,86.71,86.65,86.71,4080,0
2017-10-26,11:55:00,86.72,86.75,86.72,86.73,5324,0
2017-10-26,12:00:00,86.73,86.85,86.7,86.84,4053,0
2017-10-26,12:05:00,86.84,86.84,86.7,86.75,5740,0
2017-10-26,12:10:00,86.76,86.77,86.74,86.76,1247,0
2017-10-26,12:15:00,86.75,86.76,86.72,86.72,701,0
2017-10-26,12:20:00,86.7,86.7,86.5,86.53,11773,0
2017-10-26,12:25:00,86.52,86.76,86.49,86.75,10920,0
2017-10-26,12:30:00,86.79,86.87,86.76,86.82,7738,0
2017-10-26,12:35:00,86.82,86.87,86.81,86.85,1541,0
2017-10-26,12:40:00,86.84,86.84,86.75,86.76,1270,0
2017-10-26,12:45:00,86.75,86.76,86.63,86.65,806,0
2017-10-26,12:50:00,86.59,86.64,86.58,86.59,2281,0
2017-10-26,12:55:00,86.6,86.64,86.59,86.59,2700,0
2017-10-26,13:00:00,86.59,86.6,86.58,86.59,1018,0
2017-10-26,13:05:00,86.63,86.63,86.58,86.59,1037,0
2017-10-26,13:10:00,86.59,86.68,86.59,86.6,2016,0
2017-10-26,13:15:00,86.6,86.6,86.56,86.58,1801,0
2017-10-26,13:20:00,86.56,86.57,86.51,86.52,593,0
2017-10-26,13:25:00,86.53,86.59,86.51,86.58,1770,0
2017-10-26,13:30:00,86.57,86.57,86.55,86.57,453,0
2017-10-26,13:35:00,86.57,86.58,86.56,86.56,375,0
2017-10-26,13:40:00,86.55,86.55,86.51,86.53,713,0
2017-10-26,13:45:00,86.55,86.56,86.4,86.4,1573,0
2017-10-26,13:50:00,86.43,86.66,86.43,86.59,11915,0
2017-10-26,13:55:00,86.58,86.58,86.53,86.55,1737,0
2017-10-26,14:00:00,86.51,86.58,86.46,86.49,1521,0
2017-10-26,14:05:00,86.49,86.68,86.49,86.59,1624,0
2017-10-26,14:10:00,86.63,86.66,86.6,86.66,1021,0
2017-10-26,14:15:00,86.7,86.74,86.67,86.74,2439,0
2017-10-26,14:20:00,86.72,86.74,86.7,86.7,1246,0
2017-10-26,14:25:00,86.7,86.71,86.67,86.68,484,0
2017-10-26,14:30:00,86.68,86.69,86.61,86.66,1412,0
2017-10-26,14:35:00,86.66,86.69,86.58,86.64,1109,0
2017-10-26,14:40:00,86.65,86.65,86.56,86.56,1489,0
2017-10-26,14:45:00,86.58,86.59,86.53,86.55,3391,0
2017-10-26,14:50:00,86.57,86.57,86.49,86.5,954,0
2017-10-26,14:55:00,86.51,86.53,86.51,86.51,1089,0
2017-10-26,15:00:00,86.5,86.51,86.41,86.49,2445,0
2017-10-26,15:05:00,86.43,86.46,86.41,86.44,1353,0
2017-10-26,15:10:00,86.45,86.45,86.43,86.44,670,0
2017-10-26,15:15:00,86.44,86.49,86.39,86.49,3998,0
2017-10-26,15:20:00,86.47,86.47,86.43,86.43,1224,0
2017-10-26,15:25:00,86.43,86.51,86.43,86.48,1359,0
2017-10-26,15:30:00,86.51,86.51,86.49,86.51,514,0
2017-10-26,15:35:00,86.5,86.74,86.5,86.66,8138,0
2017-10-26,15:40:00,86.67,86.67,86.58,86.62,1777,0
2017-10-26,15:45:00,86.62,86.65,86.57,86.6,1133,0
2017-10-26,15:50:00,86.59,86.68,86.59,86.67,1672,0
2017-10-26,15:55:00,86.65,86.72,86.63,86.66,9636,0
2017-10-26,16:00:00,86.66,86.76,86.66,86.74,4575,0
2017-10-26,16:05:00,86.71,86.73,86.63,86.66,3644,0
2017-10-26,16:10:00,86.64,86.7,86.61,86.7,7440,0
2017-10-26,16:15:00,86.71,86.74,86.64,86.64,3441,0
2017-10-26,16:20:00,86.65,86.7,86.64,86.65,5389,0
2017-10-26,16:25:00,86.63,86.73,86.63,86.7,7507,0
2017-10-26,16:30:00,86.73,86.82,86.73,86.77,4032,0
2017-10-26,16:35:00,86.75,86.83,86.75,86.83,4475,0
2017-10-26,16:40:00,86.83,87.07,86.83,87.07,14904,0
2017-10-26,16:45:00,87.1,87.26,87.09,87.14,13364,0
2017-10-26,16:50:00,87.15,87.28,87.15,87.16,7518,0
2017-10-26,16:55:00,87.15,87.19,87.06,87.13,10594,0
2017-10-26,17:00:00,87.06,87.06,87.01,87.02,2013,0
2017-10-26,17:05:00,87.04,87.08,86.95,87.05,3115,0
2017-10-26,17:10:00,87.05,87.08,86.97,87.06,4199,0
2017-10-26,17:15:00,87.05,87.21,87.04,87.17,6274,0
2017-10-26,17:20:00,87.16,87.16,87.06,87.09,10671,0
2017-10-26,17:25:00,87.09,87.16,87.07,87.15,4353,0
2017-10-26,17:30:00,87.16,87.29,87.13,87.24,128568,0
2017-10-27,09:05:00,86.86,86.88,86.54,86.82,22782,0
2017-10-27,09:10:00,86.81,86.86,86.69,86.77,16616,0
2017-10-27,09:15:00,86.78,86.92,86.54,86.92,29335,0
2017-10-27,09:20:00,86.92,87.21,86.91,87.11,10813,0
2017-10-27,09:25:00,87.07,87.11,86.88,86.88,7412,0
2017-10-27,09:30:00,86.87,86.94,86.78,86.84,7260,0
2017-10-27,09:35:00,86.86,86.91,86.67,86.74,8539,0
2017-10-27,09:40:00,86.74,86.89,86.61,86.89,4724,0
2017-10-27,09:45:00,86.89,87.02,86.82,87.02,4796,0
2017-10-27,09:50:00,87,87.04,86.97,87.02,7958,0
2017-10-27,09:55:00,87.03,87.1,86.66,86.66,10373,0
2017-10-27,10:00:00,86.67,86.76,86.64,86.66,4359,0
2017-10-27,10:05:00,86.62,86.71,86.59,86.71,3001,0
2017-10-27,10:10:00,86.75,86.84,86.71,86.84,3109,0
2017-10-27,10:15:00,86.83,86.83,86.72,86.75,1414,0
2017-10-27,10:20:00,86.75,86.76,86.7,86.75,2589,0
2017-10-27,10:25:00,86.72,86.73,86.62,86.62,3186,0
2017-10-27,10:30:00,86.62,86.69,86.55,86.62,7188,0
2017-10-27,10:35:00,86.62,86.63,86.51,86.56,8337,0
2017-10-27,10:40:00,86.55,86.58,86.49,86.5,3949,0
2017-10-27,10:45:00,86.51,86.53,86.45,86.47,7508,0
2017-10-27,10:50:00,86.47,86.52,86.42,86.44,18754,0
2017-10-27,10:55:00,86.42,86.48,86.42,86.43,5556,0
2017-10-27,11:00:00,86.43,86.45,86.37,86.38,7463,0
2017-10-27,11:05:00,86.39,86.5,86.39,86.47,4531,0
2017-10-27,11:10:00,86.46,86.6,86.45,86.54,11620,0
2017-10-27,11:15:00,86.56,86.6,86.43,86.48,13266,0
2017-10-27,11:20:00,86.48,86.49,86.39,86.41,5924,0
2017-10-27,11:25:00,86.39,86.49,86.35,86.45,7888,0
2017-10-27,11:30:00,86.47,86.53,86.39,86.41,7071,0
2017-10-27,11:35:00,86.39,86.51,86.37,86.51,9043,0
2017-10-27,11:40:00,86.5,86.56,86.48,86.5,12296,0
2017-10-27,11:45:00,86.5,86.55,86.46,86.47,7424,0
2017-10-27,11:50:00,86.48,86.6,86.45,86.59,6298,0
2017-10-27,11:55:00,86.58,86.65,86.58,86.62,5086,0
2017-10-27,12:00:00,86.61,86.69,86.57,86.67,17562,0
