Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-25,09:05:00,2.795,2.834,2.795,2.834,4169,0
2017-08-25,09:15:00,2.807,2.807,2.807,2.807,542,0
2017-08-25,09:40:00,2.797,2.797,2.72,2.72,67139,0
2017-08-25,10:15:00,2.735,2.746,2.735,2.746,3000,0
2017-08-25,10:35:00,2.723,2.723,2.723,2.723,575,0
2017-08-25,10:40:00,2.722,2.722,2.72,2.72,2824,0
2017-08-25,10:50:00,2.731,2.732,2.731,2.732,5000,0
2017-08-25,11:15:00,2.731,2.746,2.731,2.746,2500,0
2017-08-25,11:30:00,2.735,2.74,2.735,2.74,15000,0
2017-08-25,11:35:00,2.729,2.729,2.729,2.729,295,0
2017-08-25,11:45:00,2.726,2.726,2.716,2.719,5000,0
2017-08-25,11:50:00,2.727,2.727,2.726,2.726,3389,0
2017-08-25,12:15:00,2.721,2.721,2.721,2.721,1300,0
2017-08-25,12:20:00,2.716,2.716,2.712,2.714,2472,0
2017-08-25,12:30:00,2.73,2.73,2.73,2.73,1000,0
2017-08-25,13:00:00,2.73,2.73,2.73,2.73,417,0
2017-08-25,13:20:00,2.733,2.733,2.733,2.733,17,0
2017-08-25,13:50:00,2.751,2.751,2.749,2.749,1855,0
2017-08-25,13:55:00,2.752,2.753,2.752,2.753,1865,0
2017-08-25,14:00:00,2.754,2.755,2.754,2.755,1955,0
2017-08-25,14:05:00,2.754,2.755,2.754,2.755,2237,0
2017-08-25,14:10:00,2.755,2.755,2.754,2.754,2088,0
2017-08-25,14:25:00,2.754,2.755,2.754,2.755,5804,0
2017-08-25,14:45:00,2.755,2.755,2.755,2.755,3500,0
2017-08-25,14:50:00,2.755,2.755,2.755,2.755,2087,0
2017-08-25,14:55:00,2.755,2.755,2.755,2.755,2579,0
2017-08-25,15:30:00,2.749,2.749,2.749,2.749,110,0
2017-08-25,16:00:00,2.749,2.754,2.749,2.754,1500,0
2017-08-25,16:20:00,2.755,2.755,2.75,2.75,4579,0
2017-08-25,16:45:00,2.742,2.742,2.742,2.742,47,0
2017-08-25,17:05:00,2.743,2.744,2.743,2.744,963,0
2017-08-25,17:15:00,2.75,2.75,2.75,2.75,131,0
2017-08-25,17:25:00,2.75,2.75,2.732,2.749,8225,0
2017-08-25,17:30:00,2.742,2.755,2.739,2.74,9503,0
2017-08-28,09:05:00,2.76,2.77,2.76,2.76,1024,0
2017-08-28,09:10:00,2.733,2.733,2.667,2.699,15268,0
2017-08-28,09:15:00,2.67,2.67,2.67,2.67,201,0
2017-08-28,09:20:00,2.67,2.69,2.67,2.69,10000,0
2017-08-28,09:50:00,2.686,2.686,2.686,2.686,300,0
2017-08-28,10:00:00,2.674,2.674,2.666,2.666,5000,0
2017-08-28,10:05:00,2.684,2.684,2.684,2.684,401,0
2017-08-28,10:15:00,2.686,2.686,2.686,2.686,3449,0
2017-08-28,10:50:00,2.67,2.67,2.67,2.67,875,0
2017-08-28,11:05:00,2.669,2.669,2.669,2.669,200,0
2017-08-28,11:20:00,2.669,2.669,2.669,2.669,2000,0
2017-08-28,12:00:00,2.671,2.671,2.671,2.671,75,0
2017-08-28,12:35:00,2.684,2.699,2.672,2.699,13697,0
2017-08-28,12:50:00,2.722,2.745,2.722,2.745,1790,0
2017-08-28,14:45:00,2.735,2.735,2.722,2.722,9833,0
2017-08-28,14:50:00,2.715,2.715,2.7,2.7,10000,0
2017-08-28,15:30:00,2.706,2.706,2.706,2.706,875,0
2017-08-28,15:35:00,2.706,2.706,2.706,2.706,2558,0
2017-08-28,16:00:00,2.706,2.706,2.706,2.706,1018,0
2017-08-28,16:05:00,2.687,2.687,2.687,2.687,30,0
2017-08-28,16:10:00,2.686,2.686,2.685,2.685,609,0
2017-08-28,17:05:00,2.707,2.72,2.707,2.717,2462,0
2017-08-28,17:20:00,2.74,2.74,2.74,2.74,3886,0
2017-08-28,17:30:00,2.728,2.728,2.689,2.689,3934,0
2017-08-29,09:05:00,2.779,2.779,2.729,2.729,42,0
2017-08-29,10:10:00,2.709,2.709,2.689,2.689,15715,0
2017-08-29,10:25:00,2.689,2.689,2.66,2.66,23974,0
2017-08-29,13:55:00,2.68,2.68,2.67,2.67,3610,0
2017-08-29,14:15:00,2.694,2.699,2.67,2.67,3349,0
2017-08-29,16:40:00,2.693,2.693,2.693,2.693,1,0
2017-08-29,16:45:00,2.695,2.695,2.695,2.695,140,0
2017-08-29,16:50:00,2.717,2.717,2.717,2.717,600,0
2017-08-29,17:05:00,2.72,2.72,2.72,2.72,2,0
2017-08-29,17:10:00,2.717,2.726,2.717,2.72,8333,0
2017-08-29,17:15:00,2.701,2.701,2.701,2.701,490,0
2017-08-29,17:20:00,2.681,2.701,2.681,2.701,1359,0
2017-08-29,17:30:00,2.712,2.733,2.7,2.7,3212,0
2017-08-30,09:05:00,2.77,2.77,2.77,2.77,300,0
2017-08-30,10:30:00,2.724,2.724,2.724,2.724,1350,0
2017-08-30,10:50:00,2.702,2.702,2.702,2.702,280,0
2017-08-30,14:25:00,2.718,2.718,2.718,2.718,580,0
2017-08-30,15:00:00,2.718,2.718,2.701,2.701,700,0
2017-08-30,17:25:00,2.706,2.706,2.706,2.706,148,0
2017-08-30,17:30:00,2.711,2.735,2.706,2.735,350,0
2017-08-31,11:45:00,2.738,2.738,2.738,2.738,198,0
2017-08-31,11:55:00,2.738,2.738,2.738,2.738,201,0
2017-08-31,12:50:00,2.755,2.757,2.755,2.757,2000,0
2017-08-31,13:25:00,2.765,2.765,2.741,2.741,1333,0
2017-08-31,16:50:00,2.747,2.747,2.747,2.747,460,0
2017-08-31,17:10:00,2.775,2.8,2.77,2.77,12282,0
2017-08-31,17:25:00,2.776,2.776,2.776,2.776,4100,0
2017-08-31,17:30:00,2.77,2.797,2.74,2.797,2208,0
2017-09-01,09:05:00,2.839,2.839,2.788,2.788,1987,0
2017-09-01,09:40:00,2.744,2.744,2.744,2.744,180,0
2017-09-01,10:05:00,2.755,2.78,2.755,2.78,2881,0
2017-09-01,10:40:00,2.8,2.8,2.8,2.8,1000,0
2017-09-01,11:40:00,2.774,2.774,2.774,2.774,170,0
2017-09-01,12:25:00,2.774,2.786,2.774,2.786,2349,0
2017-09-01,13:55:00,2.78,2.78,2.78,2.78,103,0
2017-09-01,14:10:00,2.805,2.805,2.805,2.805,1157,0
2017-09-01,14:35:00,2.805,2.805,2.805,2.805,1343,0
2017-09-01,16:40:00,2.736,2.736,2.736,2.736,303,0
2017-09-01,17:30:00,2.72,2.72,2.702,2.702,1415,0
2017-09-04,09:05:00,2.701,2.701,2.701,2.701,2100,0
2017-09-04,09:15:00,2.759,2.759,2.759,2.759,600,0
2017-09-04,09:25:00,2.746,2.746,2.746,2.746,200,0
2017-09-04,10:25:00,2.744,2.745,2.744,2.745,2207,0
2017-09-04,10:30:00,2.732,2.732,2.732,2.732,60,0
2017-09-04,11:05:00,2.748,2.75,2.748,2.75,945,0
2017-09-04,11:35:00,2.77,2.772,2.77,2.772,1000,0
2017-09-04,12:30:00,2.781,2.781,2.781,2.781,438,0
2017-09-04,12:40:00,2.788,2.788,2.788,2.788,117,0
2017-09-04,13:20:00,2.705,2.72,2.705,2.72,971,0
2017-09-04,15:40:00,2.743,2.8,2.743,2.8,3851,0
2017-09-04,15:45:00,2.799,2.848,2.799,2.848,1619,0
2017-09-04,16:15:00,2.789,2.789,2.789,2.789,652,0
2017-09-04,17:15:00,2.759,2.759,2.759,2.759,18,0
2017-09-04,17:30:00,2.763,2.763,2.75,2.75,713,0
2017-09-05,09:05:00,2.798,2.798,2.798,2.798,360,0
2017-09-05,09:10:00,2.766,2.766,2.766,2.766,200,0
2017-09-05,09:35:00,2.766,2.766,2.766,2.766,359,0
2017-09-05,10:45:00,2.77,2.77,2.77,2.77,955,0
2017-09-05,10:55:00,2.771,2.771,2.771,2.771,465,0
2017-09-05,12:40:00,2.771,2.771,2.77,2.77,255,0
2017-09-05,13:25:00,2.772,2.772,2.772,2.772,1000,0
2017-09-05,15:15:00,2.754,2.754,2.754,2.754,600,0
2017-09-05,15:35:00,2.766,2.773,2.766,2.773,3661,0
2017-09-05,15:50:00,2.772,2.772,2.772,2.772,1397,0
2017-09-05,15:55:00,2.772,2.772,2.772,2.772,800,0
2017-09-05,16:35:00,2.772,2.772,2.772,2.772,157,0
2017-09-05,17:15:00,2.772,2.772,2.772,2.772,1506,0
2017-09-05,17:25:00,2.772,2.772,2.772,2.772,484,0
2017-09-05,17:30:00,2.772,2.784,2.772,2.781,1407,0
2017-09-06,09:05:00,2.797,2.797,2.797,2.797,500,0
2017-09-06,09:40:00,2.772,2.772,2.772,2.772,251,0
2017-09-06,10:50:00,2.772,2.772,2.772,2.772,140,0
2017-09-06,11:35:00,2.772,2.772,2.772,2.772,429,0
2017-09-06,11:40:00,2.772,2.772,2.772,2.772,702,0
2017-09-06,12:25:00,2.772,2.772,2.772,2.772,205,0
2017-09-06,13:20:00,2.772,2.772,2.772,2.772,236,0
2017-09-06,14:25:00,2.772,2.772,2.772,2.772,186,0
2017-09-06,15:00:00,2.772,2.772,2.77,2.77,32893,0
2017-09-06,15:05:00,2.77,2.77,2.769,2.77,21558,0
2017-09-06,15:40:00,2.764,2.769,2.764,2.769,2000,0
2017-09-06,16:25:00,2.768,2.77,2.768,2.77,10000,0
2017-09-06,17:00:00,2.75,2.75,2.75,2.75,1599,0
2017-09-06,17:05:00,2.75,2.75,2.75,2.75,3401,0
2017-09-06,17:30:00,2.732,2.756,2.732,2.738,1816,0
2017-09-07,10:15:00,2.76,2.76,2.76,2.76,420,0
2017-09-07,11:05:00,2.755,2.755,2.755,2.755,850,0
2017-09-07,11:15:00,2.756,2.756,2.756,2.756,500,0
2017-09-07,12:05:00,2.75,2.75,2.75,2.75,225,0
2017-09-07,12:45:00,2.741,2.741,2.741,2.741,600,0
2017-09-07,13:20:00,2.727,2.727,2.727,2.727,218,0
2017-09-07,13:55:00,2.728,2.728,2.727,2.727,327,0
2017-09-07,14:40:00,2.727,2.727,2.727,2.727,150,0
2017-09-07,15:05:00,2.729,2.729,2.729,2.729,150,0
2017-09-07,15:10:00,2.748,2.768,2.748,2.768,999,0
2017-09-07,15:50:00,2.757,2.77,2.757,2.77,10000,0
2017-09-07,16:50:00,2.741,2.741,2.741,2.741,149,0
2017-09-07,17:10:00,2.74,2.74,2.74,2.74,216,0
2017-09-07,17:30:00,2.744,2.744,2.744,2.744,0,0
2017-09-08,09:05:00,2.725,2.725,2.725,2.725,213,0
2017-09-08,09:15:00,2.74,2.74,2.74,2.74,146,0
2017-09-08,09:25:00,2.733,2.733,2.733,2.733,68,0
2017-09-08,09:40:00,2.738,2.738,2.738,2.738,68,0
2017-09-08,09:55:00,2.732,2.732,2.732,2.732,68,0
2017-09-08,10:10:00,2.733,2.733,2.733,2.733,2068,0
2017-09-08,10:40:00,2.725,2.725,2.725,2.725,68,0
2017-09-08,10:55:00,2.725,2.725,2.725,2.725,68,0
2017-09-08,11:05:00,2.728,2.728,2.728,2.728,68,0
2017-09-08,11:25:00,2.727,2.727,2.727,2.727,68,0
2017-09-08,11:55:00,2.724,2.724,2.723,2.723,203,0
2017-09-08,13:10:00,2.721,2.721,2.704,2.704,3468,0
2017-09-08,17:30:00,2.719,2.719,2.719,2.719,0,0
2017-09-11,09:05:00,2.704,2.704,2.704,2.704,11,0
2017-09-11,09:10:00,2.734,2.734,2.734,2.734,138,0
2017-09-11,09:20:00,2.737,2.737,2.737,2.737,500,0
2017-09-11,09:30:00,2.722,2.722,2.712,2.712,500,0
2017-09-11,09:55:00,2.72,2.72,2.72,2.72,57,0
2017-09-11,10:25:00,2.722,2.722,2.722,2.722,59,0
2017-09-11,11:15:00,2.72,2.72,2.72,2.72,170,0
2017-09-11,12:35:00,2.713,2.713,2.7,2.7,5778,0
2017-09-11,13:15:00,2.724,2.74,2.724,2.74,1000,0
2017-09-11,13:20:00,2.7,2.7,2.7,2.7,3000,0
2017-09-11,13:55:00,2.71,2.71,2.71,2.71,57,0
2017-09-11,14:40:00,2.71,2.71,2.71,2.71,113,0
2017-09-11,15:00:00,2.71,2.71,2.7,2.7,1000,0
2017-09-11,15:20:00,2.705,2.705,2.705,2.705,24,0
2017-09-11,15:25:00,2.705,2.705,2.705,2.705,57,0
2017-09-11,15:40:00,2.702,2.702,2.702,2.702,61,0
2017-09-11,15:45:00,2.702,2.702,2.702,2.702,258,0
2017-09-11,15:50:00,2.702,2.702,2.7,2.7,4000,0
2017-09-11,15:55:00,2.7,2.7,2.7,2.7,57,0
