Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-22,09:05:00,2.457,2.459,2.457,2.459,1805,0
2017-05-22,09:25:00,2.441,2.441,2.44,2.44,4000,0
2017-05-22,09:35:00,2.441,2.441,2.435,2.435,4582,0
2017-05-22,11:10:00,2.459,2.459,2.459,2.459,1175,0
2017-05-22,12:05:00,2.455,2.455,2.455,2.455,500,0
2017-05-22,12:15:00,2.454,2.454,2.454,2.454,4500,0
2017-05-22,12:40:00,2.454,2.459,2.454,2.459,813,0
2017-05-22,12:50:00,2.459,2.459,2.459,2.459,320,0
2017-05-22,14:30:00,2.458,2.46,2.458,2.46,5000,0
2017-05-22,15:10:00,2.458,2.458,2.458,2.458,850,0
2017-05-22,15:15:00,2.459,2.46,2.459,2.46,2500,0
2017-05-22,15:20:00,2.459,2.46,2.459,2.46,3000,0
2017-05-22,15:30:00,2.46,2.46,2.459,2.46,9515,0
2017-05-22,15:35:00,2.459,2.46,2.459,2.46,7397,0
2017-05-22,15:40:00,2.46,2.46,2.46,2.46,380,0
2017-05-22,16:05:00,2.46,2.46,2.46,2.46,2500,0
2017-05-22,17:30:00,2.468,2.468,2.468,2.468,200,0
2017-05-23,09:05:00,2.458,2.458,2.458,2.458,2000,0
2017-05-23,09:35:00,2.458,2.46,2.458,2.46,6143,0
2017-05-23,09:55:00,2.485,2.485,2.485,2.485,500,0
2017-05-23,10:00:00,2.489,2.489,2.487,2.487,1540,0
2017-05-23,10:05:00,2.49,2.491,2.49,2.491,3516,0
2017-05-23,10:10:00,2.491,2.491,2.491,2.491,560,0
2017-05-23,10:20:00,2.485,2.485,2.485,2.485,3700,0
2017-05-23,11:00:00,2.462,2.462,2.462,2.462,2300,0
2017-05-23,14:45:00,2.462,2.462,2.462,2.462,2000,0
2017-05-23,17:05:00,2.484,2.486,2.484,2.486,7088,0
2017-05-23,17:20:00,2.486,2.486,2.486,2.486,1412,0
2017-05-24,09:05:00,2.465,2.48,2.465,2.48,2500,0
2017-05-24,09:10:00,2.466,2.466,2.45,2.45,4813,0
2017-05-24,09:20:00,2.46,2.46,2.46,2.46,2000,0
2017-05-24,09:30:00,2.46,2.46,2.46,2.46,2000,0
2017-05-24,09:45:00,2.46,2.46,2.46,2.46,20,0
2017-05-24,09:50:00,2.46,2.46,2.46,2.46,2000,0
2017-05-24,10:05:00,2.46,2.46,2.46,2.46,2000,0
2017-05-24,10:25:00,2.46,2.46,2.46,2.46,1500,0
2017-05-24,10:35:00,2.46,2.46,2.46,2.46,480,0
2017-05-24,10:45:00,2.46,2.462,2.46,2.462,2707,0
2017-05-24,11:10:00,2.464,2.464,2.464,2.464,520,0
2017-05-24,12:40:00,2.487,2.487,2.487,2.487,3000,0
2017-05-24,12:50:00,2.487,2.487,2.487,2.487,1404,0
2017-05-24,13:00:00,2.488,2.488,2.488,2.488,1000,0
2017-05-24,13:05:00,2.488,2.488,2.488,2.488,1596,0
2017-05-24,13:15:00,2.488,2.488,2.488,2.488,1404,0
2017-05-24,13:25:00,2.489,2.489,2.489,2.489,1250,0
2017-05-24,13:55:00,2.488,2.488,2.488,2.488,1000,0
2017-05-24,15:15:00,2.488,2.488,2.488,2.488,1596,0
2017-05-24,15:25:00,2.488,2.488,2.488,2.488,404,0
2017-05-24,17:00:00,2.489,2.49,2.489,2.49,9596,0
2017-05-25,09:05:00,2.49,2.49,2.49,2.49,285,0
2017-05-25,09:55:00,2.49,2.49,2.49,2.49,900,0
2017-05-25,10:45:00,2.48,2.48,2.48,2.48,2000,0
2017-05-25,11:15:00,2.48,2.48,2.48,2.48,680,0
2017-05-25,12:40:00,2.453,2.453,2.453,2.453,2000,0
2017-05-25,14:10:00,2.479,2.48,2.479,2.48,2000,0
2017-05-25,15:55:00,2.48,2.49,2.48,2.49,70,0
2017-05-25,16:10:00,2.49,2.49,2.49,2.49,1000,0
2017-05-25,16:15:00,2.49,2.49,2.49,2.49,1150,0
2017-05-26,12:40:00,2.446,2.446,2.446,2.446,120,0
2017-05-29,09:45:00,2.47,2.47,2.47,2.47,800,0
2017-05-29,10:05:00,2.47,2.47,2.47,2.47,1224,0
2017-05-29,12:25:00,2.471,2.471,2.47,2.47,1350,0
2017-05-29,14:55:00,2.471,2.471,2.47,2.47,1700,0
