Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-17,10:20:00,12.258,12.258,12.258,12.258,83,0
2015-04-20,11:00:00,11.967,11.967,11.967,11.967,2,0
2015-04-29,09:05:00,12.464,12.767,12.464,12.767,161,0
2015-04-30,12:00:00,12.743,12.743,12.743,12.743,103,0
2015-04-30,13:10:00,12.52,12.52,12.52,12.52,33,0
2015-04-30,14:05:00,12.523,12.523,12.523,12.523,155,0
2015-04-30,15:05:00,12.571,12.571,12.571,12.571,566,0
2015-05-04,17:30:00,12.497,12.497,12.497,12.497,384,0
2015-05-05,10:50:00,12.542,12.542,12.542,12.542,40,0
2015-05-05,14:10:00,12.161,12.161,12.161,12.161,247,0
2015-05-06,16:25:00,12.355,12.355,12.355,12.355,6,0
2015-05-11,10:25:00,12.139,12.139,12.139,12.139,248,0
2015-05-12,16:10:00,12.139,12.139,11.919,11.919,578,0
2015-05-12,17:30:00,11.893,11.919,11.893,11.919,1610,0
2015-05-13,09:05:00,11.851,11.851,11.851,11.851,206,0
2015-05-13,09:50:00,11.687,11.687,11.687,11.687,464,0
2015-05-13,09:55:00,11.686,11.686,11.686,11.686,206,0
2015-05-13,11:05:00,11.628,11.628,11.628,11.628,310,0
2015-05-13,11:50:00,11.628,11.628,11.628,11.628,516,0
2015-05-13,12:00:00,11.651,11.651,11.651,11.651,197,0
2015-05-13,14:20:00,11.651,11.651,11.628,11.628,361,0
2015-05-13,14:30:00,11.628,11.628,11.628,11.628,355,0
2015-05-13,17:15:00,11.58,11.58,11.531,11.531,3648,0
2015-05-14,09:25:00,11.725,11.725,11.725,11.725,516,0
2015-05-14,09:30:00,11.822,11.822,11.822,11.822,310,0
2015-05-14,12:25:00,11.725,11.725,11.725,11.725,206,0
2015-05-14,15:15:00,11.628,11.628,11.628,11.628,2064,0
2015-05-15,10:45:00,11.628,11.628,11.628,11.628,155,0
2015-05-15,11:35:00,11.628,11.628,11.628,11.628,361,0
2015-05-15,16:50:00,11.541,11.541,11.541,11.541,521,0
2015-05-15,17:30:00,11.512,11.512,11.512,11.512,2069,0
2015-05-18,14:05:00,11.619,11.619,11.619,11.619,10,0
2015-05-18,14:35:00,11.444,11.444,11.241,11.386,1573,0
2015-05-18,14:40:00,11.408,11.58,11.408,11.58,361,0
2015-05-18,16:00:00,11.58,11.58,11.58,11.58,440,0
2015-05-18,16:25:00,11.677,11.677,11.677,11.677,516,0
2015-05-18,17:15:00,11.538,11.538,11.435,11.435,544,0
2015-05-18,17:25:00,11.25,11.357,11.25,11.25,443,0
2015-05-18,17:30:00,11.25,11.36,11.25,11.36,4565,0
2015-05-19,12:45:00,12.452,12.452,12.452,12.452,134,0
2015-05-19,12:50:00,12.489,12.503,12.489,12.503,310,0
2015-05-19,12:55:00,12.53,12.53,12.53,12.53,413,0
2015-05-19,13:25:00,12.556,12.556,12.556,12.556,180,0
2015-05-19,17:30:00,12.556,12.556,12.556,12.556,1036,0
2015-05-20,09:05:00,13.566,13.566,12.922,12.922,206,0
2015-05-26,17:30:00,12.672,12.672,12.646,12.646,722,0
2015-06-01,08:05:00,12.84,12.84,12.84,12.84,3,0
2015-06-01,08:10:00,12.527,12.527,12.527,12.527,3,0
2015-06-02,11:40:00,13.126,13.566,13.126,13.566,310,0
2015-06-02,17:05:00,12.948,12.948,12.948,12.948,586,0
2015-06-04,14:50:00,12.632,12.632,12.632,12.632,155,0
2015-06-04,15:05:00,12.527,12.527,12.5,12.5,1290,0
2015-06-09,09:05:00,13.092,13.092,13.092,13.092,97,0
2015-06-09,13:10:00,12.774,12.774,12.774,12.774,407,0
2015-06-10,12:50:00,12.721,12.721,12.721,12.721,237,0
2015-06-15,09:05:00,12.791,12.791,12.791,12.791,103,0
2015-06-15,16:50:00,12.53,12.53,12.53,12.53,111,0
2015-06-18,13:30:00,13.056,13.056,13.056,13.056,208,0
2015-06-18,14:05:00,13.062,13.062,13.062,13.062,301,0
2015-06-26,14:30:00,12.527,12.527,12.527,12.527,446,0
2015-06-30,15:00:00,12.53,12.53,12.53,12.53,17,0
2015-07-07,14:40:00,12.809,13.324,12.809,13.324,275,0
2015-07-07,16:35:00,13.001,13.001,13.001,13.001,553,0
2015-07-09,09:40:00,13.179,13.179,13.179,13.179,144,0
2015-07-13,15:15:00,13.056,13.072,13.056,13.072,258,0
2015-07-13,15:20:00,13.056,13.072,13.056,13.072,875,0
2015-07-14,17:10:00,13.082,13.082,13.082,13.082,206,0
2015-07-15,12:20:00,12.626,12.626,12.626,12.626,25,0
2015-07-20,08:05:00,12.607,12.607,12.597,12.597,62,0
2015-07-24,17:50:00,12.597,12.597,12.597,12.597,413,0
2015-07-27,16:50:00,12.316,12.316,12.316,12.316,310,0
2015-07-28,14:05:00,12.591,12.591,12.591,12.591,119,0
2015-07-28,14:15:00,12.633,12.633,12.633,12.633,162,0
2015-07-28,14:20:00,12.646,12.646,12.646,12.646,206,0
2015-07-28,14:30:00,12.633,12.633,12.633,12.633,207,0
2015-07-28,14:35:00,12.633,12.633,12.633,12.633,207,0
2015-07-28,15:40:00,12.607,12.607,12.607,12.607,1521,0
2015-08-03,14:45:00,12.84,12.84,12.84,12.84,83,0
2015-08-06,09:10:00,12.922,12.922,12.922,12.922,41,0
2015-08-07,17:30:00,13.033,13.033,13.033,13.033,206,0
2015-08-10,15:45:00,12.21,12.21,12.21,12.21,310,0
2015-08-11,17:30:00,12.21,12.21,12.21,12.21,206,0
2015-08-14,09:25:00,12.481,12.481,12.481,12.481,121,0
2015-08-14,11:00:00,12.752,12.752,12.752,12.752,34,0
2015-08-14,17:40:00,12.743,12.743,12.743,12.743,258,0
2015-08-24,09:20:00,12.368,12.368,12.368,12.368,206,0
2015-08-27,10:00:00,12.016,12.016,12.016,12.016,250,0
2015-08-28,11:10:00,11.702,11.702,11.702,11.702,103,0
2015-08-28,12:20:00,11.657,11.657,11.657,11.657,310,0
2015-09-08,10:35:00,12.084,12.084,12.084,12.084,31,0
2015-09-08,16:00:00,11.512,11.512,11.512,11.512,116,0
2015-09-28,11:35:00,11.408,11.408,11.408,11.408,206,0
2015-10-01,13:30:00,11.512,11.512,11.512,11.512,206,0
2015-10-02,19:45:00,11.59,11.59,11.59,11.59,376,0
2015-10-05,16:50:00,11.583,11.583,11.583,11.583,327,0
2015-10-05,16:55:00,11.609,11.609,11.609,11.609,637,0
2015-10-06,09:55:00,11.919,11.919,11.919,11.919,103,0
2015-10-06,10:00:00,12.791,12.791,12.791,12.791,516,0
2015-10-08,12:30:00,12.302,12.302,12.302,12.302,310,0
2015-10-15,15:20:00,11.965,11.965,11.965,11.965,392,0
2015-10-15,15:25:00,11.938,11.938,11.938,11.938,722,0
2015-10-16,15:35:00,11.65,11.65,11.65,11.65,206,0
2015-10-22,08:40:00,11.992,12.283,11.992,12.283,206,0
2015-10-22,09:35:00,12.123,12.123,12.123,12.123,248,0
2015-10-27,10:10:00,11.803,11.803,11.725,11.725,527,0
2015-10-27,10:15:00,11.473,11.473,11.473,11.473,149,0
2015-10-28,09:20:00,11.558,11.558,11.558,11.558,310,0
2015-10-28,10:50:00,11.531,11.531,11.531,11.531,0,0
2015-10-29,12:10:00,11.628,11.628,11.628,11.628,103,0
2015-10-29,16:30:00,11.911,11.911,11.911,11.911,62,0
2015-11-04,10:25:00,12.186,12.549,12.186,12.549,430,0
2015-11-04,19:55:00,12.21,12.21,12.21,12.21,0,0
2015-11-06,18:25:00,12.523,12.523,12.523,12.523,80,0
2015-11-06,18:35:00,12.539,12.539,12.539,12.539,93,0
2015-11-18,16:20:00,11.783,11.783,11.496,11.496,227,0
2015-11-18,17:35:00,11.734,11.734,11.734,11.734,118,0
2015-11-19,17:30:00,11.725,11.725,11.725,11.725,103,0
2015-11-20,09:10:00,11.686,11.686,11.677,11.677,413,0
2015-11-24,09:45:00,11.696,11.696,11.696,11.696,70,0
2015-11-24,10:30:00,11.696,11.696,11.696,11.696,31,0
2015-11-24,11:05:00,12.21,12.21,12.21,12.21,206,0
2015-11-30,11:25:00,11.865,11.865,11.865,11.865,103,0
2015-11-30,15:55:00,11.849,11.861,11.849,11.861,619,0
2015-12-01,14:05:00,12.209,12.209,12.209,12.209,103,0
2015-12-04,10:55:00,11.919,11.919,11.919,11.919,10,0
2015-12-04,12:00:00,12.21,12.21,12.21,12.21,103,0
2015-12-15,10:00:00,11.906,11.906,11.906,11.906,103,0
2015-12-15,10:25:00,11.871,11.871,11.871,11.871,206,0
2015-12-15,17:45:00,11.919,11.919,11.919,11.919,206,0
2015-12-15,18:30:00,11.919,11.919,11.919,11.919,85,0
2015-12-16,08:50:00,11.871,11.871,11.871,11.871,103,0
2015-12-16,13:45:00,11.638,11.638,11.638,11.638,2,0
2015-12-18,12:35:00,12.565,12.565,12.565,12.565,2,0
2015-12-18,13:15:00,11.967,11.967,11.967,11.967,206,0
2015-12-22,10:40:00,11.676,11.676,11.628,11.628,310,0
2015-12-30,10:50:00,11.483,11.483,11.483,11.483,103,0
2015-12-30,13:50:00,11.435,11.435,11.435,11.435,0,0
2016-01-04,09:45:00,11.822,11.822,11.822,11.822,423,0
2016-01-04,11:55:00,11.822,11.822,11.822,11.822,103,0
2016-01-05,12:30:00,11.561,11.561,11.561,11.561,77,0
2016-01-05,15:45:00,11.958,11.958,11.958,11.958,21,0
2016-01-06,10:45:00,11.967,11.967,11.967,11.967,237,0
2016-01-11,17:25:00,11.491,11.491,11.491,11.491,103,0
2016-01-11,17:30:00,11.435,11.435,11.435,11.435,0,0
2016-01-13,11:50:00,12.055,12.055,12.055,12.055,327,0
2016-01-13,14:45:00,12.064,12.064,12.064,12.064,279,0
2016-01-15,14:55:00,11.628,11.628,11.628,11.628,426,0
2016-01-15,15:10:00,11.628,11.628,11.628,11.628,206,0
2016-01-18,14:20:00,11.435,11.435,11.435,11.435,144,0
2016-01-20,13:05:00,11.531,11.531,11.531,11.531,103,0
2016-01-27,09:45:00,12.108,12.108,12.108,12.108,103,0
2016-01-27,10:00:00,12.307,12.307,12.307,12.307,206,0
2016-01-27,10:40:00,12.597,12.597,12.597,12.597,103,0
2016-01-27,16:20:00,11.989,11.989,11.989,11.989,103,0
2016-01-27,16:50:00,11.435,11.435,11.435,11.435,165,0
2016-01-27,17:05:00,11.241,11.241,11.144,11.144,705,0
2016-02-10,14:30:00,11.338,11.338,11.338,11.338,77,0
2016-02-11,12:10:00,11.095,11.095,11.095,11.095,17,0
2016-02-11,13:30:00,11.366,11.366,11.366,11.366,103,0
2016-02-17,16:10:00,11.65,11.65,11.65,11.65,82,0
2016-02-18,08:05:00,11.366,11.366,11.095,11.095,83,0
2016-02-23,09:20:00,11.813,11.813,11.813,11.813,103,0
2016-02-23,09:30:00,11.526,11.526,11.526,11.526,103,0
2016-02-26,13:00:00,11.812,11.812,11.812,11.812,103,0
2016-02-26,15:25:00,12.064,12.064,12.064,12.064,103,0
2016-02-29,14:10:00,11.25,11.25,11.25,11.25,103,0
2016-03-01,13:10:00,11.774,11.774,11.774,11.774,394,0
2016-03-02,08:25:00,11.822,11.822,11.822,11.822,52,0
2016-03-04,09:20:00,11.977,11.977,11.977,11.977,103,0
2016-03-07,08:05:00,12.268,12.268,12.268,12.268,21,0
2016-03-07,08:15:00,12.258,12.258,12.258,12.258,103,0
2016-03-07,19:50:00,11.967,11.967,11.967,11.967,175,0
2016-03-11,19:45:00,11.725,11.725,11.725,11.725,231,0
2016-03-14,10:20:00,11.967,11.967,11.967,11.967,103,0
2016-03-17,08:15:00,11.725,11.725,11.725,11.725,202,0
2016-03-18,14:25:00,11.677,11.677,11.677,11.677,262,0
2016-03-18,14:45:00,11.961,11.961,11.961,11.961,103,0
2016-03-18,15:20:00,12.278,12.278,12.278,12.278,58,0
2016-03-21,13:05:00,12.287,12.404,12.287,12.404,857,0
2016-03-21,16:55:00,12.258,12.258,12.258,12.258,123,0
2016-03-30,09:15:00,12.258,12.258,12.258,12.258,574,0
2016-03-30,18:20:00,12.258,12.258,12.258,12.258,160,0
2016-03-31,17:30:00,12.417,12.417,12.417,12.417,55,0
2016-04-01,14:20:00,11.967,11.967,11.967,11.967,464,0
2016-04-01,19:45:00,11.822,11.822,11.822,11.822,85,0
2016-04-05,10:50:00,11.435,11.435,11.435,11.435,21,0
2016-04-08,09:05:00,11.58,11.58,11.58,11.58,7,0
2016-04-11,09:00:00,11.628,11.628,11.628,11.628,173,0
2016-04-18,08:05:00,12.568,12.568,12.568,12.568,516,0
2016-04-18,17:30:00,12.442,12.588,12.442,12.588,150,0
2016-04-22,12:35:00,12.578,12.578,12.578,12.578,21,0
2016-04-25,09:20:00,11.989,11.989,11.989,11.989,103,0
2016-04-25,09:25:00,11.435,11.435,11.435,11.435,413,0
2016-04-25,10:35:00,11.713,11.713,11.713,11.713,103,0
2016-04-25,10:40:00,12.3,12.791,12.3,12.791,2859,0
2016-04-25,10:45:00,13.13,13.13,13.13,13.13,165,0
2016-04-25,10:55:00,12.849,12.849,12.849,12.849,168,0
2016-04-25,11:05:00,13.566,13.566,13.566,13.566,1187,0
2016-04-25,12:00:00,13.566,13.566,13.566,13.566,206,0
2016-04-25,13:40:00,13.663,14.051,13.663,14.051,413,0
2016-04-25,14:00:00,14.051,14.051,14.051,14.051,232,0
2016-04-25,14:50:00,14.061,14.061,14.061,14.061,237,0
2016-04-25,14:55:00,14.051,14.051,14.051,14.051,361,0
2016-04-25,15:15:00,14.051,14.051,14.051,14.051,423,0
2016-04-25,15:25:00,14.051,14.051,14.051,14.051,2058,0
2016-04-25,15:35:00,14.051,14.051,14.051,14.051,641,0
2016-04-25,15:55:00,13.708,13.708,13.374,13.374,186,0
2016-04-25,16:00:00,13.324,13.324,13.324,13.324,21,0
2016-04-25,19:15:00,13.846,13.846,13.846,13.846,8,0
2016-04-25,19:30:00,14.184,14.184,14.184,14.184,11,0
2016-04-26,08:10:00,13.954,13.954,13.954,13.954,103,0
2016-04-26,09:50:00,14.294,14.294,14.294,14.294,93,0
2016-04-26,10:20:00,14.526,14.526,14.526,14.526,36,0
2016-04-26,10:35:00,14.526,14.526,14.526,14.526,10,0
2016-04-26,10:40:00,14.099,14.099,14.099,14.099,103,0
2016-04-26,13:00:00,14.342,14.342,14.342,14.342,206,0
2016-04-26,15:45:00,14.07,14.07,14.07,14.07,41,0
2016-04-26,17:30:00,14.293,14.293,14.293,14.293,77,0
2016-04-26,18:45:00,14.342,14.342,14.342,14.342,52,0
2016-04-27,10:00:00,14.487,14.487,14.487,14.487,258,0
2016-04-28,08:15:00,14.439,14.439,14.439,14.439,171,0
2016-04-28,16:15:00,14.439,14.439,14.439,14.439,310,0
2016-04-28,16:25:00,14.439,14.439,14.439,14.439,66,0
2016-04-29,11:55:00,14.061,14.061,14.061,14.061,86,0
2016-04-29,12:00:00,14.051,14.051,14.051,14.051,448,0
2016-05-02,08:40:00,14.051,14.051,14.051,14.051,33,0
2016-05-02,12:45:00,14.235,14.235,14.235,14.235,10,0
2016-05-03,08:10:00,14.235,14.235,14.235,14.235,6,0
2016-05-03,17:00:00,14.235,14.235,14.235,14.235,34,0
2016-05-09,18:10:00,13.915,13.915,13.915,13.915,103,0
2016-05-10,15:15:00,14.051,14.051,14.051,14.051,258,0
2016-05-11,11:35:00,13.906,13.906,13.906,13.906,310,0
2016-05-13,14:05:00,14.041,14.041,14.041,14.041,206,0
2016-05-13,16:50:00,14.041,14.041,14.041,14.041,2,0
2016-05-18,11:35:00,14.148,14.148,14.148,14.148,103,0
2016-05-18,11:40:00,14.245,14.245,14.245,14.245,326,0
2016-05-23,08:05:00,14.419,14.419,14.419,14.419,206,0
2016-05-23,10:00:00,14.061,14.061,14.061,14.061,99,0
2016-05-23,15:55:00,14.293,14.293,14.293,14.293,516,0
2016-05-23,18:00:00,14.371,14.371,14.371,14.371,103,0
2016-05-24,08:05:00,14.409,14.409,14.409,14.409,1,0
2016-05-24,08:55:00,14.419,14.516,14.419,14.516,828,0
2016-05-24,09:00:00,14.778,14.778,14.778,14.778,516,0
2016-05-24,13:20:00,14.778,14.778,14.535,14.535,337,0
2016-05-24,14:40:00,14.535,14.535,14.535,14.535,103,0
2016-05-25,13:55:00,14.39,14.39,14.39,14.39,1,0
2016-05-27,13:05:00,14.535,14.535,14.535,14.535,3,0
2016-05-30,15:10:00,15.311,15.311,15.311,15.311,1,0
2016-06-01,19:40:00,15.359,15.359,15.359,15.359,103,0
2016-06-02,15:40:00,14.778,14.778,14.778,14.778,1,0
2016-06-03,11:00:00,14.923,14.923,14.923,14.923,83,0
2016-06-03,12:35:00,15.286,15.359,15.286,15.359,490,0
2016-06-03,12:45:00,14.628,14.628,14.628,14.628,83,0
2016-06-03,14:45:00,14.875,14.875,14.875,14.875,124,0
2016-06-08,09:20:00,15.214,15.214,15.214,15.214,19,0
2016-06-09,09:25:00,15.02,15.117,15.02,15.117,175,0
2016-06-09,09:50:00,14.729,14.729,14.729,14.729,774,0
2016-06-10,10:05:00,15.01,15.01,15.01,15.01,62,0
2016-06-10,16:50:00,15.02,15.02,15.02,15.02,106,0
2016-06-14,16:40:00,14.535,14.535,14.535,14.535,279,0
2016-06-17,16:10:00,14.535,14.535,14.535,14.535,206,0
2016-06-22,11:15:00,14.535,14.535,14.535,14.535,69,0
2016-06-22,15:20:00,14.526,14.526,14.526,14.526,12,0
2016-06-23,12:05:00,14.584,14.584,14.584,14.584,34,0
2016-06-23,16:25:00,15.504,15.504,15.504,15.504,383,0
2016-06-28,12:40:00,15.02,15.02,15.02,15.02,83,0
2016-06-28,15:30:00,15.02,15.02,15.02,15.02,155,0
2016-06-29,13:15:00,14.971,14.971,14.971,14.971,12,0
2016-06-29,18:05:00,14.826,14.826,14.826,14.826,68,0
2016-06-30,09:10:00,15.02,15.02,15.02,15.02,52,0
2016-07-04,11:15:00,14.39,14.39,14.39,14.39,84,0
2016-07-04,11:40:00,14.245,14.245,14.245,14.245,354,0
2016-07-05,08:55:00,14.592,14.592,14.592,14.592,52,0
2016-07-06,18:10:00,14.826,14.826,14.826,14.826,160,0
2016-07-08,10:55:00,14.259,14.259,14.259,14.259,155,0
2016-07-11,15:40:00,13.911,13.911,13.911,13.911,103,0
2016-07-11,16:50:00,14.051,14.051,14.051,14.051,52,0
2016-07-14,09:15:00,14.148,14.148,14.148,14.148,17,0
2016-07-21,14:10:00,14.499,14.499,14.499,14.499,93,0
2016-07-22,09:55:00,14.535,14.535,14.535,14.535,45,0
2016-08-01,15:25:00,14.904,14.904,14.904,14.904,293,0
2016-08-02,15:25:00,14.54,14.54,14.54,14.54,83,0
2016-08-03,14:20:00,15.019,15.019,15.019,15.019,83,0
2016-08-03,14:30:00,15.385,15.385,15.385,15.385,72,0
2016-08-12,10:35:00,14.826,14.826,14.826,14.826,103,0
2016-08-12,16:10:00,14.584,14.584,14.584,14.584,31,0
2016-08-12,17:25:00,14.535,14.535,14.535,14.535,186,0
2016-08-12,18:15:00,15.058,15.058,15.058,15.058,21,0
2016-08-15,15:00:00,14.729,14.729,14.729,14.729,206,0
2016-08-18,09:15:00,15.16,15.53,15.16,15.53,165,0
2016-08-18,09:20:00,15.553,15.553,15.553,15.553,41,0
2016-08-18,15:30:00,15.117,15.117,15.117,15.117,103,0
2016-08-30,08:45:00,15.165,15.165,15.165,15.165,40,0
2016-08-30,15:55:00,15.165,15.165,15.165,15.165,4,0
2016-09-07,13:35:00,15.504,15.504,15.504,15.504,21,0
2016-09-12,11:05:00,15.127,15.127,14.749,14.749,268,0
2016-09-12,11:10:00,14.439,14.439,13.809,13.809,310,0
2016-09-12,11:15:00,13.518,13.518,13.227,13.227,609,0
2016-09-12,11:20:00,12.937,12.937,12.937,12.937,310,0
2016-09-12,11:25:00,12.113,12.407,12.113,12.407,310,0
2016-09-12,11:30:00,12.064,12.064,12.064,12.064,516,0
2016-09-12,11:35:00,12.362,12.597,12.362,12.597,619,0
2016-09-12,11:40:00,12.617,12.617,12.617,12.617,279,0
2016-09-12,11:50:00,12.621,12.928,12.621,12.928,196,0
2016-09-12,12:05:00,13.633,13.966,13.633,13.966,103,0
2016-09-12,12:25:00,14.293,14.342,14.293,14.342,206,0
2016-09-13,18:00:00,13.954,13.954,13.566,13.566,186,0
2016-09-14,09:35:00,14.245,14.245,14.148,14.148,93,0
2016-09-15,16:05:00,14.855,14.855,14.855,14.855,83,0
2016-09-15,16:10:00,15.02,15.02,15.02,15.02,206,0
2016-09-16,10:05:00,14.923,14.923,14.923,14.923,155,0
2016-09-19,16:05:00,14.49,14.49,14.49,14.49,93,0
2016-09-23,12:40:00,14.136,14.136,14.136,14.136,3,0
2016-09-30,13:55:00,14.48,14.48,14.48,14.48,52,0
2016-10-06,11:55:00,14.196,14.196,14.196,14.196,103,0
2016-10-06,14:45:00,14.206,14.206,14.206,14.206,41,0
2016-10-18,17:00:00,14.206,14.206,14.206,14.206,56,0
2016-10-19,13:55:00,14.826,15.02,14.826,15.02,206,0
2016-10-19,15:05:00,15.001,15.001,15.001,15.001,103,0
2016-10-19,15:50:00,15.02,15.02,15.02,15.02,103,0
2016-10-19,16:20:00,14.632,14.632,14.632,14.632,103,0
2016-10-20,09:10:00,14.535,14.535,14.535,14.535,170,0
2016-10-20,11:00:00,14.535,14.535,14.535,14.535,103,0
2016-10-20,11:05:00,14.526,14.526,14.526,14.526,5,0
2016-10-26,17:45:00,14.632,14.632,14.632,14.632,3,0
2016-11-03,11:45:00,14.923,14.923,14.923,14.923,62,0
2016-11-07,14:30:00,14.632,14.632,14.632,14.632,206,0
2016-11-08,09:05:00,14.535,14.535,14.535,14.535,8,0
2016-11-15,10:30:00,14.778,14.778,14.778,14.778,192,0
2016-11-17,17:40:00,14.971,14.971,14.971,14.971,206,0
2016-11-30,14:35:00,14.196,14.196,14.196,14.196,6,0
2016-12-02,11:35:00,13.844,13.844,13.844,13.844,72,0
2016-12-05,14:15:00,14.283,14.283,14.283,14.283,265,0
2016-12-05,16:10:00,14.245,14.245,14.245,14.245,206,0
2016-12-06,12:05:00,14.148,14.148,14.148,14.148,516,0
2016-12-08,08:55:00,14.148,14.148,14.148,14.148,258,0
2016-12-12,10:10:00,13.857,13.857,13.857,13.857,1548,0
2016-12-12,10:45:00,13.857,13.857,13.857,13.857,1032,0
2016-12-12,11:30:00,13.789,13.789,13.789,13.789,58,0
2016-12-13,10:00:00,13.857,13.857,13.857,13.857,206,0
2016-12-15,13:25:00,13.615,13.615,13.576,13.576,568,0
2016-12-15,15:10:00,14.148,14.148,14.148,14.148,52,0
2016-12-19,11:00:00,13.663,13.663,13.663,13.663,17,0
2016-12-20,15:10:00,13.625,13.625,13.625,13.625,8,0
2016-12-29,09:40:00,13.663,13.663,13.663,13.663,12,0
2017-01-02,16:30:00,13.614,13.614,13.614,13.614,88,0
2017-01-05,10:40:00,14.196,14.196,14.196,14.196,103,0
2017-01-06,12:25:00,13.673,13.673,13.673,13.673,4,0
2017-01-09,17:20:00,13.906,13.906,13.906,13.906,310,0
2017-01-09,17:25:00,13.663,13.663,13.663,13.663,826,0
2017-01-10,12:15:00,13.673,13.673,13.673,13.673,103,0
2017-01-10,15:15:00,13.673,13.673,13.673,13.673,41,0
2017-01-10,16:30:00,13.663,13.663,13.663,13.663,206,0
2017-01-17,17:30:00,14.285,14.285,14.285,14.285,206,0
2017-01-18,11:45:00,14.293,14.293,14.293,14.293,206,0
2017-01-19,17:20:00,14.293,14.293,14.293,14.293,155,0
2017-01-20,12:05:00,14.535,14.535,14.535,14.535,206,0
2017-01-23,08:05:00,14.535,14.535,14.075,14.075,1,0
2017-01-26,17:00:00,14.729,14.729,14.729,14.729,103,0
2017-01-26,17:20:00,14.778,14.807,14.778,14.807,319,0
2017-01-27,11:20:00,14.448,14.448,14.448,14.448,1,0
2017-01-31,09:50:00,14.439,14.439,14.439,14.439,206,0
2017-01-31,11:20:00,14.535,14.535,14.535,14.535,206,0
2017-01-31,14:05:00,14.535,14.535,14.535,14.535,206,0
2017-01-31,16:15:00,14.632,14.632,14.632,14.632,26,0
2017-02-01,10:00:00,14.351,14.351,14.351,14.351,67,0
2017-02-06,11:10:00,14.72,14.729,14.72,14.729,402,0
2017-02-06,19:00:00,14.778,14.778,14.778,14.778,31,0
2017-02-07,10:20:00,14.417,14.417,14.417,14.417,83,0
2017-02-10,12:05:00,14.342,14.342,14.342,14.342,93,0
2017-02-10,13:30:00,14.681,14.681,14.681,14.681,103,0
2017-02-21,19:55:00,14.535,14.535,14.535,14.535,103,0
2017-02-23,13:40:00,14.181,14.181,14.181,14.181,17,0
2017-02-24,10:30:00,14.293,14.293,14.293,14.293,93,0
2017-03-08,10:55:00,13.973,13.973,13.973,13.973,83,0
2017-03-10,16:00:00,14.206,14.206,14.206,14.206,7,0
2017-03-22,17:25:00,14.245,14.245,14.245,14.245,103,0
2017-03-24,18:50:00,14.906,14.906,14.906,14.906,72,0
2017-03-24,19:10:00,14.955,14.955,14.955,14.955,413,0
2017-03-27,08:05:00,14.535,14.535,14.535,14.535,635,0
2017-03-27,08:45:00,14.254,14.254,14.254,14.254,31,0
2017-03-27,09:40:00,14.342,14.342,14.245,14.245,341,0
2017-03-27,10:25:00,14.535,14.535,14.535,14.535,72,0
2017-03-27,10:30:00,14.729,14.955,14.729,14.955,206,0
2017-03-27,10:40:00,15.311,15.311,15.311,15.311,21,0
2017-03-27,11:25:00,15.02,15.02,15.02,15.02,72,0
2017-03-27,11:50:00,14.535,14.535,14.535,14.535,1032,0
2017-03-27,13:20:00,14.826,14.826,14.826,14.826,103,0
2017-03-27,13:50:00,14.535,14.535,14.535,14.535,72,0
2017-03-27,14:35:00,14.429,14.429,14.429,14.429,10,0
2017-03-28,09:10:00,14.342,14.342,14.342,14.342,206,0
2017-03-28,09:50:00,14.526,14.535,14.526,14.535,124,0
2017-03-28,12:20:00,14.535,14.535,14.535,14.535,186,0
2017-03-28,15:25:00,15.02,15.02,15.02,15.02,206,0
2017-03-28,15:30:00,15.02,15.02,15.02,15.02,72,0
2017-03-28,15:40:00,15.02,15.02,15.02,15.02,72,0
2017-03-29,11:15:00,14.535,14.535,14.535,14.535,175,0
2017-04-03,17:50:00,14.245,14.245,14.245,14.245,227,0
2017-04-05,09:35:00,14.245,14.245,14.245,14.245,343,0
2017-04-06,11:35:00,14.342,14.342,14.342,14.342,103,0
2017-04-07,12:45:00,14.584,14.584,14.584,14.584,10,0
2017-04-10,08:10:00,14.342,14.342,14.293,14.293,511,0
2017-04-11,16:20:00,14.439,14.439,14.439,14.439,103,0
2017-04-11,16:40:00,14.39,14.39,14.39,14.39,722,0
2017-04-18,08:05:00,14.826,14.826,14.826,14.826,217,0
2017-04-18,08:10:00,14.398,14.398,14.398,14.398,0,0
2017-04-20,11:35:00,14.535,14.535,14.535,14.535,103,0
2017-04-26,10:05:00,14.4,14.4,14.4,14.4,6,0
2017-04-27,12:25:00,14.409,14.409,14.409,14.409,1,0
2017-05-03,10:00:00,14.5,14.5,14.5,14.5,103,0
2017-05-03,10:20:00,14.494,14.494,14.494,14.494,155,0
2017-05-04,09:40:00,14.632,14.632,14.545,14.545,1135,0
