Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-05,12:45:00,2.151,2.151,2.151,2.151,2,0
2015-08-07,14:00:00,2.155,2.155,2.155,2.155,300,0
2015-08-10,10:30:00,2.155,2.155,2.155,2.155,800,0
2015-08-13,11:50:00,2.155,2.155,2.155,2.155,40,0
2015-08-14,10:55:00,2.2,2.2,2.2,2.2,4,0
2015-08-14,12:55:00,2.2,2.2,2.2,2.2,8,0
2015-08-18,09:05:00,2.8,2.8,2.8,2.8,2000,0
2015-08-18,15:35:00,3,3,3,3,350,0
2015-08-18,17:30:00,3,3,3,3,2590,0
2015-08-20,09:25:00,2.858,2.994,2.858,2.994,220,0
2015-08-21,11:05:00,2.987,2.987,2.987,2.987,400,0
2015-08-26,16:25:00,2.459,2.459,2.459,2.459,2,0
2015-08-28,09:45:00,2.15,2.15,2.15,2.15,1500,0
2015-08-28,13:05:00,1.49,1.49,1.49,1.49,250,0
2015-08-28,13:55:00,1.5,1.5,1.5,1.5,1000,0
2015-08-28,14:00:00,1.5,1.5,1.5,1.5,1000,0
2015-08-28,14:30:00,2,2,2,2,753,0
2015-08-28,14:35:00,2.3,2.3,2.3,2.3,250,0
2015-08-28,14:40:00,2.7,2.87,2.7,2.87,6053,0
2015-08-31,09:05:00,2.4,2.4,2.4,2.4,1980,0
2015-09-02,17:30:00,2.085,2.085,2.085,2.085,240,0
2015-09-07,09:50:00,1.812,1.812,1.812,1.812,58,0
2015-09-09,13:55:00,1.815,1.815,1.815,1.815,38,0
2015-09-17,09:20:00,1.639,1.639,1.639,1.639,1000,0
2015-09-18,11:20:00,2.5,2.5,2.5,2.5,2000,0
2015-09-18,11:25:00,2.7,2.7,2.7,2.7,100,0
2015-09-18,12:15:00,2.7,2.7,2.7,2.7,558,0
2015-09-18,12:20:00,2.7,3,2.7,3,1442,0
2015-09-18,12:45:00,2.999,2.999,2.999,2.999,4500,0
2015-09-21,09:05:00,3,3,3,3,700,0
2015-09-22,09:20:00,2.858,2.858,2.593,2.593,220,0
2015-09-22,17:30:00,2.484,2.484,2.484,2.484,420,0
2015-09-25,10:15:00,2.078,2.078,2.078,2.078,10,0
2015-09-28,14:15:00,1.886,1.886,1.886,1.886,800,0
2015-09-30,12:35:00,2.21,2.21,2.21,2.21,100,0
2015-09-30,14:35:00,2.15,2.15,2.15,2.15,4100,0
2015-10-01,09:25:00,2.146,2.146,2.146,2.146,466,0
2015-10-01,09:30:00,2.248,2.248,2.248,2.248,1356,0
2015-10-02,10:35:00,2.5,2.5,2.5,2.5,2000,0
2015-10-05,08:10:00,2.393,2.393,2.192,2.192,657,0
2015-10-05,09:00:00,2.307,2.307,2.307,2.307,217,0
2015-10-05,09:05:00,2.428,2.428,2.428,2.428,412,0
2015-10-05,13:30:00,2.55,2.55,2.55,2.55,4028,0
2015-10-07,09:00:00,2.5,2.5,2.5,2.5,1000,0
2015-10-07,09:35:00,2.5,2.5,2.5,2.5,2296,0
2015-10-09,14:05:00,2.246,2.246,2.246,2.246,4,0
2015-10-12,16:50:00,2.1,2.1,2.1,2.1,2,0
2015-10-13,08:05:00,2.01,2.01,2.01,2.01,16,0
2015-10-19,15:45:00,2.07,2.07,2.07,2.07,24,0
2015-10-23,14:15:00,1.96,1.96,1.96,1.96,7,0
2015-10-23,16:05:00,1.98,1.98,1.98,1.98,20,0
2015-11-02,15:05:00,1.855,1.855,1.855,1.855,4,0
2015-11-03,20:00:00,1.881,1.881,1.881,1.881,6,0
2015-11-04,15:45:00,1.855,1.855,1.855,1.855,200,0
2015-11-05,10:15:00,1.855,1.855,1.855,1.855,40,0
2015-11-05,15:15:00,1.855,1.855,1.855,1.855,95,0
2015-11-06,11:35:00,1.851,1.851,1.851,1.851,10,0
2015-11-10,10:50:00,1.855,1.855,1.855,1.855,4,0
2015-11-10,16:15:00,1.855,1.855,1.855,1.855,40,0
2015-11-11,16:10:00,1.855,1.855,1.855,1.855,2,0
2015-11-11,20:00:00,1.852,1.852,1.852,1.852,130,0
2015-11-18,09:25:00,1.857,1.857,1.857,1.857,510,0
2015-11-27,13:35:00,1.851,1.851,1.851,1.851,60,0
2015-12-01,09:25:00,1.851,1.851,1.851,1.851,160,0
2015-12-02,12:10:00,1.852,1.852,1.852,1.852,5,0
2015-12-03,09:20:00,1.85,1.851,1.85,1.851,240,0
2015-12-09,12:15:00,1.851,1.851,1.851,1.851,50,0
2015-12-14,17:15:00,1.85,1.85,1.85,1.85,200,0
2015-12-15,14:40:00,1.851,1.851,1.851,1.851,2,0
2015-12-18,17:35:00,1.91,1.91,1.91,1.91,12,0
2015-12-21,09:45:00,1.91,1.91,1.91,1.91,68,0
2015-12-21,10:15:00,1.91,1.91,1.91,1.91,20,0
2015-12-22,09:45:00,1.901,1.901,1.901,1.901,2,0
2015-12-22,10:45:00,1.9,1.9,1.9,1.9,500,0
2015-12-22,16:20:00,1.99,1.99,1.99,1.99,12,0
2015-12-22,17:05:00,1.9,1.9,1.9,1.9,500,0
2015-12-29,19:00:00,1.851,1.851,1.851,1.851,6,0
2016-01-05,17:05:00,1.6,1.6,1.6,1.6,14,0
2016-01-06,10:35:00,1.676,1.676,1.676,1.676,359,0
2016-01-06,18:40:00,2.7,2.7,2.7,2.7,238,0
2016-01-07,15:20:00,2,2,2,2,2,0
2016-01-13,11:25:00,1.725,1.725,1.725,1.725,580,0
2016-01-13,11:40:00,1.643,1.643,1.643,1.643,20,0
2016-01-18,14:10:00,1.615,1.615,1.615,1.615,300,0
2016-01-25,10:50:00,1.326,1.326,1.326,1.326,20,0
2016-01-26,10:00:00,1.6,1.6,1.6,1.6,7,0
2016-01-26,16:50:00,2.4,2.4,2.4,2.4,770,0
2016-01-26,17:15:00,2,2,2,2,76,0
2016-01-27,10:10:00,1.996,1.996,1.996,1.996,500,0
2016-01-29,10:00:00,1.725,1.725,1.725,1.725,10,0
2016-02-01,10:00:00,1.65,1.65,1.65,1.65,30,0
2016-02-03,08:50:00,1.736,1.736,1.736,1.736,500,0
2016-02-03,12:15:00,2,2,2,2,250,0
2016-02-03,12:20:00,2.15,2.15,2.15,2.15,10,0
2016-02-03,16:30:00,2.03,2.03,2.03,2.03,50,0
2016-02-04,08:15:00,2.14,2.14,2.14,2.14,200,0
2016-02-04,12:55:00,2,2,2,2,21,0
2016-02-04,13:00:00,2,2,2,2,460,0
2016-02-05,10:40:00,2,2,2,2,500,0
2016-02-05,13:50:00,1.9,1.9,1.9,1.9,6,0
2016-02-05,16:15:00,1.9,1.9,1.9,1.9,20,0
2016-02-10,10:30:00,1.8,1.8,1.8,1.8,2,0
2016-02-11,09:55:00,1.634,1.634,1.634,1.634,10,0
2016-02-11,11:30:00,1.75,1.75,1.75,1.75,500,0
2016-02-11,17:15:00,1.668,1.668,1.668,1.668,400,0
2016-02-15,09:55:00,1.442,1.442,1.442,1.442,320,0
2016-02-16,08:05:00,1.38,1.38,1.38,1.38,4,0
2016-02-22,15:25:00,1.41,1.41,1.41,1.41,20,0
2016-02-25,13:35:00,1.41,1.41,1.41,1.41,2,0
2016-02-26,11:15:00,1.401,1.401,1.401,1.401,85,0
2016-02-26,15:05:00,1.41,1.41,1.41,1.41,3,0
2016-03-01,10:00:00,1.45,1.45,1.45,1.45,2,0
2016-03-04,09:50:00,1.451,1.451,1.451,1.451,8,0
2016-03-10,19:20:00,1.451,1.451,1.451,1.451,550,0
2016-03-14,09:45:00,1.451,1.451,1.451,1.451,26,0
2016-03-16,14:05:00,1.451,1.451,1.451,1.451,70,0
2016-03-17,08:05:00,1.451,1.451,1.451,1.451,4,0
2016-03-21,15:25:00,1.451,1.451,1.451,1.451,22,0
2016-03-24,10:25:00,1.455,1.455,1.455,1.455,6,0
2016-03-31,13:55:00,1.451,1.451,1.451,1.451,100,0
2016-04-04,08:05:00,1.455,1.455,1.455,1.455,15,0
2016-04-04,16:55:00,1.451,1.451,1.451,1.451,20,0
2016-04-05,14:50:00,1.451,1.451,1.451,1.451,70,0
2016-04-06,09:10:00,1.451,1.451,1.451,1.451,25,0
2016-04-08,14:35:00,1.45,1.45,1.45,1.45,1500,0
2016-04-12,10:15:00,1.374,1.374,1.374,1.374,100,0
2016-04-13,12:10:00,1.341,1.341,1.341,1.341,510,0
2016-04-18,16:30:00,1.215,1.215,1.215,1.215,824,0
2016-04-29,08:05:00,1.01,1.01,1.01,1.01,0,0
2016-05-02,16:50:00,1.068,1.068,1.068,1.068,937,0
2016-05-03,11:45:00,1.021,1.021,1.021,1.021,5,0
2016-05-13,09:35:00,1.093,1.093,1.093,1.093,6,0
2016-05-13,12:35:00,1.093,1.093,1.093,1.093,12,0
2016-05-13,16:55:00,1.095,1.095,1.095,1.095,30,0
2016-05-23,16:05:00,1.093,1.093,1.093,1.093,10,0
2016-05-26,10:50:00,1.093,1.093,1.093,1.093,12,0
2016-05-31,15:30:00,1.093,1.093,1.093,1.093,200,0
2016-06-02,16:25:00,0.945,0.945,0.945,0.945,32,0
2016-06-03,11:35:00,0.9,0.9,0.9,0.9,30,0
2016-06-03,16:35:00,0.858,0.858,0.858,0.858,9,0
2016-06-07,13:55:00,0.743,0.743,0.743,0.743,80,0
2016-06-13,14:05:00,1,1,1,1,130,0
2016-06-16,17:10:00,0.824,0.824,0.824,0.824,42,0
2016-06-21,15:25:00,1.1,1.1,1.1,1.1,40,0
2016-06-23,16:25:00,0.952,0.952,0.952,0.952,4,0
2016-06-24,10:35:00,1.3,1.3,1.3,1.3,14500,0
2016-06-27,09:00:00,1.367,1.367,1.367,1.367,500,0
2016-06-27,10:10:00,1.6,1.6,1.6,1.6,8300,0
2016-06-27,10:55:00,1.6,1.6,1.6,1.6,100,0
2016-06-27,17:50:00,1.61,1.61,1.61,1.61,824,0
2016-06-28,12:25:00,1.6,1.6,1.6,1.6,2400,0
2016-06-29,08:50:00,1.532,1.532,1.532,1.532,40,0
2016-06-29,14:45:00,1.6,1.8,1.6,1.8,5000,0
2016-06-30,14:25:00,1.796,1.796,1.796,1.796,500,0
2016-07-08,08:25:00,1.35,1.35,1.35,1.35,937,0
2016-07-12,15:35:00,1.142,1.142,1.142,1.142,40,0
2016-07-13,11:30:00,1.139,1.139,1.139,1.139,878,0
2016-07-15,13:50:00,0.985,0.985,0.985,0.985,1,0
2016-07-22,11:35:00,0.895,0.895,0.895,0.895,500,0
2016-07-22,13:00:00,0.95,0.95,0.95,0.95,7,0
2016-07-25,11:45:00,0.863,0.863,0.863,0.863,60,0
2016-07-25,18:25:00,0.826,0.826,0.826,0.826,78,0
2016-07-26,09:45:00,0.915,0.915,0.915,0.915,13,0
2016-08-02,11:05:00,0.961,0.961,0.961,0.961,6,0
2016-08-04,12:25:00,0.961,0.961,0.961,0.961,14,0
2016-08-08,10:55:00,0.982,0.982,0.982,0.982,69,0
2016-08-09,13:30:00,0.982,0.982,0.982,0.982,2,0
2016-08-15,08:05:00,0.851,0.851,0.851,0.851,14,0
2016-08-22,09:05:00,0.891,0.891,0.891,0.891,360,0
2016-08-30,11:40:00,0.851,0.851,0.851,0.851,2400,0
2016-09-05,14:30:00,0.775,0.775,0.775,0.775,240,0
2016-09-06,10:30:00,0.775,0.775,0.775,0.775,17,0
2016-09-07,09:20:00,0.774,0.774,0.774,0.774,800,0
2016-09-08,08:05:00,0.741,0.741,0.741,0.741,2,0
2016-09-08,08:40:00,0.779,0.779,0.779,0.779,600,0
2016-09-12,09:25:00,0.674,0.674,0.674,0.674,5,0
2016-09-12,14:50:00,0.706,0.706,0.706,0.706,200,0
2016-09-13,09:10:00,0.739,0.739,0.739,0.739,600,0
2016-09-16,09:20:00,0.64,0.67,0.64,0.67,240,0
2016-09-19,18:10:00,0.612,0.612,0.612,0.612,2,0
2016-09-23,08:05:00,0.7,0.7,0.7,0.7,201,0
2016-09-26,10:00:00,0.75,0.75,0.75,0.75,500,0
