Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,22.675,22.805,22.675,22.77,104901,0
2017-10-26,09:10:00,22.76,22.775,22.685,22.735,91997,0
2017-10-26,09:15:00,22.74,22.805,22.73,22.77,53384,0
2017-10-26,09:20:00,22.775,22.86,22.775,22.84,96478,0
2017-10-26,09:25:00,22.825,22.83,22.755,22.82,93879,0
2017-10-26,09:30:00,22.82,22.84,22.8,22.835,97111,0
2017-10-26,09:35:00,22.84,22.855,22.82,22.84,37761,0
2017-10-26,09:40:00,22.845,22.87,22.825,22.84,101885,0
2017-10-26,09:45:00,22.835,22.84,22.795,22.81,30384,0
2017-10-26,09:50:00,22.8,22.83,22.76,22.78,42983,0
2017-10-26,09:55:00,22.775,22.8,22.765,22.795,20868,0
2017-10-26,10:00:00,22.79,22.815,22.77,22.81,15039,0
2017-10-26,10:05:00,22.82,22.885,22.82,22.88,54200,0
2017-10-26,10:10:00,22.885,22.895,22.85,22.865,21974,0
2017-10-26,10:15:00,22.855,22.895,22.85,22.865,54263,0
2017-10-26,10:20:00,22.855,22.87,22.845,22.845,25994,0
2017-10-26,10:25:00,22.845,22.87,22.81,22.87,35243,0
2017-10-26,10:30:00,22.87,22.98,22.865,22.895,242986,0
2017-10-26,10:35:00,22.885,22.92,22.87,22.91,67814,0
2017-10-26,10:40:00,22.905,22.91,22.865,22.89,46028,0
2017-10-26,10:45:00,22.885,22.89,22.865,22.88,36869,0
2017-10-26,10:50:00,22.875,22.885,22.84,22.885,39363,0
2017-10-26,10:55:00,22.885,22.9,22.845,22.86,42042,0
2017-10-26,11:00:00,22.86,22.88,22.855,22.875,17320,0
2017-10-26,11:05:00,22.87,22.88,22.835,22.85,21271,0
2017-10-26,11:10:00,22.85,22.85,22.83,22.84,15360,0
2017-10-26,11:15:00,22.835,22.85,22.835,22.85,8880,0
2017-10-26,11:20:00,22.845,22.845,22.81,22.81,11447,0
2017-10-26,11:25:00,22.815,22.83,22.815,22.83,10901,0
2017-10-26,11:30:00,22.835,22.84,22.825,22.835,32462,0
2017-10-26,11:35:00,22.825,22.845,22.815,22.835,50188,0
2017-10-26,11:40:00,22.83,22.86,22.83,22.84,13553,0
2017-10-26,11:45:00,22.835,22.855,22.83,22.845,8249,0
2017-10-26,11:50:00,22.835,22.865,22.835,22.85,17290,0
2017-10-26,11:55:00,22.855,22.87,22.83,22.83,35983,0
2017-10-26,12:00:00,22.825,22.84,22.815,22.835,29813,0
2017-10-26,12:05:00,22.835,22.855,22.835,22.855,11612,0
2017-10-26,12:10:00,22.855,22.945,22.855,22.94,78289,0
2017-10-26,12:15:00,22.935,22.95,22.93,22.94,47626,0
2017-10-26,12:20:00,22.94,22.955,22.925,22.925,29646,0
2017-10-26,12:25:00,22.93,22.985,22.93,22.965,71564,0
2017-10-26,12:30:00,22.97,22.97,22.95,22.965,6833,0
2017-10-26,12:35:00,22.965,22.965,22.92,22.955,17786,0
2017-10-26,12:40:00,22.95,22.96,22.94,22.95,14038,0
2017-10-26,12:45:00,22.945,22.95,22.935,22.945,39334,0
2017-10-26,12:50:00,22.94,22.94,22.905,22.915,20338,0
2017-10-26,12:55:00,22.93,22.965,22.93,22.945,29263,0
2017-10-26,13:00:00,22.95,22.95,22.93,22.945,10469,0
2017-10-26,13:05:00,22.935,22.935,22.92,22.93,14418,0
2017-10-26,13:10:00,22.935,22.965,22.935,22.96,15575,0
2017-10-26,13:15:00,22.96,22.96,22.935,22.96,12080,0
2017-10-26,13:20:00,22.955,22.99,22.95,22.985,15645,0
2017-10-26,13:25:00,22.985,23.02,22.985,23.015,88766,0
2017-10-26,13:30:00,23.005,23.02,23,23.005,26090,0
2017-10-26,13:35:00,23.005,23.005,22.985,22.99,10496,0
