Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-22,09:05:00,11.69,11.69,11.69,11.69,1136,0
2017-08-22,09:15:00,11.69,11.69,11.69,11.69,295,0
2017-08-22,09:20:00,11.74,11.74,11.7,11.735,1205,0
2017-08-22,09:25:00,11.69,11.69,11.69,11.69,350,0
2017-08-22,09:40:00,11.7,11.7,11.7,11.7,1000,0
2017-08-22,10:15:00,11.7,11.7,11.7,11.7,100,0
2017-08-22,10:30:00,11.7,11.79,11.7,11.79,204,0
2017-08-22,10:40:00,11.795,11.795,11.795,11.795,55,0
2017-08-22,11:15:00,11.8,11.8,11.8,11.8,168,0
2017-08-22,11:25:00,11.8,11.81,11.8,11.81,723,0
2017-08-22,11:40:00,11.8,11.8,11.8,11.8,73,0
2017-08-22,11:55:00,11.705,11.705,11.705,11.705,250,0
2017-08-22,12:30:00,11.75,11.75,11.75,11.75,150,0
2017-08-22,13:00:00,11.79,11.79,11.79,11.79,717,0
2017-08-22,13:25:00,11.8,11.8,11.7,11.7,1000,0
2017-08-22,13:45:00,11.835,11.835,11.835,11.835,1201,0
2017-08-22,13:50:00,11.71,11.71,11.71,11.71,348,0
2017-08-22,14:05:00,11.835,11.84,11.835,11.84,255,0
2017-08-22,14:55:00,11.73,11.73,11.73,11.73,240,0
2017-08-22,15:25:00,11.8,11.8,11.8,11.8,472,0
2017-08-22,15:45:00,11.8,11.8,11.8,11.8,1528,0
2017-08-22,17:00:00,11.76,11.76,11.76,11.76,750,0
2017-08-22,17:30:00,11.705,11.705,11.705,11.705,0,0
2017-08-23,09:05:00,11.705,11.705,11.705,11.705,100,0
2017-08-23,09:50:00,11.84,11.84,11.84,11.84,957,0
2017-08-23,10:00:00,11.8,11.8,11.8,11.8,424,0
2017-08-23,10:30:00,11.87,11.87,11.87,11.87,50,0
2017-08-23,11:15:00,11.87,11.87,11.87,11.87,500,0
2017-08-23,12:15:00,11.85,11.85,11.85,11.85,500,0
2017-08-23,12:55:00,11.87,11.87,11.87,11.87,595,0
2017-08-23,13:15:00,11.95,11.95,11.95,11.95,150,0
