Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-07,15:15:00,3,3,3,3,354,0
2015-04-07,15:20:00,3,3,3,3,354,0
2015-04-15,09:40:00,3,3,3,3,1591,0
2015-04-15,09:45:00,3.025,3.025,3,3,500,0
2015-04-15,09:55:00,2.8,2.8,2.8,2.8,20,0
2015-04-15,14:15:00,2.8,2.8,2.8,2.8,2217,0
2015-04-15,14:20:00,2.8,2.8,2.8,2.8,106,0
2015-04-16,11:00:00,2.69,2.69,2.69,2.69,477,0
2015-04-16,13:50:00,2.5,2.5,2.5,2.5,1705,0
2015-04-17,12:50:00,3,3,3,3,200,0
2015-04-17,12:55:00,3,3,3,3,200,0
2015-04-20,09:50:00,3.12,3.12,3.12,3.12,1000,0
2015-04-20,10:35:00,3.243,3.243,3.243,3.243,1200,0
2015-04-21,11:00:00,3.217,3.24,3.217,3.24,1313,0
2015-04-21,11:05:00,3.24,3.24,3.24,3.24,259,0
2015-04-23,15:10:00,2.773,2.8,2.773,2.773,1000,0
2015-04-24,09:05:00,2.919,2.919,2.919,2.919,10,0
2015-04-27,10:15:00,2.78,2.78,2.78,2.78,720,0
2015-04-28,11:10:00,2.673,2.673,2.65,2.65,1700,0
2015-04-28,15:35:00,2.81,2.81,2.81,2.81,1000,0
2015-04-28,16:10:00,2.81,2.81,2.81,2.81,1000,0
2015-04-28,17:30:00,2.967,2.967,2.967,2.967,4118,0
2015-04-29,16:35:00,2.723,2.723,2.7,2.7,2116,0
2015-04-30,11:35:00,2.724,2.724,2.724,2.724,1094,0
2015-05-04,11:20:00,2.719,2.719,2.719,2.719,547,0
2015-05-04,16:05:00,2.62,2.62,2.62,2.62,965,0
2015-05-05,14:05:00,2.63,2.63,2.63,2.63,1130,0
2015-05-07,10:05:00,2.653,2.653,2.653,2.653,377,0
2015-05-07,10:30:00,2.63,2.63,2.63,2.63,1077,0
2015-05-22,12:20:00,2.653,2.653,2.653,2.653,100,0
2015-05-26,11:00:00,2.706,2.706,2.706,2.706,826,0
2015-05-27,11:00:00,2.706,2.706,2.706,2.706,413,0
2015-05-28,17:30:00,2.738,2.738,2.738,2.738,500,0
2015-06-02,10:50:00,2.565,2.565,2.565,2.565,826,0
2015-06-09,10:45:00,2.565,2.565,2.565,2.565,200,0
2015-06-29,09:10:00,2.565,2.565,2.565,2.565,126,0
2015-07-07,13:55:00,2.55,2.55,2.55,2.55,1000,0
2015-07-16,17:05:00,2.504,2.504,2.504,2.504,2,0
2015-07-22,13:35:00,2.622,2.622,2.622,2.622,48,0
2015-08-20,17:30:00,2.48,2.48,2.48,2.48,4600,0
2015-08-21,09:25:00,2.38,2.38,2.38,2.38,2000,0
2015-08-21,11:10:00,2.38,2.38,2.38,2.38,5000,0
2015-08-21,12:05:00,2.4,2.4,2.4,2.4,9596,0
2015-08-27,15:40:00,2.125,2.125,2.125,2.125,200,0
2015-08-28,11:20:00,2.2,2.2,2.2,2.2,900,0
2015-09-09,09:40:00,2.2,2.2,2.2,2.2,455,0
2015-09-09,17:00:00,2.305,2.305,2.305,2.305,955,0
2015-09-16,14:05:00,2.263,2.263,2.263,2.263,574,0
2015-09-22,17:30:00,2.102,2.102,2.102,2.102,1232,0
2015-09-24,09:10:00,2.11,2.11,2.11,2.11,50,0
2015-10-05,18:00:00,2.233,2.233,2.233,2.233,896,0
2015-10-16,10:55:00,2.287,2.287,2.287,2.287,1246,0
2015-10-22,19:05:00,2.321,2.321,2.321,2.321,862,0
2015-10-23,10:45:00,2.229,2.229,2.229,2.229,10,0
2015-11-18,11:25:00,2.318,2.318,2.318,2.318,432,0
2015-11-19,13:45:00,2.325,2.325,2.325,2.325,100,0
2015-11-20,16:55:00,2.439,2.439,2.439,2.439,411,0
2015-11-27,14:40:00,2.389,2.389,2.389,2.389,200,0
2015-11-27,16:45:00,2.388,2.388,2.388,2.388,1050,0
2015-12-01,15:15:00,2.207,2.207,2.207,2.207,1000,0
2015-12-03,11:05:00,2.207,2.207,2.207,2.207,10,0
2015-12-10,14:20:00,2.206,2.206,2.206,2.206,50,0
2015-12-11,08:35:00,2.205,2.205,2.205,2.205,850,0
2015-12-14,08:05:00,2.11,2.11,2.11,2.11,4,0
2015-12-18,17:30:00,2.11,2.11,2.11,2.11,50,0
2015-12-22,09:50:00,2.2,2.2,2.2,2.2,455,0
2015-12-22,16:20:00,2.28,2.28,2.28,2.28,50,0
2015-12-22,17:20:00,2.172,2.172,2.172,2.172,15,0
2015-12-23,14:50:00,2.2,2.2,2.2,2.2,455,0
2015-12-28,11:20:00,2.2,2.2,2.2,2.2,455,0
2015-12-29,09:50:00,2.2,2.2,2.2,2.2,455,0
2015-12-30,13:20:00,2.3,2.3,2.3,2.3,307,0
2016-01-08,09:30:00,2.215,2.215,2.215,2.215,452,0
2016-01-12,10:35:00,2.2,2.4,2.2,2.4,910,0
2016-01-12,18:05:00,2.6,2.6,2.6,2.6,3205,0
2016-01-15,13:15:00,2.247,2.247,2.247,2.247,100,0
2016-01-22,09:35:00,2.42,2.42,2.42,2.42,414,0
2016-02-01,16:45:00,2.8,2.8,2.8,2.8,500,0
2016-02-10,16:15:00,2.45,2.45,2.45,2.45,91,0
2016-02-19,11:30:00,2.35,2.35,2.35,2.35,88,0
2016-02-19,15:00:00,2.7,2.7,2.7,2.7,587,0
2016-02-22,08:05:00,2.66,2.66,2.66,2.66,10,0
2016-02-26,08:45:00,2.109,2.109,2.109,2.109,50,0
2016-03-14,15:15:00,2.25,2.25,2.25,2.25,500,0
2016-03-16,12:00:00,2.155,2.155,2.155,2.155,102,0
2016-03-21,13:50:00,2.4,2.4,2.4,2.4,200,0
2016-03-21,15:15:00,2.7,2.7,2.7,2.7,5203,0
2016-03-21,15:40:00,2.85,2.85,2.85,2.85,360,0
2016-03-21,16:15:00,3.2,3.2,3.2,3.2,350,0
2016-03-21,16:55:00,2.75,2.75,2.75,2.75,200,0
2016-03-22,14:45:00,2.727,2.727,2.727,2.727,119,0
2016-03-22,16:55:00,2.727,2.727,2.727,2.727,48,0
2016-03-29,16:50:00,2.501,2.501,2.501,2.501,15,0
2016-04-01,10:30:00,2.366,2.366,2.366,2.366,521,0
2016-04-04,09:45:00,2.36,2.36,2.36,2.36,175,0
2016-04-04,14:35:00,2.472,2.472,2.472,2.472,405,0
2016-04-07,15:55:00,2.4,2.4,2.4,2.4,261,0
2016-04-07,16:00:00,2.21,2.21,2.1,2.1,1739,0
2016-04-08,09:10:00,2.11,2.11,2.11,2.11,100,0
2016-04-11,09:50:00,2.2,2.2,2.2,2.2,500,0
2016-04-12,08:05:00,2.315,2.315,2.315,2.315,5,0
