Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-13,09:05:00,1.62,1.62,1.62,1.62,241,0
2017-07-13,09:40:00,1.62,1.62,1.62,1.62,108,0
2017-07-13,10:10:00,1.645,1.645,1.644,1.644,580,0
2017-07-13,11:25:00,1.63,1.63,1.63,1.63,3231,0
2017-07-13,13:15:00,1.61,1.61,1.61,1.61,11,0
2017-07-13,14:10:00,1.629,1.63,1.629,1.63,2000,0
2017-07-13,14:15:00,1.63,1.63,1.63,1.63,3911,0
2017-07-13,17:00:00,1.642,1.642,1.621,1.621,5000,0
2017-07-13,17:10:00,1.662,1.662,1.662,1.662,2500,0
2017-07-13,17:20:00,1.656,1.656,1.656,1.656,2000,0
2017-07-13,17:30:00,1.656,1.656,1.631,1.631,780,0
2017-07-14,09:05:00,1.679,1.679,1.679,1.679,1000,0
2017-07-14,10:00:00,1.631,1.631,1.631,1.631,7,0
2017-07-14,10:05:00,1.661,1.661,1.661,1.661,1000,0
2017-07-14,10:10:00,1.669,1.669,1.669,1.669,1000,0
2017-07-14,10:35:00,1.631,1.631,1.63,1.63,869,0
2017-07-14,10:40:00,1.63,1.63,1.63,1.63,206,0
2017-07-14,11:20:00,1.63,1.63,1.63,1.63,2000,0
2017-07-14,11:30:00,1.63,1.63,1.63,1.63,925,0
2017-07-14,12:20:00,1.659,1.659,1.659,1.659,1000,0
2017-07-14,17:30:00,1.636,1.636,1.636,1.636,4727,0
2017-07-17,09:05:00,1.605,1.605,1.605,1.605,13373,0
2017-07-17,09:20:00,1.606,1.606,1.606,1.606,17,0
2017-07-17,09:35:00,1.615,1.615,1.615,1.615,350,0
2017-07-17,09:40:00,1.615,1.636,1.615,1.636,534,0
2017-07-17,09:50:00,1.615,1.615,1.615,1.615,10,0
2017-07-17,10:45:00,1.63,1.63,1.63,1.63,1000,0
2017-07-17,11:35:00,1.63,1.63,1.63,1.63,2700,0
2017-07-17,11:40:00,1.649,1.649,1.649,1.649,2500,0
2017-07-17,13:20:00,1.606,1.606,1.606,1.606,19727,0
2017-07-17,15:40:00,1.606,1.606,1.606,1.606,150,0
2017-07-17,15:50:00,1.62,1.62,1.62,1.62,3000,0
2017-07-17,16:10:00,1.62,1.62,1.62,1.62,1380,0
2017-07-17,17:15:00,1.619,1.62,1.619,1.62,2600,0
2017-07-17,17:25:00,1.607,1.607,1.607,1.607,5000,0
2017-07-17,17:30:00,1.607,1.607,1.607,1.607,17,0
2017-07-18,10:45:00,1.625,1.625,1.625,1.625,450,0
2017-07-18,11:00:00,1.606,1.606,1.591,1.591,2526,0
2017-07-18,11:20:00,1.615,1.615,1.615,1.615,217,0
2017-07-18,13:10:00,1.61,1.61,1.61,1.61,217,0
2017-07-18,13:20:00,1.61,1.61,1.61,1.61,408,0
2017-07-18,13:30:00,1.615,1.615,1.615,1.615,128,0
2017-07-18,13:40:00,1.615,1.615,1.615,1.615,376,0
2017-07-18,14:50:00,1.591,1.591,1.591,1.591,5,0
2017-07-18,17:30:00,1.602,1.602,1.602,1.602,0,0
2017-07-19,09:05:00,1.6,1.6,1.6,1.6,2,0
2017-07-19,13:00:00,1.615,1.615,1.615,1.615,290,0
2017-07-19,17:30:00,1.6,1.6,1.6,1.6,1888,0
2017-07-20,09:05:00,1.6,1.6,1.6,1.6,6034,0
2017-07-20,09:15:00,1.601,1.601,1.601,1.601,200,0
2017-07-20,12:00:00,1.613,1.613,1.613,1.613,55,0
2017-07-20,14:20:00,1.611,1.611,1.611,1.611,501,0
2017-07-20,14:25:00,1.619,1.619,1.614,1.614,3038,0
2017-07-20,14:35:00,1.613,1.613,1.613,1.613,3,0
2017-07-20,15:05:00,1.613,1.613,1.613,1.613,15,0
2017-07-20,16:20:00,1.611,1.611,1.611,1.611,8,0
2017-07-20,16:30:00,1.611,1.611,1.61,1.61,4597,0
2017-07-20,17:25:00,1.64,1.64,1.64,1.64,108,0
2017-07-20,17:30:00,1.642,1.642,1.612,1.612,110,0
2017-07-21,11:15:00,1.6,1.6,1.6,1.6,3,0
2017-07-21,12:25:00,1.6,1.6,1.6,1.6,10,0
2017-07-21,12:35:00,1.6,1.6,1.6,1.6,73,0
2017-07-21,14:15:00,1.64,1.64,1.64,1.64,219,0
2017-07-21,17:30:00,1.612,1.612,1.612,1.612,0,0
2017-07-24,09:05:00,1.6,1.6,1.6,1.6,610,0
2017-07-24,12:20:00,1.639,1.639,1.639,1.639,50,0
2017-07-24,13:00:00,1.639,1.639,1.639,1.639,125,0
2017-07-24,15:10:00,1.605,1.605,1.605,1.605,36,0
2017-07-24,17:30:00,1.611,1.611,1.611,1.611,0,0
2017-07-25,09:05:00,1.605,1.605,1.605,1.605,66,0
