Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-10-15,09:10:00,0.655,0.655,0.62,0.62,7231,0
2015-10-15,13:00:00,0.73,0.73,0.73,0.73,250,0
2015-10-15,13:55:00,0.73,0.73,0.68,0.68,8050,0
2015-10-15,14:55:00,0.79,0.79,0.79,0.79,2500,0
2015-10-15,15:00:00,0.771,0.771,0.771,0.771,1300,0
2015-10-15,16:35:00,0.8,0.8,0.8,0.8,20331,0
2015-10-16,14:35:00,0.87,0.87,0.87,0.87,2000,0
2015-10-16,16:05:00,0.949,0.949,0.949,0.949,2000,0
2015-10-16,16:50:00,0.88,0.88,0.88,0.88,2000,0
2015-10-16,17:05:00,0.9,0.9,0.9,0.9,1050,0
2015-10-16,17:25:00,0.83,0.83,0.801,0.801,11000,0
2015-10-16,17:30:00,0.8,0.8,0.8,0.8,19050,0
2015-10-19,09:10:00,0.839,0.839,0.839,0.839,2000,0
2015-10-19,12:45:00,0.811,0.811,0.811,0.811,345,0
2015-10-19,17:30:00,0.806,0.806,0.806,0.806,3685,0
2015-10-20,09:05:00,0.86,0.86,0.86,0.86,460,0
2015-10-21,14:30:00,0.8,0.8,0.8,0.8,1300,0
2015-10-22,09:35:00,0.8,0.8,0.8,0.8,2000,0
2015-10-22,15:20:00,0.83,0.83,0.83,0.83,500,0
2015-10-22,16:55:00,0.78,0.78,0.78,0.78,99,0
2015-10-22,17:20:00,0.78,0.78,0.78,0.78,50,0
2015-10-22,17:30:00,0.776,0.776,0.776,0.776,6649,0
2015-10-23,12:25:00,0.82,0.82,0.82,0.82,2000,0
2015-10-23,16:00:00,0.82,0.82,0.82,0.82,70,0
2015-10-23,17:30:00,0.82,0.82,0.82,0.82,41322,0
2015-10-26,12:25:00,0.825,0.825,0.825,0.825,500,0
2015-10-26,17:30:00,0.826,0.826,0.826,0.826,12500,0
2015-10-27,09:05:00,0.835,0.88,0.835,0.88,625,0
2015-10-27,10:00:00,0.875,0.875,0.875,0.875,2000,0
2015-10-27,17:30:00,0.875,0.875,0.875,0.875,500,0
2015-10-28,14:40:00,0.855,0.855,0.855,0.855,2000,0
2015-10-28,17:30:00,0.855,0.855,0.855,0.855,11500,0
2015-10-29,09:15:00,0.835,0.835,0.835,0.835,500,0
2015-10-29,09:25:00,0.83,0.855,0.83,0.855,1951,0
