Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-07-15,16:45:00,39.895,39.9,39.895,39.9,102,0
2016-07-18,12:25:00,39.419,39.419,39.419,39.419,132,0
2016-07-18,12:45:00,39.419,39.419,39.419,39.419,71,0
2016-07-18,15:10:00,39.999,39.999,39.999,39.999,1,0
2016-07-18,15:50:00,40.19,40.19,40.19,40.19,1,0
2016-07-18,17:30:00,40.195,40.195,40.195,40.195,113,0
2016-07-19,14:25:00,40.485,40.485,40.485,40.485,2,0
2016-07-19,16:25:00,40.485,40.485,40.485,40.485,102,0
2016-07-19,17:30:00,40.49,40.49,40.49,40.49,104,0
2016-07-20,16:25:00,40.711,40.711,40.711,40.711,25,0
2016-07-20,17:30:00,40.716,40.716,40.716,40.716,25,0
2016-07-26,16:40:00,40.554,40.554,40.554,40.554,49,0
2016-07-26,17:15:00,40.559,40.559,40.559,40.559,153,0
2016-07-28,10:00:00,40.957,40.957,40.957,40.957,50,0
2016-07-28,10:10:00,42.013,42.013,42.013,42.013,31,0
2016-07-28,10:15:00,41.954,41.954,41.954,41.954,1246,0
2016-07-28,10:40:00,41.281,41.281,41.276,41.276,83,0
2016-07-28,10:45:00,41.91,41.915,41.91,41.915,36,0
2016-07-28,10:50:00,41.276,41.276,40.785,40.785,187,0
2016-07-28,10:55:00,41.178,41.178,40.785,40.785,76,0
2016-07-28,11:00:00,41.763,42.259,41.276,41.276,1506,0
2016-07-28,13:30:00,41.286,41.286,41.266,41.266,1206,0
2016-07-28,16:10:00,41.468,41.473,41.468,41.473,80,0
2016-07-28,16:15:00,41.851,41.851,41.851,41.851,39,0
2016-07-28,17:10:00,41.851,41.856,41.851,41.856,491,0
2016-07-28,17:20:00,42.745,42.745,42.745,42.745,102,0
2016-07-28,17:25:00,42.745,42.745,42.745,42.745,102,0
2016-07-28,17:30:00,43.055,43.055,43.055,43.055,204,0
2016-07-29,09:10:00,42.259,42.259,42.259,42.259,254,0
2016-07-29,15:50:00,41.478,41.478,41.08,41.08,315,0
2016-07-29,16:00:00,41.08,41.08,41.08,41.08,407,0
2016-07-29,17:15:00,40.49,41.674,40.49,41.674,408,0
2016-07-29,17:20:00,41.026,41.026,41.026,41.026,61,0
2016-07-29,17:25:00,40.785,40.785,40.785,40.785,51,0
2016-08-01,09:05:00,41.679,41.679,41.679,41.679,102,0
2016-08-01,09:10:00,41.276,41.276,40.785,40.785,305,0
2016-08-01,10:25:00,41.689,41.689,41.689,41.689,103,0
2016-08-01,11:40:00,41.276,41.276,41.276,41.276,20,0
2016-08-01,17:30:00,41.124,41.124,41.124,41.124,21,0
2016-08-02,13:50:00,41.379,41.379,41.379,41.379,97,0
2016-08-02,15:25:00,40.19,40.19,40.19,40.19,51,0
2016-08-03,09:30:00,40.76,40.76,40.76,40.76,102,0
2016-08-03,16:00:00,40.76,40.76,40.76,40.76,136,0
2016-08-03,17:30:00,40.868,40.868,40.868,40.868,76,0
2016-08-04,16:30:00,41.281,41.281,41.281,41.281,94,0
2016-08-04,17:20:00,41.281,41.281,41.281,41.281,8,0
2016-08-05,16:10:00,40.578,40.578,40.578,40.578,407,0
2016-08-08,09:25:00,39.994,39.994,39.989,39.989,407,0
2016-08-08,09:45:00,40.18,40.185,40.18,40.185,492,0
2016-08-08,10:10:00,39.994,39.994,39.989,39.989,509,0
2016-08-08,10:25:00,40.279,40.284,40.279,40.284,520,0
2016-08-08,10:55:00,39.895,40.185,39.89,40.185,1089,0
2016-08-08,11:05:00,39.895,39.895,39.89,39.89,553,0
2016-08-08,11:35:00,39.885,39.89,39.885,39.89,271,0
2016-08-08,14:10:00,39.311,39.311,39.311,39.311,254,0
2016-08-08,14:55:00,39.797,39.89,39.797,39.89,476,0
2016-08-08,16:15:00,40.279,40.284,40.279,40.284,415,0
2016-08-08,17:10:00,40.146,40.873,40.146,40.873,1730,0
2016-08-09,09:10:00,40.682,40.682,40.677,40.677,241,0
2016-08-09,09:20:00,40.578,40.578,40.578,40.578,204,0
2016-08-09,15:15:00,41.478,41.478,41.478,41.478,10,0
2016-08-09,17:30:00,41.36,42.554,41.36,42.554,1044,0
2016-08-10,10:05:00,42.018,42.018,41.994,41.994,173,0
2016-08-10,13:20:00,41.227,41.227,41.227,41.227,102,0
2016-08-10,14:10:00,42.254,42.254,42.254,42.254,118,0
2016-08-10,16:50:00,42.342,42.342,42.342,42.342,101,0
2016-08-10,17:20:00,41.134,41.134,41.129,41.129,160,0
2016-08-11,17:30:00,41.011,41.011,41.011,41.011,131,0
2016-08-12,11:15:00,41.615,41.615,41.615,41.615,51,0
2016-08-12,17:10:00,40.495,40.495,40.495,40.495,51,0
2016-08-22,10:05:00,41.468,41.468,41.468,41.468,102,0
2016-08-22,17:30:00,41.566,41.566,41.566,41.566,24,0
2016-08-24,12:30:00,41.468,41.473,41.468,41.473,61,0
2016-08-25,11:30:00,40.632,40.632,40.627,40.627,81,0
2016-08-26,13:25:00,40.627,41.866,40.627,41.866,305,0
2016-08-26,15:10:00,42.259,42.259,42.259,42.259,153,0
2016-08-26,17:30:00,42.559,42.559,42.559,42.559,122,0
2016-08-29,17:30:00,42.357,42.357,42.357,42.357,6,0
2016-09-01,17:30:00,40.947,40.947,40.947,40.947,113,0
2016-09-02,16:15:00,40.544,40.544,40.544,40.544,39,0
2016-09-02,16:50:00,41.271,41.276,41.271,41.276,199,0
2016-09-05,09:05:00,42.018,42.018,42.018,42.018,26,0
2016-09-05,09:45:00,42.451,42.455,42.451,42.455,95,0
2016-09-05,11:25:00,42.347,42.347,42.347,42.347,20,0
2016-09-05,17:20:00,42.308,42.308,42.308,42.308,41,0
2016-09-05,17:30:00,42.328,42.328,42.328,42.328,128,0
2016-09-07,16:35:00,41.939,41.939,41.939,41.939,102,0
2016-09-08,11:00:00,41.183,41.183,41.178,41.178,153,0
2016-09-14,13:20:00,41.261,41.261,41.261,41.261,88,0
2016-09-16,16:30:00,40.524,40.524,40.524,40.524,122,0
2016-09-16,16:45:00,40.524,40.524,40.524,40.524,81,0
2016-09-16,17:30:00,41.276,41.276,41.276,41.276,75,0
2016-09-19,11:55:00,41.763,41.763,41.763,41.763,125,0
2016-09-19,12:00:00,41.276,41.276,41.276,41.276,26,0
2016-09-19,16:25:00,41.276,41.767,41.276,41.767,302,0
2016-09-19,16:30:00,41.276,41.276,41.276,41.276,22,0
2016-09-19,16:50:00,42.588,42.588,42.588,42.588,1,0
2016-09-19,17:30:00,41.576,42.844,41.571,42.087,347,0
2016-09-20,17:10:00,41.227,41.227,41.227,41.227,102,0
2016-09-23,10:35:00,41.998,42.003,41.998,42.003,515,0
2016-09-26,10:05:00,42.603,42.603,42.603,42.603,137,0
2016-09-26,14:45:00,42.755,42.755,42.755,42.755,83,0
2016-09-26,14:55:00,42.755,42.755,42.755,42.755,18,0
2016-09-26,16:10:00,42.75,42.75,42.75,42.75,22,0
2016-09-26,16:25:00,42.75,42.75,42.75,42.75,79,0
2016-09-27,11:45:00,42.136,42.136,42.136,42.136,51,0
2016-09-27,13:40:00,42.745,42.745,42.745,42.745,51,0
2016-09-28,09:05:00,42.75,42.75,42.75,42.75,72,0
2016-09-28,09:40:00,42.75,42.75,42.75,42.75,691,0
2016-09-28,09:45:00,42.755,43.138,42.092,42.092,1966,0
2016-09-28,12:25:00,41.237,41.237,39.802,39.802,2974,0
2016-09-28,12:30:00,39.797,39.797,39.797,39.797,83,0
2016-09-28,14:00:00,40.043,40.043,40.043,40.043,33,0
2016-09-28,14:20:00,40.043,40.043,40.043,40.043,144,0
2016-09-28,14:25:00,40.043,40.293,40.043,40.293,137,0
2016-09-28,14:35:00,40.043,40.534,40.043,40.534,3426,0
2016-09-28,15:50:00,40.539,40.539,40.539,40.539,102,0
2016-09-28,16:40:00,40.539,40.78,40.539,40.78,2544,0
2016-09-28,17:10:00,40.78,40.78,40.78,40.78,51,0
2016-09-28,17:25:00,40.78,40.78,40.78,40.78,305,0
2016-09-28,17:30:00,39.615,40.686,39.605,40.686,2308,0
2016-09-29,10:45:00,40.814,40.824,40.814,40.819,1040,0
2016-09-29,14:05:00,41.669,41.669,41.669,41.669,119,0
2016-09-29,15:20:00,41.659,41.964,41.659,41.964,397,0
2016-09-29,16:40:00,42.406,42.406,42.406,42.406,102,0
2016-09-29,16:45:00,42.947,43.045,42.947,43.045,462,0
2016-09-29,17:20:00,42.46,42.46,42.46,42.46,46,0
2016-09-29,17:30:00,43.143,43.143,43.143,43.143,122,0
2016-09-30,16:10:00,43.138,43.674,43.138,43.674,102,0
2016-09-30,16:50:00,43.684,43.684,43.684,43.684,71,0
2016-09-30,17:30:00,44.028,44.028,44.028,44.028,102,0
2016-10-04,09:25:00,43.689,43.689,43.684,43.684,78,0
2016-10-04,10:00:00,43.345,43.345,43.34,43.34,127,0
2016-10-04,10:10:00,42.505,42.505,42.505,42.505,305,0
2016-10-05,11:30:00,41.704,41.704,41.704,41.704,102,0
2016-10-06,14:30:00,41.772,41.772,41.772,41.772,102,0
2016-10-06,14:35:00,41.772,41.772,41.767,41.767,492,0
2016-10-06,14:50:00,41.777,41.777,41.777,41.777,20,0
2016-10-07,10:40:00,42.259,42.259,42.259,42.259,102,0
2016-10-10,09:05:00,42.21,42.21,42.21,42.21,51,0
2016-10-11,09:40:00,41.414,41.414,41.414,41.414,305,0
2016-10-13,09:30:00,40.392,40.392,40.392,40.392,20,0
2016-10-14,16:55:00,40.785,40.785,40.785,40.785,10,0
