Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,65.43,65.66,65.34,65.64,10200,0
2017-10-26,09:10:00,65.57,65.8,65.5,65.68,1418,0
2017-10-26,09:15:00,65.69,65.89,65.53,65.89,2534,0
2017-10-26,09:20:00,65.85,65.94,65.7,65.83,4965,0
2017-10-26,09:25:00,65.81,66.29,65.73,66.2,3511,0
2017-10-26,09:30:00,66.14,66.27,66,66.27,1796,0
2017-10-26,09:35:00,66.21,66.25,66.13,66.15,2055,0
2017-10-26,09:40:00,66.17,66.18,66.01,66.14,1210,0
2017-10-26,09:45:00,66.16,66.16,66.07,66.08,566,0
2017-10-26,09:50:00,66.08,66.15,66,66,3102,0
2017-10-26,09:55:00,65.89,65.95,65.85,65.95,1395,0
2017-10-26,10:00:00,65.94,65.96,65.84,65.94,1967,0
2017-10-26,10:05:00,65.93,66.14,65.91,66.07,4010,0
2017-10-26,10:10:00,66.06,66.17,66.03,66.06,4000,0
2017-10-26,10:15:00,66,66,65.76,65.82,1935,0
2017-10-26,10:20:00,65.77,65.79,65.69,65.69,1535,0
2017-10-26,10:25:00,65.67,65.76,65.64,65.68,2600,0
2017-10-26,10:30:00,65.68,65.76,65.56,65.56,1782,0
2017-10-26,10:35:00,65.6,65.78,65.57,65.71,2919,0
2017-10-26,10:40:00,65.69,65.85,65.69,65.79,4654,0
2017-10-26,10:45:00,65.79,66.13,65.79,66.08,6102,0
2017-10-26,10:50:00,66.06,66.16,66.03,66.06,3540,0
2017-10-26,10:55:00,66.13,66.15,65.96,65.96,1338,0
2017-10-26,11:00:00,65.96,66.08,65.96,66.05,2632,0
2017-10-26,11:05:00,66.05,66.1,65.96,65.96,1408,0
2017-10-26,11:10:00,65.94,65.94,65.78,65.93,3366,0
2017-10-26,11:15:00,65.91,66.03,65.89,66.01,6464,0
2017-10-26,11:20:00,66.01,66.01,65.9,65.9,1026,0
2017-10-26,11:25:00,65.86,65.95,65.82,65.87,5041,0
2017-10-26,11:30:00,65.87,65.9,65.77,65.86,2453,0
2017-10-26,11:35:00,65.87,66.12,65.82,66.1,6927,0
2017-10-26,11:40:00,66.12,67.38,66.1,67.08,47802,0
2017-10-26,11:45:00,66.97,66.98,66.01,66.01,6217,0
2017-10-26,11:50:00,66.05,66.23,66.04,66.2,3140,0
2017-10-26,11:55:00,66.27,66.46,66.19,66.28,5947,0
2017-10-26,12:00:00,66.25,66.69,66.25,66.47,3901,0
2017-10-26,12:05:00,66.48,66.61,66.3,66.42,5092,0
2017-10-26,12:10:00,66.47,66.92,66.47,66.9,7170,0
2017-10-26,12:15:00,66.92,67.05,66.6,66.62,8478,0
2017-10-26,12:20:00,66.59,66.64,66.56,66.56,2026,0
2017-10-26,12:25:00,66.6,66.69,66.57,66.62,5677,0
2017-10-26,12:30:00,66.64,66.81,66.58,66.69,4547,0
2017-10-26,12:35:00,66.63,66.89,66.62,66.83,4001,0
2017-10-26,12:40:00,66.79,66.87,66.59,66.77,8170,0
2017-10-26,12:45:00,66.74,66.83,66.71,66.77,1849,0
2017-10-26,12:50:00,66.79,66.79,66.74,66.78,1864,0
2017-10-26,12:55:00,66.77,66.87,66.7,66.74,3843,0
2017-10-26,13:00:00,66.71,66.9,66.69,66.69,5525,0
2017-10-26,13:05:00,66.68,66.8,66.68,66.73,3673,0
2017-10-26,13:10:00,66.7,66.91,66.7,66.85,2895,0
2017-10-26,13:15:00,66.83,67,66.81,66.87,8549,0
2017-10-26,13:20:00,66.81,66.91,66.78,66.85,3367,0
2017-10-26,13:25:00,66.85,67.15,66.82,67.09,7826,0
2017-10-26,13:30:00,67.14,67.23,67.02,67.02,6945,0
2017-10-26,13:35:00,66.98,67.15,66.95,67.09,3895,0
2017-10-26,13:40:00,67.11,67.47,67.11,67.42,13388,0
2017-10-26,13:45:00,67.39,67.39,67.14,67.21,1944,0
2017-10-26,13:50:00,67.22,67.43,67.15,67.31,8947,0
2017-10-26,13:55:00,67.25,67.48,67.11,67.11,3992,0
2017-10-26,14:00:00,67.13,67.38,67,67.34,5177,0
2017-10-26,14:05:00,67.34,67.8,67.34,67.59,14124,0
2017-10-26,14:10:00,67.61,67.64,67.21,67.61,15127,0
2017-10-26,14:15:00,67.5,67.87,67.41,67.87,14597,0
2017-10-26,14:20:00,67.89,68.21,67.89,68,20167,0
2017-10-26,14:25:00,68,68.03,67.49,67.67,9554,0
2017-10-26,14:30:00,67.66,67.96,67.42,67.96,9707,0
2017-10-26,14:35:00,67.91,67.91,67.63,67.72,4550,0
2017-10-26,14:40:00,67.72,67.76,67.46,67.46,3561,0
2017-10-26,14:45:00,67.47,67.69,67.47,67.64,3431,0
2017-10-26,14:50:00,67.67,67.72,67.64,67.71,1132,0
2017-10-26,14:55:00,67.7,67.7,67.54,67.61,1622,0
2017-10-26,15:00:00,67.61,67.67,67.52,67.61,6807,0
2017-10-26,15:05:00,67.61,67.75,67.54,67.73,4560,0
2017-10-26,15:10:00,67.72,67.74,67.62,67.64,3359,0
2017-10-26,15:15:00,67.62,67.69,67.58,67.67,2194,0
2017-10-26,15:20:00,67.63,67.65,67.6,67.61,2414,0
2017-10-26,15:25:00,67.6,67.61,67.32,67.48,3915,0
2017-10-26,15:30:00,67.51,67.55,67.43,67.5,3707,0
2017-10-26,15:35:00,67.55,67.71,67.54,67.71,3648,0
2017-10-26,15:40:00,67.81,67.82,67.65,67.73,2343,0
2017-10-26,15:45:00,67.73,67.79,67.63,67.68,3833,0
2017-10-26,15:50:00,67.67,67.74,67.63,67.69,3581,0
2017-10-26,15:55:00,67.68,68,67.68,67.88,6741,0
2017-10-26,16:00:00,67.87,67.93,67.83,67.93,3225,0
2017-10-26,16:05:00,67.92,68,67.81,67.88,6619,0
2017-10-26,16:10:00,67.87,67.91,67.78,67.91,2629,0
2017-10-26,16:15:00,67.9,67.92,67.82,67.9,5443,0
2017-10-26,16:20:00,67.93,67.99,67.8,67.81,7544,0
2017-10-26,16:25:00,67.8,67.96,67.79,67.96,6471,0
2017-10-26,16:30:00,67.94,68,67.89,67.98,7568,0
2017-10-26,16:35:00,67.98,68.1,67.95,68.05,4887,0
2017-10-26,16:40:00,68.03,68.35,68.03,68.18,11795,0
2017-10-26,16:45:00,68.18,68.31,68.16,68.22,6015,0
2017-10-26,16:50:00,68.2,68.43,68.2,68.29,13319,0
2017-10-26,16:55:00,68.32,68.41,68.2,68.31,8506,0
2017-10-26,17:00:00,68.33,68.64,68.26,68.57,13275,0
2017-10-26,17:05:00,68.56,68.58,68.27,68.36,13284,0
2017-10-26,17:10:00,68.35,68.46,68.27,68.27,8001,0
2017-10-26,17:15:00,68.27,68.42,68.27,68.35,7893,0
2017-10-26,17:20:00,68.32,68.39,68.27,68.33,7143,0
2017-10-26,17:25:00,68.32,68.4,68.1,68.14,26217,0
2017-10-26,17:30:00,68.15,68.26,68.09,68.2,124992,0
2017-10-27,09:05:00,68.93,69,68.69,68.95,10605,0
2017-10-27,09:10:00,68.86,69.29,68.69,68.71,19605,0
2017-10-27,09:15:00,68.67,68.87,68.49,68.85,8817,0
2017-10-27,09:20:00,68.83,68.84,68.71,68.78,5603,0
2017-10-27,09:25:00,68.76,68.76,68.55,68.68,5809,0
2017-10-27,09:30:00,68.69,68.73,68.62,68.73,3511,0
2017-10-27,09:35:00,68.75,68.9,68.7,68.79,12431,0
2017-10-27,09:40:00,68.79,68.85,68.79,68.84,3154,0
2017-10-27,09:45:00,68.87,69.06,68.87,69.03,8977,0
2017-10-27,09:50:00,69.02,69.15,69.01,69.15,5062,0
2017-10-27,09:55:00,69.15,69.21,68.8,68.83,14393,0
2017-10-27,10:00:00,68.86,68.96,68.79,68.84,20776,0
2017-10-27,10:05:00,68.86,69,68.84,68.94,4203,0
2017-10-27,10:10:00,68.94,68.94,68.88,68.92,3217,0
2017-10-27,10:15:00,68.92,68.92,68.8,68.84,4294,0
2017-10-27,10:20:00,68.85,68.96,68.79,68.95,9132,0
2017-10-27,10:25:00,68.96,68.96,68.86,68.87,9610,0
2017-10-27,10:30:00,68.89,69,68.88,68.97,3144,0
2017-10-27,10:35:00,68.96,69.01,68.93,69.01,3587,0
2017-10-27,10:40:00,69.03,69.03,68.97,69.01,1928,0
2017-10-27,10:45:00,69.01,69.05,68.99,69.01,3098,0
2017-10-27,10:50:00,69.03,69.1,68.99,69.01,3744,0
2017-10-27,10:55:00,69.01,69.03,68.93,68.95,3106,0
2017-10-27,11:00:00,68.95,69,68.95,69,1255,0
