Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:10:00,106.65,107,104.15,106.45,18240,0
2017-10-25,09:15:00,106.75,108.7,106.7,108,9131,0
2017-10-25,09:20:00,108,110.35,108,110,6191,0
2017-10-25,09:25:00,110.25,110.25,108.8,109.15,10641,0
2017-10-25,09:30:00,109,109.3,108.8,109.2,1188,0
2017-10-25,09:35:00,109.15,109.5,108.65,109.45,3472,0
2017-10-25,09:40:00,109.35,110.5,109.25,110.2,2869,0
2017-10-25,09:45:00,110.25,110.35,109.7,109.9,1258,0
2017-10-25,09:50:00,109.85,110.25,109.85,110.1,699,0
2017-10-25,09:55:00,110.1,110.85,109.95,110.45,3357,0
2017-10-25,10:00:00,110.45,110.45,110.05,110.2,460,0
2017-10-25,10:05:00,110.25,110.3,109.5,110.2,2455,0
2017-10-25,10:10:00,110.15,110.4,110.05,110.3,672,0
2017-10-25,10:15:00,110.4,110.45,110.3,110.3,185,0
2017-10-25,10:20:00,110.35,110.7,110.3,110.4,881,0
2017-10-25,10:25:00,110.45,110.75,110.35,110.65,1011,0
2017-10-25,10:30:00,110.65,110.65,110.4,110.55,208,0
2017-10-25,10:35:00,110.5,110.65,110.5,110.6,272,0
2017-10-25,10:40:00,110.6,110.6,110.6,110.6,301,0
2017-10-25,10:45:00,110.6,110.9,110.6,110.8,546,0
2017-10-25,10:50:00,110.8,111.05,110.8,111.05,425,0
2017-10-25,10:55:00,111.05,111.6,110.9,111.45,2808,0
2017-10-25,11:00:00,111.35,111.4,111.25,111.35,377,0
2017-10-25,11:05:00,111.05,111.1,110.3,110.35,387,0
2017-10-25,11:10:00,110.25,110.35,110.25,110.35,120,0
2017-10-25,11:15:00,110.2,110.25,110.05,110.05,328,0
2017-10-25,11:20:00,110,110.1,109.65,110.05,364,0
2017-10-25,11:25:00,109.95,110.4,109.95,110.4,369,0
2017-10-25,11:30:00,110.6,110.6,110.55,110.55,50,0
2017-10-25,11:35:00,110.65,110.7,110.4,110.4,307,0
2017-10-25,11:40:00,110.4,110.6,110.3,110.55,232,0
2017-10-25,11:45:00,110.55,110.6,110.55,110.6,47,0
2017-10-25,11:50:00,110.45,110.75,110.45,110.75,155,0
2017-10-25,12:00:00,110.65,110.8,110.65,110.8,81,0
2017-10-25,12:05:00,110.75,110.75,110.55,110.65,192,0
2017-10-25,12:10:00,110.55,110.65,110.5,110.65,113,0
2017-10-25,12:15:00,110.55,110.55,110.5,110.5,155,0
2017-10-25,12:20:00,110.5,110.5,110.1,110.35,780,0
2017-10-25,12:25:00,110.4,110.45,109.95,110.25,1890,0
2017-10-25,12:30:00,110.3,110.3,110,110.05,695,0
2017-10-25,12:35:00,110,110.3,109.7,109.85,1746,0
2017-10-25,12:40:00,109.75,109.8,109.7,109.8,144,0
2017-10-25,12:45:00,109.8,109.85,109.8,109.8,65,0
2017-10-25,12:50:00,109.9,109.9,109.2,109.55,1405,0
2017-10-25,12:55:00,109.25,109.55,109.05,109.55,929,0
2017-10-25,13:00:00,109.55,109.6,109.3,109.3,86,0
2017-10-25,13:05:00,109.35,109.7,109.35,109.7,161,0
2017-10-25,13:10:00,109.5,110.1,109.5,109.9,314,0
2017-10-25,13:15:00,109.75,109.75,109.4,109.65,187,0
2017-10-25,13:25:00,109.75,109.85,109.65,109.65,80,0
2017-10-25,13:35:00,109.6,109.6,109.6,109.6,8,0
2017-10-25,13:40:00,109.8,109.9,109.7,109.75,178,0
2017-10-25,13:50:00,109.85,109.85,109.75,109.75,11,0
2017-10-25,13:55:00,109.7,109.7,109.7,109.7,28,0
2017-10-25,14:00:00,109.65,109.65,109.25,109.4,650,0
2017-10-25,14:05:00,109.25,109.4,109.2,109.4,311,0
2017-10-25,14:10:00,109.6,109.7,109.6,109.7,231,0
2017-10-25,14:20:00,109.7,109.7,109.6,109.6,73,0
2017-10-25,14:25:00,109.65,109.95,109.65,109.7,239,0
2017-10-25,14:30:00,109.7,109.7,109.4,109.55,831,0
2017-10-25,14:35:00,109.55,109.6,109.55,109.6,20,0
2017-10-25,14:40:00,109.55,109.8,109.55,109.8,74,0
2017-10-25,14:45:00,109.8,109.8,109.55,109.6,311,0
2017-10-25,14:50:00,109.6,109.85,109.55,109.75,478,0
2017-10-25,14:55:00,109.7,109.7,109.3,109.6,788,0
2017-10-25,15:00:00,109.55,109.55,109.5,109.5,148,0
2017-10-25,15:05:00,109.6,109.75,109.6,109.7,308,0
2017-10-25,15:10:00,109.6,109.6,109.4,109.4,764,0
2017-10-25,15:15:00,109.3,109.35,109.15,109.15,443,0
2017-10-25,15:20:00,109.15,109.2,109.05,109.1,400,0
2017-10-25,15:25:00,109.15,109.15,109.05,109.15,322,0
2017-10-25,15:30:00,109.15,109.4,109.05,109.3,998,0
2017-10-25,15:35:00,109.35,109.6,109.35,109.4,525,0
2017-10-25,15:40:00,109.45,109.75,109.35,109.65,4476,0
2017-10-25,15:45:00,109.75,109.9,109.65,109.8,140,0
2017-10-25,15:50:00,109.8,109.8,109.65,109.65,182,0
2017-10-25,15:55:00,109.75,109.75,109.7,109.7,59,0
2017-10-25,16:00:00,109.8,109.9,109.8,109.8,291,0
2017-10-25,16:05:00,109.85,109.9,109.85,109.9,74,0
2017-10-25,16:10:00,109.85,109.9,109.85,109.9,248,0
2017-10-25,16:15:00,109.85,110.1,109.85,110,1831,0
2017-10-25,16:20:00,109.9,110.15,109.9,110,947,0
2017-10-25,16:25:00,110,110.35,109.9,109.9,2025,0
2017-10-25,16:30:00,110,110.1,109.75,109.9,2017,0
2017-10-25,16:35:00,109.9,110.05,109.8,110.05,1369,0
2017-10-25,16:40:00,109.95,110.05,109.95,109.95,620,0
2017-10-25,16:45:00,109.95,110,109.85,109.95,757,0
2017-10-25,16:50:00,109.95,110.15,109.9,110,1037,0
2017-10-25,16:55:00,110.1,110.1,109.95,110.05,140,0
2017-10-25,17:00:00,110,110.05,109.9,110,1392,0
2017-10-25,17:05:00,110,110,109.95,109.95,432,0
2017-10-25,17:10:00,110,110.05,109.95,110.05,357,0
2017-10-25,17:15:00,110.05,110.2,109.9,110,1220,0
2017-10-25,17:20:00,110,110,109.9,109.9,1364,0
