Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-16,09:15:00,508.9,510,508.9,510,100,0
2017-08-16,10:10:00,511.05,511.05,511,511,15,0
2017-08-16,10:20:00,513.85,513.85,513.85,513.85,4,0
2017-08-16,10:30:00,513.7,514,513.7,514,20,0
2017-08-16,10:40:00,511.6,511.6,511.35,511.35,7,0
2017-08-16,11:40:00,512,512,512,512,10,0
2017-08-16,11:50:00,510,510,507,507,25,0
2017-08-16,12:00:00,512,512,512,512,20,0
2017-08-16,12:50:00,510.05,510.05,510,510,20,0
2017-08-16,14:55:00,510.05,510.05,510,510,23,0
2017-08-16,15:25:00,511.95,511.95,511.95,511.95,3,0
2017-08-16,15:30:00,508.4,508.4,506,506,65,0
2017-08-16,15:35:00,506.3,506.3,505,505,250,0
2017-08-16,15:50:00,505.5,505.5,505.5,505.5,74,0
2017-08-16,16:15:00,509.95,509.95,509.95,509.95,4,0
2017-08-16,16:20:00,506.35,506.35,506.35,506.35,15,0
2017-08-16,16:30:00,509.95,509.95,509.95,509.95,8,0
2017-08-16,16:55:00,508.35,508.35,508.35,508.35,2,0
2017-08-16,17:05:00,509.7,509.7,509.7,509.7,1,0
2017-08-16,17:10:00,508.95,508.95,508.95,508.95,5,0
2017-08-16,17:15:00,506.2,509.7,506,509.7,61,0
2017-08-16,17:20:00,509.5,509.5,509.5,509.5,2,0
2017-08-16,17:30:00,506.65,506.65,506.65,506.65,0,0
2017-08-17,09:05:00,509.75,510,509.75,510,57,0
2017-08-17,09:10:00,507.95,507.95,507.95,507.95,2,0
2017-08-17,09:35:00,511.9,511.9,511.9,511.9,3,0
2017-08-17,09:55:00,507.95,507.95,507.9,507.9,25,0
2017-08-17,10:10:00,507.95,507.95,507.95,507.95,2,0
2017-08-17,10:25:00,510.55,510.55,510.55,510.55,11,0
2017-08-17,11:30:00,507.5,507.5,507.5,507.5,10,0
2017-08-17,11:40:00,509.35,509.95,509.35,509.85,18,0
2017-08-17,12:10:00,507.5,507.5,507.5,507.5,10,0
2017-08-17,15:10:00,508,508,508,508,4,0
2017-08-17,16:15:00,509.8,509.8,509.8,509.8,2,0
2017-08-17,16:30:00,509.85,509.85,509.85,509.85,3,0
2017-08-17,16:40:00,508,508,507.5,507.5,68,0
2017-08-17,16:45:00,506,506,506,506,5,0
2017-08-17,17:05:00,506.5,506.5,506.5,506.5,10,0
2017-08-17,17:20:00,505,505,504,504,10,0
2017-08-17,17:25:00,506.35,506.35,506.35,506.35,2,0
2017-08-17,17:30:00,505.15,505.45,505.15,505.45,9,0
2017-08-18,09:20:00,504.85,505,504.85,505,30,0
2017-08-18,09:30:00,504.25,504.25,504.25,504.25,4,0
2017-08-18,09:35:00,504.8,505,504.8,505,29,0
2017-08-18,10:15:00,504.75,504.75,504.7,504.7,11,0
2017-08-18,11:00:00,505.05,505.05,505.05,505.05,7,0
2017-08-18,11:20:00,505.7,505.7,505.7,505.7,2,0
2017-08-18,11:30:00,502.7,502.7,500,500,50,0
2017-08-18,12:25:00,504.95,505,504.95,505,16,0
2017-08-18,12:30:00,505.8,506.4,505.8,506.4,6,0
