Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-26,09:05:00,17.2,17.2,17.2,17.2,414,0
2017-09-26,11:10:00,17.25,17.26,17.25,17.26,39,0
2017-09-26,11:20:00,17.29,17.29,17.285,17.285,240,0
2017-09-26,12:35:00,17.425,17.43,17.425,17.43,550,0
2017-09-26,13:30:00,17.35,17.35,17.35,17.35,60,0
2017-09-26,14:10:00,17.35,17.35,17.35,17.35,5,0
2017-09-26,14:25:00,17.35,17.35,17.35,17.35,16,0
2017-09-26,15:15:00,17.35,17.35,17.35,17.35,59,0
2017-09-26,15:20:00,17.36,17.36,17.36,17.36,35,0
2017-09-26,15:50:00,17.195,17.195,17.195,17.195,100,0
2017-09-26,16:30:00,17.215,17.215,17.215,17.215,37,0
2017-09-26,16:35:00,17.145,17.145,17.145,17.145,10,0
2017-09-26,17:00:00,17.33,17.33,17.33,17.33,185,0
2017-09-26,17:20:00,17.385,17.4,17.385,17.4,102,0
2017-09-26,17:30:00,17.355,17.43,17.16,17.43,127,0
2017-09-27,09:05:00,17.12,17.12,17.12,17.12,698,0
2017-09-27,09:35:00,17.25,17.25,17.155,17.155,500,0
2017-09-27,09:55:00,17.22,17.22,17.155,17.155,100,0
2017-09-27,12:25:00,17.275,17.5,17.275,17.5,2000,0
2017-09-27,13:50:00,17.25,17.25,17.25,17.25,500,0
2017-09-27,14:30:00,17.17,17.17,17.17,17.17,66,0
2017-09-27,14:45:00,17.17,17.17,17.17,17.17,194,0
2017-09-27,14:55:00,17.15,17.15,17.15,17.15,224,0
2017-09-27,15:00:00,17.15,17.15,17.15,17.15,608,0
2017-09-27,15:05:00,17.15,17.15,17.15,17.15,1,0
2017-09-27,15:10:00,17.145,17.145,17.145,17.145,11,0
2017-09-27,15:25:00,17.15,17.15,17.15,17.15,77,0
2017-09-27,15:40:00,17.15,17.15,17.1,17.1,891,0
2017-09-27,16:35:00,17.15,17.15,16.7,16.71,4775,0
2017-09-27,16:40:00,16.63,16.63,16.45,16.45,1828,0
2017-09-27,16:45:00,16.515,16.71,16.395,16.71,2926,0
2017-09-27,16:50:00,16.775,16.775,16.765,16.765,851,0
2017-09-27,17:05:00,16.8,16.8,16.8,16.8,349,0
2017-09-27,17:10:00,16.985,17.015,16.985,17.015,525,0
2017-09-27,17:15:00,17.01,17.01,17.01,17.01,410,0
2017-09-27,17:25:00,16.995,16.995,16.995,16.995,451,0
2017-09-27,17:30:00,17.01,17.125,16.865,17.125,595,0
2017-09-28,10:40:00,17.125,17.125,17,17,336,0
2017-09-28,10:45:00,17.13,17.165,17.13,17.165,245,0
2017-09-28,11:15:00,17.165,17.2,17.165,17.2,163,0
2017-09-28,11:45:00,17.165,17.165,17.16,17.16,64,0
2017-09-28,13:10:00,17.13,17.13,17.13,17.13,104,0
2017-09-28,13:15:00,17.13,17.13,17.13,17.13,2,0
2017-09-28,13:25:00,17.13,17.13,17.13,17.13,50,0
2017-09-28,14:10:00,17.03,17.03,17.03,17.03,1,0
2017-09-28,14:55:00,17.065,17.065,17,17,484,0
2017-09-28,15:20:00,17.01,17.01,17.01,17.01,1,0
2017-09-28,16:15:00,17.025,17.025,17.025,17.025,16,0
2017-09-28,16:30:00,17,17,17,17,1,0
2017-09-28,17:10:00,17.095,17.13,17.095,17.13,48,0
2017-09-28,17:15:00,17.13,17.13,17.125,17.125,324,0
2017-09-28,17:20:00,17.195,17.195,17.195,17.195,55,0
2017-09-28,17:30:00,17.1,17.1,16.955,17.1,280,0
2017-09-29,10:15:00,17.15,17.15,17.15,17.15,78,0
2017-09-29,10:45:00,17.2,17.22,17.2,17.22,200,0
2017-09-29,11:05:00,17.2,17.2,17.2,17.2,43,0
2017-09-29,11:20:00,17.2,17.2,17.2,17.2,30,0
2017-09-29,11:50:00,17.2,17.2,17.2,17.2,1,0
2017-09-29,12:10:00,17.185,17.185,17.15,17.15,385,0
2017-09-29,12:20:00,17.15,17.15,17.15,17.15,14,0
2017-09-29,12:55:00,17.15,17.155,17.15,17.15,266,0
2017-09-29,13:10:00,17.155,17.22,17.155,17.2,8785,0
2017-09-29,13:35:00,17.2,17.2,17.2,17.2,107,0
2017-09-29,13:40:00,17.2,17.2,17.195,17.195,498,0
2017-09-29,14:00:00,17.2,17.2,17.2,17.2,3,0
2017-09-29,15:15:00,17.15,17.15,17.15,17.15,800,0
2017-09-29,15:35:00,17.085,17.085,17.085,17.085,10,0
2017-09-29,16:05:00,17.085,17.085,17,17,916,0
2017-09-29,16:15:00,16.955,16.955,16.9,16.9,2036,0
2017-09-29,16:20:00,16.87,16.87,16.87,16.87,15,0
2017-09-29,16:30:00,17,17,17,17,200,0
2017-09-29,16:35:00,16.97,16.985,16.97,16.985,400,0
2017-09-29,17:10:00,16.99,16.99,16.99,16.99,66,0
2017-09-29,17:20:00,16.97,16.97,16.97,16.97,166,0
2017-09-29,17:25:00,16.955,16.955,16.955,16.955,69,0
2017-09-29,17:30:00,16.94,17.05,16.94,17,1209,0
2017-10-02,09:05:00,16.7,16.7,16.7,16.7,1916,0
2017-10-02,09:10:00,17.01,17.01,17.01,17.01,100,0
2017-10-02,11:00:00,17.04,17.045,17.04,17.045,409,0
2017-10-02,11:05:00,17.045,17.05,17.045,17.05,1115,0
2017-10-02,11:10:00,17.05,17.05,17.05,17.05,92,0
2017-10-02,12:35:00,17.005,17.005,16.995,16.995,5540,0
2017-10-02,12:40:00,16.995,16.995,16.995,16.995,175,0
2017-10-02,12:55:00,16.87,16.87,16.705,16.705,1500,0
2017-10-02,13:40:00,16.87,16.995,16.87,16.995,613,0
2017-10-02,13:55:00,16.9,16.9,16.9,16.9,3,0
2017-10-02,14:15:00,16.9,16.9,16.9,16.9,265,0
2017-10-02,14:30:00,16.905,16.965,16.9,16.965,400,0
2017-10-02,14:45:00,16.905,16.905,16.725,16.725,500,0
2017-10-02,15:00:00,16.9,16.9,16.9,16.9,50,0
2017-10-02,15:05:00,16.775,16.775,16.775,16.775,200,0
2017-10-02,15:20:00,16.875,16.875,16.875,16.875,5,0
2017-10-02,15:30:00,16.79,16.79,16.72,16.72,962,0
2017-10-02,15:40:00,16.815,16.815,16.815,16.815,72,0
