Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-12,09:05:00,1.32,1.32,1.32,1.32,254,0
2017-05-12,13:55:00,1.321,1.321,1.31,1.31,4000,0
2017-05-12,17:05:00,1.359,1.359,1.359,1.359,1578,0
2017-05-12,17:15:00,1.359,1.359,1.359,1.359,249,0
2017-05-12,17:25:00,1.359,1.359,1.359,1.359,25,0
2017-05-15,09:25:00,1.33,1.33,1.33,1.33,500,0
2017-05-15,09:55:00,1.32,1.32,1.311,1.311,500,0
2017-05-16,09:05:00,1.32,1.32,1.32,1.32,88,0
2017-05-16,16:45:00,1.333,1.333,1.333,1.333,207,0
2017-05-16,17:30:00,1.316,1.316,1.316,1.316,125,0
2017-05-17,09:05:00,1.31,1.31,1.31,1.31,10,0
2017-05-17,10:50:00,1.333,1.333,1.333,1.333,3000,0
2017-05-17,13:55:00,1.333,1.333,1.333,1.333,75,0
2017-05-17,14:45:00,1.333,1.333,1.333,1.333,9,0
2017-05-17,14:55:00,1.31,1.31,1.31,1.31,21,0
2017-05-17,17:10:00,1.31,1.31,1.31,1.31,1,0
2017-05-18,16:55:00,1.28,1.28,1.28,1.28,32,0
2017-05-19,13:45:00,1.301,1.301,1.3,1.3,1826,0
2017-05-22,17:15:00,1.331,1.331,1.331,1.331,400,0
2017-05-23,09:05:00,1.337,1.337,1.337,1.337,3200,0
2017-05-23,15:45:00,1.337,1.337,1.337,1.337,13,0
2017-05-24,09:35:00,1.337,1.337,1.337,1.337,282,0
2017-05-24,14:25:00,1.337,1.337,1.337,1.337,305,0
2017-05-25,09:05:00,1.3,1.3,1.3,1.3,17,0
2017-05-25,15:50:00,1.358,1.358,1.358,1.358,200,0
2017-05-29,14:00:00,1.359,1.359,1.359,1.359,1000,0
2017-05-29,15:40:00,1.359,1.359,1.359,1.359,194,0
2017-05-29,17:20:00,1.359,1.359,1.359,1.359,306,0
2017-05-30,09:45:00,1.301,1.301,1.301,1.301,239,0
2017-05-31,15:30:00,1.33,1.33,1.33,1.33,1593,0
2017-05-31,17:05:00,1.33,1.33,1.33,1.33,500,0
2017-06-01,09:05:00,1.29,1.29,1.28,1.28,8710,0
2017-06-01,09:20:00,1.3,1.3,1.3,1.3,2000,0
2017-06-02,09:05:00,1.39,1.39,1.39,1.39,3500,0
2017-06-02,10:10:00,1.389,1.389,1.389,1.389,50,0
2017-06-02,12:10:00,1.33,1.33,1.33,1.33,1000,0
2017-06-02,16:35:00,1.316,1.38,1.316,1.38,2483,0
2017-06-02,16:50:00,1.38,1.38,1.38,1.38,2450,0
2017-06-02,16:55:00,1.378,1.378,1.378,1.378,2450,0
2017-06-02,17:00:00,1.378,1.378,1.378,1.378,2000,0
2017-06-06,09:10:00,1.332,1.332,1.332,1.332,71,0
2017-06-06,13:15:00,1.332,1.332,1.331,1.331,2490,0
2017-06-06,15:40:00,1.331,1.331,1.331,1.331,66,0
2017-06-06,16:40:00,1.331,1.331,1.331,1.331,283,0
2017-06-06,17:30:00,1.354,1.354,1.354,1.354,3724,0
2017-06-07,09:05:00,1.331,1.331,1.331,1.331,5,0
2017-06-07,09:25:00,1.359,1.36,1.359,1.36,1849,0
2017-06-07,09:50:00,1.36,1.36,1.36,1.36,2427,0
2017-06-07,10:40:00,1.333,1.333,1.331,1.331,5800,0
