Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,84,84.31,84,84.16,870,0
2017-10-26,09:10:00,84.2,84.52,84.2,84.52,1425,0
2017-10-26,09:15:00,84.52,84.73,84.52,84.73,428,0
2017-10-26,09:20:00,84.71,84.81,84.71,84.81,478,0
2017-10-26,09:25:00,84.71,84.79,84.65,84.79,1096,0
2017-10-26,09:30:00,84.74,84.79,84.71,84.71,620,0
2017-10-26,09:35:00,84.75,84.76,84.69,84.76,517,0
2017-10-26,09:40:00,84.69,84.75,84.68,84.75,537,0
2017-10-26,09:45:00,84.74,84.79,84.68,84.68,652,0
2017-10-26,09:50:00,84.69,84.73,84.65,84.67,499,0
2017-10-26,09:55:00,84.65,84.7,84.63,84.7,491,0
2017-10-26,10:00:00,84.7,84.74,84.67,84.67,650,0
2017-10-26,10:05:00,84.66,84.66,84.64,84.64,231,0
2017-10-26,10:10:00,84.62,84.66,84.61,84.62,720,0
2017-10-26,10:15:00,84.62,84.65,84.61,84.65,756,0
2017-10-26,10:20:00,84.69,84.69,84.62,84.62,340,0
2017-10-26,10:25:00,84.63,84.67,84.56,84.56,582,0
2017-10-26,10:30:00,84.51,84.59,84.51,84.59,535,0
2017-10-26,10:35:00,84.56,84.6,84.55,84.56,298,0
2017-10-26,10:40:00,84.6,84.61,84.56,84.56,641,0
2017-10-26,10:45:00,84.55,84.6,84.55,84.6,244,0
2017-10-26,10:50:00,84.6,84.65,84.57,84.65,368,0
2017-10-26,10:55:00,84.65,84.74,84.65,84.73,520,0
2017-10-26,11:00:00,84.74,84.78,84.72,84.78,648,0
2017-10-26,11:05:00,84.79,84.79,84.77,84.77,182,0
2017-10-26,11:10:00,84.79,84.79,84.77,84.78,882,0
2017-10-26,11:15:00,84.79,84.81,84.79,84.81,105,0
2017-10-26,11:20:00,84.81,84.81,84.77,84.77,413,0
2017-10-26,11:25:00,84.76,84.78,84.75,84.75,338,0
2017-10-26,11:30:00,84.74,84.78,84.64,84.64,1069,0
2017-10-26,11:35:00,84.63,84.63,84.55,84.55,1150,0
2017-10-26,11:40:00,84.53,84.62,84.51,84.62,1262,0
2017-10-26,11:45:00,84.63,84.63,84.52,84.52,944,0
2017-10-26,11:50:00,84.56,84.56,84.51,84.52,273,0
2017-10-26,11:55:00,84.51,84.52,84.49,84.52,259,0
2017-10-26,12:00:00,84.52,84.52,84.47,84.48,584,0
2017-10-26,12:05:00,84.49,84.56,84.49,84.56,152,0
2017-10-26,12:10:00,84.61,84.61,84.51,84.54,895,0
2017-10-26,12:15:00,84.53,84.53,84.53,84.53,27,0
2017-10-26,12:20:00,84.49,84.5,84.49,84.49,229,0
2017-10-26,12:25:00,84.5,84.5,84.42,84.48,537,0
2017-10-26,12:30:00,84.51,84.54,84.51,84.51,430,0
2017-10-26,12:35:00,84.49,84.49,84.48,84.49,235,0
2017-10-26,12:40:00,84.5,84.54,84.48,84.53,902,0
2017-10-26,12:45:00,84.53,84.53,84.48,84.48,101,0
2017-10-26,12:50:00,84.55,84.55,84.54,84.54,138,0
2017-10-26,12:55:00,84.56,84.61,84.56,84.56,856,0
2017-10-26,13:00:00,84.54,84.59,84.54,84.55,860,0
2017-10-26,13:05:00,84.55,84.6,84.55,84.58,388,0
2017-10-26,13:10:00,84.57,84.66,84.57,84.66,369,0
2017-10-26,13:15:00,84.65,84.65,84.56,84.58,803,0
2017-10-26,13:20:00,84.6,84.61,84.58,84.58,393,0
2017-10-26,13:25:00,84.6,84.61,84.58,84.6,662,0
2017-10-26,13:30:00,84.61,84.61,84.6,84.61,327,0
2017-10-26,13:35:00,84.61,84.67,84.6,84.62,1141,0
2017-10-26,13:40:00,84.63,84.65,84.63,84.64,179,0
2017-10-26,13:45:00,84.67,84.73,84.64,84.73,1247,0
2017-10-26,13:50:00,84.64,84.91,84.6,84.88,3521,0
2017-10-26,13:55:00,84.89,85.05,84.89,85.05,712,0
2017-10-26,14:00:00,85.02,85.02,84.96,84.96,1354,0
2017-10-26,14:05:00,84.99,85.16,84.94,85.1,2993,0
2017-10-26,14:10:00,85.08,85.15,85.08,85.14,2549,0
2017-10-26,14:15:00,85.15,85.16,85.03,85.06,1475,0
2017-10-26,14:20:00,85.03,85.04,84.93,84.93,481,0
2017-10-26,14:25:00,84.96,84.98,84.94,84.96,602,0
2017-10-26,14:30:00,84.9,84.93,84.83,84.83,990,0
2017-10-26,14:35:00,84.84,84.92,84.82,84.86,2038,0
2017-10-26,14:40:00,84.87,84.9,84.8,84.8,649,0
2017-10-26,14:45:00,84.78,84.91,84.78,84.91,2529,0
2017-10-26,14:50:00,84.89,84.95,84.89,84.95,340,0
2017-10-26,14:55:00,84.95,84.97,84.94,84.97,470,0
2017-10-26,15:00:00,84.96,84.99,84.94,84.94,532,0
2017-10-26,15:05:00,84.95,84.95,84.86,84.9,552,0
2017-10-26,15:10:00,84.9,84.92,84.89,84.89,492,0
2017-10-26,15:15:00,84.9,84.92,84.9,84.9,489,0
2017-10-26,15:20:00,84.89,84.9,84.88,84.88,162,0
2017-10-26,15:25:00,84.87,84.89,84.83,84.89,568,0
2017-10-26,15:30:00,84.87,84.89,84.83,84.89,602,0
2017-10-26,15:35:00,84.92,84.99,84.91,84.98,2270,0
2017-10-26,15:40:00,84.96,84.98,84.96,84.97,648,0
2017-10-26,15:45:00,84.97,85.01,84.96,84.98,1648,0
2017-10-26,15:50:00,84.98,84.98,84.95,84.96,1198,0
2017-10-26,15:55:00,85,85.01,84.98,84.99,3147,0
2017-10-26,16:00:00,84.99,85.11,84.99,85.1,1522,0
2017-10-26,16:05:00,85.1,85.12,85.09,85.1,799,0
2017-10-26,16:10:00,85.08,85.08,85.06,85.06,805,0
2017-10-26,16:15:00,85.06,85.09,85.03,85.03,2172,0
2017-10-26,16:20:00,85.04,85.06,85.03,85.03,2544,0
2017-10-26,16:25:00,85.03,85.12,85.03,85.12,3045,0
2017-10-26,16:30:00,85.11,85.16,85.1,85.16,2356,0
2017-10-26,16:35:00,85.17,85.17,85.15,85.15,844,0
2017-10-26,16:40:00,85.17,85.31,85.15,85.31,3279,0
2017-10-26,16:45:00,85.33,85.38,85.31,85.31,1163,0
2017-10-26,16:50:00,85.37,85.42,85.32,85.36,1822,0
2017-10-26,16:55:00,85.38,85.43,85.36,85.43,757,0
2017-10-26,17:00:00,85.46,85.49,85.42,85.49,1085,0
2017-10-26,17:05:00,85.49,85.49,85.29,85.33,2640,0
2017-10-26,17:10:00,85.32,85.43,85.31,85.41,1649,0
2017-10-26,17:15:00,85.41,85.54,85.41,85.53,1983,0
2017-10-26,17:20:00,85.53,85.58,85.5,85.57,1752,0
2017-10-26,17:25:00,85.57,85.57,85.49,85.51,3070,0
2017-10-26,17:30:00,85.5,85.55,85.45,85.5,49721,0
2017-10-27,09:05:00,86,86,85.69,85.83,694,0
2017-10-27,09:10:00,85.9,86.07,85.83,86.01,2273,0
2017-10-27,09:15:00,86.03,86.09,85.91,85.91,1712,0
2017-10-27,09:20:00,85.91,85.98,85.91,85.97,1330,0
2017-10-27,09:25:00,85.94,85.94,85.73,85.75,1896,0
2017-10-27,09:30:00,85.76,85.76,85.6,85.6,377,0
2017-10-27,09:35:00,85.58,85.63,85.53,85.55,1467,0
2017-10-27,09:40:00,85.56,85.59,85.49,85.58,1156,0
2017-10-27,09:45:00,85.62,85.62,85.56,85.61,869,0
2017-10-27,09:50:00,85.64,85.77,85.63,85.76,1657,0
2017-10-27,09:55:00,85.78,85.82,85.77,85.77,661,0
2017-10-27,10:00:00,85.78,85.88,85.77,85.84,687,0
2017-10-27,10:05:00,85.83,85.87,85.81,85.87,1850,0
2017-10-27,10:10:00,85.88,85.88,85.82,85.82,750,0
2017-10-27,10:15:00,85.85,86.04,85.85,86.03,557,0
2017-10-27,10:20:00,85.99,85.99,85.97,85.97,349,0
2017-10-27,10:25:00,85.98,86.01,85.98,86,903,0
2017-10-27,10:30:00,86.02,86.02,85.99,85.99,129,0
2017-10-27,10:35:00,85.98,86.01,85.89,85.89,2036,0
2017-10-27,10:40:00,85.95,86,85.95,85.96,926,0
2017-10-27,10:45:00,86,86.03,85.97,85.98,1844,0
2017-10-27,10:50:00,86.01,86.06,86.01,86.05,396,0
2017-10-27,10:55:00,86.06,86.06,86.05,86.05,278,0
2017-10-27,11:00:00,86.07,86.08,86.04,86.07,1686,0
2017-10-27,11:05:00,86.11,86.11,86.04,86.05,697,0
2017-10-27,11:10:00,86.04,86.05,86.03,86.04,651,0
2017-10-27,11:15:00,86.03,86.03,85.96,85.96,935,0
2017-10-27,11:20:00,86.01,86.04,86.01,86.04,60,0
2017-10-27,11:25:00,86.07,86.08,86.05,86.08,801,0
2017-10-27,11:30:00,86.08,86.1,85.99,85.99,1401,0
2017-10-27,11:35:00,85.99,86.03,85.99,86.03,566,0
2017-10-27,11:40:00,86.08,86.11,86.05,86.09,814,0
2017-10-27,11:45:00,86.09,86.13,86.09,86.13,170,0
2017-10-27,11:50:00,86.15,86.17,86.14,86.14,629,0
2017-10-27,11:55:00,86.17,86.19,86.17,86.19,78,0
2017-10-27,12:00:00,86.2,86.23,86.18,86.23,638,0
2017-10-27,12:05:00,86.21,86.28,86.21,86.22,405,0
2017-10-27,12:10:00,86.23,86.25,86.23,86.25,94,0
2017-10-27,12:15:00,86.34,86.35,86.32,86.35,563,0
2017-10-27,12:20:00,86.38,86.38,86.36,86.38,366,0
2017-10-27,12:25:00,86.37,86.44,86.37,86.44,376,0
2017-10-27,12:30:00,86.45,86.45,86.45,86.45,279,0
2017-10-27,12:35:00,86.5,86.63,86.5,86.61,1234,0
2017-10-27,12:40:00,86.61,86.67,86.58,86.67,751,0
2017-10-27,12:45:00,86.68,86.68,86.56,86.58,956,0
2017-10-27,12:50:00,86.55,86.55,86.44,86.5,509,0
2017-10-27,12:55:00,86.48,86.48,86.42,86.44,831,0
2017-10-27,13:00:00,86.45,86.52,86.45,86.52,329,0
2017-10-27,13:05:00,86.53,86.56,86.46,86.47,535,0
2017-10-27,13:10:00,86.42,86.5,86.42,86.5,411,0
2017-10-27,13:15:00,86.51,86.52,86.47,86.52,606,0
2017-10-27,13:20:00,86.59,86.68,86.58,86.67,510,0
2017-10-27,13:25:00,86.66,86.66,86.63,86.65,513,0
2017-10-27,13:35:00,86.63,86.63,86.53,86.53,520,0
2017-10-27,13:40:00,86.63,86.63,86.63,86.63,46,0
2017-10-27,13:45:00,86.58,86.6,86.57,86.57,492,0
2017-10-27,13:50:00,86.58,86.58,86.57,86.57,56,0
2017-10-27,14:00:00,86.54,86.55,86.54,86.55,108,0
2017-10-27,14:05:00,86.57,86.57,86.56,86.56,348,0
2017-10-27,14:10:00,86.58,86.66,86.58,86.6,732,0
2017-10-27,14:15:00,86.6,86.65,86.6,86.64,599,0
2017-10-27,14:25:00,86.64,86.64,86.54,86.56,1015,0
2017-10-27,14:30:00,86.55,86.56,86.48,86.55,2014,0
2017-10-27,14:35:00,86.51,86.63,86.48,86.52,1182,0
2017-10-27,14:40:00,86.49,86.5,86.49,86.49,349,0
2017-10-27,14:45:00,86.46,86.46,86.44,86.44,296,0
2017-10-27,14:50:00,86.45,86.48,86.42,86.42,309,0
2017-10-27,14:55:00,86.38,86.38,86.36,86.36,146,0
2017-10-27,15:00:00,86.41,86.41,86.38,86.38,317,0
2017-10-27,15:05:00,86.42,86.49,86.42,86.49,332,0
2017-10-27,15:10:00,86.46,86.46,86.42,86.42,505,0
2017-10-27,15:15:00,86.42,86.45,86.42,86.43,200,0
2017-10-27,15:20:00,86.44,86.44,86.43,86.43,137,0
2017-10-27,15:25:00,86.48,86.49,86.41,86.41,1115,0
2017-10-27,15:30:00,86.42,86.49,86.42,86.49,861,0
2017-10-27,15:35:00,86.47,86.58,86.47,86.52,1723,0
2017-10-27,15:40:00,86.55,86.59,86.52,86.54,1559,0
2017-10-27,15:45:00,86.51,86.53,86.51,86.53,409,0
2017-10-27,15:50:00,86.55,86.56,86.53,86.53,265,0
2017-10-27,15:55:00,86.53,86.54,86.5,86.52,1167,0
2017-10-27,16:00:00,86.57,86.61,86.57,86.6,1023,0
2017-10-27,16:05:00,86.58,86.7,86.58,86.65,979,0
2017-10-27,16:10:00,86.63,86.71,86.63,86.69,1101,0
2017-10-27,16:15:00,86.72,86.72,86.66,86.66,481,0
2017-10-27,16:20:00,86.69,86.7,86.66,86.66,603,0
2017-10-27,16:25:00,86.65,86.69,86.55,86.64,1809,0
2017-10-27,16:30:00,86.65,86.69,86.64,86.69,762,0
2017-10-27,16:35:00,86.69,86.74,86.68,86.7,867,0
2017-10-27,16:40:00,86.68,86.76,86.68,86.76,1197,0
2017-10-27,16:45:00,86.76,86.77,86.69,86.73,1431,0
2017-10-27,16:50:00,86.74,86.78,86.72,86.76,349,0
2017-10-27,16:55:00,86.75,86.76,86.72,86.75,979,0
2017-10-27,17:00:00,86.73,86.85,86.72,86.84,2034,0
2017-10-27,17:05:00,86.83,86.9,86.83,86.9,636,0
2017-10-27,17:10:00,86.86,86.96,86.86,86.9,1974,0
2017-10-27,17:15:00,86.9,86.91,86.81,86.83,2113,0
2017-10-27,17:20:00,86.84,86.88,86.83,86.87,1313,0
2017-10-27,17:25:00,86.88,86.88,86.79,86.8,2400,0
2017-10-27,17:30:00,86.81,86.81,86.75,86.77,51696,0
2017-10-30,09:05:00,87.03,87.03,86.99,86.99,418,0
2017-10-30,09:10:00,87.03,87.07,86.83,86.83,829,0
2017-10-30,09:15:00,86.91,87.08,86.9,87.03,446,0
