Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,19.76,19.78,19.65,19.7,4013,0
2017-10-23,09:10:00,19.675,19.675,19.675,19.675,220,0
2017-10-23,09:15:00,19.675,19.675,19.41,19.5,5611,0
2017-10-23,09:20:00,19.6,19.6,19.6,19.6,22,0
2017-10-23,09:25:00,19.505,19.58,19.41,19.47,3157,0
2017-10-23,09:30:00,19.485,19.5,19.39,19.5,3185,0
2017-10-23,09:35:00,19.405,19.405,19.26,19.305,5333,0
2017-10-23,09:40:00,19.3,19.375,19.3,19.315,1646,0
2017-10-23,09:50:00,19.3,19.3,19.3,19.3,2860,0
2017-10-23,09:55:00,19.3,19.3,19.01,19.05,6424,0
2017-10-23,10:00:00,19.05,19.15,19.05,19.05,6928,0
2017-10-23,10:05:00,19.095,19.1,19.05,19.08,3348,0
2017-10-23,10:10:00,19.05,19.05,18.95,18.95,3750,0
2017-10-23,10:15:00,18.95,18.97,18.95,18.97,549,0
2017-10-23,10:20:00,18.95,18.95,18.95,18.95,150,0
2017-10-23,10:25:00,18.91,18.91,18.865,18.875,750,0
2017-10-23,10:30:00,18.85,18.97,18.85,18.97,900,0
2017-10-23,10:35:00,18.945,18.945,18.86,18.86,204,0
2017-10-23,10:40:00,18.94,19,18.92,18.96,2121,0
2017-10-23,10:45:00,18.91,19,18.855,18.99,3783,0
2017-10-23,10:50:00,18.985,19,18.905,18.965,5459,0
2017-10-23,10:55:00,18.98,18.98,18.94,18.94,1064,0
2017-10-23,11:00:00,18.965,19,18.965,19,3668,0
2017-10-23,11:05:00,19,19.025,19,19.025,2547,0
2017-10-23,11:10:00,19.025,19.025,18.91,18.92,5877,0
2017-10-23,11:15:00,18.92,18.92,18.92,18.92,385,0
2017-10-23,11:20:00,18.9,18.9,18.665,18.7,8234,0
2017-10-23,11:25:00,18.805,18.975,18.805,18.975,894,0
2017-10-23,11:30:00,18.91,18.92,18.9,18.9,589,0
2017-10-23,11:35:00,18.92,18.96,18.92,18.92,1179,0
2017-10-23,11:40:00,18.92,18.92,18.9,18.9,410,0
2017-10-23,11:45:00,18.9,18.9,18.9,18.9,217,0
2017-10-23,11:50:00,18.92,18.92,18.92,18.92,405,0
2017-10-23,11:55:00,18.96,18.96,18.92,18.955,590,0
2017-10-23,12:00:00,18.955,18.955,18.9,18.9,2243,0
2017-10-23,12:05:00,18.925,18.925,18.925,18.925,568,0
2017-10-23,12:10:00,18.91,18.915,18.9,18.9,352,0
2017-10-23,12:15:00,18.9,18.9,18.755,18.8,2727,0
2017-10-23,12:20:00,18.815,18.85,18.8,18.84,1224,0
2017-10-23,12:30:00,18.85,18.85,18.825,18.85,1048,0
2017-10-23,12:35:00,18.85,18.905,18.85,18.9,4156,0
2017-10-23,12:40:00,18.83,18.83,18.83,18.83,50,0
2017-10-23,12:45:00,18.86,18.86,18.82,18.82,918,0
2017-10-23,12:50:00,18.835,18.835,18.835,18.835,120,0
2017-10-23,12:55:00,18.825,18.825,18.705,18.705,2036,0
2017-10-23,13:00:00,18.7,18.74,18.7,18.7,4107,0
2017-10-23,13:05:00,18.7,18.72,18.7,18.72,1037,0
2017-10-23,13:10:00,18.74,18.77,18.74,18.77,236,0
2017-10-23,13:15:00,18.755,18.85,18.755,18.85,612,0
2017-10-23,13:20:00,19.005,19.005,18.87,18.87,1823,0
2017-10-23,13:25:00,18.85,18.85,18.85,18.85,26,0
2017-10-23,13:30:00,18.86,18.86,18.8,18.85,615,0
2017-10-23,13:35:00,18.86,18.945,18.86,18.925,1387,0
2017-10-23,13:40:00,18.925,18.925,18.9,18.915,799,0
2017-10-23,13:45:00,18.905,18.93,18.9,18.92,407,0
2017-10-23,13:50:00,18.92,18.92,18.92,18.92,73,0
2017-10-23,13:55:00,18.93,18.935,18.93,18.93,404,0
2017-10-23,14:00:00,18.945,18.96,18.945,18.96,307,0
2017-10-23,14:05:00,18.965,18.98,18.965,18.98,126,0
2017-10-23,14:10:00,18.99,19,18.99,19,331,0
2017-10-23,14:15:00,19,19,18.945,18.95,1359,0
2017-10-23,14:20:00,18.95,19,18.95,18.95,1964,0
2017-10-23,14:25:00,18.995,19,18.955,18.98,1892,0
2017-10-23,14:30:00,19.035,19.05,18.96,18.96,1170,0
2017-10-23,14:35:00,19.005,19.005,19.005,19.005,68,0
2017-10-23,14:40:00,19,19.015,19,19,746,0
