Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-14,09:05:00,8.001,8.022,8,8.02,1588,0
2017-09-14,10:20:00,8.019,8.019,8.019,8.019,19,0
2017-09-14,11:10:00,8.019,8.02,8.019,8.02,380,0
2017-09-14,11:40:00,8.067,8.068,8.067,8.068,1012,0
2017-09-14,11:45:00,8.105,8.105,8.105,8.105,46,0
2017-09-14,12:10:00,8.126,8.126,8.126,8.126,1,0
2017-09-14,12:25:00,8.13,8.13,8.12,8.12,1000,0
2017-09-14,13:05:00,8.134,8.134,8.134,8.134,8,0
2017-09-14,13:25:00,8.095,8.095,8.095,8.095,6,0
2017-09-14,13:30:00,8.059,8.059,8.059,8.059,250,0
2017-09-14,13:40:00,8.098,8.098,8.098,8.098,16,0
2017-09-14,15:25:00,8.072,8.072,8.072,8.072,1292,0
2017-09-14,15:35:00,8.05,8.05,8.046,8.046,527,0
2017-09-14,15:45:00,8.054,8.054,8.054,8.054,500,0
2017-09-14,15:50:00,8.053,8.053,8.053,8.053,614,0
2017-09-14,16:15:00,7.999,8.008,7.999,8.008,32,0
2017-09-14,16:45:00,8,8,7.999,7.999,37,0
2017-09-14,16:55:00,7.999,8,7.999,7.999,252,0
2017-09-14,17:00:00,7.999,7.999,7.999,7.999,44,0
2017-09-14,17:15:00,8.014,8.014,8.014,8.014,19,0
2017-09-14,17:30:00,7.972,8.1,7.972,8.1,4447,0
2017-09-15,09:05:00,8.099,8.099,8.099,8.099,12,0
2017-09-15,10:40:00,8.052,8.052,8.05,8.052,76,0
2017-09-15,10:45:00,8.05,8.05,8.05,8.05,72,0
2017-09-15,12:30:00,8.05,8.05,8.05,8.05,324,0
2017-09-15,12:35:00,8.038,8.038,8.038,8.038,48,0
2017-09-15,13:00:00,8.052,8.052,8.052,8.052,7,0
2017-09-15,13:30:00,8.069,8.069,8.069,8.069,6,0
2017-09-15,15:40:00,8.096,8.096,8.096,8.096,24,0
2017-09-15,16:45:00,8.052,8.052,8.052,8.052,16,0
2017-09-15,16:55:00,8.05,8.05,8.05,8.05,1,0
2017-09-15,17:10:00,8.057,8.057,8.056,8.056,18,0
2017-09-15,17:25:00,8.046,8.046,8.046,8.046,46,0
2017-09-15,17:30:00,8.035,8.1,8.031,8.031,3279,0
2017-09-18,09:05:00,8.051,8.051,8.05,8.05,388,0
2017-09-18,09:25:00,8.055,8.055,8.04,8.04,1000,0
2017-09-18,10:20:00,8.073,8.073,8.073,8.073,1300,0
2017-09-18,12:00:00,8.207,8.208,8.207,8.208,409,0
2017-09-18,12:15:00,8.328,8.328,8.263,8.263,202,0
2017-09-18,12:20:00,8.272,8.272,8.272,8.272,35,0
2017-09-18,12:25:00,8.263,8.263,8.263,8.263,26,0
2017-09-18,12:40:00,8.263,8.263,8.263,8.263,142,0
2017-09-18,12:45:00,8.263,8.263,8.263,8.263,261,0
2017-09-18,12:50:00,8.211,8.211,8.207,8.207,1894,0
2017-09-18,14:45:00,8.219,8.25,8.194,8.194,3006,0
2017-09-18,15:40:00,8.207,8.207,8.207,8.207,61,0
2017-09-18,15:50:00,8.199,8.199,8.199,8.199,23,0
2017-09-18,16:25:00,8.24,8.24,8.24,8.24,138,0
2017-09-18,16:35:00,8.24,8.24,8.24,8.24,880,0
2017-09-18,16:55:00,8.244,8.252,8.23,8.23,97,0
2017-09-18,17:15:00,8.252,8.252,8.252,8.252,17,0
2017-09-18,17:25:00,8.2,8.24,8.2,8.24,486,0
2017-09-18,17:30:00,8.258,8.258,8.136,8.136,6621,0
2017-09-19,09:05:00,8.13,8.13,8.13,8.13,16,0
2017-09-19,09:10:00,8.2,8.2,8.2,8.2,483,0
2017-09-19,09:15:00,8.188,8.188,8.188,8.188,188,0
2017-09-19,09:40:00,8.15,8.15,8.15,8.15,100,0
2017-09-19,10:00:00,8.15,8.15,8.145,8.145,250,0
2017-09-19,11:00:00,8.13,8.13,8.13,8.13,94,0
2017-09-19,12:10:00,8.088,8.12,8.088,8.12,1136,0
2017-09-19,13:10:00,8.088,8.088,8.088,8.088,53,0
2017-09-19,13:25:00,8.08,8.08,8.08,8.08,2300,0
2017-09-19,14:35:00,8.08,8.08,8.08,8.08,200,0
2017-09-19,15:40:00,8.08,8.08,8.08,8.08,362,0
2017-09-19,15:50:00,8.08,8.08,8.08,8.08,164,0
2017-09-19,15:55:00,8.08,8.08,8.08,8.08,53,0
2017-09-19,16:15:00,8.08,8.08,8.08,8.08,200,0
2017-09-19,16:30:00,8.08,8.08,8.08,8.08,21,0
2017-09-19,17:25:00,8.024,8.024,8.024,8.024,79,0
2017-09-19,17:30:00,8.024,8.09,8.024,8.09,7575,0
2017-09-20,09:05:00,8.05,8.05,8.05,8.05,151,0
2017-09-20,09:10:00,8.055,8.055,7.993,7.993,1239,0
2017-09-20,09:15:00,7.993,7.993,7.993,7.993,33,0
2017-09-20,09:20:00,7.993,7.993,7.993,7.993,32,0
2017-09-20,09:25:00,7.993,7.994,7.993,7.994,224,0
2017-09-20,09:30:00,7.993,7.993,7.993,7.993,120,0
2017-09-20,09:35:00,7.993,7.993,7.993,7.993,33,0
2017-09-20,09:40:00,7.993,7.993,7.993,7.993,104,0
2017-09-20,09:45:00,7.993,7.993,7.993,7.993,734,0
2017-09-20,09:50:00,7.97,7.974,7.97,7.974,112,0
