Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,12:15:00,0.172,0.172,0.172,0.172,1000,0
2015-04-08,13:50:00,0.172,0.172,0.172,0.172,1270,0
2015-04-09,13:25:00,0.172,0.172,0.172,0.172,250,0
2015-04-09,14:00:00,0.17,0.17,0.17,0.17,34250,0
2015-04-10,12:00:00,0.169,0.169,0.169,0.169,360,0
2015-04-14,16:15:00,0.168,0.168,0.168,0.168,5918,0
2015-04-14,17:20:00,0.168,0.168,0.168,0.168,9682,0
2015-04-14,17:30:00,0.178,0.179,0.178,0.179,47240,0
2015-04-15,13:45:00,0.177,0.177,0.177,0.177,2602,0
2015-04-15,13:50:00,0.177,0.177,0.177,0.177,2602,0
2015-04-16,17:30:00,0.176,0.176,0.176,0.176,8360,0
2015-04-21,09:05:00,0.168,0.168,0.168,0.168,150,0
2015-04-21,16:05:00,0.177,0.177,0.177,0.177,1965,0
2015-04-21,16:10:00,0.177,0.177,0.177,0.177,1815,0
2015-04-22,09:55:00,0.178,0.178,0.178,0.178,5160,0
2015-04-23,15:30:00,0.172,0.172,0.172,0.172,200,0
2015-04-27,16:35:00,0.179,0.179,0.179,0.179,12000,0
2015-04-28,09:05:00,0.16,0.16,0.16,0.16,50000,0
2015-04-28,16:35:00,0.178,0.178,0.178,0.178,52400,0
2015-04-29,09:45:00,0.178,0.178,0.178,0.178,1350,0
2015-04-29,15:00:00,0.164,0.164,0.164,0.164,200,0
2015-04-29,17:30:00,0.157,0.157,0.157,0.157,1650,0
2015-05-06,09:05:00,0.177,0.177,0.177,0.177,6000,0
2015-05-06,15:00:00,0.176,0.176,0.176,0.176,6080,0
2015-05-07,15:55:00,0.162,0.162,0.162,0.162,3600,0
2015-05-08,08:05:00,0.176,0.176,0.176,0.176,5000,0
2015-05-08,09:05:00,0.177,0.177,0.177,0.177,6400,0
2015-05-08,10:35:00,0.164,0.164,0.164,0.164,11484,0
2015-05-11,09:15:00,0.176,0.176,0.176,0.176,2400,0
2015-05-11,10:10:00,0.159,0.159,0.159,0.159,6400,0
2015-05-14,17:10:00,0.157,0.157,0.157,0.157,12000,0
2015-05-18,10:25:00,0.172,0.172,0.172,0.172,3920,0
2015-05-20,14:40:00,0.157,0.157,0.157,0.157,200,0
2015-05-21,10:05:00,0.173,0.173,0.173,0.173,2080,0
2015-05-21,17:30:00,0.175,0.175,0.175,0.175,4240,0
2015-05-27,15:05:00,0.158,0.158,0.158,0.158,4000,0
2015-05-28,17:30:00,0.157,0.157,0.157,0.157,6000,0
2015-05-29,10:10:00,0.171,0.171,0.171,0.171,3360,0
2015-05-29,10:15:00,0.171,0.171,0.171,0.171,3378,0
2015-06-01,09:20:00,0.161,0.161,0.161,0.161,400,0
2015-06-01,13:10:00,0.169,0.169,0.169,0.169,5111,0
2015-06-01,14:25:00,0.161,0.161,0.161,0.161,300,0
2015-06-01,17:00:00,0.157,0.157,0.157,0.157,10180,0
2015-06-01,17:45:00,0.165,0.165,0.165,0.165,16111,0
2015-06-02,16:10:00,0.158,0.158,0.158,0.158,3000,0
2015-06-03,09:05:00,0.156,0.156,0.156,0.156,150,0
2015-06-03,17:30:00,0.157,0.157,0.157,0.157,1650,0
2015-06-05,09:05:00,0.157,0.157,0.157,0.157,1000,0
2015-06-05,11:10:00,0.158,0.158,0.158,0.158,13000,0
2015-06-08,09:05:00,0.157,0.157,0.157,0.157,100,0
2015-06-09,17:30:00,0.159,0.159,0.159,0.159,800,0
2015-06-10,10:20:00,0.158,0.158,0.158,0.158,200,0
2015-06-16,10:30:00,0.172,0.172,0.172,0.172,3220,0
2015-06-16,11:35:00,0.173,0.173,0.173,0.173,1000,0
2015-06-16,12:25:00,0.173,0.173,0.173,0.173,16620,0
2015-06-17,09:05:00,0.15,0.15,0.115,0.115,73000,0
2015-06-17,16:45:00,0.174,0.174,0.174,0.174,14000,0
2015-06-17,17:30:00,0.17,0.17,0.17,0.17,107000,0
2015-06-18,13:50:00,0.171,0.171,0.171,0.171,3600,0
2015-06-19,12:45:00,0.152,0.152,0.152,0.152,150,0
2015-06-22,11:25:00,0.152,0.152,0.152,0.152,100,0
2015-06-22,16:25:00,0.152,0.152,0.152,0.152,1300,0
2015-06-25,11:25:00,0.152,0.152,0.152,0.152,2000,0
2015-06-26,14:00:00,0.153,0.153,0.153,0.153,30900,0
2015-06-30,16:30:00,0.153,0.153,0.153,0.153,2000,0
2015-07-01,11:50:00,0.154,0.154,0.154,0.154,4544,0
2015-07-02,09:05:00,0.153,0.153,0.153,0.153,140,0
2015-07-07,12:20:00,0.154,0.154,0.154,0.154,4000,0
2015-07-13,11:40:00,0.153,0.153,0.153,0.153,6980,0
2015-07-13,14:30:00,0.154,0.154,0.154,0.154,7280,0
2015-07-15,09:05:00,0.153,0.153,0.153,0.153,80,0
2015-07-15,12:55:00,0.154,0.154,0.154,0.154,180,0
2015-07-16,15:40:00,0.153,0.153,0.153,0.153,5800,0
2015-07-17,09:05:00,0.153,0.153,0.153,0.153,6880,0
2015-07-21,10:20:00,0.154,0.154,0.154,0.154,5000,0
2015-07-21,13:20:00,0.158,0.158,0.158,0.158,10378,0
2015-07-21,15:25:00,0.154,0.154,0.154,0.154,46644,0
2015-07-22,09:05:00,0.163,0.163,0.154,0.154,5970,0
