Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-05,09:05:00,39.78,39.78,39.78,39.78,51,0
2017-10-05,09:30:00,39.7,39.835,39.7,39.835,1217,0
2017-10-05,09:35:00,39.975,40.12,39.975,40.03,715,0
2017-10-05,09:50:00,40.1,40.1,40.1,40.1,200,0
2017-10-05,09:55:00,40.21,40.21,40,40,1582,0
2017-10-05,10:10:00,40.06,40.06,40.06,40.06,125,0
2017-10-05,10:15:00,39.975,39.975,39.975,39.975,9,0
2017-10-05,10:25:00,39.975,40,39.975,40,25,0
2017-10-05,10:30:00,39.8,39.8,39.795,39.795,66,0
2017-10-05,11:10:00,39.7,39.7,39.67,39.67,102,0
2017-10-05,11:15:00,39.79,39.79,39.79,39.79,46,0
2017-10-05,11:25:00,39.67,39.67,39.665,39.665,135,0
2017-10-05,11:40:00,39.615,39.615,39.615,39.615,18,0
2017-10-05,11:45:00,39.66,39.66,39.66,39.66,16,0
2017-10-05,11:55:00,39.5,39.5,39.4,39.4,782,0
2017-10-05,12:00:00,39.28,39.28,39.28,39.28,4,0
2017-10-05,12:50:00,39.26,39.29,39.26,39.29,45,0
2017-10-05,13:00:00,39.12,39.12,39.12,39.12,10,0
2017-10-05,13:15:00,39.105,39.105,39.105,39.105,14,0
2017-10-05,14:45:00,39.15,39.15,39.15,39.15,36,0
2017-10-05,15:05:00,39.14,39.14,39.11,39.11,551,0
2017-10-05,15:15:00,39.12,39.12,39.11,39.11,81,0
2017-10-05,15:25:00,39.01,39.03,38.95,39.03,992,0
2017-10-05,15:30:00,38.97,38.99,38.97,38.99,535,0
2017-10-05,15:45:00,38.995,38.995,38.995,38.995,30,0
2017-10-05,15:55:00,39.03,39.03,39.03,39.03,150,0
2017-10-05,16:05:00,39.03,39.03,39.03,39.03,25,0
2017-10-05,16:15:00,38.915,38.915,38.915,38.915,40,0
2017-10-05,16:55:00,39,39.035,39,39.035,122,0
2017-10-05,17:00:00,39.04,39.04,39.04,39.04,5,0
2017-10-05,17:20:00,38.915,39.07,38.915,38.92,407,0
2017-10-05,17:30:00,39.04,39.39,39.04,39.39,557,0
2017-10-06,09:05:00,39.115,39.115,39.115,39.115,1,0
2017-10-06,09:10:00,39.185,39.185,39.185,39.185,100,0
2017-10-06,09:15:00,39.125,39.125,39.125,39.125,100,0
2017-10-06,09:50:00,38.985,39,38.98,39,83,0
2017-10-06,10:20:00,38.94,39,38.94,39,151,0
2017-10-06,10:25:00,38.94,38.94,38.94,38.94,56,0
2017-10-06,10:45:00,38.94,39.17,38.94,39.17,257,0
2017-10-06,10:55:00,39.08,39.08,39.08,39.08,7,0
2017-10-06,12:20:00,38.98,38.98,38.9,38.9,200,0
2017-10-06,12:30:00,39.05,39.05,38.96,38.96,418,0
2017-10-06,12:55:00,38.96,38.96,38.96,38.96,151,0
2017-10-06,13:10:00,38.975,38.975,38.975,38.975,14,0
2017-10-06,13:20:00,39.16,39.16,38.95,38.95,96,0
2017-10-06,14:20:00,38.9,38.9,38.9,38.9,35,0
2017-10-06,15:05:00,38.9,38.9,38.85,38.85,500,0
2017-10-06,15:25:00,38.9,38.9,38.82,38.82,81,0
2017-10-06,16:25:00,38.9,38.9,38.9,38.9,47,0
2017-10-06,16:35:00,38.895,38.895,38.81,38.81,557,0
2017-10-06,16:40:00,38.785,38.785,38.785,38.785,76,0
2017-10-06,16:55:00,38.72,38.72,38.72,38.72,37,0
2017-10-06,17:05:00,38.705,38.705,38.635,38.635,65,0
2017-10-06,17:15:00,38.775,38.775,38.55,38.55,737,0
2017-10-06,17:20:00,38.67,38.67,38.5,38.65,1033,0
2017-10-06,17:25:00,38.655,38.655,38.655,38.655,69,0
2017-10-06,17:30:00,38.645,38.65,38.645,38.65,1313,0
2017-10-09,09:05:00,38.2,38.2,38.2,38.2,945,0
2017-10-09,09:35:00,38.505,38.505,38.505,38.505,20,0
2017-10-09,10:00:00,38.505,38.505,38.505,38.505,1,0
2017-10-09,10:45:00,38.62,38.62,38.62,38.62,7,0
2017-10-09,10:50:00,38.545,38.575,38.35,38.35,2957,0
2017-10-09,10:55:00,38.35,38.35,38.105,38.105,1065,0
2017-10-09,11:00:00,38.105,38.105,38.105,38.105,12,0
2017-10-09,11:05:00,38.065,38.125,38.065,38.125,221,0
2017-10-09,11:20:00,38.205,38.205,38.205,38.205,23,0
2017-10-09,11:30:00,38.425,38.43,38.425,38.425,448,0
2017-10-09,11:40:00,38.575,38.575,38.575,38.575,32,0
2017-10-09,12:00:00,38.575,38.575,38.575,38.575,20,0
2017-10-09,12:40:00,38.58,38.58,38.58,38.58,32,0
2017-10-09,12:45:00,38.67,39.015,38.6,39.01,654,0
2017-10-09,12:55:00,38.865,38.865,38.495,38.53,385,0
2017-10-09,13:10:00,38.635,38.635,38.515,38.515,93,0
2017-10-09,13:20:00,38.45,38.45,38.45,38.45,7,0
2017-10-09,13:55:00,38.465,38.465,38.46,38.46,50,0
2017-10-09,14:00:00,38.46,38.46,38.46,38.46,3,0
2017-10-09,14:05:00,38.5,38.5,38.45,38.45,105,0
2017-10-09,14:10:00,38.355,38.355,38.355,38.355,42,0
2017-10-09,14:15:00,38.2,38.2,38.09,38.09,157,0
2017-10-09,14:20:00,38.075,38.075,38.045,38.045,72,0
2017-10-09,14:25:00,38.055,38.055,38.055,38.055,37,0
2017-10-09,14:30:00,38.06,38.115,38.06,38.115,105,0
2017-10-09,14:35:00,38.08,38.08,38.08,38.08,55,0
2017-10-09,14:45:00,38.135,38.14,38.11,38.14,108,0
2017-10-09,15:40:00,38.105,38.105,38.1,38.1,38,0
2017-10-09,15:50:00,38.1,38.1,37.8,37.85,3355,0
2017-10-09,15:55:00,37.71,37.71,37.675,37.69,208,0
2017-10-09,16:00:00,37.69,37.69,37.66,37.66,354,0
2017-10-09,16:05:00,37.695,37.695,37.695,37.695,65,0
2017-10-09,16:15:00,37.745,37.775,37.72,37.725,1039,0
2017-10-09,16:20:00,37.805,37.805,37.805,37.805,32,0
2017-10-09,16:25:00,37.87,37.87,37.805,37.805,39,0
2017-10-09,16:30:00,37.835,37.87,37.835,37.835,254,0
2017-10-09,16:35:00,37.835,37.835,37.835,37.835,29,0
2017-10-09,16:40:00,37.835,37.85,37.835,37.85,547,0
2017-10-09,16:45:00,37.85,37.87,37.85,37.87,77,0
2017-10-09,16:50:00,37.8,37.8,37.79,37.79,19,0
2017-10-09,16:55:00,37.865,37.97,37.79,37.97,1057,0
2017-10-09,17:00:00,37.97,38,37.94,38,338,0
2017-10-09,17:05:00,37.94,38,37.94,38,71,0
2017-10-09,17:10:00,37.94,37.94,37.92,37.94,101,0
2017-10-09,17:20:00,37.95,37.95,37.94,37.95,143,0
2017-10-09,17:25:00,38,38,37.9,37.95,162,0
2017-10-09,17:30:00,37.95,38.1,37.9,38,3404,0
2017-10-10,09:05:00,38.1,38.1,38.1,38.1,29,0
2017-10-10,09:10:00,38.12,38.15,38.12,38.15,515,0
2017-10-10,10:55:00,38.445,38.685,38.445,38.685,351,0
2017-10-10,11:30:00,38.545,38.545,38.25,38.25,180,0
2017-10-10,12:20:00,38.205,38.205,38.2,38.2,150,0
2017-10-10,12:55:00,38.2,38.2,38.02,38.2,425,0
2017-10-10,13:00:00,38.015,38.015,38.015,38.015,2,0
2017-10-10,13:05:00,38.135,38.135,38.135,38.135,150,0
2017-10-10,13:15:00,38.17,38.17,38.015,38.015,56,0
2017-10-10,13:25:00,38.145,38.145,38.145,38.145,200,0
2017-10-10,13:35:00,38.13,38.13,38.13,38.13,100,0
2017-10-10,14:00:00,38.13,38.13,38.13,38.13,55,0
2017-10-10,14:55:00,38.095,38.145,38,38.005,189,0
2017-10-10,15:00:00,38,38,37.76,37.905,918,0
2017-10-10,15:05:00,37.77,37.77,37.77,37.77,45,0
2017-10-10,15:10:00,37.985,38,37.985,38,500,0
2017-10-10,15:15:00,37.99,37.99,37.99,37.99,10,0
2017-10-10,15:55:00,37.775,37.775,37.775,37.775,50,0
2017-10-10,16:10:00,37.78,37.78,37.78,37.78,74,0
2017-10-10,16:20:00,37.765,37.765,37.75,37.75,164,0
2017-10-10,16:55:00,37.8,37.8,37.8,37.8,23,0
2017-10-10,17:00:00,37.975,38,37.975,38,504,0
2017-10-10,17:05:00,37.79,37.79,37.75,37.77,497,0
2017-10-10,17:10:00,37.785,37.785,37.785,37.785,114,0
2017-10-10,17:30:00,37.77,37.95,37.77,37.77,436,0
2017-10-11,09:05:00,37.77,37.77,37.77,37.77,700,0
2017-10-11,09:20:00,37.795,37.795,37.795,37.795,90,0
2017-10-11,09:30:00,37.795,37.795,37.795,37.795,13,0
2017-10-11,09:35:00,37.81,37.81,37.81,37.81,54,0
2017-10-11,09:40:00,37.85,37.96,37.85,37.96,276,0
2017-10-11,09:55:00,37.85,37.85,37.77,37.77,284,0
2017-10-11,10:05:00,37.815,37.815,37.815,37.815,178,0
2017-10-11,10:10:00,37.77,37.8,37.77,37.8,166,0
2017-10-11,10:15:00,37.77,37.77,37.365,37.5,965,0
2017-10-11,10:35:00,37.5,37.65,37.5,37.65,471,0
2017-10-11,10:45:00,37.78,37.78,37.78,37.78,100,0
2017-10-11,10:50:00,37.785,37.79,37.615,37.615,112,0
2017-10-11,11:15:00,37.785,37.785,37.785,37.785,70,0
2017-10-11,11:20:00,37.785,37.99,37.785,37.99,150,0
2017-10-11,11:25:00,37.905,37.905,37.905,37.905,14,0
2017-10-11,11:55:00,37.775,37.775,37.68,37.68,200,0
2017-10-11,12:05:00,37.9,37.9,37.9,37.9,30,0
2017-10-11,12:45:00,37.76,37.85,37.695,37.85,556,0
2017-10-11,12:50:00,37.91,37.91,37.91,37.91,96,0
2017-10-11,13:45:00,37.925,37.925,37.925,37.925,1,0
2017-10-11,14:25:00,37.99,38,37.99,38,882,0
2017-10-11,14:30:00,38.015,38.205,38.005,38.205,233,0
2017-10-11,14:40:00,38.295,38.295,38.295,38.295,25,0
2017-10-11,15:05:00,38.415,38.415,38.415,38.415,100,0
2017-10-11,15:10:00,38.23,38.23,38.115,38.115,150,0
2017-10-11,15:15:00,38.34,38.345,38.34,38.345,115,0
2017-10-11,15:20:00,38.345,38.345,38.345,38.345,70,0
2017-10-11,15:25:00,38.455,39.085,38.445,38.71,1468,0
2017-10-11,15:35:00,38.5,38.5,38.5,38.5,50,0
2017-10-11,16:00:00,38.5,38.5,38.5,38.5,151,0
2017-10-11,16:05:00,38.5,38.5,38.5,38.5,81,0
2017-10-11,16:35:00,38.52,38.52,38.52,38.52,16,0
2017-10-11,16:50:00,38.415,38.415,38.41,38.41,514,0
2017-10-11,16:55:00,38.595,38.6,38.595,38.6,350,0
2017-10-11,17:00:00,38.555,38.555,38.415,38.415,81,0
2017-10-11,17:10:00,38.57,38.57,38.57,38.57,9,0
2017-10-11,17:15:00,38.445,38.445,38.44,38.44,221,0
2017-10-11,17:30:00,38.525,38.705,38.41,38.705,462,0
2017-10-12,17:30:00,38,38,38,38,0,0
2017-10-13,09:05:00,37.705,37.95,37.705,37.95,283,0
2017-10-13,09:10:00,37.93,37.985,37.93,37.985,385,0
2017-10-13,09:20:00,37.985,38.26,37.985,38.26,840,0
2017-10-13,09:40:00,38.21,38.21,38.21,38.21,342,0
2017-10-13,09:50:00,38.085,38.085,38.085,38.085,29,0
2017-10-13,09:55:00,38.2,38.2,38.2,38.2,67,0
2017-10-13,10:00:00,38.26,38.26,38.26,38.26,14,0
2017-10-13,10:10:00,38.3,38.3,38.3,38.3,20,0
2017-10-13,10:25:00,38.125,38.255,38.125,38.255,139,0
