Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,94.7,94.7,94.64,94.64,547,0
2017-10-25,09:10:00,94.63,94.64,94.5,94.5,1275,0
2017-10-25,09:15:00,94.51,94.51,94.45,94.45,748,0
2017-10-25,09:20:00,94.45,94.57,94.45,94.54,328,0
2017-10-25,09:25:00,94.56,94.63,94.53,94.63,562,0
2017-10-25,09:30:00,94.63,94.63,94.55,94.59,274,0
2017-10-25,09:35:00,94.65,94.65,94.6,94.65,213,0
2017-10-25,09:40:00,94.69,94.69,94.69,94.69,151,0
2017-10-25,09:45:00,94.66,94.67,94.6,94.67,675,0
2017-10-25,09:50:00,94.68,94.69,94.61,94.64,477,0
2017-10-25,09:55:00,94.61,94.61,94.59,94.59,82,0
2017-10-25,10:00:00,94.63,94.67,94.61,94.61,308,0
2017-10-25,10:05:00,94.64,94.69,94.64,94.69,176,0
2017-10-25,10:15:00,94.65,94.65,94.58,94.59,662,0
2017-10-25,10:20:00,94.59,94.63,94.59,94.63,274,0
2017-10-25,10:25:00,94.6,94.6,94.59,94.59,193,0
2017-10-25,10:30:00,94.59,94.62,94.51,94.52,1238,0
2017-10-25,10:35:00,94.53,94.54,94.51,94.51,118,0
2017-10-25,10:40:00,94.48,94.49,94.45,94.49,556,0
2017-10-25,10:45:00,94.48,94.53,94.45,94.5,1651,0
2017-10-25,10:50:00,94.49,94.49,94.47,94.47,272,0
2017-10-25,10:55:00,94.47,94.54,94.47,94.54,323,0
2017-10-25,11:00:00,94.56,94.64,94.56,94.64,320,0
2017-10-25,11:05:00,94.66,94.66,94.66,94.66,35,0
2017-10-25,11:10:00,94.64,94.65,94.64,94.65,479,0
2017-10-25,11:15:00,94.66,94.66,94.64,94.64,309,0
2017-10-25,11:20:00,94.63,94.64,94.6,94.6,505,0
2017-10-25,11:25:00,94.6,94.61,94.53,94.53,422,0
2017-10-25,11:30:00,94.55,94.55,94.55,94.55,100,0
2017-10-25,11:35:00,94.54,94.58,94.54,94.56,402,0
2017-10-25,11:40:00,94.57,94.65,94.57,94.65,157,0
2017-10-25,11:45:00,94.66,94.69,94.66,94.68,383,0
2017-10-25,11:50:00,94.66,94.66,94.66,94.66,73,0
2017-10-25,11:55:00,94.73,94.73,94.69,94.69,417,0
2017-10-25,12:00:00,94.67,94.67,94.58,94.63,2251,0
2017-10-25,12:05:00,94.6,94.6,94.56,94.57,1356,0
2017-10-25,12:10:00,94.58,94.6,94.55,94.59,1220,0
2017-10-25,12:15:00,94.57,94.6,94.57,94.58,731,0
2017-10-25,12:20:00,94.56,94.56,94.56,94.56,37,0
2017-10-25,12:25:00,94.59,94.59,94.59,94.59,204,0
2017-10-25,12:30:00,94.59,94.59,94.58,94.58,122,0
2017-10-25,12:35:00,94.53,94.55,94.53,94.55,111,0
2017-10-25,12:40:00,94.53,94.53,94.53,94.53,134,0
2017-10-25,12:45:00,94.51,94.52,94.51,94.52,231,0
2017-10-25,12:50:00,94.52,94.52,94.5,94.5,439,0
2017-10-25,12:55:00,94.49,94.5,94.44,94.44,670,0
2017-10-25,13:00:00,94.43,94.45,94.43,94.43,335,0
