Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-23,08:05:00,275.03,275.03,275.03,275.03,7,0
2017-03-23,08:55:00,275,275,275,275,47,0
2017-03-23,09:10:00,275,275,275,275,31,0
2017-03-23,10:25:00,275,275,275,275,135,0
2017-03-23,13:25:00,275.03,275.03,275.03,275.03,11,0
2017-03-23,19:55:00,274.86,274.86,274.86,274.86,16,0
2017-03-24,08:45:00,275,275,275,275,4,0
2017-03-24,09:10:00,275.03,275.03,275.03,275.03,208,0
2017-03-24,10:05:00,276.35,276.35,276.35,276.35,17,0
2017-03-24,10:20:00,277.84,277.84,277.84,277.84,71,0
2017-03-24,10:25:00,275.05,275.05,275.05,275.05,36,0
2017-03-24,11:45:00,276.59,276.59,276.59,276.59,4,0
2017-03-24,11:50:00,275.05,275.05,275.05,275.05,5,0
2017-03-24,14:35:00,277.55,277.55,277.55,277.55,6,0
2017-03-24,14:50:00,275.87,275.87,275.87,275.87,21,0
2017-03-24,15:05:00,277.64,277.64,277.64,277.64,156,0
2017-03-24,15:15:00,277.64,277.64,277.64,277.64,10,0
2017-03-24,16:25:00,277.64,277.64,277.64,277.64,5,0
2017-03-24,17:05:00,277.64,277.64,277.64,277.64,52,0
2017-03-27,08:10:00,277.9,277.9,277.9,277.9,208,0
2017-03-27,08:40:00,275.82,275.82,272.84,272.84,156,0
2017-03-27,10:55:00,278.32,278.32,278.32,278.32,36,0
2017-03-27,11:00:00,278.12,278.12,278.12,278.12,31,0
2017-03-27,11:10:00,278.51,278.51,278.51,278.51,52,0
2017-03-27,12:05:00,278.6,278.6,278.6,278.6,1,0
2017-03-27,12:25:00,278.7,278.7,278.7,278.7,146,0
2017-03-27,12:45:00,278.7,278.7,278.7,278.7,26,0
2017-03-27,13:05:00,278.7,278.7,278.7,278.7,16,0
2017-03-27,13:15:00,278.6,278.6,278.6,278.6,208,0
2017-03-27,14:35:00,278.6,278.6,278.6,278.6,10,0
2017-03-27,14:45:00,276.68,276.68,276.68,276.68,42,0
2017-03-27,15:00:00,280.43,280.43,280.43,280.43,52,0
2017-03-27,15:10:00,278.6,278.6,278.6,278.6,21,0
2017-03-27,15:30:00,278.6,278.6,278.6,278.6,12,0
2017-03-27,16:05:00,280.48,280.48,280.48,280.48,3,0
2017-03-27,16:30:00,277.64,277.64,277.64,277.64,44,0
2017-03-28,08:05:00,278.6,278.6,278.6,278.6,35,0
2017-03-28,08:10:00,280,280,280,280,31,0
2017-03-28,08:30:00,280,280,280,280,52,0
2017-03-28,08:50:00,280,280,280,280,39,0
