Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,13.205,13.205,13.075,13.075,10255,0
2017-10-19,09:10:00,13.1,13.165,13.08,13.1,9541,0
2017-10-19,09:15:00,13.085,13.17,13.055,13.17,5294,0
2017-10-19,09:20:00,13.16,13.235,13.16,13.23,6566,0
2017-10-19,09:25:00,13.19,13.255,13.19,13.195,3981,0
2017-10-19,09:30:00,13.19,13.19,13.165,13.165,998,0
2017-10-19,09:35:00,13.185,13.195,13.15,13.195,4043,0
2017-10-19,09:40:00,13.195,13.26,13.19,13.205,6968,0
2017-10-19,09:45:00,13.205,13.205,13.115,13.135,6059,0
2017-10-19,09:50:00,13.11,13.115,13,13.055,12532,0
2017-10-19,09:55:00,13.03,13.045,13.005,13.02,2321,0
2017-10-19,10:00:00,13.03,13.03,12.95,12.95,19930,0
2017-10-19,10:05:00,12.95,12.96,12.85,12.85,20212,0
2017-10-19,10:10:00,12.905,12.915,12.865,12.91,5838,0
2017-10-19,10:15:00,12.87,12.94,12.87,12.94,4089,0
2017-10-19,10:20:00,12.925,12.975,12.925,12.97,4568,0
2017-10-19,10:25:00,12.94,12.985,12.94,12.985,852,0
2017-10-19,10:30:00,12.995,13.035,12.96,12.99,6116,0
2017-10-19,10:35:00,13.025,13.09,12.98,13.065,7142,0
2017-10-19,10:40:00,13.055,13.085,13.025,13.055,5438,0
2017-10-19,10:45:00,13.02,13.02,13.015,13.02,820,0
2017-10-19,10:50:00,13.02,13.02,13.01,13.01,14253,0
2017-10-19,10:55:00,13.045,13.075,13.015,13.075,3695,0
2017-10-19,11:00:00,13.075,13.075,13.045,13.045,600,0
2017-10-19,11:05:00,13.05,13.08,13.025,13.08,2820,0
2017-10-19,11:10:00,13.08,13.08,13.08,13.08,180,0
2017-10-19,11:20:00,13.035,13.075,13.035,13.075,414,0
2017-10-19,11:25:00,13.08,13.08,13.08,13.08,600,0
2017-10-19,11:30:00,13.08,13.085,13.08,13.085,1846,0
2017-10-19,11:35:00,13.095,13.1,13.095,13.1,1000,0
2017-10-19,11:40:00,13.07,13.07,13.07,13.07,300,0
2017-10-19,11:55:00,13.025,13.025,13.02,13.02,839,0
2017-10-19,12:00:00,13.01,13.01,13.01,13.01,346,0
2017-10-19,12:05:00,13.005,13.005,13.005,13.005,500,0
2017-10-19,12:15:00,13,13,13,13,10153,0
2017-10-19,12:20:00,12.99,13.02,12.99,12.99,893,0
2017-10-19,12:30:00,12.99,13.015,12.985,12.985,1107,0
2017-10-19,12:35:00,12.98,13.045,12.98,13.045,3271,0
2017-10-19,12:40:00,12.995,12.995,12.96,12.96,7222,0
2017-10-19,12:45:00,12.98,12.98,12.98,12.98,2151,0
