Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-06,13:20:00,5.401,5.401,5.401,5.401,202,0
2016-06-06,13:40:00,5.488,5.488,5.488,5.488,400,0
2016-06-06,13:50:00,5.487,5.487,5.487,5.487,100,0
2016-06-06,14:05:00,5.487,5.487,5.487,5.487,50,0
2016-06-06,17:30:00,5.4,5.4,5.4,5.4,228,0
2016-06-07,12:10:00,5.479,5.479,5.479,5.479,200,0
2016-06-07,16:25:00,5.479,5.479,5.479,5.479,100,0
2016-06-07,17:30:00,5.48,5.48,5.48,5.48,125,0
2016-06-08,12:55:00,5.4,5.4,5.4,5.4,322,0
2016-06-08,13:00:00,5.315,5.315,5.315,5.315,178,0
2016-06-08,14:00:00,5.449,5.449,5.449,5.449,500,0
2016-06-08,15:50:00,5.449,5.45,5.449,5.45,1481,0
2016-06-09,17:30:00,5.448,5.448,5.448,5.448,221,0
2016-06-10,09:05:00,5.449,5.449,5.449,5.449,5,0
2016-06-10,09:45:00,5.448,5.448,5.448,5.448,32,0
2016-06-10,10:25:00,5.42,5.42,5.42,5.42,266,0
2016-06-10,11:50:00,5.421,5.421,5.421,5.421,67,0
2016-06-10,12:00:00,5.421,5.448,5.421,5.448,800,0
2016-06-10,13:00:00,5.448,5.448,5.448,5.448,12,0
2016-06-10,13:10:00,5.448,5.448,5.448,5.448,16,0
2016-06-10,13:50:00,5.448,5.448,5.448,5.448,11,0
2016-06-10,16:25:00,5.448,5.448,5.448,5.448,60,0
2016-06-10,17:00:00,5.448,5.448,5.448,5.448,53,0
2016-06-10,17:30:00,5.448,5.448,5.448,5.448,308,0
2016-06-13,11:15:00,5.321,5.321,5.321,5.321,1000,0
2016-06-13,11:35:00,5.321,5.321,5.321,5.321,1000,0
2016-06-13,12:55:00,5.321,5.321,5.32,5.32,968,0
2016-06-13,13:10:00,5.31,5.31,5.31,5.31,2400,0
2016-06-13,17:30:00,5.31,5.31,5.31,5.31,1820,0
2016-06-14,09:10:00,5.311,5.311,5.31,5.31,5034,0
2016-06-14,09:15:00,5.31,5.31,5.31,5.31,1228,0
2016-06-15,14:55:00,5.189,5.19,5.189,5.19,3649,0
2016-06-15,15:05:00,5.2,5.2,5.2,5.2,20,0
2016-06-15,17:30:00,5.145,5.145,5.145,5.145,221,0
2016-06-16,10:35:00,5.05,5.05,4.799,4.799,4075,0
2016-06-16,10:40:00,4.771,4.771,4.771,4.771,1365,0
2016-06-16,11:30:00,4.898,4.898,4.898,4.898,30,0
2016-06-16,13:20:00,4.73,4.73,4.73,4.73,2000,0
2016-06-16,14:00:00,4.75,4.75,4.75,4.75,250,0
2016-06-16,14:15:00,4.645,4.645,4.645,4.645,1500,0
2016-06-16,15:25:00,4.789,4.789,4.789,4.789,2500,0
2016-06-16,16:30:00,4.779,4.789,4.779,4.789,3905,0
2016-06-16,16:35:00,4.725,4.725,4.725,4.725,691,0
2016-06-16,17:20:00,4.77,4.77,4.77,4.77,850,0
2016-06-16,17:30:00,4.78,4.789,4.725,4.725,875,0
2016-06-17,15:25:00,4.86,4.948,4.86,4.948,442,0
2016-06-20,09:25:00,4.999,4.999,4.999,4.999,95,0
2016-06-20,09:40:00,4.999,5,4.999,5,3398,0
2016-06-20,10:05:00,5,5,5,5,800,0
2016-06-20,10:40:00,5.048,5.048,5.048,5.048,588,0
2016-06-20,10:55:00,5.047,5.055,5.047,5.055,2610,0
2016-06-21,09:05:00,5.2,5.2,5.2,5.2,204,0
2016-06-21,16:10:00,5.239,5.239,5.239,5.239,30,0
2016-06-21,16:30:00,5.239,5.239,5.239,5.239,30,0
2016-06-21,16:45:00,5.239,5.239,5.239,5.239,30,0
2016-06-21,17:00:00,5.239,5.239,5.239,5.239,28,0
2016-06-21,17:10:00,5.239,5.239,5.239,5.239,29,0
2016-06-21,17:20:00,5.239,5.239,5.239,5.239,30,0
2016-06-21,17:30:00,5.238,5.239,5.238,5.238,538,0
2016-06-22,09:05:00,5.24,5.24,5.24,5.24,400,0
2016-06-22,09:40:00,5.2,5.2,5.2,5.2,50,0
2016-06-22,11:00:00,5.2,5.2,5.2,5.2,150,0
2016-06-22,11:55:00,5.199,5.2,5.199,5.2,964,0
2016-06-22,12:40:00,5.235,5.24,5.235,5.24,2338,0
2016-06-22,13:20:00,5.141,5.141,5.141,5.141,224,0
2016-06-22,17:30:00,5.299,5.35,5.202,5.202,2821,0
2016-06-23,10:00:00,5.203,5.203,5.203,5.203,1,0
2016-06-23,11:25:00,5.354,5.355,5.354,5.355,650,0
2016-06-23,15:35:00,5.389,5.39,5.389,5.39,2000,0
2016-06-23,15:40:00,5.39,5.39,5.39,5.39,221,0
2016-06-24,09:10:00,5.11,5.11,5.11,5.11,300,0
2016-06-24,09:30:00,4.801,4.801,4.801,4.801,120,0
2016-06-24,13:55:00,5.379,5.379,5.379,5.379,749,0
2016-06-24,17:30:00,5.379,5.379,5.379,5.379,221,0
2016-06-27,09:10:00,5.389,5.39,5.389,5.39,500,0
2016-06-27,09:35:00,5.3,5.3,5.3,5.3,400,0
2016-06-27,09:50:00,5.3,5.3,5.3,5.3,279,0
2016-06-27,16:00:00,5.3,5.3,5.3,5.3,94,0
2016-06-27,17:30:00,5.3,5.3,5.3,5.3,221,0
2016-06-28,17:15:00,5.299,5.3,5.299,5.3,389,0
2016-06-28,17:30:00,5.3,5.3,5.3,5.3,221,0
2016-06-29,11:20:00,5.277,5.277,5.277,5.277,221,0
2016-06-29,11:25:00,5.277,5.277,5.277,5.277,2617,0
2016-06-29,12:25:00,5.277,5.277,5.277,5.277,67,0
2016-06-29,12:30:00,5.277,5.277,5.277,5.277,95,0
2016-06-29,12:45:00,5.278,5.278,5.278,5.278,120,0
2016-06-30,09:50:00,5.35,5.35,5.35,5.35,100,0
2016-06-30,17:30:00,5.33,5.33,5.33,5.33,221,0
2016-07-01,10:55:00,5.2,5.2,5.2,5.2,50,0
2016-07-01,11:30:00,5.265,5.265,5.265,5.265,1888,0
2016-07-01,15:35:00,5.251,5.251,5.251,5.251,167,0
2016-07-01,17:30:00,5.25,5.25,5.25,5.25,167,0
2016-07-04,12:45:00,5.25,5.25,5.25,5.25,100,0
2016-07-04,13:40:00,5.324,5.324,5.324,5.324,16,0
2016-07-04,13:45:00,5.3,5.3,5.3,5.3,170,0
2016-07-04,13:55:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,14:10:00,5.324,5.324,5.324,5.324,9,0
2016-07-04,14:15:00,5.324,5.324,5.324,5.324,22,0
2016-07-04,14:30:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,14:45:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,14:55:00,5.324,5.324,5.324,5.324,427,0
2016-07-04,15:00:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,15:10:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,15:20:00,5.324,5.324,5.324,5.324,29,0
2016-07-04,15:30:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,15:35:00,5.324,5.324,5.324,5.324,32,0
2016-07-04,15:40:00,5.324,5.324,5.324,5.324,9,0
2016-07-04,15:45:00,5.324,5.324,5.324,5.324,31,0
2016-07-04,16:05:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,16:20:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,16:30:00,5.324,5.324,5.324,5.324,54,0
2016-07-04,16:35:00,5.324,5.324,5.324,5.324,9,0
2016-07-04,16:50:00,5.324,5.324,5.324,5.324,8,0
2016-07-04,17:00:00,5.3,5.3,5.3,5.3,354,0
2016-07-04,17:25:00,5.3,5.3,5.3,5.3,9,0
2016-07-04,17:30:00,5.3,5.323,5.25,5.25,65,0
2016-07-05,16:30:00,5.322,5.322,5.322,5.322,133,0
2016-07-06,09:05:00,5.25,5.25,5.25,5.25,186,0
2016-07-06,12:20:00,5.25,5.25,5.25,5.25,821,0
2016-07-06,12:55:00,5.25,5.25,5.25,5.25,1759,0
2016-07-06,16:55:00,5.161,5.161,5.139,5.139,4532,0
2016-07-06,17:30:00,5.249,5.249,5.249,5.249,1208,0
2016-07-07,09:25:00,5.25,5.25,5.25,5.25,500,0
2016-07-07,13:05:00,5.249,5.249,5.249,5.249,421,0
2016-07-07,13:10:00,5.25,5.25,5.25,5.25,1479,0
2016-07-07,15:00:00,5.32,5.32,5.32,5.32,375,0
2016-07-07,17:30:00,5.323,5.323,5.323,5.323,46,0
2016-07-08,09:25:00,5.324,5.324,5.324,5.324,819,0
2016-07-08,15:05:00,5.324,5.324,5.324,5.324,100,0
2016-07-11,10:00:00,5.211,5.211,5.211,5.211,23,0
2016-07-11,10:05:00,5.24,5.24,5.24,5.24,50,0
2016-07-11,10:30:00,5.24,5.24,5.24,5.24,60,0
2016-07-11,10:55:00,5.202,5.202,5.202,5.202,24,0
2016-07-11,11:05:00,5.202,5.202,5.202,5.202,25,0
2016-07-11,11:15:00,5.202,5.202,5.202,5.202,23,0
2016-07-11,11:25:00,5.202,5.202,5.202,5.202,25,0
2016-07-11,11:35:00,5.202,5.202,5.202,5.202,21,0
2016-07-11,11:45:00,5.202,5.202,5.202,5.202,23,0
2016-07-11,11:55:00,5.202,5.202,5.202,5.202,24,0
2016-07-11,12:05:00,5.202,5.202,5.202,5.202,22,0
2016-07-11,12:15:00,5.202,5.202,5.202,5.202,22,0
2016-07-11,12:20:00,5.297,5.35,5.297,5.35,2564,0
2016-07-11,12:30:00,5.251,5.251,5.251,5.251,135,0
2016-07-11,13:20:00,5.351,5.351,5.351,5.351,110,0
2016-07-11,14:50:00,5.351,5.351,5.351,5.351,23,0
2016-07-11,15:00:00,5.351,5.351,5.351,5.351,24,0
2016-07-11,15:10:00,5.351,5.351,5.351,5.351,25,0
2016-07-11,15:20:00,5.351,5.351,5.351,5.351,25,0
2016-07-11,15:30:00,5.351,5.351,5.351,5.351,21,0
2016-07-11,15:35:00,5.351,5.351,5.351,5.351,21,0
2016-07-11,15:40:00,5.351,5.351,5.351,5.351,24,0
2016-07-11,16:00:00,5.301,5.301,5.301,5.301,22,0
2016-07-11,16:05:00,5.301,5.301,5.301,5.301,23,0
2016-07-11,16:10:00,5.301,5.301,5.301,5.301,83,0
