Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-27,09:05:00,3.188,3.188,3.188,3.188,1000,0
2017-09-27,09:15:00,3.07,3.101,3.07,3.101,1720,0
2017-09-27,09:25:00,3.159,3.159,3.13,3.13,2705,0
2017-09-27,09:30:00,3.129,3.129,3.129,3.129,1500,0
2017-09-27,09:40:00,3.131,3.131,3.129,3.129,4398,0
2017-09-27,09:45:00,3.132,3.136,3.13,3.136,3331,0
2017-09-27,09:50:00,3.136,3.14,3.13,3.135,3346,0
2017-09-27,09:55:00,3.134,3.134,3.112,3.119,2089,0
2017-09-27,10:00:00,3.108,3.108,3.106,3.106,4147,0
2017-09-27,10:10:00,3.102,3.102,3.102,3.102,828,0
2017-09-27,10:15:00,3.102,3.102,3.102,3.102,672,0
2017-09-27,10:20:00,3.09,3.09,3.09,3.09,4000,0
2017-09-27,10:30:00,3.098,3.12,3.098,3.12,3000,0
2017-09-27,10:55:00,3.084,3.084,3.083,3.083,2300,0
2017-09-27,11:00:00,3.105,3.105,3.105,3.105,2040,0
2017-09-27,11:10:00,3.108,3.108,3.108,3.108,600,0
2017-09-27,11:20:00,3.11,3.111,3.11,3.111,2111,0
2017-09-27,11:35:00,3.114,3.12,3.114,3.12,3450,0
2017-09-27,11:50:00,3.093,3.093,3.09,3.09,2999,0
2017-09-27,12:00:00,3.089,3.089,3.089,3.089,249,0
2017-09-27,12:25:00,3.084,3.1,3.083,3.1,5442,0
2017-09-27,13:00:00,3.086,3.086,3.086,3.086,1500,0
2017-09-27,13:10:00,3.1,3.1,3.1,3.1,1500,0
2017-09-27,13:15:00,3.1,3.11,3.093,3.093,4676,0
2017-09-27,13:25:00,3.093,3.093,3.08,3.093,3913,0
2017-09-27,13:40:00,3.084,3.084,3.075,3.075,1925,0
2017-09-27,14:10:00,3.103,3.103,3.103,3.103,730,0
2017-09-27,14:20:00,3.106,3.106,3.106,3.106,400,0
2017-09-27,14:35:00,3.101,3.109,3.1,3.109,1779,0
2017-09-27,14:45:00,3.08,3.08,3.08,3.08,1000,0
2017-09-27,14:55:00,3.078,3.078,3.053,3.053,1554,0
2017-09-27,15:05:00,3.083,3.084,3.083,3.084,2077,0
2017-09-27,15:20:00,3.092,3.093,3.08,3.08,2630,0
2017-09-27,15:25:00,3.075,3.075,3.075,3.075,2000,0
2017-09-27,15:45:00,3.074,3.074,3.067,3.067,4353,0
2017-09-27,15:55:00,3.085,3.132,3.054,3.114,19823,0
2017-09-27,16:00:00,3.077,3.104,3.072,3.104,7281,0
2017-09-27,16:05:00,3.07,3.076,3.07,3.076,1302,0
2017-09-27,16:10:00,3.085,3.085,3.085,3.085,260,0
2017-09-27,16:15:00,3.09,3.1,3.079,3.1,5255,0
2017-09-27,16:20:00,3.098,3.105,3.098,3.105,574,0
2017-09-27,16:25:00,3.105,3.105,3.105,3.105,559,0
2017-09-27,16:50:00,3.081,3.081,3.061,3.061,1500,0
2017-09-27,17:05:00,3.064,3.068,3.064,3.068,794,0
2017-09-27,17:10:00,3.081,3.11,3.081,3.11,2000,0
2017-09-27,17:25:00,3.061,3.061,3.06,3.06,602,0
2017-09-27,17:30:00,3.061,3.062,3.052,3.06,1733,0
2017-09-28,09:05:00,3.109,3.15,3.109,3.15,8194,0
2017-09-28,09:10:00,3.111,3.142,3.111,3.142,5075,0
2017-09-28,09:35:00,3.113,3.113,3.108,3.108,1603,0
2017-09-28,09:40:00,3.095,3.095,3.065,3.08,5660,0
2017-09-28,10:00:00,3.073,3.073,3.073,3.073,195,0
2017-09-28,10:05:00,3.099,3.099,3.099,3.099,1000,0
2017-09-28,10:10:00,3.099,3.099,3.099,3.099,1700,0
2017-09-28,10:15:00,3.1,3.1,3.09,3.09,1877,0
2017-09-28,10:20:00,3.075,3.075,3.075,3.075,1587,0
2017-09-28,10:30:00,3.137,3.14,3.137,3.14,6300,0
2017-09-28,10:35:00,3.11,3.11,3.1,3.109,6575,0
2017-09-28,10:40:00,3.11,3.13,3.11,3.11,3213,0
2017-09-28,10:45:00,3.125,3.125,3.125,3.125,100,0
2017-09-28,11:10:00,3.1,3.1,3.1,3.1,2695,0
2017-09-28,11:30:00,3.087,3.087,3.087,3.087,670,0
2017-09-28,11:35:00,3.08,3.08,3.07,3.07,6987,0
2017-09-28,11:40:00,3.109,3.109,3.109,3.109,1000,0
2017-09-28,11:45:00,3.073,3.073,3.07,3.07,3773,0
2017-09-28,11:50:00,3.073,3.073,3.06,3.06,3316,0
2017-09-28,11:55:00,3.06,3.06,3.051,3.051,700,0
2017-09-28,12:00:00,3.089,3.139,3.089,3.139,3000,0
2017-09-28,12:05:00,3.104,3.104,3.09,3.09,2500,0
2017-09-28,12:10:00,3.12,3.14,3.12,3.14,13300,0
2017-09-28,12:15:00,3.114,3.114,3.114,3.114,1141,0
2017-09-28,12:25:00,3.11,3.11,3.1,3.1,21441,0
2017-09-28,13:00:00,3.101,3.107,3.101,3.102,3659,0
2017-09-28,13:10:00,3.102,3.102,3.089,3.089,3000,0
2017-09-28,13:15:00,3.12,3.12,3.101,3.101,1199,0
2017-09-28,13:20:00,3.101,3.101,3.101,3.101,1356,0
2017-09-28,13:40:00,3.12,3.12,3.12,3.12,500,0
2017-09-28,14:00:00,3.129,3.129,3.121,3.123,3400,0
2017-09-28,14:05:00,3.12,3.129,3.12,3.129,1200,0
2017-09-28,14:20:00,3.129,3.13,3.129,3.13,1600,0
2017-09-28,14:55:00,3.105,3.105,3.087,3.087,2995,0
2017-09-28,15:05:00,3.103,3.103,3.08,3.08,4470,0
2017-09-28,15:30:00,3.127,3.127,3.127,3.127,100,0
2017-09-28,15:45:00,3.122,3.122,3.122,3.122,100,0
2017-09-28,15:50:00,3.092,3.092,3.09,3.09,4000,0
2017-09-28,15:55:00,3.09,3.09,3.089,3.089,3229,0
2017-09-28,16:00:00,3.09,3.09,3.08,3.08,6944,0
2017-09-28,16:25:00,3.091,3.1,3.082,3.082,700,0
2017-09-28,16:45:00,3.088,3.088,3.081,3.081,2585,0
2017-09-28,16:50:00,3.08,3.08,3.071,3.072,970,0
2017-09-28,16:55:00,3.091,3.091,3.088,3.088,482,0
2017-09-28,17:00:00,3.085,3.085,3.085,3.085,930,0
2017-09-28,17:10:00,3.08,3.093,3.071,3.093,3321,0
2017-09-28,17:15:00,3.093,3.093,3.072,3.072,3250,0
2017-09-28,17:25:00,3.089,3.089,3.071,3.072,1336,0
2017-09-28,17:30:00,3.071,3.08,3.066,3.08,12223,0
2017-09-29,09:05:00,3.129,3.13,3.096,3.096,1062,0
2017-09-29,09:15:00,3.094,3.094,3.092,3.092,1911,0
2017-09-29,09:30:00,3.104,3.104,3.104,3.104,1080,0
2017-09-29,09:35:00,3.099,3.099,3.099,3.099,420,0
2017-09-29,09:50:00,3.108,3.123,3.102,3.102,8000,0
2017-09-29,09:55:00,3.11,3.11,3.11,3.11,1000,0
2017-09-29,10:05:00,3.104,3.104,3.103,3.103,1349,0
2017-09-29,10:20:00,3.1,3.1,3.1,3.1,100,0
2017-09-29,10:25:00,3.101,3.101,3.097,3.097,2639,0
2017-09-29,10:30:00,3.096,3.096,3.096,3.096,500,0
2017-09-29,10:40:00,3.09,3.09,3.087,3.087,6231,0
2017-09-29,11:00:00,3.072,3.072,3.065,3.065,14100,0
2017-09-29,11:05:00,3.051,3.051,3.051,3.051,593,0
2017-09-29,11:15:00,3.055,3.055,3.055,3.055,500,0
2017-09-29,11:20:00,3.05,3.05,3.05,3.05,6230,0
2017-09-29,11:25:00,3.049,3.049,3.048,3.048,1073,0
2017-09-29,11:30:00,3.078,3.078,3.078,3.078,1000,0
2017-09-29,12:10:00,3.061,3.061,3.04,3.046,6030,0
2017-09-29,12:15:00,3.046,3.046,3.04,3.04,889,0
2017-09-29,12:30:00,3.06,3.06,3.06,3.06,1700,0
2017-09-29,12:35:00,3.07,3.07,3.07,3.07,1000,0
2017-09-29,13:30:00,3.06,3.06,3.06,3.06,200,0
2017-09-29,13:35:00,3.074,3.074,3.074,3.074,400,0
2017-09-29,13:40:00,3.073,3.073,3.073,3.073,500,0
2017-09-29,13:50:00,3.074,3.074,3.074,3.074,2060,0
2017-09-29,14:00:00,3.079,3.079,3.079,3.079,1250,0
2017-09-29,14:15:00,3.08,3.088,3.08,3.088,4427,0
2017-09-29,14:25:00,3.091,3.091,3.065,3.065,2017,0
2017-09-29,14:30:00,3.058,3.058,3.058,3.058,695,0
2017-09-29,14:40:00,3.087,3.087,3.06,3.06,3650,0
2017-09-29,14:55:00,3.09,3.09,3.09,3.09,1000,0
2017-09-29,15:00:00,3.056,3.056,3.056,3.056,1221,0
2017-09-29,15:10:00,3.045,3.045,3.045,3.045,500,0
2017-09-29,15:15:00,3.04,3.04,3.04,3.04,3700,0
2017-09-29,15:35:00,3.04,3.04,3.04,3.04,1601,0
2017-09-29,15:45:00,3.054,3.058,3.054,3.058,2000,0
2017-09-29,15:50:00,3.058,3.06,3.04,3.04,7000,0
2017-09-29,15:55:00,3.023,3.023,3.023,3.023,300,0
2017-09-29,16:00:00,3.039,3.039,3.039,3.039,185,0
2017-09-29,16:05:00,3.06,3.06,3.06,3.06,7535,0
2017-09-29,16:10:00,3.06,3.084,3.06,3.084,12691,0
2017-09-29,16:15:00,3.082,3.082,3.082,3.082,495,0
2017-09-29,16:25:00,3.049,3.049,3.049,3.049,1500,0
2017-09-29,16:30:00,3.052,3.052,3.052,3.052,759,0
2017-09-29,16:35:00,3.075,3.087,3.075,3.087,726,0
2017-09-29,16:40:00,3.082,3.09,3.082,3.09,1481,0
2017-09-29,16:50:00,3.09,3.09,3.09,3.09,1000,0
2017-09-29,16:55:00,3.08,3.08,3.08,3.08,2000,0
2017-09-29,17:00:00,3.055,3.055,3.05,3.05,4380,0
2017-09-29,17:05:00,3.07,3.07,3.07,3.07,240,0
2017-09-29,17:10:00,3.07,3.07,3.07,3.07,477,0
2017-09-29,17:20:00,3.077,3.08,3.077,3.08,1000,0
2017-09-29,17:30:00,3.073,3.093,3.061,3.061,1679,0
2017-10-02,09:05:00,3.14,3.14,3.14,3.14,2550,0
2017-10-02,09:10:00,3.11,3.11,3.107,3.107,340,0
2017-10-02,09:15:00,3.08,3.08,3.061,3.061,601,0
2017-10-02,09:25:00,3.091,3.1,3.06,3.06,1769,0
2017-10-02,09:45:00,3.093,3.101,3.093,3.101,13300,0
2017-10-02,09:50:00,3.11,3.11,3.11,3.11,3000,0
2017-10-02,09:55:00,3.11,3.11,3.11,3.11,2000,0
2017-10-02,10:10:00,3.108,3.108,3.108,3.108,1044,0
2017-10-02,10:15:00,3.109,3.11,3.109,3.11,4000,0
2017-10-02,10:25:00,3.105,3.11,3.105,3.11,36514,0
2017-10-02,10:40:00,3.14,3.14,3.105,3.105,8851,0
2017-10-02,10:45:00,3.105,3.105,3.105,3.105,2900,0
2017-10-02,10:55:00,3.109,3.109,3.1,3.1,2414,0
2017-10-02,11:00:00,3.11,3.11,3.11,3.11,2055,0
2017-10-02,11:10:00,3.135,3.135,3.115,3.115,1506,0
2017-10-02,11:15:00,3.138,3.139,3.138,3.139,1200,0
2017-10-02,11:20:00,3.115,3.115,3.115,3.115,1200,0
2017-10-02,11:30:00,3.132,3.132,3.132,3.132,500,0
2017-10-02,11:35:00,3.134,3.137,3.134,3.137,1000,0
2017-10-02,11:40:00,3.11,3.11,3.109,3.109,6005,0
2017-10-02,11:45:00,3.1,3.1,3.1,3.1,45,0
2017-10-02,11:55:00,3.109,3.11,3.109,3.11,1831,0
2017-10-02,12:00:00,3.11,3.11,3.11,3.11,13120,0
2017-10-02,12:05:00,3.102,3.11,3.102,3.106,11150,0
2017-10-02,12:10:00,3.136,3.136,3.136,3.136,480,0
2017-10-02,12:40:00,3.139,3.139,3.139,3.139,750,0
2017-10-02,13:15:00,3.106,3.106,3.105,3.105,3500,0
2017-10-02,13:25:00,3.118,3.138,3.118,3.135,2500,0
2017-10-02,13:50:00,3.107,3.107,3.101,3.101,2500,0
2017-10-02,14:00:00,3.134,3.135,3.115,3.115,5957,0
2017-10-02,14:05:00,3.136,3.136,3.136,3.136,1000,0
2017-10-02,14:30:00,3.136,3.138,3.136,3.138,5781,0
2017-10-02,15:00:00,3.137,3.139,3.117,3.117,4866,0
2017-10-02,15:10:00,3.106,3.106,3.1,3.1,6000,0
2017-10-02,15:15:00,3.114,3.13,3.114,3.13,6500,0
2017-10-02,15:30:00,3.11,3.11,3.11,3.11,735,0
2017-10-02,15:40:00,3.12,3.12,3.12,3.12,500,0
2017-10-02,15:50:00,3.128,3.128,3.128,3.128,330,0
2017-10-02,16:10:00,3.103,3.103,3.1,3.1,8612,0
2017-10-02,16:50:00,3.104,3.104,3.104,3.104,3400,0
2017-10-02,16:55:00,3.11,3.11,3.11,3.11,150,0
2017-10-02,17:15:00,3.091,3.091,3.091,3.091,464,0
2017-10-02,17:20:00,3.116,3.116,3.116,3.116,1000,0
2017-10-02,17:30:00,3.093,3.102,3.08,3.102,10147,0
2017-10-04,09:05:00,3.175,3.175,3.121,3.145,15718,0
2017-10-04,09:10:00,3.125,3.157,3.125,3.157,8454,0
2017-10-04,09:15:00,3.15,3.165,3.15,3.165,5868,0
2017-10-04,09:20:00,3.165,3.174,3.157,3.157,14798,0
2017-10-04,09:30:00,3.175,3.175,3.173,3.173,3987,0
2017-10-04,09:40:00,3.172,3.176,3.172,3.176,4000,0
2017-10-04,09:50:00,3.168,3.169,3.168,3.169,1652,0
2017-10-04,10:00:00,3.16,3.16,3.16,3.16,1135,0
2017-10-04,10:05:00,3.176,3.176,3.176,3.176,660,0
2017-10-04,10:10:00,3.16,3.16,3.16,3.16,426,0
2017-10-04,10:25:00,3.151,3.151,3.151,3.151,1061,0
2017-10-04,10:30:00,3.151,3.16,3.15,3.16,10854,0
2017-10-04,10:35:00,3.16,3.168,3.16,3.168,18662,0
2017-10-04,10:40:00,3.18,3.19,3.18,3.19,11242,0
2017-10-04,10:45:00,3.19,3.19,3.165,3.165,3088,0
2017-10-04,10:50:00,3.16,3.16,3.16,3.16,1000,0
2017-10-04,11:10:00,3.189,3.189,3.17,3.17,2500,0
2017-10-04,11:15:00,3.152,3.178,3.13,3.13,13035,0
2017-10-04,11:20:00,3.17,3.17,3.17,3.17,1000,0
2017-10-04,11:25:00,3.142,3.176,3.142,3.176,500,0
2017-10-04,11:35:00,3.142,3.142,3.142,3.142,360,0
2017-10-04,11:40:00,3.142,3.142,3.14,3.14,3450,0
2017-10-04,11:45:00,3.141,3.144,3.14,3.144,4997,0
2017-10-04,11:55:00,3.15,3.159,3.15,3.159,11536,0
2017-10-04,12:15:00,3.159,3.159,3.159,3.159,1000,0
2017-10-04,12:30:00,3.131,3.131,3.122,3.122,10464,0
2017-10-04,12:35:00,3.117,3.117,3.117,3.117,100,0
2017-10-04,12:45:00,3.15,3.15,3.15,3.15,1000,0
2017-10-04,13:55:00,3.117,3.149,3.11,3.149,3500,0
2017-10-04,14:05:00,3.149,3.149,3.149,3.149,100,0
2017-10-04,14:10:00,3.112,3.112,3.061,3.061,7475,0
2017-10-04,14:30:00,3.12,3.12,3.12,3.12,500,0
2017-10-04,14:50:00,3.12,3.12,3.12,3.12,500,0
2017-10-04,14:55:00,3.134,3.134,3.134,3.134,250,0
2017-10-04,15:05:00,3.132,3.148,3.132,3.148,1650,0
2017-10-04,15:25:00,3.143,3.188,3.137,3.188,15765,0
2017-10-04,15:35:00,3.145,3.145,3.145,3.145,1247,0
2017-10-04,16:05:00,3.158,3.18,3.158,3.18,8700,0
2017-10-04,16:30:00,3.183,3.183,3.183,3.183,2107,0
2017-10-04,16:35:00,3.165,3.165,3.165,3.165,4000,0
2017-10-04,16:40:00,3.155,3.155,3.155,3.155,476,0
2017-10-04,16:45:00,3.15,3.15,3.15,3.15,2166,0
2017-10-04,16:50:00,3.132,3.132,3.132,3.132,500,0
2017-10-04,17:00:00,3.168,3.169,3.128,3.128,11048,0
2017-10-04,17:05:00,3.128,3.128,3.12,3.12,9086,0
2017-10-04,17:20:00,3.13,3.13,3.115,3.115,704,0
2017-10-04,17:30:00,3.111,3.137,3.11,3.11,6087,0
2017-10-05,09:05:00,3.1,3.1,3.1,3.1,3000,0
2017-10-05,09:10:00,3.1,3.1,3.1,3.1,1776,0
2017-10-05,09:30:00,3.09,3.09,3.09,3.09,446,0
2017-10-05,09:35:00,3.119,3.15,3.119,3.131,5720,0
2017-10-05,09:40:00,3.131,3.131,3.131,3.131,500,0
2017-10-05,09:45:00,3.118,3.118,3.118,3.118,1500,0
2017-10-05,09:55:00,3.144,3.154,3.144,3.154,2500,0
2017-10-05,10:00:00,3.118,3.118,3.116,3.116,1000,0
2017-10-05,10:05:00,3.146,3.146,3.146,3.146,650,0
2017-10-05,10:15:00,3.12,3.12,3.114,3.114,3505,0
2017-10-05,11:05:00,3.094,3.094,3.094,3.094,500,0
2017-10-05,11:15:00,3.09,3.09,3.09,3.09,1400,0
2017-10-05,11:25:00,3.1,3.1,3.1,3.1,2000,0
2017-10-05,11:35:00,3.09,3.095,3.09,3.095,1725,0
2017-10-05,11:40:00,3.112,3.112,3.112,3.112,1700,0
2017-10-05,11:50:00,3.085,3.085,3.085,3.085,2300,0
2017-10-05,12:10:00,3.098,3.1,3.098,3.1,3916,0
2017-10-05,12:20:00,3.098,3.098,3.098,3.098,600,0
2017-10-05,12:25:00,3.113,3.13,3.113,3.13,2000,0
2017-10-05,12:40:00,3.123,3.123,3.123,3.123,129,0
2017-10-05,12:45:00,3.09,3.09,3.082,3.082,14000,0
2017-10-05,14:10:00,3.107,3.11,3.107,3.11,335,0
2017-10-05,14:20:00,3.116,3.116,3.09,3.09,2076,0
2017-10-05,14:35:00,3.112,3.112,3.112,3.112,10,0
2017-10-05,14:40:00,3.088,3.088,3.088,3.088,1113,0
2017-10-05,14:45:00,3.083,3.1,3.061,3.1,4700,0
2017-10-05,14:50:00,3.105,3.105,3.105,3.105,1000,0
2017-10-05,15:00:00,3.106,3.106,3.079,3.079,2329,0
2017-10-05,15:40:00,3.086,3.09,3.086,3.09,1944,0
2017-10-05,16:10:00,3.094,3.095,3.094,3.095,1000,0
2017-10-05,16:15:00,3.08,3.08,3.08,3.08,1000,0
2017-10-05,16:25:00,3.094,3.095,3.094,3.095,1000,0
2017-10-05,16:30:00,3.073,3.093,3.073,3.093,1293,0
2017-10-05,16:35:00,3.094,3.1,3.094,3.1,12550,0
2017-10-05,16:40:00,3.082,3.109,3.082,3.09,3077,0
2017-10-05,16:45:00,3.096,3.096,3.09,3.09,7000,0
2017-10-05,16:55:00,3.098,3.098,3.098,3.098,1500,0
2017-10-05,17:00:00,3.1,3.105,3.1,3.105,1827,0
2017-10-05,17:15:00,3.083,3.105,3.083,3.105,7700,0
2017-10-05,17:20:00,3.082,3.082,3.082,3.082,650,0
2017-10-05,17:30:00,3.081,3.081,3.062,3.062,5768,0
2017-10-06,09:05:00,3.062,3.063,3.062,3.063,2505,0
2017-10-06,09:10:00,3.07,3.07,3.06,3.06,3223,0
2017-10-06,09:45:00,3.06,3.06,3.055,3.055,2500,0
2017-10-06,09:55:00,3.05,3.05,3.04,3.04,5170,0
2017-10-06,10:40:00,3.05,3.05,3.05,3.05,169,0
2017-10-06,10:45:00,3.05,3.05,3.05,3.05,626,0
2017-10-06,10:50:00,3.055,3.055,3.055,3.055,793,0
2017-10-06,10:55:00,3.055,3.055,3.054,3.054,723,0
2017-10-06,11:00:00,3.054,3.055,3.054,3.055,1142,0
2017-10-06,11:10:00,3.055,3.055,3.055,3.055,352,0
2017-10-06,11:15:00,3.055,3.061,3.055,3.061,886,0
2017-10-06,11:25:00,3.035,3.035,3.027,3.027,1300,0
2017-10-06,11:30:00,3.048,3.059,3.048,3.059,1942,0
2017-10-06,11:50:00,3.052,3.052,3.052,3.052,2000,0
2017-10-06,13:05:00,3.042,3.042,3.04,3.04,4960,0
2017-10-06,13:20:00,3.03,3.04,3.03,3.04,6508,0
2017-10-06,13:30:00,3.03,3.03,3.027,3.027,3462,0
2017-10-06,13:35:00,3.04,3.04,3,3,8470,0
2017-10-06,13:40:00,2.99,2.99,2.961,2.971,2767,0
2017-10-06,13:45:00,3,3,3,3,2000,0
2017-10-06,13:50:00,2.98,2.98,2.98,2.98,800,0
2017-10-06,13:55:00,2.991,3.021,2.991,3.021,3000,0
2017-10-06,14:00:00,3.001,3.001,2.974,2.996,6107,0
2017-10-06,14:05:00,2.97,2.97,2.97,2.97,2000,0
2017-10-06,14:15:00,2.99,2.99,2.99,2.99,500,0
2017-10-06,14:30:00,2.97,2.97,2.96,2.96,1774,0
2017-10-06,14:35:00,2.97,2.97,2.93,2.94,21093,0
2017-10-06,14:40:00,2.94,2.96,2.94,2.955,9808,0
