Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-10-05,08:10:00,0.52,0.52,0.52,0.52,440,0
2016-10-17,10:55:00,0.54,0.54,0.54,0.54,2,0
2016-10-18,08:50:00,0.556,0.556,0.556,0.556,1,0
2016-10-24,16:00:00,0.556,0.556,0.556,0.556,11,0
2016-10-25,13:55:00,0.556,0.556,0.556,0.556,18,0
2016-10-26,18:35:00,0.556,0.556,0.556,0.556,3,0
2016-10-27,09:50:00,0.6,0.6,0.6,0.6,100,0
2016-10-28,12:45:00,0.57,0.57,0.57,0.57,2,0
2016-11-04,08:05:00,0.6,0.6,0.6,0.6,40,0
2016-11-07,16:45:00,0.556,0.556,0.556,0.556,12,0
2016-11-10,12:00:00,0.556,0.556,0.556,0.556,15,0
2016-11-14,08:20:00,0.65,0.65,0.65,0.65,100,0
2016-11-17,08:50:00,0.57,0.57,0.57,0.57,200,0
2016-11-18,10:40:00,0.57,0.57,0.57,0.57,40,0
2016-12-07,14:10:00,0.565,0.565,0.565,0.565,40,0
2016-12-08,14:25:00,0.57,0.57,0.57,0.57,100,0
2016-12-12,10:05:00,0.57,0.57,0.57,0.57,1000,0
2016-12-23,08:10:00,0.57,0.57,0.57,0.57,60,0
2016-12-29,16:45:00,0.562,0.562,0.562,0.562,40,0
2017-01-02,08:10:00,0.7,0.7,0.7,0.7,7,0
2017-01-02,09:15:00,0.85,0.85,0.85,0.85,0,0
2017-01-05,10:45:00,1,1,1,1,1000,0
2017-01-10,12:15:00,0.85,0.85,0.85,0.85,65,0
2017-01-23,13:45:00,0.8,0.8,0.8,0.8,500,0
2017-02-13,13:00:00,0.8,0.8,0.8,0.8,50,0
2017-02-15,15:50:00,0.7,0.7,0.7,0.7,3,0
2017-02-15,17:20:00,0.6,0.6,0.6,0.6,0,0
2017-02-27,14:50:00,0.65,0.65,0.65,0.65,4,0
2017-03-02,15:10:00,0.64,0.64,0.64,0.64,3,0
2017-03-02,19:55:00,0.63,0.63,0.63,0.63,0,0
2017-03-13,14:50:00,0.7,0.7,0.7,0.7,10,0
2017-03-13,15:35:00,0.7,0.7,0.7,0.7,500,0
2017-03-30,10:25:00,1.1,1.1,1.1,1.1,48,0
2017-04-06,12:15:00,1.2,1.2,1.2,1.2,850,0
2017-04-10,13:45:00,1.2,1.2,1.2,1.2,40,0
2017-04-13,14:40:00,1.255,1.255,1.255,1.255,500,0
2017-04-13,15:15:00,1.25,1.25,1.25,1.25,2000,0
2017-04-18,08:05:00,1.3,1.3,1.3,1.3,50,0
2017-04-18,08:45:00,1.45,1.45,1.45,1.45,85,0
2017-04-18,14:55:00,1.45,1.45,1.45,1.45,5,0
2017-04-26,08:05:00,1.3,1.3,1.3,1.3,29,0
2017-05-05,11:05:00,2.154,2.154,2.154,2.154,500,0
2017-05-05,14:10:00,3,3,3,3,500,0
2017-05-05,16:10:00,3,3,3,3,1000,0
2017-05-08,14:25:00,2,2,2,2,200,0
2017-05-08,17:30:00,1.7,1.7,1.7,1.7,300,0
2017-05-08,18:35:00,1.78,1.78,1.78,1.78,1500,0
2017-05-15,17:45:00,1.4,1.4,1.3,1.3,1800,0
2017-05-24,16:20:00,1.356,1.356,1.356,1.356,899,0
2017-06-09,10:45:00,1.5,1.5,1.5,1.5,200,0
2017-06-12,08:05:00,1.7,1.7,1.7,1.7,10,0
2017-06-13,15:00:00,1.5,1.5,1.5,1.5,500,0
2017-06-16,19:05:00,1.66,1.66,1.66,1.66,500,0
2017-06-28,10:20:00,1.7,1.7,1.7,1.7,4,0
2017-06-28,15:25:00,1.6,1.6,1.6,1.6,1852,0
2017-06-29,17:35:00,1.534,1.534,1.534,1.534,30,0
2017-07-11,11:05:00,1.68,1.68,1.68,1.68,60,0
2017-07-13,11:20:00,1.68,1.68,1.68,1.68,800,0
2017-07-17,12:30:00,1.55,1.55,1.55,1.55,500,0
2017-07-26,19:25:00,1.42,1.42,1.42,1.42,20,0
2017-08-07,15:45:00,1.5,1.5,1.5,1.5,100,0
