Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-09,10:35:00,5.1708,5.1708,5.1708,5.1708,551,0
2015-04-09,11:30:00,5.0437,5.0437,5.0437,5.0437,78,0
2015-04-09,17:30:00,5.0429,5.0429,5.0429,5.0429,660,0
2015-04-10,14:45:00,5.1254,5.2144,5.1254,5.2144,2063,0
2015-04-14,10:35:00,5.3522,5.3522,5.3522,5.3522,276,0
2015-04-14,11:00:00,5.2171,5.2171,5.2171,5.2171,276,0
2015-04-14,17:30:00,5.2161,5.2161,5.2161,5.2161,4520,0
2015-04-15,09:25:00,5.1698,5.1708,5.1698,5.1708,551,0
2015-04-15,10:00:00,5.3522,5.3522,5.3522,5.3522,1984,0
2015-04-15,10:10:00,5.3966,5.3966,5.3966,5.3966,1102,0
2015-04-15,10:25:00,5.4883,5.4883,5.4883,5.4883,551,0
2015-04-15,10:35:00,5.4883,5.5336,5.4883,5.5336,2182,0
2015-04-15,10:50:00,5.5336,5.5336,5.5336,5.5336,166,0
2015-04-15,11:25:00,5.6244,5.6244,5.6244,5.6244,592,0
2015-04-15,15:10:00,5.5972,5.5972,5.5972,5.5972,342,0
2015-04-15,16:55:00,5.579,5.579,5.579,5.579,77,0
2015-04-15,17:30:00,5.579,5.579,5.579,5.579,7963,0
2015-04-16,10:25:00,5.4883,5.4883,5.4883,5.4883,964,0
2015-04-16,10:50:00,5.4883,5.4883,5.4883,5.4883,551,0
2015-04-16,11:25:00,5.3976,5.5699,5.3976,5.5699,2750,0
2015-04-17,09:45:00,5.5145,5.5155,5.5145,5.5155,515,0
2015-04-17,10:10:00,5.6244,5.6244,5.6244,5.6244,1984,0
2015-04-17,13:35:00,5.6244,5.6244,5.6244,5.6244,1984,0
2015-04-17,13:50:00,5.4429,5.4429,5.4429,5.4429,1984,0
2015-04-17,14:35:00,5.1717,5.1717,4.9985,4.9985,2713,0
2015-04-17,14:40:00,5.2606,5.2606,5.2606,5.2606,9,0
2015-04-17,15:25:00,5.2579,5.2579,5.2579,5.2579,1685,0
2015-04-17,17:15:00,5.1708,5.1708,5.1708,5.1708,882,0
2015-04-17,17:30:00,5.1708,5.1708,5.1708,5.1708,11876,0
2015-04-20,09:10:00,5.3976,5.3976,5.3976,5.3976,154,0
2015-04-20,10:00:00,5.3976,5.4429,5.3976,5.4429,1852,0
2015-04-20,10:10:00,5.5336,5.5336,5.5336,5.5336,2756,0
2015-04-20,11:35:00,5.5336,5.5336,5.5336,5.5336,330,0
2015-04-20,14:35:00,5.5781,5.579,5.5781,5.579,6505,0
2015-04-21,10:20:00,5.6244,5.6244,5.6244,5.6244,309,0
2015-04-21,10:25:00,5.6244,5.7151,5.6244,5.7151,1235,0
2015-04-21,11:15:00,5.8874,5.9872,5.8874,5.9872,1621,0
2015-04-21,11:20:00,6.3047,6.3047,6.3047,6.3047,28,0
2015-04-21,11:55:00,5.9872,5.9872,5.9872,5.9872,148,0
2015-04-21,12:50:00,5.8974,5.8974,5.8974,5.8974,254,0
2015-04-21,14:00:00,6.2213,6.2213,6.2213,6.2213,164,0
