Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-03,09:05:00,0.823,0.927,0.823,0.927,1800,0
2015-06-03,09:50:00,0.92,0.92,0.92,0.92,1,0
2015-06-03,10:00:00,0.943,0.943,0.943,0.943,2000,0
2015-06-03,10:15:00,0.84,0.84,0.84,0.84,2000,0
2015-06-03,12:20:00,0.875,0.916,0.875,0.916,2592,0
2015-06-03,13:20:00,0.918,0.919,0.918,0.919,13237,0
2015-06-04,09:05:00,0.92,0.962,0.839,0.962,3550,0
2015-06-04,09:20:00,0.917,0.917,0.917,0.917,1000,0
2015-06-04,10:25:00,0.873,0.873,0.873,0.873,1000,0
2015-06-04,11:00:00,0.88,0.88,0.88,0.88,50,0
2015-06-04,11:35:00,0.921,0.921,0.921,0.921,5850,0
2015-06-05,11:15:00,0.87,0.87,0.87,0.87,1600,0
2015-06-08,09:05:00,0.911,0.911,0.911,0.911,549,0
2015-06-08,09:25:00,0.918,0.918,0.918,0.918,400,0
2015-06-08,10:45:00,0.9,0.9,0.9,0.9,2251,0
2015-06-10,11:50:00,0.87,0.87,0.87,0.87,325,0
2015-06-10,17:30:00,0.85,0.85,0.85,0.85,2677,0
2015-06-11,09:05:00,0.832,0.871,0.832,0.871,3610,0
2015-06-15,09:05:00,0.832,0.832,0.832,0.832,100,0
2015-06-15,15:00:00,0.831,0.831,0.831,0.831,2600,0
2015-06-16,09:05:00,0.81,0.81,0.81,0.81,7,0
2015-06-16,15:15:00,0.849,0.849,0.849,0.849,2007,0
2015-06-18,09:50:00,0.8,0.8,0.8,0.8,3000,0
2015-06-19,10:55:00,0.765,0.765,0.765,0.765,123,0
2015-06-19,11:35:00,0.801,0.801,0.801,0.801,1000,0
2015-06-19,15:05:00,0.839,0.839,0.839,0.839,3623,0
2015-06-22,11:05:00,0.775,0.775,0.775,0.775,2750,0
2015-06-22,14:00:00,0.773,0.773,0.773,0.773,4350,0
2015-06-25,15:55:00,0.77,0.77,0.77,0.77,5950,0
2015-06-25,17:30:00,0.81,0.81,0.81,0.81,7950,0
2015-06-26,17:00:00,0.808,0.808,0.808,0.808,1000,0
2015-06-26,17:30:00,0.77,0.77,0.77,0.77,3000,0
2015-06-29,09:05:00,0.736,0.736,0.701,0.701,3600,0
2015-06-29,09:50:00,0.734,0.734,0.734,0.734,6600,0
2015-06-30,09:55:00,0.768,0.768,0.768,0.768,1000,0
2015-07-01,09:40:00,0.732,0.732,0.695,0.695,3000,0
2015-07-01,09:55:00,0.728,0.728,0.728,0.728,4000,0
2015-07-02,09:05:00,0.762,0.762,0.762,0.762,3390,0
2015-07-03,17:30:00,0.79,0.79,0.79,0.79,50,0
2015-07-06,13:25:00,0.828,0.828,0.828,0.828,2600,0
2015-07-07,11:00:00,0.81,0.81,0.81,0.81,6,0
2015-07-07,16:10:00,0.79,0.79,0.79,0.79,3006,0
2015-07-10,11:40:00,0.818,0.818,0.818,0.818,1000,0
2015-07-10,17:30:00,0.879,0.879,0.879,0.879,3000,0
2015-07-13,09:05:00,0.88,0.88,0.88,0.88,10000,0
2015-07-14,11:00:00,0.95,0.99,0.95,0.99,4000,0
2015-07-14,11:10:00,1.01,1.01,1.01,1.01,500,0
2015-07-14,11:45:00,1.15,1.15,1.15,1.15,1161,0
2015-07-14,11:55:00,1.1,1.12,1.1,1.12,1800,0
2015-07-14,12:00:00,1.05,1.05,0.945,0.945,3570,0
2015-07-14,12:05:00,0.93,0.93,0.93,0.93,1000,0
2015-07-14,12:15:00,0.974,0.974,0.974,0.974,1000,0
2015-07-14,12:25:00,1.149,1.149,1.149,1.149,2700,0
2015-07-14,12:30:00,1.11,1.11,1.11,1.11,2000,0
2015-07-14,12:50:00,1.178,1.178,1.178,1.178,200,0
2015-07-14,13:00:00,1.15,1.15,1.15,1.15,500,0
2015-07-14,13:50:00,1.18,1.197,1.18,1.197,2500,0
2015-07-14,14:00:00,1.2,1.2,1.2,1.2,3851,0
2015-07-14,14:05:00,1.2,1.2,1.2,1.2,500,0
2015-07-14,14:10:00,1.2,1.2,1.2,1.2,4649,0
2015-07-14,14:20:00,1.248,1.248,1.189,1.189,5300,0
2015-07-14,14:30:00,1.172,1.172,1.172,1.172,3000,0
2015-07-14,14:50:00,1.2,1.243,1.2,1.243,2000,0
2015-07-14,15:55:00,1.243,1.243,1.243,1.243,1000,0
2015-07-14,16:10:00,1.244,1.244,1.244,1.244,450,0
2015-07-14,17:05:00,1.193,1.193,1.193,1.193,1000,0
2015-07-14,17:20:00,1.193,1.193,1.193,1.193,800,0
2015-07-14,17:25:00,1.192,1.192,1.135,1.135,3500,0
2015-07-14,17:35:00,1.188,1.188,1.188,1.188,50,0
2015-07-14,18:20:00,1.219,1.219,1.219,1.219,200,0
2015-07-14,19:45:00,1.219,1.219,1.219,1.219,1500,0
2015-07-14,19:50:00,1.2,1.219,1.2,1.219,53931,0
2015-07-15,09:05:00,1.249,1.34,1.249,1.324,13990,0
2015-07-15,09:15:00,1.335,1.339,1.335,1.339,4800,0
2015-07-15,09:20:00,1.34,1.34,1.34,1.34,5000,0
2015-07-15,09:35:00,1.28,1.28,1.28,1.28,1000,0
2015-07-15,09:40:00,1.251,1.251,1.251,1.251,1000,0
2015-07-15,09:55:00,1.31,1.31,1.31,1.31,50,0
2015-07-15,10:00:00,1.335,1.335,1.335,1.335,2000,0
2015-07-15,10:25:00,1.336,1.336,1.336,1.336,400,0
2015-07-15,10:30:00,1.272,1.272,1.221,1.221,2800,0
2015-07-15,10:35:00,1.23,1.23,1.23,1.23,1000,0
2015-07-15,10:40:00,1.264,1.264,1.264,1.264,2100,0
2015-07-15,12:10:00,1.204,1.204,1.15,1.15,1631,0
2015-07-15,13:10:00,1.181,1.181,1.181,1.181,1300,0
2015-07-15,13:15:00,1.237,1.237,1.237,1.237,500,0
2015-07-15,15:05:00,1.178,1.178,1.178,1.178,700,0
2015-07-15,15:55:00,1.15,1.15,1.15,1.15,1500,0
2015-07-15,16:05:00,1.15,1.15,1.15,1.15,1800,0
2015-07-15,17:30:00,1.155,1.155,1.15,1.15,44571,0
2015-07-16,09:50:00,1.11,1.11,1.11,1.11,1300,0
2015-07-16,10:10:00,1.163,1.163,1.163,1.163,429,0
2015-07-16,11:10:00,1.158,1.158,1.158,1.158,190,0
2015-07-16,11:15:00,1.103,1.103,1.103,1.103,1390,0
2015-07-16,15:00:00,1.105,1.105,1.105,1.105,2000,0
2015-07-16,15:20:00,1.105,1.105,1.105,1.105,2000,0
2015-07-16,16:50:00,1.158,1.158,1.158,1.158,200,0
2015-07-16,17:15:00,1.198,1.198,1.198,1.198,9509,0
2015-07-17,09:25:00,1.249,1.249,1.249,1.249,196,0
2015-07-17,10:15:00,0.982,1,0.982,1,2600,0
2015-07-17,10:20:00,1.048,1.048,1.048,1.048,800,0
2015-07-17,13:20:00,1.097,1.097,1.097,1.097,200,0
2015-07-17,17:30:00,1.148,1.178,1.122,1.122,12476,0
2015-07-20,08:05:00,1.149,1.149,1.149,1.149,500,0
2015-07-20,08:25:00,1.095,1.095,1.095,1.095,457,0
2015-07-20,08:30:00,0.955,0.955,0.93,0.93,2000,0
2015-07-20,11:55:00,1,1,1,1,600,0
2015-07-20,18:15:00,1.08,1.08,1.08,1.08,1000,0
2015-07-20,19:35:00,0.951,0.951,0.951,0.951,7057,0
2015-07-21,09:05:00,1.07,1.121,1.07,1.121,1500,0
2015-07-21,17:30:00,1.068,1.068,1.068,1.068,5100,0
2015-07-22,13:30:00,0.97,0.97,0.97,0.97,1500,0
2015-07-22,14:15:00,0.935,0.935,0.935,0.935,500,0
2015-07-22,14:25:00,0.979,0.979,0.979,0.979,5000,0
2015-07-23,13:20:00,0.97,0.97,0.97,0.97,1000,0
