Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-28,08:45:00,0.223,0.223,0.223,0.223,1500,0
2015-12-28,10:50:00,0.201,0.201,0.201,0.201,200,0
2015-12-28,12:50:00,0.201,0.201,0.201,0.201,270,0
2015-12-29,18:35:00,0.201,0.201,0.201,0.201,10,0
2015-12-30,11:10:00,0.201,0.201,0.201,0.201,50,0
2016-01-04,08:15:00,0.22,0.22,0.22,0.22,650,0
2016-01-04,16:15:00,0.22,0.22,0.22,0.22,8500,0
2016-01-04,16:20:00,0.22,0.244,0.22,0.244,12500,0
2016-01-04,16:50:00,0.25,0.25,0.25,0.25,4000,0
2016-01-04,17:30:00,0.259,0.259,0.259,0.259,12000,0
2016-01-05,08:05:00,0.26,0.26,0.26,0.26,100,0
2016-01-05,08:50:00,0.268,0.268,0.268,0.268,5000,0
2016-01-05,16:45:00,0.269,0.269,0.269,0.269,241,0
2016-01-05,17:50:00,0.268,0.268,0.268,0.268,10000,0
2016-01-05,19:45:00,0.289,0.289,0.289,0.289,1500,0
2016-01-06,11:15:00,0.33,0.33,0.33,0.33,2970,0
2016-01-06,11:20:00,0.35,0.35,0.35,0.35,2500,0
2016-01-06,13:20:00,0.409,0.409,0.409,0.409,1000,0
2016-01-06,13:35:00,0.341,0.341,0.341,0.341,50,0
2016-01-06,14:40:00,0.34,0.34,0.34,0.34,2500,0
2016-01-06,15:35:00,0.341,0.341,0.341,0.341,150,0
2016-01-06,16:00:00,0.34,0.34,0.34,0.34,2030,0
2016-01-06,18:25:00,0.409,0.409,0.409,0.409,1000,0
2016-01-06,19:00:00,0.41,0.41,0.41,0.41,2500,0
2016-01-06,20:00:00,0.358,0.358,0.358,0.358,3073,0
2016-01-07,10:20:00,0.38,0.38,0.38,0.38,3450,0
2016-01-07,10:50:00,0.328,0.328,0.328,0.328,2422,0
2016-01-07,11:50:00,0.27,0.27,0.27,0.27,5000,0
2016-01-07,12:00:00,0.25,0.25,0.25,0.25,16427,0
2016-01-07,14:40:00,0.329,0.329,0.329,0.329,2900,0
2016-01-07,15:10:00,0.419,0.419,0.419,0.419,10377,0
2016-01-07,16:00:00,0.419,0.419,0.419,0.419,1000,0
2016-01-07,17:00:00,0.3,0.3,0.3,0.3,20000,0
2016-01-07,19:20:00,0.36,0.36,0.36,0.36,6000,0
2016-01-08,09:35:00,0.376,0.376,0.376,0.376,5000,0
2016-01-08,09:45:00,0.295,0.295,0.295,0.295,120,0
2016-01-08,10:25:00,0.295,0.295,0.295,0.295,25,0
2016-01-08,14:10:00,0.298,0.298,0.298,0.298,400,0
2016-01-11,17:20:00,0.298,0.298,0.298,0.298,1250,0
2016-01-12,10:00:00,0.297,0.297,0.297,0.297,340,0
2016-01-12,15:15:00,0.297,0.297,0.282,0.282,10000,0
2016-01-13,10:50:00,0.283,0.283,0.283,0.283,321,0
2016-01-13,14:25:00,0.282,0.282,0.282,0.282,3555,0
2016-01-13,19:20:00,0.271,0.271,0.271,0.271,3570,0
2016-01-14,20:00:00,0.271,0.271,0.271,0.271,10000,0
