Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,10:00:00,7.419,7.419,7.419,7.419,500,0
2017-08-30,10:50:00,7.408,7.408,7.408,7.408,550,0
2017-08-30,11:10:00,7.41,7.41,7.41,7.41,500,0
2017-08-30,11:25:00,7.371,7.371,7.371,7.371,110,0
2017-08-30,11:35:00,7.419,7.419,7.419,7.419,280,0
2017-08-30,12:15:00,7.4,7.4,7.4,7.4,50,0
2017-08-30,13:20:00,7.371,7.371,7.371,7.371,24,0
2017-08-30,15:10:00,7.371,7.371,7.371,7.371,1500,0
2017-08-30,15:35:00,7.414,7.414,7.414,7.414,2000,0
2017-08-30,15:55:00,7.379,7.379,7.379,7.379,1190,0
2017-08-30,16:55:00,7.371,7.371,7.371,7.371,141,0
2017-08-30,17:30:00,7.371,7.377,7.371,7.377,194,0
2017-08-31,09:05:00,7.37,7.37,7.37,7.37,100,0
2017-08-31,10:00:00,7.4,7.4,7.4,7.4,408,0
2017-08-31,10:05:00,7.4,7.4,7.4,7.4,3092,0
2017-08-31,11:50:00,7.38,7.38,7.38,7.38,31,0
2017-08-31,12:15:00,7.38,7.38,7.37,7.37,510,0
2017-08-31,12:20:00,7.35,7.35,7.35,7.35,1398,0
2017-08-31,12:45:00,7.35,7.35,7.35,7.35,58,0
2017-08-31,13:50:00,7.351,7.351,7.351,7.351,40,0
2017-08-31,13:55:00,7.351,7.351,7.307,7.33,6570,0
2017-08-31,14:40:00,7.288,7.288,7.288,7.288,883,0
2017-08-31,14:50:00,7.276,7.276,7.276,7.276,33,0
2017-08-31,15:35:00,7.281,7.281,7.281,7.281,51,0
2017-08-31,15:40:00,7.349,7.349,7.349,7.349,35,0
2017-08-31,16:10:00,7.301,7.301,7.3,7.3,235,0
2017-08-31,16:35:00,7.285,7.285,7.285,7.285,61,0
2017-08-31,16:50:00,7.29,7.29,7.29,7.29,51,0
2017-08-31,17:05:00,7.33,7.348,7.29,7.348,3541,0
2017-08-31,17:15:00,7.301,7.305,7.301,7.305,668,0
2017-08-31,17:30:00,7.328,7.328,7.305,7.305,591,0
