Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-10,09:05:00,6.9,6.9,6.9,6.9,900,0
2017-03-10,11:55:00,6.9,6.9,6.9,6.9,300,0
2017-03-10,13:00:00,6.9,6.9,6.9,6.9,204,0
2017-03-10,13:30:00,6.9,6.9,6.9,6.9,46,0
2017-03-10,14:25:00,6.9,6.9,6.9,6.9,650,0
2017-03-14,13:05:00,6.831,6.831,6.831,6.831,10,0
2017-03-15,17:30:00,6.906,6.906,6.906,6.906,1067,0
2017-03-16,11:00:00,6.836,6.836,6.81,6.81,4974,0
2017-03-16,16:30:00,6.7,6.7,6.65,6.65,2020,0
2017-03-16,16:45:00,6.825,6.825,6.825,6.825,52,0
2017-03-16,17:00:00,6.7,6.7,6.7,6.7,1450,0
2017-03-17,10:15:00,6.661,6.661,6.661,6.661,100,0
2017-03-17,16:00:00,6.7,6.7,6.7,6.7,500,0
2017-03-17,16:10:00,6.7,6.7,6.7,6.7,64,0
2017-03-17,17:30:00,6.79,6.79,6.79,6.79,1,0
2017-03-20,09:05:00,6.849,6.9,6.849,6.9,2972,0
2017-03-20,09:10:00,6.905,6.905,6.905,6.905,308,0
2017-03-20,10:30:00,6.99,7,6.99,7,1700,0
2017-03-20,11:40:00,7,7,7,7,200,0
2017-03-20,12:45:00,7,7,7,7,61,0
2017-03-20,14:00:00,7,7,7,7,4161,0
2017-03-20,14:25:00,7,7,7,7,4437,0
2017-03-20,16:00:00,7,7,7,7,100,0
2017-03-21,09:05:00,7,7,7,7,850,0
2017-03-21,09:35:00,7.084,7.084,7.084,7.084,81,0
2017-03-21,10:15:00,7.074,7.074,7.074,7.074,140,0
2017-03-21,11:10:00,7.099,7.1,7.099,7.1,2917,0
2017-03-21,12:15:00,7.149,7.15,7.149,7.15,380,0
2017-03-21,14:25:00,7.15,7.19,7.15,7.19,698,0
2017-03-21,14:30:00,7.1,7.1,7.1,7.1,359,0
2017-03-21,14:40:00,7.003,7.003,7,7.003,1974,0
