Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-26,09:05:00,67.7,68,67.6,68,1039,0
2017-10-26,09:10:00,67.84,68.36,67.77,68.35,2916,0
2017-10-26,09:15:00,68.3,68.43,68.24,68.43,3693,0
2017-10-26,09:20:00,68.45,68.5,68.31,68.36,3571,0
2017-10-26,09:25:00,68.36,68.36,68.2,68.25,3849,0
2017-10-26,09:30:00,68.28,68.45,68.28,68.4,459,0
2017-10-26,09:35:00,68.47,68.79,68.46,68.77,2832,0
2017-10-26,09:40:00,68.82,68.85,68.61,68.7,6256,0
2017-10-26,09:45:00,68.64,68.86,68.64,68.84,1390,0
2017-10-26,09:50:00,68.82,68.89,68.78,68.79,882,0
2017-10-26,09:55:00,68.83,69.01,68.76,68.99,6763,0
2017-10-26,10:00:00,69.05,69.16,69.02,69.09,1117,0
2017-10-26,10:05:00,69.14,69.4,69.14,69.3,2833,0
2017-10-26,10:10:00,69.25,69.33,69.24,69.33,2263,0
2017-10-26,10:15:00,69.36,69.5,69.34,69.34,5717,0
2017-10-26,10:20:00,69.26,69.4,69.2,69.38,4246,0
2017-10-26,10:25:00,69.33,69.45,69.27,69.45,1545,0
2017-10-26,10:30:00,69.48,69.57,69.45,69.45,1637,0
2017-10-26,10:35:00,69.47,69.47,69.24,69.24,1076,0
2017-10-26,10:40:00,69.24,69.37,69.24,69.28,1304,0
2017-10-26,10:45:00,69.29,69.55,69.18,69.55,4143,0
2017-10-26,10:50:00,69.6,69.71,69.6,69.67,1708,0
2017-10-26,10:55:00,69.7,69.8,69.65,69.7,1703,0
2017-10-26,11:00:00,69.66,69.77,69.65,69.77,2249,0
2017-10-26,11:05:00,69.75,69.83,69.34,69.38,5421,0
2017-10-26,11:10:00,69.42,69.43,69.35,69.38,1060,0
2017-10-26,11:15:00,69.38,69.41,69.27,69.41,1178,0
2017-10-26,11:20:00,69.4,69.41,69.21,69.31,1953,0
2017-10-26,11:25:00,69.42,69.42,69.23,69.23,507,0
2017-10-26,11:30:00,69.26,69.26,69.1,69.19,2688,0
2017-10-26,11:35:00,69.16,69.17,69.14,69.17,153,0
2017-10-26,11:40:00,69.17,69.26,69.16,69.2,1251,0
2017-10-26,11:45:00,69.17,69.21,69.17,69.2,370,0
2017-10-26,11:50:00,69.21,69.25,69.2,69.21,1934,0
2017-10-26,11:55:00,69.24,69.27,69.18,69.18,2040,0
2017-10-26,12:00:00,69.16,69.18,69.13,69.13,376,0
2017-10-26,12:05:00,69.14,69.16,69.1,69.15,1856,0
2017-10-26,12:10:00,69.13,69.16,69.12,69.14,332,0
2017-10-26,12:15:00,69.16,69.16,69.08,69.08,1376,0
2017-10-26,12:20:00,69.09,69.09,68.85,68.89,3260,0
2017-10-26,12:25:00,68.91,69.04,68.91,68.95,1436,0
2017-10-26,12:30:00,68.97,68.97,68.95,68.97,345,0
2017-10-26,12:35:00,68.98,68.98,68.94,68.94,117,0
2017-10-26,12:40:00,68.97,68.99,68.93,68.99,944,0
2017-10-26,12:45:00,68.96,68.96,68.92,68.95,351,0
2017-10-26,12:50:00,68.98,69.06,68.97,68.97,660,0
2017-10-26,12:55:00,68.96,69.02,68.96,69.02,1164,0
2017-10-26,13:00:00,69.03,69.08,68.93,68.94,1193,0
2017-10-26,13:05:00,68.95,68.97,68.92,68.97,553,0
2017-10-26,13:10:00,69.01,69.05,68.95,69.03,734,0
2017-10-26,13:15:00,69.02,69.02,69,69,1751,0
2017-10-26,13:20:00,69,69,68.96,68.97,309,0
2017-10-26,13:25:00,69,69.06,69,69.06,650,0
2017-10-26,13:30:00,69.04,69.06,69.04,69.04,303,0
2017-10-26,13:35:00,69.05,69.06,69.03,69.05,306,0
2017-10-26,13:40:00,69.05,69.06,69.01,69.04,1020,0
2017-10-26,13:45:00,69.06,69.08,69.05,69.05,443,0
2017-10-26,13:50:00,69.07,69.22,68.99,68.99,1877,0
2017-10-26,13:55:00,68.97,69,68.87,68.87,2041,0
2017-10-26,14:00:00,68.89,68.91,68.86,68.9,857,0
2017-10-26,14:05:00,68.93,69.04,68.93,68.99,1636,0
2017-10-26,14:10:00,68.91,68.95,68.91,68.95,444,0
2017-10-26,14:15:00,68.99,68.99,68.93,68.93,227,0
2017-10-26,14:20:00,68.94,68.96,68.92,68.96,431,0
2017-10-26,14:25:00,68.98,69.01,68.93,68.93,907,0
2017-10-26,14:30:00,68.93,68.95,68.91,68.95,628,0
2017-10-26,14:35:00,68.98,68.98,68.95,68.95,95,0
2017-10-26,14:40:00,68.98,69.01,68.93,68.93,996,0
2017-10-26,14:45:00,68.94,68.97,68.94,68.94,1805,0
2017-10-26,14:50:00,68.98,68.98,68.95,68.95,565,0
2017-10-26,14:55:00,68.99,69.02,68.98,69.02,486,0
2017-10-26,15:00:00,69.05,69.16,69.05,69.16,1111,0
2017-10-26,15:05:00,69.1,69.12,69.08,69.12,657,0
2017-10-26,15:10:00,69.08,69.09,69.06,69.08,903,0
2017-10-26,15:15:00,69.11,69.13,69.11,69.13,431,0
