Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-23,09:05:00,78.8,78.8,78.8,78.8,353,0
2017-10-23,09:10:00,78.66,79.53,78.66,79.53,1020,0
2017-10-23,09:15:00,79.25,79.36,79.01,79.15,222,0
2017-10-23,09:20:00,79.2,79.2,79,79,530,0
2017-10-23,09:25:00,78.98,79.14,78.98,79.14,137,0
2017-10-23,09:30:00,79.05,79.05,79.05,79.05,110,0
2017-10-23,09:40:00,79.01,79.01,78.86,78.86,103,0
2017-10-23,09:50:00,78.96,78.96,78.72,78.72,273,0
2017-10-23,09:55:00,78.69,78.69,78.56,78.56,253,0
2017-10-23,10:00:00,78.66,78.71,78.59,78.6,234,0
2017-10-23,10:15:00,78.7,78.7,78.52,78.52,113,0
2017-10-23,10:25:00,78.6,78.6,78.55,78.55,226,0
2017-10-23,10:30:00,78.55,78.55,78.5,78.5,93,0
2017-10-23,10:35:00,78.33,78.33,78.33,78.33,7,0
2017-10-23,10:40:00,78.26,78.47,78.1,78.47,1365,0
2017-10-23,10:45:00,78.47,78.47,78.14,78.19,2360,0
2017-10-23,10:50:00,78.28,78.28,78.18,78.18,143,0
2017-10-23,10:55:00,78.17,78.17,78.17,78.17,16,0
2017-10-23,11:00:00,78.22,78.22,78.22,78.22,77,0
2017-10-23,11:05:00,78.27,78.28,78.27,78.28,136,0
2017-10-23,11:10:00,78.28,78.28,78.22,78.28,132,0
2017-10-23,11:15:00,78.35,78.4,78.35,78.38,576,0
2017-10-23,11:20:00,78.37,78.37,78.32,78.32,124,0
2017-10-23,11:25:00,78.35,78.42,78.32,78.4,525,0
2017-10-23,11:30:00,78.4,78.42,78.4,78.42,32,0
2017-10-23,11:35:00,78.39,78.39,78.33,78.33,128,0
2017-10-23,11:40:00,78.42,78.45,78.41,78.43,329,0
2017-10-23,11:45:00,78.38,78.38,78.33,78.36,90,0
2017-10-23,11:50:00,78.41,78.55,78.41,78.48,152,0
2017-10-23,12:00:00,78.46,78.46,78.46,78.46,10,0
2017-10-23,12:05:00,78.41,78.46,78.38,78.44,364,0
2017-10-23,12:10:00,78.49,78.5,78.49,78.5,68,0
2017-10-23,12:20:00,78.52,78.57,78.52,78.57,164,0
2017-10-23,12:25:00,78.59,78.68,78.59,78.68,412,0
2017-10-23,12:35:00,78.68,78.68,78.57,78.62,300,0
2017-10-23,12:40:00,78.5,78.53,78.48,78.53,225,0
2017-10-23,12:50:00,78.47,78.61,78.47,78.6,67,0
2017-10-23,12:55:00,78.67,78.68,78.67,78.68,42,0
2017-10-23,13:00:00,78.7,78.72,78.68,78.7,1244,0
2017-10-23,13:05:00,78.86,78.86,78.68,78.69,163,0
2017-10-23,13:10:00,78.68,78.68,78.54,78.57,172,0
2017-10-23,13:25:00,78.54,78.62,78.54,78.62,144,0
2017-10-23,13:40:00,78.58,78.58,78.56,78.56,164,0
2017-10-23,13:50:00,78.65,78.74,78.58,78.7,621,0
2017-10-23,13:55:00,78.62,78.63,78.54,78.54,169,0
2017-10-23,14:05:00,78.48,78.67,78.48,78.56,238,0
2017-10-23,14:10:00,78.58,78.58,78.55,78.55,158,0
2017-10-23,14:15:00,78.62,78.62,78.62,78.62,30,0
2017-10-23,14:20:00,78.67,78.67,78.63,78.63,29,0
2017-10-23,14:25:00,78.62,78.62,78.62,78.62,117,0
2017-10-23,14:30:00,78.58,78.58,78.56,78.56,97,0
2017-10-23,14:35:00,78.59,78.59,78.59,78.59,46,0
2017-10-23,14:45:00,78.58,78.58,78.57,78.57,76,0
2017-10-23,14:50:00,78.55,78.66,78.51,78.58,616,0
2017-10-23,15:00:00,78.55,78.55,78.55,78.55,10,0
2017-10-23,15:05:00,78.62,78.74,78.62,78.64,494,0
2017-10-23,15:10:00,78.66,78.69,78.63,78.68,281,0
2017-10-23,15:15:00,78.68,78.68,78.6,78.6,75,0
2017-10-23,15:20:00,78.6,78.63,78.6,78.6,62,0
2017-10-23,15:25:00,78.51,78.51,77.55,78.46,2495,0
2017-10-23,15:30:00,78.47,78.47,78.29,78.36,1063,0
2017-10-23,15:35:00,78.4,78.4,78.19,78.39,889,0
2017-10-23,15:40:00,78.44,78.44,78.33,78.44,55,0
2017-10-23,15:45:00,78.5,78.6,78.14,78.14,879,0
2017-10-23,15:50:00,78.28,78.34,78.05,78.28,794,0
2017-10-23,15:55:00,78.2,78.25,78.08,78.19,634,0
2017-10-23,16:00:00,78.29,78.31,78.04,78.26,566,0
2017-10-23,16:05:00,78.11,78.35,78.11,78.16,333,0
2017-10-23,16:10:00,78.23,78.25,78.12,78.12,135,0
2017-10-23,16:15:00,78.12,78.18,77.94,78,886,0
2017-10-23,16:20:00,78,78.05,78,78.01,265,0
2017-10-23,16:25:00,78.01,78.11,77.95,78,1269,0
2017-10-23,16:30:00,78.03,78.13,78.03,78.13,435,0
2017-10-23,16:35:00,78.15,78.2,78.15,78.2,146,0
