Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-24,09:05:00,57.51,57.58,57.5,57.58,3107,0
2017-10-24,09:10:00,57.58,57.58,57.58,57.58,6,0
2017-10-24,09:15:00,57.46,57.5,57.37,57.37,379,0
2017-10-24,09:20:00,57.34,57.35,57.32,57.32,876,0
2017-10-24,09:25:00,57.35,57.37,57.3,57.31,981,0
2017-10-24,09:30:00,57.38,57.4,57.38,57.4,196,0
2017-10-24,09:40:00,57.34,57.35,57.31,57.33,593,0
2017-10-24,09:45:00,57.27,57.27,57.23,57.23,6,0
2017-10-24,09:50:00,57.2,57.28,57.16,57.28,1165,0
2017-10-24,09:55:00,57.28,57.37,57.28,57.37,264,0
2017-10-24,10:00:00,57.37,57.37,57.2,57.29,723,0
2017-10-24,10:05:00,57.29,57.29,57.21,57.28,121,0
2017-10-24,10:10:00,57.22,57.22,57.14,57.14,287,0
2017-10-24,10:15:00,57.12,57.21,57.11,57.2,331,0
2017-10-24,10:40:00,57.24,57.24,57.16,57.2,1850,0
2017-10-24,10:45:00,57.1,57.16,57.1,57.14,571,0
2017-10-24,10:50:00,57.2,57.24,57.2,57.24,321,0
2017-10-24,11:00:00,57.25,57.29,57.25,57.29,103,0
2017-10-24,11:05:00,57.23,57.23,57.15,57.15,146,0
2017-10-24,11:10:00,57.14,57.2,57.14,57.2,142,0
2017-10-24,11:35:00,57.16,57.17,57.14,57.14,292,0
2017-10-24,12:10:00,57.13,57.24,57.1,57.24,951,0
2017-10-24,12:20:00,57.19,57.19,57.19,57.19,3,0
2017-10-24,12:35:00,57.15,57.18,57.07,57.16,766,0
2017-10-24,12:45:00,57.18,57.22,57.15,57.15,91,0
2017-10-24,13:00:00,57.15,57.2,57.11,57.2,1273,0
2017-10-24,13:05:00,57.11,57.11,57.11,57.11,1,0
2017-10-24,13:10:00,57.22,57.25,57.21,57.21,252,0
2017-10-24,13:15:00,57.13,57.13,57.13,57.13,86,0
2017-10-24,13:20:00,57.1,57.12,57.05,57.05,414,0
2017-10-24,13:25:00,57.1,57.14,57.08,57.14,698,0
2017-10-24,13:35:00,57.06,57.13,57.05,57.05,733,0
2017-10-24,13:45:00,57.12,57.12,57.12,57.12,151,0
2017-10-24,13:50:00,57.11,57.11,57.11,57.11,3,0
2017-10-24,13:55:00,57.12,57.16,57.12,57.16,338,0
2017-10-24,14:00:00,57.19,57.22,57.18,57.22,933,0
2017-10-24,14:05:00,57.13,57.13,57.13,57.13,6,0
2017-10-24,14:10:00,57.12,57.12,57.12,57.12,64,0
2017-10-24,14:15:00,57.13,57.19,57.13,57.19,345,0
2017-10-24,14:20:00,57.14,57.14,57.12,57.12,507,0
2017-10-24,14:25:00,57.1,57.1,57.08,57.08,165,0
2017-10-24,14:30:00,57.14,57.17,57.14,57.15,297,0
2017-10-24,14:35:00,57.15,57.15,57.12,57.12,816,0
2017-10-24,14:40:00,57.14,57.15,57.14,57.15,385,0
2017-10-24,14:45:00,57.13,57.13,57.02,57.05,879,0
2017-10-24,14:50:00,57.02,57.05,56.95,57.02,1321,0
2017-10-24,14:55:00,57.06,57.06,57.06,57.06,56,0
2017-10-24,15:00:00,57.08,57.08,57.08,57.08,79,0
2017-10-24,15:10:00,57.06,57.07,57.06,57.06,140,0
2017-10-24,15:20:00,57.04,57.04,56.92,56.98,400,0
2017-10-24,15:25:00,56.92,56.99,56.92,56.99,705,0
2017-10-24,15:30:00,56.99,57.01,56.91,56.91,897,0
2017-10-24,15:35:00,56.95,56.95,56.95,56.95,57,0
2017-10-24,15:40:00,57.01,57.01,56.98,56.98,400,0
2017-10-24,15:45:00,56.95,56.99,56.95,56.99,206,0
2017-10-24,15:50:00,56.97,56.99,56.96,56.96,564,0
2017-10-24,15:55:00,56.98,57.02,56.97,57.02,318,0
2017-10-24,16:00:00,57,57.02,56.97,56.97,891,0
2017-10-24,16:05:00,56.97,57.05,56.97,57.05,161,0
2017-10-24,16:10:00,57.07,57.08,57.05,57.05,354,0
2017-10-24,16:15:00,57.07,57.07,57.05,57.05,334,0
2017-10-24,16:20:00,57.03,57.03,56.98,57.03,864,0
2017-10-24,16:25:00,57.05,57.05,57.03,57.03,128,0
2017-10-24,16:30:00,57.03,57.07,57.03,57.07,569,0
2017-10-24,16:35:00,57.02,57.02,57.01,57.01,207,0
2017-10-24,16:40:00,57,57,57,57,147,0
