Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-29,10:35:00,12.662,12.662,12.662,12.662,842,0
2015-07-29,13:25:00,12.871,12.871,12.871,12.871,211,0
2015-07-29,14:20:00,12.695,12.695,12.691,12.691,479,0
2015-07-29,17:30:00,12.615,12.615,12.615,12.615,2067,0
2015-07-30,09:15:00,12.766,12.766,12.766,12.766,842,0
2015-07-30,12:25:00,12.961,12.961,12.833,12.833,3156,0
2015-07-30,15:50:00,12.961,12.961,12.961,12.961,160,0
2015-07-30,15:55:00,12.852,12.852,12.852,12.852,4368,0
2015-07-31,10:00:00,13.014,13.014,13.014,13.014,800,0
2015-08-03,10:40:00,13.161,13.161,13.161,13.161,48,0
2015-08-04,12:20:00,13.152,13.157,13.152,13.157,420,0
2015-08-04,15:25:00,13.232,13.232,13.232,13.232,105,0
2015-08-04,16:25:00,13.323,13.323,13.323,13.323,158,0
2015-08-04,17:25:00,13.213,13.213,13.213,13.213,2367,0
2015-08-05,16:25:00,13.299,13.299,13.299,13.299,21,0
2015-08-06,14:30:00,13.299,13.299,13.299,13.299,105,0
2015-08-07,14:35:00,13.299,13.299,13.299,13.299,211,0
2015-08-10,17:30:00,13.261,13.261,13.261,13.261,105,0
2015-08-11,09:20:00,13.061,13.061,13.061,13.061,842,0
2015-08-11,14:35:00,13.056,13.056,13.056,13.056,1456,0
2015-08-12,14:40:00,12.743,12.743,12.738,12.738,263,0
2015-08-12,17:30:00,12.705,12.705,12.705,12.705,474,0
2015-08-13,16:20:00,12.995,12.995,12.995,12.995,265,0
2015-08-17,13:15:00,12.757,12.757,12.757,12.757,316,0
2015-08-17,13:20:00,12.615,12.615,12.547,12.547,4046,0
2015-08-18,16:20:00,12.638,12.643,12.638,12.643,4207,0
2015-08-20,10:15:00,12.363,12.363,12.358,12.358,536,0
2015-08-20,15:10:00,12.453,12.453,12.453,12.453,21,0
2015-08-20,16:40:00,12.448,12.448,12.448,12.448,94,0
2015-08-20,16:55:00,12.448,12.448,12.448,12.448,105,0
2015-08-20,17:25:00,12.348,12.348,12.348,12.348,1809,0
2015-08-21,14:35:00,11.921,11.921,11.921,11.921,263,0
2015-08-21,15:50:00,11.806,11.806,11.806,11.806,420,0
2015-08-21,17:20:00,11.788,11.788,11.788,11.788,1105,0
2015-08-24,14:10:00,11.644,11.644,11.644,11.644,673,0
2015-08-24,17:15:00,11.407,11.407,11.407,11.407,630,0
