Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,4.43,4.498,4.43,4.498,170423,0
2017-10-25,09:10:00,4.477,4.479,4.41,4.473,70187,0
2017-10-25,09:15:00,4.474,4.474,4.452,4.458,30716,0
2017-10-25,09:20:00,4.463,4.466,4.454,4.454,7937,0
2017-10-25,09:25:00,4.453,4.46,4.452,4.459,17045,0
2017-10-25,09:30:00,4.458,4.458,4.428,4.431,28468,0
2017-10-25,09:35:00,4.431,4.442,4.429,4.442,14803,0
2017-10-25,09:40:00,4.444,4.447,4.43,4.436,22764,0
2017-10-25,09:45:00,4.439,4.452,4.439,4.445,13166,0
2017-10-25,09:50:00,4.442,4.45,4.441,4.442,8088,0
2017-10-25,09:55:00,4.445,4.447,4.443,4.446,15019,0
2017-10-25,10:00:00,4.447,4.448,4.438,4.438,14827,0
2017-10-25,10:05:00,4.438,4.442,4.433,4.433,7858,0
2017-10-25,10:10:00,4.437,4.44,4.434,4.436,9428,0
2017-10-25,10:15:00,4.435,4.436,4.433,4.433,4299,0
2017-10-25,10:20:00,4.433,4.435,4.431,4.435,7496,0
2017-10-25,10:25:00,4.439,4.443,4.438,4.441,13114,0
2017-10-25,10:30:00,4.443,4.443,4.431,4.441,23557,0
2017-10-25,10:35:00,4.442,4.442,4.437,4.44,46794,0
2017-10-25,10:40:00,4.438,4.442,4.438,4.44,12254,0
2017-10-25,10:45:00,4.443,4.443,4.438,4.438,52856,0
2017-10-25,10:50:00,4.437,4.44,4.434,4.44,18480,0
2017-10-25,10:55:00,4.444,4.448,4.444,4.448,10743,0
2017-10-25,11:00:00,4.449,4.452,4.444,4.445,18266,0
2017-10-25,11:05:00,4.444,4.444,4.433,4.442,18127,0
2017-10-25,11:10:00,4.44,4.443,4.44,4.443,4410,0
2017-10-25,11:15:00,4.44,4.44,4.436,4.436,2794,0
2017-10-25,11:20:00,4.437,4.437,4.435,4.435,6060,0
2017-10-25,11:25:00,4.432,4.443,4.43,4.436,30003,0
2017-10-25,11:30:00,4.434,4.445,4.427,4.436,50752,0
2017-10-25,11:35:00,4.439,4.442,4.436,4.436,6731,0
2017-10-25,11:40:00,4.438,4.444,4.437,4.44,13420,0
2017-10-25,11:45:00,4.438,4.438,4.438,4.438,1787,0
2017-10-25,11:50:00,4.438,4.438,4.435,4.436,6779,0
2017-10-25,11:55:00,4.434,4.437,4.425,4.43,20167,0
2017-10-25,12:00:00,4.433,4.445,4.43,4.437,24927,0
2017-10-25,12:05:00,4.436,4.436,4.43,4.43,3852,0
2017-10-25,12:10:00,4.432,4.441,4.43,4.436,18912,0
2017-10-25,12:15:00,4.44,4.443,4.437,4.437,8493,0
2017-10-25,12:20:00,4.441,4.444,4.434,4.44,10686,0
2017-10-25,12:25:00,4.439,4.441,4.436,4.436,3584,0
2017-10-25,12:30:00,4.437,4.438,4.427,4.438,10312,0
2017-10-25,12:35:00,4.441,4.445,4.434,4.436,24268,0
2017-10-25,12:40:00,4.43,4.438,4.43,4.438,8033,0
2017-10-25,12:45:00,4.44,4.445,4.44,4.445,4124,0
2017-10-25,12:50:00,4.442,4.442,4.442,4.442,1466,0
2017-10-25,12:55:00,4.444,4.444,4.4,4.413,75421,0
2017-10-25,13:00:00,4.413,4.421,4.405,4.417,16272,0
2017-10-25,13:05:00,4.417,4.422,4.411,4.415,12021,0
2017-10-25,13:10:00,4.419,4.436,4.411,4.411,12565,0
2017-10-25,13:15:00,4.414,4.416,4.408,4.409,9823,0
2017-10-25,13:20:00,4.411,4.417,4.41,4.413,8183,0
2017-10-25,13:25:00,4.416,4.428,4.415,4.415,22883,0
2017-10-25,13:30:00,4.413,4.415,4.408,4.415,9023,0
2017-10-25,13:35:00,4.413,4.415,4.409,4.409,6395,0
2017-10-25,13:40:00,4.41,4.41,4.406,4.406,2110,0
2017-10-25,13:45:00,4.409,4.409,4.407,4.408,3001,0
2017-10-25,13:50:00,4.408,4.41,4.376,4.404,84013,0
2017-10-25,13:55:00,4.404,4.406,4.4,4.4,5292,0
2017-10-25,14:00:00,4.405,4.409,4.394,4.398,8768,0
2017-10-25,14:05:00,4.402,4.402,4.394,4.4,11969,0
2017-10-25,14:10:00,4.4,4.402,4.393,4.398,16106,0
2017-10-25,14:15:00,4.398,4.403,4.398,4.398,7867,0
2017-10-25,14:20:00,4.397,4.398,4.397,4.397,2332,0
2017-10-25,14:25:00,4.4,4.402,4.397,4.399,5477,0
2017-10-25,14:30:00,4.397,4.398,4.393,4.396,8604,0
2017-10-25,14:35:00,4.392,4.401,4.382,4.401,45183,0
2017-10-25,14:40:00,4.401,4.406,4.401,4.403,6451,0
2017-10-25,14:45:00,4.402,4.404,4.393,4.396,19704,0
2017-10-25,14:50:00,4.396,4.4,4.382,4.382,27398,0
2017-10-25,14:55:00,4.387,4.387,4.384,4.384,4339,0
2017-10-25,15:00:00,4.385,4.392,4.384,4.384,28930,0
2017-10-25,15:05:00,4.384,4.384,4.361,4.377,30949,0
2017-10-25,15:10:00,4.376,4.38,4.36,4.367,43459,0
2017-10-25,15:15:00,4.369,4.372,4.369,4.372,9308,0
2017-10-25,15:20:00,4.373,4.377,4.371,4.377,4850,0
2017-10-25,15:25:00,4.378,4.392,4.378,4.392,5298,0
2017-10-25,15:30:00,4.396,4.397,4.389,4.393,16698,0
2017-10-25,15:35:00,4.394,4.398,4.394,4.398,10823,0
2017-10-25,15:40:00,4.397,4.398,4.389,4.394,42277,0
2017-10-25,15:45:00,4.393,4.401,4.393,4.399,6387,0
2017-10-25,15:50:00,4.398,4.405,4.398,4.405,11779,0
2017-10-25,15:55:00,4.402,4.404,4.399,4.4,25767,0
2017-10-25,16:00:00,4.4,4.403,4.393,4.4,40159,0
2017-10-25,16:05:00,4.394,4.394,4.387,4.393,11032,0
2017-10-25,16:10:00,4.391,4.395,4.39,4.392,21273,0
2017-10-25,16:15:00,4.395,4.395,4.389,4.389,20824,0
2017-10-25,16:20:00,4.391,4.393,4.381,4.381,26140,0
2017-10-25,16:25:00,4.383,4.388,4.379,4.385,21041,0
2017-10-25,16:30:00,4.385,4.385,4.373,4.373,25857,0
2017-10-25,16:35:00,4.372,4.376,4.371,4.373,42850,0
2017-10-25,16:40:00,4.373,4.373,4.351,4.354,84506,0
2017-10-25,16:45:00,4.355,4.385,4.355,4.385,72091,0
2017-10-25,16:50:00,4.382,4.383,4.366,4.369,35233,0
2017-10-25,16:55:00,4.369,4.385,4.364,4.385,55354,0
