Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-07,09:05:00,15.197,15.197,15.197,15.197,213,0
2015-04-07,13:15:00,15.713,15.713,15.713,15.713,413,0
2015-04-08,10:30:00,15.803,15.803,15.803,15.803,81,0
2015-04-09,14:55:00,15.935,15.935,15.935,15.935,156,0
2015-04-09,15:35:00,15.535,15.535,15.535,15.535,158,0
2015-04-10,09:05:00,15.977,15.977,15.977,15.977,104,0
2015-04-10,14:20:00,15.977,15.977,15.977,15.977,253,0
2015-04-13,13:50:00,15.63,15.63,15.63,15.63,127,0
2015-04-13,13:55:00,15.63,15.63,15.63,15.63,127,0
2015-04-14,09:05:00,15.63,15.63,15.63,15.63,308,0
2015-04-14,15:35:00,15.63,15.63,15.63,15.63,65,0
2015-04-14,16:30:00,15.63,15.63,15.63,15.63,428,0
2015-04-15,09:10:00,15.672,15.672,15.672,15.672,346,0
2015-04-15,17:00:00,15.817,15.817,15.817,15.817,350,0
2015-04-15,17:05:00,15.817,15.817,15.817,15.817,4,0
2015-04-20,14:40:00,15.803,15.803,15.803,15.803,230,0
2015-04-29,16:05:00,15.63,15.63,15.63,15.63,551,0
2015-05-11,09:15:00,15.542,15.542,15.542,15.542,87,0
2015-05-11,09:20:00,15.5,15.5,15.5,15.5,183,0
2015-05-11,17:20:00,15.5,15.5,15.282,15.282,487,0
2015-05-14,11:20:00,15.63,15.63,15.63,15.63,461,0
2015-05-18,09:05:00,15.89,15.89,15.89,15.89,230,0
2015-05-20,09:05:00,15.803,15.803,15.803,15.803,230,0
2015-05-22,16:05:00,15.665,15.665,15.665,15.665,242,0
2015-05-27,16:40:00,15.63,15.63,15.63,15.63,173,0
2015-05-27,17:30:00,15.434,15.434,15.434,15.434,175,0
2015-05-28,15:40:00,15.803,15.803,15.803,15.803,346,0
2015-05-29,14:00:00,15.89,15.89,15.89,15.89,58,0
2015-05-29,14:25:00,15.89,15.89,15.89,15.89,196,0
2015-06-01,11:55:00,16.065,16.065,16.065,16.065,58,0
2015-06-02,17:15:00,15.977,15.977,15.977,15.977,138,0
2015-06-02,17:20:00,15.977,16.117,15.977,16.117,596,0
2015-06-10,12:10:00,15.583,15.583,15.583,15.583,198,0
2015-06-22,09:15:00,15.434,15.434,15.434,15.434,10,0
2015-06-22,09:35:00,15.301,15.301,15.301,15.301,122,0
2015-06-23,14:25:00,15.173,15.173,14.986,14.986,2005,0
2015-06-24,09:30:00,15.166,15.166,15.166,15.166,34,0
2015-06-24,12:30:00,15.254,15.254,15.254,15.254,146,0
2015-06-25,10:45:00,14.886,14.886,14.886,14.886,624,0
2015-06-26,12:20:00,15.119,15.119,15.119,15.119,33,0
2015-07-01,15:05:00,14.806,14.806,14.806,14.806,12,0
2015-07-14,13:30:00,14.788,14.788,14.788,14.788,183,0
2015-07-14,17:30:00,14.631,14.631,14.631,14.631,325,0
2015-07-16,10:50:00,14.555,14.555,14.533,14.533,93,0
2015-07-17,17:15:00,14.982,14.982,14.982,14.982,27,0
2015-07-20,15:00:00,15.161,15.161,15.161,15.161,39,0
