Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-02,13:05:00,0.605,0.605,0.6,0.6,15778,0
2015-04-07,13:00:00,0.694,0.694,0.694,0.694,200,0
2015-04-07,13:05:00,0.694,0.694,0.694,0.694,200,0
2015-04-08,09:10:00,0.563,0.563,0.563,0.563,100,0
2015-04-08,12:10:00,0.568,0.568,0.568,0.568,450,0
2015-04-08,12:15:00,0.568,0.568,0.568,0.568,350,0
2015-04-15,14:25:00,0.606,0.606,0.606,0.606,330,0
2015-04-15,14:30:00,0.606,0.606,0.606,0.606,330,0
2015-04-22,13:15:00,0.616,0.616,0.616,0.616,40,0
2015-04-22,13:20:00,0.616,0.616,0.616,0.616,40,0
2015-05-13,09:05:00,0.611,0.611,0.611,0.611,300,0
2015-05-19,11:10:00,0.7,0.7,0.7,0.7,30,0
2015-05-26,10:20:00,0.788,0.788,0.788,0.788,100,0
2015-05-26,17:30:00,0.65,0.65,0.65,0.65,100,0
2015-05-27,10:20:00,0.788,0.788,0.788,0.788,100,0
2015-05-29,16:15:00,0.656,0.656,0.656,0.656,1320,0
2015-06-04,15:45:00,0.775,0.775,0.775,0.775,300,0
2015-06-05,11:20:00,0.661,0.661,0.661,0.661,330,0
2015-06-09,13:00:00,0.66,0.66,0.66,0.66,660,0
2015-06-15,14:45:00,0.656,0.656,0.656,0.656,330,0
2015-06-15,16:15:00,0.764,0.764,0.764,0.764,10,0
2015-06-15,16:35:00,0.764,0.764,0.764,0.764,2340,0
2015-06-24,15:35:00,0.666,0.666,0.666,0.666,200,0
2015-06-30,14:25:00,0.666,0.666,0.666,0.666,15000,0
2015-07-01,17:30:00,0.696,0.696,0.696,0.696,3492,0
2015-07-03,14:35:00,0.571,0.571,0.571,0.571,1980,0
2015-07-13,11:20:00,0.566,0.566,0.566,0.566,7590,0
2015-07-14,11:15:00,0.566,0.566,0.566,0.566,96,0
2015-07-15,13:40:00,0.57,0.57,0.57,0.57,1028,0
2015-07-16,09:05:00,0.6,0.6,0.6,0.6,486,0
2015-07-16,15:55:00,0.565,0.565,0.565,0.565,486,0
2015-07-22,09:05:00,0.605,0.605,0.605,0.605,2472,0
2015-07-24,09:55:00,0.566,0.566,0.566,0.566,414,0
2015-07-28,12:35:00,0.561,0.561,0.561,0.561,1980,0
2015-08-07,10:50:00,0.586,0.586,0.586,0.586,60,0
2015-08-13,09:20:00,0.733,0.733,0.733,0.733,600,0
2015-08-19,14:20:00,0.581,0.581,0.581,0.581,2000,0
2015-08-20,09:25:00,0.586,0.586,0.586,0.586,165,0
2015-08-20,11:30:00,0.581,0.581,0.581,0.581,465,0
2015-09-03,12:30:00,0.605,0.605,0.605,0.605,3320,0
2015-10-02,11:00:00,0.551,0.551,0.55,0.55,5910,0
2015-10-06,15:40:00,0.595,0.595,0.59,0.59,9332,0
2015-10-07,08:10:00,0.6,0.6,0.6,0.6,4500,0
2015-10-07,10:15:00,0.615,0.615,0.615,0.615,19500,0
2015-10-09,14:35:00,0.645,0.645,0.645,0.645,6000,0
2015-10-12,10:00:00,0.645,0.645,0.645,0.645,6000,0
2015-10-13,13:40:00,0.627,0.627,0.627,0.627,660,0
2015-10-14,10:00:00,0.645,0.65,0.645,0.65,10000,0
2015-10-16,14:05:00,0.661,0.661,0.661,0.661,330,0
2015-10-19,13:30:00,0.661,0.661,0.661,0.661,1980,0
2015-10-23,15:30:00,0.689,0.689,0.689,0.689,1000,0
2015-10-26,09:20:00,0.689,0.689,0.689,0.689,2000,0
2015-10-27,08:25:00,0.701,0.701,0.701,0.701,750,0
2015-10-27,08:55:00,0.701,0.701,0.701,0.701,3000,0
2015-10-27,13:45:00,0.706,0.706,0.706,0.706,200,0
2015-10-28,13:15:00,0.7,0.7,0.7,0.7,3000,0
2015-11-04,10:55:00,0.705,0.705,0.7,0.7,10937,0
2015-11-05,10:10:00,0.765,0.765,0.765,0.765,14280,0
2015-11-06,12:25:00,0.656,0.656,0.656,0.656,1155,0
2015-11-11,18:50:00,0.652,0.652,0.652,0.652,66,0
2015-12-02,12:15:00,0.701,0.701,0.701,0.701,81,0
2015-12-02,14:55:00,0.701,0.701,0.701,0.701,45,0
2015-12-04,16:35:00,0.7,0.7,0.7,0.7,2310,0
2015-12-11,11:40:00,0.7,0.7,0.7,0.7,1396,0
2015-12-14,10:50:00,0.7,0.7,0.7,0.7,1294,0
2015-12-16,13:40:00,0.551,0.551,0.551,0.551,1650,0
2015-12-23,10:30:00,0.729,0.73,0.729,0.73,5972,0
2015-12-23,11:25:00,0.73,0.73,0.73,0.73,207,0
2015-12-23,15:30:00,0.749,0.749,0.749,0.749,110,0
2015-12-28,14:05:00,0.731,0.731,0.731,0.731,246,0
2015-12-28,17:05:00,0.75,0.75,0.75,0.75,10000,0
2016-01-15,16:20:00,0.729,0.729,0.729,0.729,1000,0
2016-01-22,14:25:00,0.73,0.73,0.73,0.73,12000,0
2016-02-03,12:25:00,0.701,0.701,0.701,0.701,330,0
2016-02-04,08:05:00,0.701,0.701,0.701,0.701,912,0
2016-02-23,11:00:00,0.721,0.721,0.721,0.721,640,0
2016-02-29,16:35:00,0.721,0.721,0.721,0.721,750,0
2016-03-23,09:25:00,0.651,0.651,0.651,0.651,110,0
2016-03-30,16:20:00,0.77,0.77,0.67,0.67,3200,0
2016-04-01,12:15:00,0.656,0.656,0.656,0.656,1250,0
2016-04-04,10:30:00,0.555,0.555,0.555,0.555,1250,0
2016-04-04,10:55:00,0.541,0.541,0.541,0.541,1126,0
2016-04-08,09:10:00,0.65,0.65,0.65,0.65,1000,0
2016-04-13,17:05:00,0.7,0.7,0.7,0.7,2933,0
2016-04-20,14:10:00,0.65,0.65,0.65,0.65,1000,0
2016-04-22,15:50:00,0.551,0.551,0.551,0.551,63,0
2016-05-02,10:10:00,0.75,0.75,0.75,0.75,5000,0
2016-05-02,17:30:00,0.5,0.5,0.5,0.5,0,0
2016-05-25,11:30:00,0.75,0.75,0.75,0.75,16906,0
2016-06-02,08:05:00,0.7,0.7,0.7,0.7,1,0
2016-06-06,13:05:00,0.749,0.749,0.749,0.749,40,0
2016-06-07,14:55:00,0.749,0.749,0.749,0.749,200,0
2016-06-09,13:00:00,0.75,0.75,0.75,0.75,5000,0
2016-06-13,12:10:00,0.751,0.751,0.751,0.751,676,0
2016-06-14,09:10:00,0.949,0.949,0.949,0.949,600,0
2016-06-14,15:45:00,0.949,0.949,0.949,0.949,100,0
2016-06-21,10:10:00,0.9,0.92,0.9,0.92,5330,0
2016-06-21,10:15:00,0.93,0.93,0.93,0.93,1270,0
2016-06-23,14:40:00,0.93,0.93,0.93,0.93,5000,0
2016-06-28,17:50:00,0.95,0.95,0.95,0.95,1060,0
2016-06-28,18:10:00,0.76,0.76,0.76,0.76,530,0
2016-06-29,15:25:00,0.751,0.751,0.751,0.751,99,0
