Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-07,10:05:00,343.86,343.86,343.86,343.86,25,0
2015-04-07,10:10:00,343.86,343.86,343.76,343.76,119,0
2015-04-08,11:10:00,344.26,344.26,344.26,344.26,1,0
2015-04-08,17:00:00,357.94,359.35,357.94,359.35,32,0
2015-04-08,17:05:00,359.35,359.35,359.35,359.35,10,0
2015-04-13,09:05:00,379.8,379.8,379.8,379.8,8,0
2015-04-14,09:15:00,379.8,379.8,379.8,379.8,31,0
2015-04-15,14:20:00,389.53,389.53,389.53,389.53,31,0
2015-04-16,09:40:00,379.8,379.8,379.8,379.8,4,0
2015-04-17,09:45:00,399.27,399.27,399.27,399.27,26,0
2015-04-17,13:05:00,394.4,394.4,394.4,394.4,51,0
2015-04-17,13:10:00,394.4,394.4,394.4,394.4,26,0
2015-04-20,09:20:00,409.01,409.01,409.01,409.01,4,0
2015-04-21,13:30:00,375.9,375.9,375.9,375.9,4,0
2015-05-05,11:25:00,368.67,368.67,368.67,368.67,3,0
2015-05-05,13:10:00,368.6,368.6,368.6,368.6,50,0
2015-05-06,09:05:00,368.42,368.42,368.42,368.42,3,0
2015-05-06,09:10:00,360.32,360.32,355.45,355.45,120,0
2015-05-13,10:10:00,358.37,358.37,358.37,358.37,103,0
2015-05-15,15:45:00,366.19,366.19,366.19,366.19,31,0
2015-05-21,10:05:00,363.71,363.71,363.71,363.71,21,0
2015-05-27,15:25:00,363.9,363.9,363.9,363.9,21,0
2015-06-03,11:40:00,370.06,370.06,370.06,370.06,21,0
2015-06-04,09:20:00,370.06,370.06,370.06,370.06,21,0
2015-06-08,11:35:00,370.06,370.06,370.06,370.06,21,0
2015-06-08,13:10:00,370.06,370.06,370.06,370.06,41,0
2015-06-09,09:50:00,389.53,389.53,389.53,389.53,10,0
2015-06-09,11:00:00,387.59,387.59,387.59,387.59,21,0
2015-06-09,15:10:00,389.53,389.53,389.53,389.53,72,0
2015-06-10,10:45:00,379.8,379.8,379.8,379.8,21,0
2015-06-10,12:55:00,379.8,379.8,379.8,379.8,21,0
2015-06-10,15:15:00,389.53,389.53,389.53,389.53,5,0
2015-06-10,15:40:00,379.8,379.8,379.8,379.8,67,0
2015-06-11,11:30:00,389.53,389.53,389.53,389.53,21,0
2015-06-11,12:20:00,389.53,389.53,389.53,389.53,20,0
2015-06-11,14:45:00,394.4,394.4,394.4,394.4,50,0
2015-06-12,09:05:00,397.32,397.32,397.32,397.32,6,0
2015-06-15,09:55:00,384.71,384.71,384.71,384.71,12,0
2015-06-25,15:45:00,389.53,389.53,389.53,389.53,41,0
2015-07-14,09:55:00,399.27,399.27,399.27,399.27,113,0
2015-07-14,16:15:00,389.53,389.53,389.53,389.53,26,0
2015-07-14,16:20:00,384.66,384.66,380.28,380.28,169,0
2015-07-17,10:45:00,389.53,389.53,389.53,389.53,62,0
