Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-27,11:00:00,12.939,12.939,12.91,12.91,1346,0
2016-12-28,09:35:00,13.263,13.263,13.263,13.263,52,0
2016-12-28,12:55:00,13.263,13.268,13.263,13.268,103,0
2016-12-28,13:05:00,13.282,13.404,13.282,13.404,1929,0
2016-12-28,15:00:00,13.559,13.559,13.559,13.559,103,0
2016-12-28,16:15:00,13.655,13.704,13.655,13.704,773,0
2016-12-28,17:30:00,14.517,14.517,14.517,14.517,104,0
2016-12-29,09:30:00,15.554,15.762,15.495,15.495,879,0
2016-12-29,10:10:00,15.689,15.689,15.495,15.495,1549,0
2016-12-29,10:15:00,15.19,15.19,14.914,14.914,72,0
2016-12-29,11:35:00,15.302,15.302,15.302,15.302,52,0
2016-12-29,12:45:00,15.495,15.495,15.495,15.495,53,0
2016-12-29,13:30:00,15.399,15.399,15.399,15.399,129,0
2016-12-29,13:35:00,15.205,15.205,15.205,15.205,95,0
2016-12-29,14:15:00,15.253,15.253,15.253,15.253,155,0
2016-12-29,15:15:00,15.011,15.011,15.011,15.011,21,0
2016-12-29,16:15:00,15.302,15.302,15.302,15.302,21,0
2016-12-29,17:20:00,15.776,15.883,15.776,15.883,207,0
2016-12-29,17:30:00,15.253,15.253,15.253,15.253,21,0
2016-12-30,09:30:00,15.253,15.253,15.253,15.253,31,0
2016-12-30,11:50:00,15.253,15.253,15.253,15.253,155,0
2016-12-30,12:35:00,15.108,15.108,15.108,15.108,103,0
2016-12-30,13:40:00,14.919,14.919,14.919,14.919,31,0
2016-12-30,13:45:00,15.399,15.399,15.399,15.399,393,0
2017-01-02,11:30:00,15.636,15.636,15.636,15.636,826,0
2017-01-02,17:30:00,17.142,17.142,17.142,17.142,379,0
2017-01-03,09:05:00,16.9,17.239,16.9,17.239,496,0
2017-01-03,09:10:00,17.423,17.442,17.423,17.442,310,0
2017-01-03,12:40:00,17.674,17.674,17.674,17.674,4,0
2017-01-04,11:00:00,17.679,17.679,17.679,17.679,103,0
2017-01-04,15:45:00,17.679,17.679,17.674,17.674,481,0
2017-01-05,11:40:00,17.244,17.244,17.244,17.244,609,0
2017-01-05,15:30:00,17.19,17.19,17.19,17.19,5,0
2017-01-05,15:50:00,17.621,17.674,17.621,17.674,200,0
2017-01-05,16:00:00,17.674,17.674,17.674,17.674,248,0
2017-01-09,09:15:00,17.282,17.306,17.282,17.306,98,0
2017-01-09,09:20:00,17.432,17.432,17.432,17.432,204,0
2017-01-10,11:15:00,17.292,17.292,17.292,17.292,52,0
2017-01-11,16:15:00,17.195,17.195,17.195,17.195,75,0
2017-01-12,09:40:00,17.19,17.19,17.142,17.142,646,0
2017-01-13,17:10:00,16.832,16.832,16.832,16.832,76,0
2017-01-16,12:10:00,16.711,16.711,16.711,16.711,75,0
2017-01-16,15:15:00,17.045,17.045,17.045,17.045,108,0
2017-01-17,09:55:00,16.74,16.74,16.682,16.682,82,0
2017-01-17,10:20:00,16.667,16.667,16.667,16.667,35,0
2017-01-17,15:25:00,16.943,17.021,16.943,17.021,217,0
2017-01-18,09:15:00,16.662,16.662,16.658,16.658,551,0
2017-01-18,10:40:00,16.469,16.469,16.469,16.469,32,0
2017-01-19,09:15:00,16.464,16.464,15.67,15.67,1088,0
2017-01-19,09:25:00,15.505,15.505,15.505,15.505,176,0
2017-01-20,09:20:00,15.776,15.776,15.776,15.776,209,0
2017-01-20,10:00:00,15.776,15.776,15.776,15.776,42,0
2017-01-20,10:55:00,16.164,16.169,16.164,16.169,785,0
2017-01-23,11:45:00,16.556,16.585,16.556,16.585,743,0
2017-01-23,12:25:00,16.9,16.9,16.9,16.9,155,0
2017-01-24,17:15:00,16.614,16.614,16.614,16.614,78,0
2017-01-25,10:10:00,17.035,17.035,17.035,17.035,26,0
2017-01-26,09:55:00,16.759,16.759,16.759,16.759,50,0
2017-01-27,10:30:00,16.517,16.517,16.517,16.517,26,0
2017-01-30,14:20:00,16.464,16.464,16.464,16.464,31,0
2017-01-30,17:30:00,16.285,16.285,16.285,16.285,26,0
2017-01-31,14:00:00,16.101,16.101,16.101,16.101,21,0
2017-02-01,14:20:00,15.985,15.985,15.985,15.985,27,0
2017-02-01,17:30:00,15.98,15.98,15.98,15.98,103,0
2017-02-02,13:55:00,15.839,15.839,15.839,15.839,15,0
2017-02-02,16:50:00,15.839,15.839,15.834,15.834,103,0
2017-02-03,09:10:00,15.689,15.689,15.689,15.689,103,0
2017-02-06,11:10:00,15.592,15.592,15.592,15.592,103,0
2017-02-06,14:55:00,15.733,15.738,15.733,15.738,222,0
2017-02-06,17:25:00,15.878,15.883,15.878,15.883,191,0
2017-02-06,17:30:00,16.014,16.236,16.014,16.236,659,0
2017-02-07,13:15:00,15.985,15.985,15.985,15.985,36,0
2017-02-07,16:40:00,16.449,16.512,16.449,16.512,258,0
2017-02-08,11:25:00,16.512,16.512,16.512,16.512,239,0
2017-02-09,09:15:00,16.512,16.512,16.512,16.512,71,0
2017-02-10,09:05:00,16.813,16.813,16.813,16.813,52,0
2017-02-10,15:20:00,16.948,16.948,16.948,16.948,52,0
