Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-19,09:05:00,85.07,86.13,85.07,86.13,357,0
2017-10-19,09:10:00,85.73,85.73,85.71,85.71,130,0
2017-10-19,09:15:00,86,86,86,86,223,0
2017-10-19,09:20:00,86,86,86,86,50,0
2017-10-19,09:25:00,85.99,85.99,85.99,85.99,71,0
2017-10-19,09:30:00,85.9,85.9,85.9,85.9,50,0
2017-10-19,09:35:00,85.74,85.74,85.74,85.74,19,0
2017-10-19,09:40:00,85.99,85.99,85.99,85.99,24,0
2017-10-19,09:50:00,85.99,86,85.99,86,34,0
2017-10-19,09:55:00,86,86,85.76,85.9,121,0
2017-10-19,10:00:00,85.58,85.58,85.3,85.3,76,0
2017-10-19,10:05:00,85.5,85.94,85.5,85.94,991,0
2017-10-19,10:10:00,85.62,85.62,85.62,85.62,39,0
2017-10-19,10:15:00,85.61,85.61,85.41,85.41,252,0
2017-10-19,10:20:00,85.27,85.27,85.27,85.27,10,0
2017-10-19,10:25:00,85.56,85.56,85.56,85.56,78,0
2017-10-19,10:30:00,85.3,85.3,85.3,85.3,203,0
2017-10-19,10:35:00,85.3,85.3,85.01,85.01,181,0
2017-10-19,10:40:00,85,85,85,85,70,0
2017-10-19,10:50:00,85.19,85.19,85.19,85.19,61,0
2017-10-19,10:55:00,84.88,84.88,84.88,84.88,21,0
2017-10-19,11:05:00,84.88,84.88,84.87,84.87,50,0
2017-10-19,11:10:00,84.85,84.85,84.85,84.85,5,0
2017-10-19,11:15:00,84.85,84.85,84.85,84.85,63,0
2017-10-19,11:25:00,85.06,85.06,85.06,85.06,64,0
2017-10-19,11:30:00,84.85,84.85,84.85,84.85,28,0
2017-10-19,11:50:00,84.85,84.85,84.85,84.85,93,0
2017-10-19,12:10:00,84.84,84.84,84.57,84.57,225,0
2017-10-19,12:20:00,84.68,85.01,84.55,85.01,1783,0
2017-10-19,12:25:00,84.54,85,84.54,85,63,0
2017-10-19,12:30:00,84.54,84.99,84.53,84.57,407,0
2017-10-19,12:35:00,84.56,85.01,84.56,84.98,1626,0
2017-10-19,12:40:00,85,85,84.59,84.95,47,0
2017-10-19,12:45:00,84.59,84.7,84.59,84.65,77,0
2017-10-19,12:50:00,84.59,84.59,84.59,84.59,7,0
2017-10-19,12:55:00,84.9,85.1,84.9,85.09,203,0
2017-10-19,13:00:00,84.8,84.8,84.8,84.8,15,0
2017-10-19,13:05:00,85.11,85.11,85.07,85.07,93,0
2017-10-19,13:10:00,85.07,85.07,85.07,85.07,28,0
2017-10-19,13:20:00,85.05,85.05,85.01,85.01,101,0
2017-10-19,13:25:00,84.62,84.62,84,84.41,1357,0
2017-10-19,13:40:00,84.23,84.23,84.22,84.22,80,0
2017-10-19,13:50:00,84.49,84.49,84.49,84.49,70,0
2017-10-19,13:55:00,84.22,84.22,84.22,84.22,26,0
2017-10-19,14:20:00,84.42,84.42,84.42,84.42,98,0
2017-10-19,14:25:00,84.42,84.42,84.1,84.15,98,0
2017-10-19,14:30:00,84.1,84.1,84.1,84.1,41,0
2017-10-19,14:35:00,84.1,84.1,84.1,84.1,17,0
2017-10-19,14:40:00,84.1,84.1,84.1,84.1,89,0
2017-10-19,14:45:00,84.04,84.04,84.04,84.04,2,0
2017-10-19,14:55:00,84.04,84.04,83.79,83.79,402,0
2017-10-19,15:00:00,83.52,83.94,83.5,83.53,408,0
2017-10-19,15:05:00,83.53,83.53,83.5,83.5,40,0
2017-10-19,15:10:00,83.5,83.5,83.5,83.5,50,0
2017-10-19,15:15:00,83.31,83.31,83.31,83.31,39,0
2017-10-19,15:20:00,83.66,83.7,83.66,83.69,205,0
2017-10-19,15:35:00,83.7,83.7,83.7,83.7,41,0
2017-10-19,15:40:00,83.7,83.7,83.7,83.7,32,0
2017-10-19,15:45:00,83.7,83.7,83.7,83.7,17,0
2017-10-19,15:50:00,83.7,83.7,83.7,83.7,28,0
2017-10-19,15:55:00,83.7,83.7,83.15,83.15,70,0
2017-10-19,16:10:00,83.26,83.26,80.8,81.26,3555,0
2017-10-19,16:15:00,81.07,81.49,78.6,80,6831,0
2017-10-19,16:20:00,80.03,80.53,80.03,80.53,425,0
2017-10-19,16:25:00,80.87,80.95,80.53,80.6,1027,0
2017-10-19,16:30:00,80.59,81.19,80.49,81.19,1889,0
2017-10-19,16:35:00,81.2,81.2,81,81,588,0
2017-10-19,16:40:00,81,81.18,81,81.18,434,0
2017-10-19,16:45:00,81.18,81.18,81,81,250,0
2017-10-19,16:50:00,81.19,81.19,81.19,81.19,214,0
2017-10-19,16:55:00,81.44,81.8,81.44,81.8,286,0
2017-10-19,17:00:00,81.98,82.11,81.98,82.11,410,0
2017-10-19,17:05:00,82.21,82.29,82.1,82.29,166,0
2017-10-19,17:10:00,82.3,82.4,82.3,82.4,87,0
2017-10-19,17:15:00,82.4,82.4,82.15,82.15,147,0
2017-10-19,17:20:00,82.15,82.15,81.71,81.71,353,0
2017-10-19,17:25:00,81.94,81.94,81.94,81.94,210,0
2017-10-19,17:30:00,81.96,82.92,81.96,82.65,822,0
2017-10-20,09:05:00,82.16,83.99,82.16,83.3,331,0
2017-10-20,09:15:00,83.21,83.36,83.21,83.36,113,0
2017-10-20,09:25:00,83.25,83.25,83.25,83.25,90,0
2017-10-20,09:35:00,83.34,83.34,83.34,83.34,4,0
2017-10-20,09:40:00,83.19,83.19,83.19,83.19,21,0
2017-10-20,09:50:00,83.16,83.16,83.16,83.16,10,0
2017-10-20,10:00:00,83.04,83.04,83.04,83.04,7,0
2017-10-20,10:30:00,82.91,82.91,82.62,82.62,25,0
2017-10-20,10:40:00,82.61,82.61,82.54,82.55,358,0
2017-10-20,10:50:00,82.54,82.54,82.54,82.54,72,0
2017-10-20,10:55:00,82.49,82.49,82.48,82.48,70,0
2017-10-20,11:00:00,82.47,82.9,82.47,82.9,524,0
2017-10-20,11:05:00,82.82,82.82,82.82,82.82,41,0
2017-10-20,11:10:00,83,83,83,83,144,0
2017-10-20,11:15:00,83.06,83.06,83.06,83.06,93,0
2017-10-20,11:20:00,83.37,83.37,83,83,233,0
2017-10-20,11:25:00,82.68,83,82.2,83,1008,0
2017-10-20,11:30:00,82.91,82.91,82.91,82.91,21,0
2017-10-20,11:35:00,82.56,82.56,82.37,82.37,275,0
2017-10-20,11:40:00,82.89,82.9,82.89,82.9,250,0
2017-10-20,11:50:00,83.45,83.49,83.45,83.49,259,0
2017-10-20,12:00:00,83.45,83.45,83.45,83.45,12,0
2017-10-20,12:05:00,83.49,83.49,83.44,83.44,55,0
2017-10-20,12:25:00,83.44,83.49,83.37,83.49,76,0
2017-10-20,12:45:00,83.43,83.43,83.43,83.43,4,0
2017-10-20,13:05:00,83.49,83.49,83.49,83.49,3,0
2017-10-20,13:15:00,83.43,83.43,83.43,83.43,16,0
2017-10-20,13:20:00,83.43,83.49,83.43,83.49,80,0
2017-10-20,13:35:00,83.46,83.46,83.05,83.05,82,0
2017-10-20,13:40:00,83.1,83.1,83,83,1034,0
2017-10-20,13:45:00,82.5,82.5,82.49,82.49,159,0
2017-10-20,14:00:00,82.48,82.48,82.48,82.48,14,0
2017-10-20,14:10:00,82.5,82.5,82.5,82.5,15,0
2017-10-20,14:25:00,82.5,82.5,82.5,82.5,37,0
2017-10-20,14:30:00,82.5,83.19,82.5,83.07,642,0
2017-10-20,14:35:00,83.1,83.1,83.1,83.1,8,0
2017-10-20,14:45:00,83.09,83.09,83.09,83.09,76,0
2017-10-20,14:50:00,83.18,83.19,83.18,83.19,27,0
2017-10-20,14:55:00,83,83,82.52,82.52,250,0
2017-10-20,15:20:00,82.98,82.98,82.98,82.98,30,0
2017-10-20,15:30:00,82.98,83,82.98,83,44,0
2017-10-20,15:35:00,82.97,82.99,82.94,82.99,111,0
2017-10-20,15:45:00,82.87,82.87,82.87,82.87,5,0
2017-10-20,16:00:00,82.95,82.99,82.95,82.99,165,0
2017-10-20,16:05:00,82.93,83,82.93,83,67,0
2017-10-20,16:20:00,83.05,83.05,82.94,82.94,58,0
2017-10-20,16:25:00,83.05,83.06,83.05,83.06,20,0
2017-10-20,16:30:00,83.06,83.24,83.06,83.24,77,0
2017-10-20,16:35:00,83.08,83.08,83.08,83.08,72,0
2017-10-20,16:40:00,83.24,83.24,83.24,83.24,49,0
2017-10-20,16:50:00,83.1,83.1,83.04,83.04,296,0
2017-10-20,17:20:00,82.85,82.94,82.78,82.94,17,0
2017-10-20,17:30:00,82.93,83.25,82.67,83.25,313,0
2017-10-23,09:05:00,82.81,82.81,82.8,82.8,265,0
2017-10-23,09:10:00,82.5,82.69,82.04,82.69,31,0
2017-10-23,09:15:00,82.22,82.22,82.21,82.21,69,0
2017-10-23,09:20:00,82.3,82.3,82.3,82.3,184,0
2017-10-23,09:30:00,82.31,82.31,82.3,82.3,24,0
2017-10-23,09:35:00,82.3,82.3,82.3,82.3,21,0
2017-10-23,09:40:00,82.3,82.3,82.3,82.3,28,0
2017-10-23,09:50:00,82.3,82.3,82.3,82.3,40,0
2017-10-23,09:55:00,82.3,82.41,82.3,82.3,60,0
2017-10-23,10:00:00,82.3,82.3,82.3,82.3,329,0
2017-10-23,10:05:00,82.3,82.3,82.3,82.3,118,0
2017-10-23,10:10:00,82.3,82.3,82.3,82.3,284,0
2017-10-23,10:15:00,82.3,82.3,81.2,81.54,564,0
2017-10-23,10:25:00,81.54,81.54,81.54,81.54,108,0
2017-10-23,10:30:00,81.29,81.29,81.29,81.29,12,0
2017-10-23,10:35:00,81.41,81.41,81.01,81.2,120,0
2017-10-23,10:40:00,81.05,81.05,80.36,80.74,432,0
2017-10-23,10:45:00,81.09,81.09,81.09,81.09,15,0
2017-10-23,10:50:00,81.09,81.2,81.09,81.2,158,0
2017-10-23,10:55:00,81,81,79.01,79.33,1826,0
2017-10-23,11:00:00,79.51,80.18,79.51,80.18,98,0
2017-10-23,11:10:00,80.4,80.88,80.4,80.4,563,0
2017-10-23,11:15:00,80.23,80.23,80.23,80.23,75,0
2017-10-23,11:20:00,80.6,80.6,79.98,80.46,157,0
2017-10-23,11:25:00,80.46,80.46,80.46,80.46,30,0
2017-10-23,11:30:00,80.46,80.53,80.46,80.53,167,0
2017-10-23,11:35:00,80.3,80.46,80.3,80.46,20,0
2017-10-23,11:40:00,80.29,80.29,80.29,80.29,5,0
2017-10-23,11:45:00,80.29,80.31,79.8,80.31,457,0
2017-10-23,11:50:00,80.59,80.59,80.59,80.59,50,0
