Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,10:55:00,3.391,3.391,3.391,3.391,636,0
2015-04-15,16:00:00,3.28,3.28,3.28,3.28,500,0
2015-04-15,16:50:00,3.2,3.2,3.2,3.2,6,0
2015-04-15,17:00:00,3.195,3.195,3.195,3.195,1006,0
2015-04-15,17:05:00,3.195,3.195,3.195,3.195,500,0
2015-04-16,13:35:00,3.194,3.194,3.194,3.194,200,0
2015-04-17,10:15:00,3.4,3.42,3.4,3.42,320,0
2015-04-17,10:20:00,3.42,3.64,3.42,3.64,692,0
2015-04-17,11:05:00,3.63,3.63,3.63,3.63,237,0
2015-04-17,11:10:00,3.63,3.64,3.63,3.64,751,0
2015-04-17,11:15:00,3.64,3.64,3.64,3.64,500,0
2015-04-17,11:50:00,3.64,3.64,3.64,3.64,3000,0
2015-04-17,11:55:00,3.64,3.64,3.64,3.64,500,0
2015-04-20,11:15:00,3.46,3.46,3.46,3.46,8418,0
2015-04-24,09:20:00,3.411,3.411,3.411,3.411,12,0
2015-04-24,10:05:00,3.65,3.65,3.65,3.65,310,0
2015-04-24,12:10:00,3.711,3.711,3.711,3.711,115,0
2015-04-24,15:40:00,3.801,3.801,3.801,3.801,200,0
2015-04-24,16:50:00,3.8,3.8,3.7,3.7,1490,0
2015-04-24,16:55:00,3.715,3.715,3.715,3.715,3447,0
2015-04-27,12:20:00,3.744,3.744,3.744,3.744,442,0
2015-04-27,12:30:00,3.74,3.74,3.74,3.74,442,0
2015-04-27,12:40:00,3.744,3.744,3.744,3.744,442,0
2015-04-27,12:45:00,3.746,3.746,3.746,3.746,2210,0
2015-04-28,09:45:00,3.726,3.726,3.726,3.726,200,0
2015-04-28,12:20:00,3.95,3.95,3.95,3.95,1200,0
2015-04-29,09:05:00,3.999,3.999,3.999,3.999,20,0
2015-04-30,09:40:00,3.99,4,3.99,4,1250,0
2015-04-30,10:30:00,4.215,4.215,4.215,4.215,460,0
2015-04-30,14:20:00,4,4.01,3.77,3.77,4710,0
2015-05-06,17:30:00,3.66,3.66,3.66,3.66,252,0
2015-05-07,12:05:00,3.721,3.721,3.721,3.721,6,0
2015-05-08,10:50:00,4.15,4.15,4.15,4.15,1200,0
2015-05-08,11:35:00,4.14,4.14,4.14,4.14,750,0
2015-05-08,13:25:00,4.13,4.13,4.13,4.13,1050,0
2015-05-08,14:10:00,3.919,3.919,3.919,3.919,674,0
2015-05-08,15:00:00,4.15,4.15,4.15,4.15,500,0
2015-05-08,16:30:00,4.01,4.01,4,4,6174,0
2015-05-12,15:10:00,4.01,4.01,4.01,4.01,500,0
2015-05-12,15:50:00,4,4,4,4,500,0
2015-05-12,17:30:00,4.001,4.001,4.001,4.001,3390,0
2015-05-13,13:00:00,4.09,4.09,4.09,4.09,1140,0
2015-05-14,08:40:00,4.07,4.07,4.07,4.07,40,0
2015-05-14,09:40:00,4.09,4.09,4.09,4.09,510,0
2015-05-15,10:30:00,3.939,3.939,3.939,3.939,500,0
2015-05-15,10:50:00,4.07,4.1,4.07,4.1,1340,0
2015-05-15,10:55:00,4.322,4.322,4.322,4.322,70,0
2015-05-15,11:20:00,3.99,3.99,3.99,3.99,500,0
2015-05-15,11:25:00,4.06,4.06,4.06,4.06,500,0
2015-05-15,12:05:00,3.97,3.97,3.97,3.97,3910,0
2015-05-19,09:05:00,4.19,4.19,4.19,4.19,450,0
2015-05-19,15:20:00,4.19,4.2,4.19,4.2,2546,0
2015-05-20,13:30:00,4.211,4.211,4.211,4.211,598,0
2015-05-22,10:15:00,4.099,4.099,4.099,4.099,300,0
2015-05-22,10:25:00,4.1,4.1,4.1,4.1,269,0
2015-05-22,11:00:00,4.042,4.042,4.042,4.042,300,0
2015-05-22,12:00:00,3.958,3.958,3.958,3.958,300,0
2015-05-22,12:05:00,3.943,3.943,3.943,3.943,100,0
2015-05-22,17:30:00,4,4,4,4,1769,0
2015-05-28,10:30:00,3.81,3.81,3.81,3.81,40,0
2015-06-08,12:00:00,4.089,4.089,4.089,4.089,100,0
2015-06-08,17:30:00,4.049,4.049,4.049,4.049,104,0
2015-06-10,12:05:00,3.744,3.744,3.744,3.744,100,0
