Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-11,09:05:00,2.68,2.68,2.68,2.68,1698,0
2017-10-11,09:15:00,2.68,2.699,2.68,2.699,24000,0
2017-10-11,09:30:00,2.697,2.699,2.697,2.699,1461,0
2017-10-11,09:35:00,2.698,2.701,2.694,2.694,35456,0
2017-10-11,09:40:00,2.7,2.7,2.7,2.7,2750,0
2017-10-11,09:50:00,2.699,2.717,2.699,2.717,33699,0
2017-10-11,09:55:00,2.709,2.709,2.709,2.709,1846,0
2017-10-11,10:00:00,2.707,2.715,2.705,2.715,18278,0
2017-10-11,10:05:00,2.717,2.721,2.71,2.713,25750,0
2017-10-11,10:15:00,2.712,2.712,2.712,2.712,400,0
2017-10-11,10:25:00,2.712,2.712,2.71,2.71,1000,0
2017-10-11,10:30:00,2.72,2.72,2.72,2.72,191,0
2017-10-11,10:35:00,2.715,2.715,2.715,2.715,10100,0
2017-10-11,10:40:00,2.723,2.73,2.717,2.73,23313,0
2017-10-11,10:45:00,2.721,2.721,2.721,2.721,2000,0
2017-10-11,10:50:00,2.728,2.737,2.715,2.715,24311,0
2017-10-11,10:55:00,2.73,2.745,2.727,2.735,57965,0
2017-10-11,11:00:00,2.746,2.746,2.734,2.734,1443,0
2017-10-11,11:15:00,2.734,2.734,2.723,2.723,9691,0
2017-10-11,11:30:00,2.722,2.722,2.712,2.712,7634,0
2017-10-11,11:40:00,2.719,2.724,2.719,2.724,11625,0
2017-10-11,11:45:00,2.732,2.732,2.732,2.732,1250,0
2017-10-11,11:55:00,2.734,2.734,2.722,2.722,2955,0
2017-10-11,12:00:00,2.724,2.73,2.724,2.73,2631,0
2017-10-11,12:10:00,2.725,2.725,2.705,2.705,51160,0
2017-10-11,12:20:00,2.718,2.718,2.718,2.718,1250,0
2017-10-11,12:25:00,2.722,2.722,2.722,2.722,1500,0
2017-10-11,12:35:00,2.716,2.716,2.716,2.716,597,0
2017-10-11,12:50:00,2.72,2.72,2.72,2.72,7250,0
2017-10-11,12:55:00,2.717,2.717,2.705,2.707,21286,0
2017-10-11,13:15:00,2.717,2.717,2.705,2.709,21666,0
2017-10-11,13:20:00,2.71,2.717,2.71,2.71,10507,0
2017-10-11,13:30:00,2.718,2.718,2.716,2.716,1500,0
2017-10-11,13:45:00,2.72,2.725,2.72,2.725,5000,0
2017-10-11,13:50:00,2.72,2.72,2.72,2.72,1262,0
2017-10-11,14:00:00,2.713,2.721,2.706,2.721,6630,0
2017-10-11,14:05:00,2.714,2.714,2.714,2.714,4400,0
2017-10-11,14:10:00,2.714,2.714,2.714,2.714,570,0
2017-10-11,14:15:00,2.714,2.714,2.714,2.714,2030,0
2017-10-11,15:20:00,2.711,2.711,2.711,2.711,900,0
2017-10-11,15:30:00,2.725,2.725,2.71,2.71,1484,0
2017-10-11,15:45:00,2.719,2.719,2.719,2.719,172,0
2017-10-11,16:30:00,2.725,2.725,2.722,2.722,1356,0
2017-10-11,16:35:00,2.721,2.721,2.717,2.717,525,0
2017-10-11,16:40:00,2.714,2.714,2.71,2.71,19638,0
2017-10-11,16:45:00,2.719,2.719,2.719,2.719,310,0
2017-10-11,17:05:00,2.724,2.724,2.724,2.724,76,0
2017-10-11,17:10:00,2.731,2.731,2.726,2.726,356,0
2017-10-11,17:15:00,2.731,2.731,2.727,2.727,406,0
2017-10-11,17:25:00,2.731,2.731,2.731,2.731,64,0
2017-10-11,17:30:00,2.724,2.724,2.709,2.709,10717,0
2017-10-12,09:05:00,2.71,2.71,2.71,2.71,1252,0
2017-10-12,09:20:00,2.721,2.722,2.721,2.722,173,0
2017-10-12,09:30:00,2.711,2.711,2.711,2.711,2500,0
2017-10-12,09:35:00,2.718,2.718,2.717,2.717,1550,0
2017-10-12,10:10:00,2.719,2.719,2.71,2.71,6938,0
2017-10-12,10:20:00,2.705,2.705,2.691,2.691,28606,0
2017-10-12,10:30:00,2.689,2.689,2.689,2.689,530,0
2017-10-12,10:40:00,2.702,2.706,2.702,2.706,901,0
2017-10-12,10:50:00,2.71,2.719,2.71,2.719,13983,0
2017-10-12,11:05:00,2.716,2.716,2.715,2.715,1917,0
2017-10-12,11:30:00,2.71,2.71,2.696,2.696,13816,0
2017-10-12,12:00:00,2.706,2.706,2.706,2.706,423,0
2017-10-12,12:05:00,2.708,2.708,2.708,2.708,18,0
2017-10-12,12:25:00,2.708,2.708,2.705,2.705,679,0
2017-10-12,12:40:00,2.706,2.706,2.69,2.69,5356,0
