Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-20,09:05:00,2.9,2.9,2.875,2.875,1450,0
2017-04-20,09:25:00,2.999,2.999,2.99,2.99,622,0
2017-04-20,10:30:00,2.875,2.875,2.82,2.82,578,0
2017-04-20,10:35:00,2.82,2.9,2.779,2.9,1219,0
2017-04-20,11:00:00,2.88,2.89,2.879,2.879,5570,0
2017-04-20,11:10:00,2.865,2.88,2.865,2.88,2504,0
2017-04-20,11:20:00,2.865,2.889,2.865,2.889,293,0
2017-04-20,11:25:00,2.889,2.939,2.889,2.939,6555,0
2017-04-20,11:35:00,2.897,2.897,2.811,2.811,1000,0
2017-04-20,15:35:00,2.865,2.865,2.865,2.865,106,0
2017-04-20,16:00:00,2.84,2.929,2.802,2.802,1156,0
2017-04-20,16:35:00,2.89,2.9,2.89,2.9,1932,0
2017-04-20,16:55:00,2.843,2.843,2.843,2.843,190,0
2017-04-20,17:05:00,2.842,2.842,2.819,2.819,150,0
2017-04-20,17:30:00,2.85,2.85,2.85,2.85,5841,0
2017-04-21,10:45:00,2.859,2.859,2.858,2.858,125,0
2017-04-21,11:15:00,2.95,2.95,2.9,2.9,861,0
2017-04-21,11:20:00,2.901,2.901,2.901,2.901,1018,0
2017-04-21,11:40:00,2.929,2.929,2.929,2.929,178,0
2017-04-21,13:35:00,2.858,2.929,2.858,2.929,801,0
2017-04-21,16:05:00,2.959,2.96,2.959,2.96,2972,0
2017-04-21,16:10:00,2.99,2.99,2.99,2.99,3540,0
2017-04-21,16:25:00,2.99,2.99,2.99,2.99,2559,0
2017-04-21,17:30:00,2.999,2.999,2.999,2.999,3790,0
2017-04-24,10:30:00,2.99,2.99,2.99,2.99,300,0
2017-04-24,11:55:00,3.04,3.04,3.04,3.04,1260,0
2017-04-24,14:10:00,2.99,2.99,2.99,2.99,260,0
2017-04-24,15:00:00,2.99,2.99,2.99,2.99,3932,0
2017-04-24,16:20:00,3,3,3,3,248,0
2017-04-24,16:30:00,3,3.049,3,3.049,2000,0
2017-04-24,17:20:00,3.05,3.05,3.05,3.05,50,0
2017-04-24,17:25:00,3.08,3.08,3.08,3.08,2000,0
2017-04-24,17:30:00,3.084,3.084,3.084,3.084,678,0
2017-04-25,09:05:00,2.95,2.95,2.95,2.95,1250,0
2017-04-25,11:55:00,3.01,3.01,2.99,2.99,3590,0
2017-04-25,12:20:00,2.991,2.991,2.99,2.99,7258,0
2017-04-26,10:00:00,2.991,2.991,2.99,2.99,1810,0
2017-04-26,16:55:00,2.991,2.991,2.99,2.99,8384,0
2017-04-27,09:05:00,3.05,3.05,3.05,3.05,1000,0
2017-04-27,11:10:00,3.099,3.099,3.099,3.099,1000,0
2017-04-27,12:05:00,3.099,3.099,3.099,3.099,100,0
2017-04-27,16:45:00,3.092,3.092,3.092,3.092,500,0
2017-04-27,17:10:00,3.089,3.1,3.089,3.1,15574,0
2017-04-28,09:05:00,2.996,3.1,2.996,3.1,1259,0
2017-04-28,09:10:00,3.1,3.1,3.1,3.1,3038,0
2017-04-28,11:45:00,3.119,3.148,3.119,3.148,4100,0
2017-04-28,12:40:00,3.11,3.11,3.11,3.11,1500,0
2017-04-28,12:50:00,3.1,3.1,3.1,3.1,700,0
2017-04-28,13:20:00,3.1,3.1,3.1,3.1,6298,0
2017-04-28,14:00:00,3.101,3.101,3.101,3.101,350,0
2017-04-28,14:25:00,3.1,3.1,3.1,3.1,180,0
2017-04-28,15:25:00,3.1,3.1,3.1,3.1,3000,0
2017-04-28,16:50:00,3.1,3.1,3.1,3.1,3300,0
2017-05-02,09:05:00,3.11,3.11,3.11,3.11,25,0
2017-05-02,09:10:00,3.13,3.13,3.13,3.13,1394,0
2017-05-02,15:45:00,3.11,3.11,3.11,3.11,50,0
2017-05-03,09:05:00,2.995,3.1,2.995,3.1,21410,0
2017-05-03,09:10:00,3.1,3.1,3.1,3.1,5501,0
2017-05-03,09:20:00,3.1,3.1,3.1,3.1,1965,0
2017-05-03,17:30:00,3.051,3.051,3.05,3.05,1356,0
2017-05-04,13:20:00,3.05,3.05,3.05,3.05,1000,0
2017-05-04,13:25:00,3.031,3.031,3.031,3.031,2245,0
2017-05-04,13:50:00,3.03,3.03,3.03,3.03,1363,0
2017-05-04,14:10:00,2.991,2.991,2.99,2.99,6139,0
2017-05-04,14:15:00,3.069,3.069,3.069,3.069,60,0
2017-05-04,15:05:00,2.991,2.991,2.991,2.991,20,0
2017-05-04,16:15:00,2.991,2.991,2.991,2.991,1000,0
2017-05-05,10:10:00,2.995,2.995,2.995,2.995,100,0
2017-05-05,12:45:00,2.995,2.995,2.995,2.995,100,0
2017-05-05,12:50:00,2.995,2.995,2.995,2.995,20,0
2017-05-05,13:40:00,3.074,3.074,3.074,3.074,50,0
2017-05-05,16:00:00,2.995,2.995,2.995,2.995,780,0
2017-05-05,17:05:00,2.906,2.906,2.89,2.906,4330,0
2017-05-05,17:10:00,2.905,2.906,2.905,2.906,1587,0
2017-05-08,09:05:00,2.861,2.861,2.861,2.861,85,0
2017-05-08,12:55:00,2.998,2.999,2.998,2.999,1216,0
2017-05-08,13:35:00,2.902,2.902,2.902,2.902,400,0
2017-05-09,10:50:00,2.93,2.93,2.93,2.93,2000,0
2017-05-09,12:25:00,2.976,2.976,2.976,2.976,300,0
2017-05-09,15:05:00,2.972,2.972,2.972,2.972,1800,0
2017-05-09,16:15:00,2.972,3.018,2.972,3.018,2800,0
2017-05-09,17:00:00,2.999,3.02,2.999,3.02,3000,0
2017-05-10,09:25:00,2.952,2.952,2.952,2.952,40,0
2017-05-10,10:30:00,3.039,3.04,3.039,3.04,1060,0
2017-05-10,13:25:00,3.05,3.05,3.05,3.05,259,0
2017-05-10,13:40:00,3.051,3.051,2.981,2.981,3000,0
2017-05-10,15:40:00,3.01,3.01,3.01,3.01,292,0
2017-05-10,17:00:00,3.079,3.079,3.079,3.079,800,0
2017-05-10,17:15:00,3.079,3.1,3.079,3.099,2802,0
2017-05-10,17:30:00,3.011,3.011,2.98,2.98,3346,0
2017-05-11,09:35:00,2.951,2.951,2.95,2.95,5000,0
2017-05-11,09:45:00,2.9,2.9,2.9,2.9,3000,0
2017-05-11,10:05:00,2.9,2.9,2.9,2.9,1500,0
2017-05-11,10:25:00,2.9,2.9,2.9,2.9,3500,0
2017-05-11,10:45:00,2.89,2.89,2.89,2.89,80,0
2017-05-11,11:25:00,2.9,2.9,2.9,2.9,550,0
2017-05-11,12:05:00,2.88,2.88,2.836,2.836,6100,0
2017-05-11,12:15:00,2.888,2.888,2.888,2.888,500,0
2017-05-11,13:50:00,2.9,2.908,2.9,2.908,1800,0
2017-05-11,15:00:00,2.89,2.89,2.89,2.89,300,0
2017-05-11,15:25:00,2.89,2.89,2.89,2.89,10,0
2017-05-11,17:05:00,2.89,2.89,2.89,2.89,800,0
2017-05-11,17:30:00,2.89,2.89,2.858,2.858,5860,0
2017-05-12,09:05:00,2.83,2.83,2.83,2.83,170,0
2017-05-12,09:10:00,2.831,2.831,2.831,2.831,700,0
2017-05-12,09:45:00,2.881,2.881,2.88,2.88,2494,0
2017-05-12,09:50:00,2.88,2.88,2.88,2.88,500,0
2017-05-12,10:05:00,2.851,2.851,2.85,2.85,512,0
2017-05-12,10:10:00,2.85,2.85,2.85,2.85,88,0
2017-05-12,12:10:00,2.851,2.851,2.85,2.85,50,0
2017-05-12,12:55:00,2.899,2.899,2.899,2.899,725,0
2017-05-12,13:15:00,2.899,3.006,2.899,2.945,6916,0
2017-05-12,13:20:00,2.999,3.099,2.999,3.099,600,0
2017-05-12,13:25:00,3,3,3,3,3500,0
2017-05-12,13:40:00,2.98,2.98,2.98,2.98,3170,0
