Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,28.595,28.595,28.475,28.575,4416,0
2017-10-25,09:10:00,28.575,28.63,28.575,28.63,1394,0
2017-10-25,09:15:00,28.585,28.59,28.53,28.565,6303,0
2017-10-25,09:20:00,28.585,28.595,28.585,28.595,1910,0
2017-10-25,09:25:00,28.595,28.63,28.565,28.63,7228,0
2017-10-25,09:30:00,28.66,28.68,28.64,28.645,2889,0
2017-10-25,09:35:00,28.65,28.65,28.605,28.635,8792,0
2017-10-25,09:40:00,28.62,28.63,28.57,28.595,616,0
2017-10-25,09:45:00,28.585,28.62,28.585,28.615,1596,0
2017-10-25,09:50:00,28.615,28.635,28.615,28.635,558,0
2017-10-25,10:00:00,28.645,28.665,28.64,28.655,1911,0
2017-10-25,10:05:00,28.67,28.67,28.66,28.66,841,0
2017-10-25,10:10:00,28.655,28.66,28.64,28.65,8036,0
2017-10-25,10:15:00,28.635,28.635,28.6,28.61,2757,0
2017-10-25,10:20:00,28.59,28.595,28.58,28.59,353,0
2017-10-25,10:25:00,28.58,28.595,28.58,28.59,756,0
2017-10-25,10:30:00,28.585,28.59,28.53,28.53,9175,0
2017-10-25,10:35:00,28.535,28.555,28.535,28.555,1533,0
2017-10-25,10:40:00,28.54,28.54,28.505,28.525,1753,0
2017-10-25,10:45:00,28.525,28.54,28.505,28.54,3157,0
2017-10-25,10:50:00,28.55,28.55,28.55,28.55,100,0
2017-10-25,10:55:00,28.535,28.535,28.465,28.475,4378,0
2017-10-25,11:00:00,28.485,28.5,28.48,28.485,4190,0
2017-10-25,11:05:00,28.475,28.495,28.45,28.495,2553,0
2017-10-25,11:10:00,28.48,28.495,28.48,28.495,230,0
2017-10-25,11:15:00,28.485,28.485,28.455,28.455,1460,0
2017-10-25,11:20:00,28.465,28.47,28.455,28.46,1417,0
2017-10-25,11:25:00,28.45,28.455,28.445,28.445,2091,0
2017-10-25,11:30:00,28.44,28.44,28.34,28.34,15315,0
2017-10-25,11:35:00,28.34,28.415,28.265,28.415,9076,0
