Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-25,09:05:00,99.86,99.86,99.5,99.53,391,0
2017-10-25,09:10:00,99.54,99.54,99.42,99.42,490,0
2017-10-25,09:15:00,99.28,99.42,99.28,99.32,507,0
2017-10-25,09:20:00,99.32,99.43,99.21,99.42,1124,0
2017-10-25,09:25:00,99.42,99.8,99.42,99.71,1652,0
2017-10-25,09:30:00,99.67,99.67,99.57,99.62,423,0
2017-10-25,09:35:00,99.62,99.62,99.48,99.58,532,0
2017-10-25,09:40:00,99.57,99.64,99.57,99.63,351,0
2017-10-25,09:45:00,99.61,99.76,99.49,99.76,397,0
2017-10-25,09:50:00,99.72,99.72,99.72,99.72,58,0
2017-10-25,09:55:00,99.59,99.67,99.53,99.67,823,0
2017-10-25,10:00:00,99.68,99.68,99.4,99.44,817,0
2017-10-25,10:05:00,99.51,99.63,99.51,99.57,538,0
2017-10-25,10:10:00,99.56,99.6,99.35,99.39,2075,0
2017-10-25,10:15:00,99.33,99.33,99.25,99.32,170,0
2017-10-25,10:20:00,99.28,99.32,99.25,99.32,372,0
2017-10-25,10:25:00,99.33,99.35,99.25,99.31,605,0
2017-10-25,10:30:00,99.33,99.34,99.18,99.19,1106,0
2017-10-25,10:35:00,99.18,99.29,99.06,99.25,861,0
2017-10-25,10:40:00,99.28,99.29,99.16,99.29,420,0
2017-10-25,10:45:00,99.32,99.36,99.23,99.35,263,0
2017-10-25,10:50:00,99.37,99.4,99.36,99.4,535,0
2017-10-25,10:55:00,99.46,99.55,99.46,99.55,152,0
2017-10-25,11:00:00,99.57,99.57,99.55,99.55,123,0
2017-10-25,11:05:00,99.52,99.56,99.5,99.56,1042,0
2017-10-25,11:10:00,99.58,99.58,99.52,99.54,189,0
2017-10-25,11:15:00,99.51,99.51,99.41,99.45,410,0
2017-10-25,11:20:00,99.45,99.49,99.43,99.46,699,0
2017-10-25,11:25:00,99.5,99.55,99.49,99.53,290,0
2017-10-25,11:30:00,99.51,99.6,99.51,99.52,498,0
2017-10-25,11:35:00,99.58,99.58,99.43,99.5,723,0
2017-10-25,11:40:00,99.51,99.67,99.51,99.61,806,0
2017-10-25,11:45:00,99.61,99.61,99.52,99.58,217,0
2017-10-25,11:50:00,99.61,99.64,99.59,99.62,328,0
2017-10-25,11:55:00,99.54,99.57,99.5,99.57,526,0
2017-10-25,12:00:00,99.54,99.57,99.46,99.46,362,0
2017-10-25,12:05:00,99.47,99.6,99.47,99.6,492,0
2017-10-25,12:10:00,99.64,99.68,99.64,99.68,62,0
2017-10-25,12:15:00,99.62,99.65,99.61,99.62,263,0
2017-10-25,12:20:00,99.62,99.62,99.6,99.6,106,0
2017-10-25,12:25:00,99.6,99.6,99.46,99.52,703,0
2017-10-25,12:30:00,99.56,99.56,99.54,99.55,147,0
2017-10-25,12:35:00,99.52,99.52,99.43,99.43,160,0
2017-10-25,12:40:00,99.44,99.44,99.44,99.44,30,0
2017-10-25,12:45:00,99.48,99.52,99.41,99.47,727,0
2017-10-25,12:50:00,99.5,99.5,99.48,99.49,105,0
2017-10-25,12:55:00,99.52,99.52,99.52,99.52,14,0
2017-10-25,13:00:00,99.52,99.56,99.52,99.55,413,0
2017-10-25,13:05:00,99.56,99.6,99.52,99.59,926,0
2017-10-25,13:10:00,99.59,99.6,99.5,99.55,551,0
2017-10-25,13:15:00,99.55,99.55,99.52,99.52,224,0
2017-10-25,13:20:00,99.45,99.55,99.45,99.5,248,0
2017-10-25,13:25:00,99.54,99.58,99.54,99.58,145,0
2017-10-25,13:30:00,99.56,99.56,99.51,99.52,419,0
2017-10-25,13:35:00,99.6,99.6,99.49,99.49,702,0
2017-10-25,13:40:00,99.48,99.51,99.47,99.51,71,0
2017-10-25,13:45:00,99.52,99.53,99.46,99.53,367,0
2017-10-25,13:50:00,99.56,99.56,99.51,99.52,625,0
2017-10-25,13:55:00,99.53,99.53,99.52,99.52,263,0
2017-10-25,14:00:00,99.52,99.6,99.52,99.56,230,0
2017-10-25,14:05:00,99.55,99.57,99.55,99.56,303,0
2017-10-25,14:10:00,99.56,99.69,99.56,99.69,1106,0
2017-10-25,14:15:00,99.81,99.81,99.81,99.81,54,0
2017-10-25,14:20:00,99.82,99.87,99.82,99.87,266,0
2017-10-25,14:25:00,99.88,100.05,99.88,100,822,0
2017-10-25,14:30:00,100,100.15,99.99,100.1,700,0
2017-10-25,14:35:00,100.1,100.1,100,100,375,0
2017-10-25,14:40:00,100,100.05,99.96,99.96,1002,0
2017-10-25,14:45:00,99.99,100.05,99.99,100.05,368,0
2017-10-25,14:50:00,100.05,100.1,100,100.1,692,0
2017-10-25,14:55:00,100.1,100.2,99.93,99.94,1389,0
2017-10-25,15:00:00,100.05,100.15,99.97,99.99,1474,0
2017-10-25,15:05:00,99.95,100,99.94,99.94,883,0
2017-10-25,15:10:00,99.96,99.96,99.91,99.92,598,0
2017-10-25,15:15:00,99.89,100,99.82,99.82,906,0
2017-10-25,15:20:00,99.92,100,99.9,99.94,419,0
2017-10-25,15:25:00,99.94,99.94,99.81,99.83,794,0
2017-10-25,15:30:00,99.82,99.87,99.82,99.87,81,0
2017-10-25,15:35:00,99.9,99.93,99.86,99.86,2123,0
2017-10-25,15:40:00,99.88,99.93,99.88,99.91,1049,0
2017-10-25,15:45:00,99.94,99.94,99.9,99.9,681,0
2017-10-25,15:50:00,99.88,99.88,99.86,99.87,248,0
2017-10-25,15:55:00,99.86,99.87,99.85,99.85,381,0
2017-10-25,16:00:00,99.91,99.96,99.87,99.92,905,0
2017-10-25,16:05:00,99.92,100,99.79,99.81,1524,0
2017-10-25,16:10:00,99.84,99.91,99.84,99.88,432,0
2017-10-25,16:15:00,99.9,99.9,99.84,99.84,774,0
2017-10-25,16:20:00,99.86,99.86,99.74,99.74,877,0
2017-10-25,16:25:00,99.72,99.8,99.72,99.79,566,0
2017-10-25,16:30:00,99.77,99.78,99.7,99.7,530,0
2017-10-25,16:35:00,99.7,99.74,99.7,99.72,529,0
2017-10-25,16:40:00,99.73,99.76,99.67,99.67,1338,0
2017-10-25,16:45:00,99.66,99.67,99.51,99.51,711,0
2017-10-25,16:50:00,99.54,99.58,99.48,99.52,861,0
2017-10-25,16:55:00,99.55,99.6,99.51,99.6,652,0
2017-10-25,17:00:00,99.63,99.63,99.51,99.53,1209,0
2017-10-25,17:05:00,99.54,99.54,99.47,99.47,718,0
2017-10-25,17:10:00,99.45,99.45,99.31,99.34,1168,0
2017-10-25,17:15:00,99.31,99.33,99.2,99.26,2638,0
2017-10-25,17:20:00,99.28,99.34,99.23,99.34,891,0
2017-10-25,17:25:00,99.33,99.33,99.19,99.25,1315,0
2017-10-25,17:30:00,99.27,99.27,99.06,99.26,27326,0
2017-10-26,09:05:00,99.35,99.35,99.09,99.33,621,0
2017-10-26,09:10:00,99.18,99.58,99.17,99.58,2398,0
2017-10-26,09:15:00,99.6,99.62,99.46,99.56,424,0
2017-10-26,09:20:00,99.69,99.74,99.56,99.56,575,0
2017-10-26,09:25:00,99.56,99.56,99.38,99.38,637,0
2017-10-26,09:30:00,99.44,99.71,99.41,99.71,1165,0
2017-10-26,09:35:00,99.77,99.85,99.77,99.85,354,0
2017-10-26,09:40:00,99.87,99.91,99.75,99.75,804,0
2017-10-26,09:45:00,99.75,99.75,99.48,99.55,1564,0
2017-10-26,09:50:00,99.58,99.58,99.48,99.54,264,0
2017-10-26,09:55:00,99.54,99.54,99.4,99.46,733,0
2017-10-26,10:00:00,99.49,99.57,99.42,99.42,1866,0
2017-10-26,10:05:00,99.49,99.51,99.43,99.51,392,0
2017-10-26,10:10:00,99.54,99.54,99.54,99.54,116,0
2017-10-26,10:15:00,99.52,99.62,99.52,99.56,680,0
2017-10-26,10:20:00,99.56,99.66,99.56,99.66,356,0
2017-10-26,10:25:00,99.66,99.66,99.59,99.59,110,0
2017-10-26,10:30:00,99.61,99.61,99.54,99.54,487,0
2017-10-26,10:35:00,99.55,99.56,99.43,99.43,222,0
2017-10-26,10:40:00,99.42,99.43,99.42,99.42,132,0
2017-10-26,10:45:00,99.43,99.44,99.43,99.44,182,0
2017-10-26,10:50:00,99.43,99.44,99.32,99.36,930,0
2017-10-26,10:55:00,99.37,99.41,99.37,99.41,546,0
2017-10-26,11:00:00,99.43,99.44,99.43,99.44,72,0
2017-10-26,11:05:00,99.5,99.5,99.39,99.39,516,0
2017-10-26,11:10:00,99.41,99.41,99.37,99.37,252,0
2017-10-26,11:15:00,99.34,99.34,99.31,99.31,170,0
2017-10-26,11:20:00,99.29,99.29,99.25,99.26,264,0
2017-10-26,11:25:00,99.26,99.26,99.04,99.04,871,0
2017-10-26,11:30:00,99.05,99.05,99,99.02,1148,0
2017-10-26,11:35:00,99.04,99.13,99.04,99.13,65,0
2017-10-26,11:40:00,99.25,99.34,99.25,99.33,314,0
2017-10-26,11:45:00,99.36,99.42,99.35,99.39,419,0
2017-10-26,11:50:00,99.39,99.41,99.25,99.32,1457,0
