Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-08,13:00:00,4.31,4.31,4.31,4.31,66,0
2015-04-08,13:05:00,4.31,4.31,4.31,4.31,66,0
2015-04-09,17:30:00,4.3,4.3,4.3,4.3,1000,0
2015-04-10,13:40:00,4.45,4.45,4.45,4.45,20,0
2015-04-13,09:05:00,4.3,4.3,4.22,4.22,466,0
2015-04-14,11:55:00,4.31,4.31,4.31,4.31,60,0
2015-04-22,09:05:00,4.35,4.35,4.35,4.35,16,0
2015-04-28,09:05:00,4.3,4.3,4.3,4.3,676,0
2015-04-29,17:15:00,4.4,4.4,4.4,4.4,448,0
2015-04-30,09:05:00,4.5,4.5,4.39,4.39,1000,0
2015-05-26,09:05:00,4.45,4.45,4.45,4.45,200,0
2015-05-27,08:20:00,4.45,4.45,4.45,4.45,100,0
2015-06-12,11:25:00,4.55,4.55,4.55,4.55,66,0
2015-06-15,09:05:00,4.65,4.65,4.477,4.477,1000,0
2015-06-30,12:05:00,4.51,4.51,4.51,4.51,30,0
2015-06-30,17:30:00,4.5,4.5,4.5,4.5,476,0
2015-07-10,11:30:00,4.3,4.3,4.3,4.3,474,0
2015-07-15,09:05:00,4.47,4.47,4.47,4.47,184,0
2015-07-16,15:00:00,4.343,4.343,4.343,4.343,646,0
2015-07-17,12:05:00,4.3,4.3,4.3,4.3,100,0
2015-07-17,12:10:00,4.3,4.3,4.3,4.3,200,0
2015-07-17,13:20:00,4.197,4.197,4.197,4.197,392,0
2015-07-23,15:35:00,4.3,4.3,4.3,4.3,200,0
2015-08-04,10:30:00,4.3,4.3,4.3,4.3,700,0
2015-08-18,13:15:00,4.45,4.45,4.45,4.45,48,0
2015-08-26,10:45:00,4.45,4.45,4.45,4.45,12,0
2015-09-14,09:05:00,4.5,4.5,4.5,4.5,600,0
2015-09-16,17:30:00,4.6,4.6,4.6,4.6,500,0
2015-10-09,08:15:00,4.6,4.6,4.6,4.6,200,0
2015-10-21,11:35:00,4.51,4.51,4.51,4.51,100,0
2015-11-12,10:20:00,4.51,4.51,4.51,4.51,53,0
2015-11-12,15:25:00,4.5,4.5,4.5,4.5,0,0
2015-11-17,15:00:00,4.725,4.725,4.725,4.725,297,0
2015-11-17,17:15:00,4.84,4.84,4.84,4.84,0,0
2015-11-23,16:55:00,4.84,4.84,4.84,4.84,262,0
2015-11-26,14:10:00,4.722,4.722,4.722,4.722,250,0
2015-12-02,10:55:00,4.607,4.607,4.607,4.607,50,0
2015-12-17,15:35:00,4.5,4.5,4.5,4.5,500,0
2016-01-18,14:05:00,4.522,4.522,4.522,4.522,5,0
2016-02-04,17:05:00,4.51,4.51,4.51,4.51,4,0
2016-02-08,14:55:00,4.5,4.5,4.5,4.5,500,0
2016-04-01,08:05:00,4.6,4.6,4.5,4.5,20,0
2016-04-04,18:25:00,4.51,4.51,4.51,4.51,7,0
2016-04-21,11:25:00,4.51,4.51,4.51,4.51,30,0
2016-04-25,08:05:00,4.5,4.5,4.5,4.5,0,0
2016-05-02,14:45:00,4.725,4.725,4.725,4.725,100,0
2016-05-12,13:05:00,4.61,4.61,4.61,4.61,20,0
2016-05-17,14:30:00,4.725,4.725,4.725,4.725,104,0
2016-06-01,18:15:00,4.61,4.61,4.61,4.61,10,0
2016-06-02,11:20:00,4.51,4.51,4.51,4.51,2,0
2016-06-21,11:25:00,4.5,4.5,4.5,4.5,782,0
2016-06-23,13:25:00,4.51,4.51,4.51,4.51,50,0
2016-07-04,11:25:00,4.5,4.5,4.42,4.42,400,0
2016-07-04,11:55:00,4.527,4.527,4.5,4.5,310,0
2016-07-19,13:35:00,4.65,4.65,4.65,4.65,53,0
2016-07-27,11:05:00,5.5,5.5,5.5,5.5,209,0
2016-08-03,10:40:00,4.901,4.901,4.901,4.901,100,0
2016-08-12,11:40:00,4.651,4.651,4.651,4.651,100,0
2016-08-15,08:05:00,4.5,4.5,4.5,4.5,1500,0
2016-08-15,08:25:00,4.5,4.5,4.5,4.5,1800,0
2016-08-31,14:55:00,4.7,4.7,4.7,4.7,200,0
